,Cingulate_Mid_R,Frontal_Inf_Tri_L,Thal_MGN_L,Paracentral_Lobule_L,Cerebellum_Crus2_L,VTA_L,Cerebellum_6_L,Hippocampus_L,Thal_MGN_R,Thal_LGN_L,Occipital_Mid_L,Thal_IL_R,Parietal_Inf_R,Hippocampus_R,Calcarine_R,Frontal_Inf_Orb_2_R,Rectus_L,SupraMarginal_L,Thal_MDm_L,Frontal_Sup_Medial_R,Temporal_Inf_L,Postcentral_L,Pallidum_R,SN_pc_R,ACC_pre_R,Thal_MDl_R,ACC_pre_L,Caudate_R,Cerebellum_8_R,Thal_PuM_L,Frontal_Sup_2_L,Thal_PuA_L,Cuneus_L,Vermis_10,Thal_AV_L,Cerebellum_3_R,Heschl_R,SN_pr_L,Parietal_Inf_L,Insula_L,Precentral_R,SupraMarginal_R,Thal_MDm_R,Frontal_Mid_2_L,Putamen_R,OFCant_R,Occipital_Mid_R,ParaHippocampal_L,Temporal_Sup_R,SN_pr_R,Red_N_L,Frontal_Med_Orb_L,Occipital_Sup_L,Rolandic_Oper_R,Occipital_Sup_R,Vermis_9,Rectus_R,OFCmed_L,Frontal_Med_Orb_R,Frontal_Inf_Oper_R,Temporal_Sup_L,Cerebellum_7b_L,Lingual_R,Olfactory_R,Thal_PuM_R,Calcarine_L,Occipital_Inf_R,Thal_VL_L,Cerebellum_3_L,Rolandic_Oper_L,Frontal_Inf_Tri_R,Vermis_7,Temporal_Pole_Mid_L,Vermis_3,Frontal_Sup_Medial_L
Cingulate_Mid_R,1.0,0.7630275180841276,-0.03406764120234419,0.7866749049685495,-0.5112829339254055,0.1661626149624273,0.04321581003302433,0.7149833253478833,0.5410072963870469,0.47074302156116404,0.25887669770756516,0.6334305505604901,0.7122898434017793,0.7794937438597361,0.49171488057423474,0.5795058388666912,0.5226566574087015,0.39489509530510575,0.20482409098780904,0.7965361597155804,0.10611039020586173,0.6200194043925893,0.7327056730250854,0.2101281132571086,0.6527172794962358,-0.06311072953893185,0.4946753583717737,0.8205220945411822,-0.14688542923864142,0.3660850298211708,0.7073500926048139,0.14786603361996994,0.6816033520362204,0.47163804105114593,0.0751324099366268,0.39381071130398226,0.5291634231582705,0.613178030713312,0.6374537449024201,0.518528061991022,0.8014738569305592,0.7884268438950692,0.2619165459843785,0.6899851786113184,0.7654605965907771,0.6158506164075296,0.3797708444219296,0.789756636406987,0.6685021897360602,0.6417939000745987,0.7503407780687908,0.17185408784869663,0.5109347409869096,0.6303063755933018,0.6245351418092362,0.21387599432188767,0.5830773587415309,0.3002528400266913,0.3296807384372526,0.721166096164269,0.6465232185643368,-0.41832247761175456,0.46913605260296315,0.15365925161066818,0.6580461425533359,0.5043938415368072,-0.5387554836035311,0.3526968636131939,0.4043058164756529,0.8818914028388726,0.7483581926881665,-0.2877812942137675,-0.6461312020630855,0.5345914682400335,0.7104810996399691
Frontal_Inf_Tri_L,0.7630275180841276,1.0,-0.042290745550631594,0.5554205078391165,-0.4012964686914743,0.11319954769042832,0.14002173532653606,0.6656676891856961,0.48050117574980716,0.2959710777954176,0.0882967524375625,0.4317272091151771,0.402316489770211,0.5806404528249847,0.3024145803761089,0.5980919974331738,0.35915865988430173,0.3950216240420081,-0.08233433042167912,0.6016391902183809,0.2358186690072699,0.5509419156651268,0.6503170776070948,0.17790283350922176,0.5875397424382283,-0.11093060122619695,0.5726651464299354,0.6676535647985835,-0.09530929239385555,0.039660690248353926,0.6827174758766856,0.059081601804446916,0.3699405577144262,0.3435602374362342,0.201463398562615,0.5518012464278369,0.37758247542954715,0.4859094099751645,0.4740739014760244,0.6107370156750627,0.640358295191191,0.5139371007337369,0.07157840382396828,0.7041781851538389,0.6706830875067531,0.4806316019001452,0.08997406632365357,0.6646700692270983,0.480115436554536,0.593519224636262,0.5577459624441473,0.010278813107172147,0.2038643776989197,0.7406880689239135,0.2870188770834922,0.3035366482168541,0.44858075109508927,0.16572882206769968,0.1539320255015195,0.7150482661181408,0.7686199567938076,-0.21344201967405024,0.2756624122862289,0.1907216609513805,0.5843240586369526,0.327490575148568,-0.46904359701802006,0.4434203784676286,0.2827179587756795,0.8419060481757125,0.7957402720456097,-0.1875258912620115,-0.5790662047907241,0.5014555738775407,0.5986577122751753
Thal_MGN_L,-0.03406764120234419,-0.042290745550631594,1.0,-0.20606256400223136,0.0537515390162009,0.026696498294026795,0.12225418467027444,0.1840974768618365,0.07697534588588754,0.3113430215912651,-0.4298287592025159,-0.22902298417594694,-0.14318967776957364,0.15612871190812072,-0.06657816291691218,0.1903416708211029,0.023974033694770035,-0.5421129577924193,0.015256075292905596,-0.05409041299107499,0.03469411331010101,-0.5126706927540245,0.18407667984355047,0.09090541110602554,0.09566873767277904,-0.292630182613832,0.2020956809299636,0.25952148250938384,0.2279135683979413,0.06572188792906315,-0.23871348334106568,0.47652958372514637,-0.08121178088543471,0.19364809404839714,0.19499497901078428,-0.003456206862995947,0.06247263014778977,-0.061831791701165366,-0.4810952515789615,0.18298581506856695,-0.04210642009484183,-0.020546623711873664,-0.12572606544317638,-0.1226257860243167,0.2093843659501624,0.04397276211209093,-0.1746845249152465,0.06099065010866656,0.15452851333277828,-0.009504540238862672,-0.24708070934967513,0.21395285576764275,-0.29227992985794043,0.1420971131341967,-0.1973365133784821,0.4213817295395435,0.06477808162717152,0.27293434145692796,0.1868723338809098,0.1767197609783874,-0.17823748722508806,0.2088647746722032,-0.04963582807989485,0.0038868890429542675,0.15269615746626686,-0.09007357311164851,0.21974748888395812,0.2369607009658655,0.08662715625449952,-0.08238473743584311,0.15398888363523358,0.3028517715727127,0.24822459300645372,0.326613974042412,-0.15486707357268317
Paracentral_Lobule_L,0.7866749049685495,0.5554205078391165,-0.20606256400223136,1.0,-0.605738969385502,0.27537169603281797,-0.28199854196077395,0.4190383388174961,0.37620446831283794,0.3519534083630948,0.38204280576605437,0.6735786899181612,0.892127587416387,0.5954267668553855,0.4430262200189321,0.4057824479197391,0.39421142845885415,0.4466013120164627,0.27440559133325787,0.6919196670053028,-0.3349413343047547,0.7104984956426884,0.5935013415544156,0.3898855336924151,0.4034653448173123,-0.0795196658788429,0.2727515612905444,0.591019185601603,-0.3459955824439851,0.5365506186508046,0.6701399992516069,0.012346667202479568,0.7511865575889896,0.538313494971461,-0.349876230313157,0.3468396939861102,0.3392386987666005,0.6193832859413252,0.864580741951338,0.31272796716123263,0.870366295182986,0.8491550908389545,0.1677076467016396,0.6639297929303749,0.6512579752090143,0.43516296428800516,0.598676347662196,0.5613605922247101,0.6355371782799928,0.5759181697278741,0.8695472891152007,0.008392531084424993,0.7292353818262596,0.4439917770050419,0.764427030488792,0.02377875844472185,0.42073648229035354,0.061714436373471515,0.14143913209428877,0.5932717433043599,0.32502346083180605,-0.6986846707317422,0.48416449296228886,0.25783522971117834,0.5274982537125289,0.5199099733035816,-0.6199688367029543,-0.07387296957816866,0.4215058046986784,0.7544664237696118,0.5972584789601182,-0.47932621814537574,-0.6414950242572276,0.4863875330047842,0.5550126873624132
Cerebellum_Crus2_L,-0.5112829339254055,-0.4012964686914743,0.0537515390162009,-0.605738969385502,1.0,0.1411831291014219,0.7375269533767584,-0.3392391497764864,-0.26291908957112137,-0.0829499954071289,0.23511111278866165,-0.22229811468150704,-0.4882883798889657,-0.49869648830863533,0.28796356274444285,-0.43162554719545354,-0.6243969729475191,-0.03510001766134565,0.3701920301804165,-0.4686159657737821,0.3930160656064638,-0.24557488486216644,-0.7796778755397005,-0.097960144082113,-0.39458745931091505,0.6069776155401749,-0.5640240446500573,-0.5265066445041512,0.7423803009445638,0.035437458263615065,-0.35007174170086997,0.27876764889561273,-0.15558367891830507,-0.2556406759902131,0.08896568002443582,0.08708194446255334,0.08438763420318757,-0.5539684294268119,-0.44175260065710037,0.01225565578785234,-0.5774459785395496,-0.4498493905783881,0.3896220558440411,-0.36145221156954305,-0.7489284390889065,-0.6571895932916654,0.06250624810905167,-0.61106440603803,-0.11976504082217788,-0.5928709538834759,-0.5546519102579159,-0.4307236843717864,-0.08425403205207639,-0.2814753853126249,-0.15940568550456502,0.005015620224565932,-0.5968029763935259,-0.47841267620883027,-0.5032823602792138,-0.5312435108126302,-0.048516252944986085,0.8008118766527815,0.19717796841395735,0.2197400682506123,-0.6334288181524699,0.22607070226713516,0.8623461877282944,-0.06320015210374669,0.021956555319562896,-0.5127388127365576,-0.44925172774282107,0.8400255620620986,0.8353534895551872,-0.5461194739299448,-0.2043211952467471
VTA_L,0.1661626149624273,0.11319954769042832,0.026696498294026795,0.27537169603281797,0.1411831291014219,1.0,0.20316320836810584,0.08336867200440067,0.2579956633552595,0.2114136366093169,0.10849551575393061,0.2780654975106403,0.39417817646389325,0.005976011217269714,0.40815687753187657,-0.008481373752491899,-0.18976563927903944,0.054459178599569724,0.3992661905461502,0.07409542157278914,-0.15940727498561394,0.1666767681073649,-0.08703351310452995,0.4097236874637189,-0.04016186385221107,0.29050484222296635,-0.1891315903703584,0.06884638079848347,-0.020583947195170926,0.45338435391797516,0.13540357657240218,0.37420626451121763,0.36248502515740466,0.11377189377516705,-0.20812582672990818,0.2677594466242522,0.3458475833656747,0.18536548288646196,0.23009455563992748,0.19894212645620857,0.3505560760449189,0.2890279221692405,0.34851186151983643,0.1526061541818968,0.04763975838416488,-0.22630685560635475,0.5078273843820572,-0.0841052037223904,0.42352038535121983,0.18684673983120711,0.3639348226312753,-0.16333462206093993,0.41283563726831474,0.13924763036357946,0.39816672160692995,-0.10051425918745768,-0.17565606143770063,-0.27990135522339005,-0.1828504023329575,0.25110559918153724,0.061500927225738154,-0.1397891570121427,0.40633080668069965,0.3322490040972197,-0.036573062173351364,0.4131398975812946,0.04807498541423378,-0.2574190855358375,0.48333761892986116,0.1487859263805119,0.23697932688771542,0.1492068105271705,0.1634874602776841,-0.010968416946102443,0.18241210468365696
Cerebellum_6_L,0.04321581003302433,0.14002173532653606,0.12225418467027444,-0.28199854196077395,0.7375269533767584,0.20316320836810584,1.0,0.2752860926025032,0.0685657746595232,0.2789478193512692,0.3119324485179665,0.110769196204746,-0.23495789425377528,0.03015929535627279,0.5853273317853179,-0.09771715228604398,-0.29674994199234844,0.23955410756678397,0.3982065387590385,-0.012234929678257055,0.6666160115677318,0.10773864029802688,-0.367075641606053,0.06497635983683624,0.1102940059123648,0.6279346393114754,-0.13826115381737608,0.040042931014594184,0.7378056266970655,0.12293573654600856,0.11960387234421255,0.4726051019116362,0.1255964672898717,0.03012857763493502,0.4332054830031224,0.4202971265874041,0.40722268955728913,-0.19657419497572193,-0.15038059308222615,0.4429196037865404,-0.19053122937712882,-0.09192449975291345,0.5139407268047058,0.1177754357575486,-0.25705421978621285,-0.2702964593925281,0.14908571217184818,-0.045318456840046775,0.2421069494096674,-0.21482227752105434,-0.2533653601251746,-0.35140754744735697,0.07887060716497346,0.22435228932529477,0.05900818952563956,0.26020814842849527,-0.27578485856464047,-0.22638206092279126,-0.3121436570600342,-0.133763241412634,0.4650603033141426,0.7297304569171185,0.50470721181753,0.30941055371770143,-0.2162417137738324,0.5154795321733667,0.6432740450405852,0.4199012452173847,0.2870108119497313,0.03640963726151107,0.002733429842224143,0.8019356592622812,0.5202478223544472,-0.21734537155672728,0.24313243343245128
Hippocampus_L,0.7149833253478833,0.6656676891856961,0.1840974768618365,0.4190383388174961,-0.3392391497764864,0.08336867200440067,0.2752860926025032,1.0,0.5098029610426603,0.5090677229589954,0.13718050697275339,0.4891237379818315,0.3144775541215805,0.7816873462988952,0.3185616475146266,0.5030056735829376,0.5503355798494132,0.2900990975056522,0.03990527723112052,0.7066203626471069,0.3466986343812307,0.41691443458049443,0.5881848456602154,0.274953850448676,0.7991466700511578,-0.0065187571785711535,0.6928132730979644,0.8554276874430286,0.018380561475381044,0.11473225118460341,0.6624012009210786,0.34502656818464217,0.37830256672557455,0.3306327309927205,0.484413252290155,0.42639244243091673,0.527796143963027,0.5964088340692127,0.3421773004978313,0.6054396914806845,0.48029438869209046,0.4351461915609686,0.17613213289137927,0.6461003852269354,0.7143886830102933,0.5670280822959137,0.10804484357052087,0.8418218502030739,0.5355140595225346,0.529619327992888,0.42681817518371873,0.29038234335771906,0.2337735457057264,0.5905242647330239,0.2851787895588875,0.28554789346750037,0.5612676938160185,0.484666798590079,0.3989122025528474,0.532522124516269,0.5801404493187807,-0.1013099304689833,0.3189375528164777,0.20019915328315613,0.6646489239130223,0.3556701099450847,-0.3308888748922844,0.7438426745984448,0.35947248555703126,0.6906506573114488,0.5795552933881931,-0.11976717079787892,-0.44866542449740354,0.5412511495970255,0.6740969827582475
Thal_MGN_R,0.5410072963870469,0.48050117574980716,0.07697534588588754,0.37620446831283794,-0.26291908957112137,0.2579956633552595,0.0685657746595232,0.5098029610426603,1.0,0.38924583580353894,0.04246840885813938,0.3272471132366666,0.3293433121356614,0.4612269531133493,0.23243131347618112,0.4833941450681935,0.4226906915400535,0.21473655908622494,0.07026097797734017,0.552153772917215,0.058149551430120516,0.32893539364371555,0.4279474208040893,0.1289564220094215,0.5330123915552327,-0.04395016376571668,0.374047768265871,0.5479643741936414,-0.16511715100326146,0.16525998995446228,0.4936999530650279,0.2686378575142049,0.38398899979794987,0.17728463410347212,0.1501250931283621,0.37025898398414847,0.4501632313163347,0.4271262470372434,0.33429987554952956,0.4191059523181313,0.43304755008564644,0.3272744941302243,0.09196018272420849,0.5088943847780533,0.5015608230416397,0.3860769562587906,0.15868846402076212,0.5060426622491668,0.49532584690745146,0.41875298277456474,0.47760393435025383,0.3135294797283635,0.2748408497941075,0.4258511854963034,0.312174292529362,0.05252303286023284,0.5332251121039412,0.28745143001959755,0.3416771370340084,0.5726340108437649,0.35507014290575717,-0.2027112062696595,0.1538915461644685,0.11659229285250769,0.4229239298804981,0.29040452180282667,-0.3809852707527949,0.30354379040040197,0.2025339682975954,0.5184154081249103,0.4300236633140677,-0.19214824710047737,-0.336117881068033,0.45777684522800705,0.5749352641428057
Thal_LGN_L,0.47074302156116404,0.2959710777954176,0.3113430215912651,0.3519534083630948,-0.0829499954071289,0.2114136366093169,0.2789478193512692,0.5090677229589954,0.38924583580353894,1.0,0.1540703009918407,0.3649833268348777,0.3752857865165341,0.6295896508677289,0.449237417531165,0.11629775453068683,0.27363998588777144,0.20571035545779015,0.4110285787785538,0.5165025123538953,-0.0074592201201057,0.3439386824436553,0.25361409201960167,0.4190146956465502,0.5515087706832492,0.06829591086427825,0.26761848761529317,0.5163833735888019,0.03707926201581394,0.5057022619012507,0.42926499571284116,0.5190801681622546,0.43108409410090187,0.26857548078827126,0.21541163473840816,0.24745718859043997,0.4419903704289292,0.4224688398825075,0.32044488052194575,0.4270614268443558,0.40291172714057966,0.3743312502185191,0.31159711295027526,0.4181856968482097,0.41695996645811256,0.19558894557137926,0.34246915805702816,0.3861487958075994,0.6104513484695973,0.19411537940692009,0.30227763916379885,0.02311037353155655,0.3692034915983986,0.3928032456898046,0.46264707691434565,0.0307688691746082,0.24039921710390436,0.018744418857135778,0.0740210280034631,0.36291639824888017,0.23275396753168534,-0.13545989867233962,0.44881671510123133,0.33590944790697785,0.37803102935783084,0.4696602031933301,-0.07657221412827513,0.3849220431453935,0.43659799986130005,0.4279449262714604,0.29952139155741253,0.027294917255174248,0.001125147371787881,0.2667254808533798,0.521238495403357
