,Cingulate_Post_L,Temporal_Pole_Sup_R,Vermis_8,OFCpost_R,Thal_MGN_L,Cerebellum_3_R,Vermis_3,OFCmed_L,Cingulate_Mid_L,Frontal_Inf_Tri_R,Cuneus_R,SupraMarginal_R,SN_pc_L,Frontal_Mid_2_L,Parietal_Inf_L,Cerebellum_6_L,Supp_Motor_Area_R,Vermis_4_5,Precentral_R,Temporal_Sup_R,N_Acc_R,Occipital_Sup_R,Vermis_7,Parietal_Sup_L,Parietal_Inf_R,Paracentral_Lobule_R,Angular_L,Red_N_R,Thal_VA_R,Supp_Motor_Area_L,Calcarine_L,Precentral_L,Fusiform_L,Angular_R,Olfactory_R,VTA_L,Raphe_D,Hippocampus_R,Cerebellum_7b_L,Hippocampus_L
Cingulate_Post_L,1.0,0.20953381232565121,0.013218698005097366,0.3428284949879536,-0.24314899993962982,0.6073721505192446,0.31575672924215475,0.006439423400287063,0.608863815948509,0.312692357859442,0.5899276902233839,0.29148198064356295,0.41024896265841293,0.7548456194573864,0.6073381846460684,0.3075897494567456,0.5230431209999787,0.6716349864597276,0.34761239932586147,0.5273822172678385,0.24929517199101034,0.4573907804499142,0.004325565942451696,0.4551690889990801,0.2836617630872572,0.517500193789312,0.6563528083492595,0.4971973556667772,0.20371636467851922,0.5502648952811012,0.6208812129429594,0.6276015477528976,0.5387483977065334,0.2997724699226302,0.45028786368801943,0.14055021546969593,0.20239408267003584,0.5586587472002322,-0.02242519592308814,0.49584967088580273
Temporal_Pole_Sup_R,0.20953381232565121,1.0,0.5097050048187958,-0.08729796631219569,0.04423558259173519,0.23723304826652192,-0.34187186359876875,-0.19927825838206042,-0.2736843817610235,-0.2729475837035305,-0.03632526428207365,-0.4551126518586294,0.38766900608562965,-0.09089913677667019,-0.2615914866057437,0.6790151276887866,-0.4504312367758918,-0.1094223811238338,-0.5874175445271752,0.05329799040965904,-0.3513874334941054,-0.17760151747930755,0.6752133953165504,-0.4545760385885112,-0.5284713014847532,-0.34944019462462667,0.13406085074935425,-0.332611477446573,-0.10586439298242004,-0.4506941522211814,0.2123294838822704,-0.10197864881243546,0.10951806644227996,-0.3851017619466297,0.37717064783905124,0.03763787523941115,0.008839706946965838,-0.20606125453080762,0.7146860361428098,-0.05417444831491084
Vermis_8,0.013218698005097366,0.5097050048187958,1.0,-0.057454106865142074,0.48890743297804795,0.30322673082522683,0.07570372641715091,-0.01299822533206628,-0.040624734236242056,0.0021920547822718715,-0.18062198552561862,-0.3020337315112598,0.47404508481485613,0.015653644743217312,-0.4830720836139747,0.669524005853982,-0.23466779142360455,0.06838885299477944,-0.3605910519173284,0.00758611943498922,-0.027212887329614306,-0.3516333224856142,0.7594819934270401,-0.5939112033907251,-0.5424300861085017,-0.3612671423082492,-0.29612552365419087,-0.21071495527444695,0.04036089806398466,-0.2855218088342544,0.07550042930920821,-0.14313603550018178,0.2879541105902649,-0.5312475612529362,0.05071613740678413,-0.09418776111591697,0.14711439129041834,-0.041987054964584436,0.7679562083494192,0.18710778668432623
OFCpost_R,0.3428284949879536,-0.08729796631219569,-0.057454106865142074,1.0,0.10464413109354767,0.12539403359702578,0.37958930438978034,0.6334370245618253,0.5401035029635548,0.28829254745055327,0.19775588899436283,0.3452420376164654,0.14664176938458912,0.3763577686221563,0.2889564662086471,0.058334122662319146,0.25721676402601257,0.4127119859611132,0.3211989807864212,0.35880055448218606,0.5271858033474403,0.2791928620917011,-0.23202589278023222,0.34901977269731843,0.3224530793096634,0.22253403573240388,0.1382838228073766,0.28818215722056156,0.6250529956545628,0.3624354318071404,0.21381252714845722,0.10661645170310745,0.5245558334995446,0.295553412208162,-0.1002341885857548,-0.054030616884857094,0.13467007229658262,0.6751746347973494,-0.19027924095530416,0.6722961550192456
Thal_MGN_L,-0.24314899993962982,0.04423558259173519,0.48890743297804795,0.10464413109354767,1.0,-0.003456206862995947,0.326613974042412,0.27293434145692796,-0.12393842732526796,0.15398888363523358,-0.35174725289670594,-0.020546623711873664,0.15195308488769668,-0.1226257860243167,-0.4810952515789615,0.12225418467027444,-0.24503446594382275,-0.06761534684851976,-0.04210642009484183,0.15452851333277828,0.2941751827251,-0.1973365133784821,0.3028517715727127,-0.351584166518027,-0.14318967776957364,-0.35154397096439566,-0.48274024499177903,-0.10125666493563851,0.2559542448081712,-0.22473700712444877,-0.09007357311164851,-0.4678942833416724,-0.06187214624312274,-0.1179954750301943,0.0038868890429542675,0.026696498294026795,0.14826930572553548,0.15612871190812072,0.2088647746722032,0.1840974768618365
Cerebellum_3_R,0.6073721505192446,0.23723304826652192,0.30322673082522683,0.12539403359702578,-0.003456206862995947,1.0,0.4418575143646405,-0.07522268043314022,0.539472270437635,0.458685520841823,0.5212183695807124,0.23895921857101915,0.4448979835417216,0.6580281296104132,0.44279181704616755,0.4202971265874041,0.5000724345144095,0.6911277981018474,0.2870649291657878,0.5003022723390926,0.2252497277548751,0.259244768329189,0.2583883558244926,0.2530074202079217,0.15233936273019683,0.4558310884890004,0.423455254868759,0.43514403767653076,-0.017097508670761312,0.46585218126001887,0.5932266890185082,0.5804107328220247,0.43561468847421647,0.14064249356539674,0.4984312337365487,0.2677594466242522,0.3539591185826042,0.3182292919174272,0.13617316188751225,0.42639244243091673
Vermis_3,0.31575672924215475,-0.34187186359876875,0.07570372641715091,0.37958930438978034,0.326613974042412,0.4418575143646405,1.0,0.4145068358054565,0.5204049372367612,0.5120583981918453,0.1581006102665295,0.35384273801984384,0.07547892002515562,0.6201462317356711,0.2930372754482345,-0.21734537155672728,0.4608248119679954,0.6722328833132889,0.4812466204832688,0.4042977707049555,0.5902373068412851,0.14402616276642582,-0.20129477562595294,0.2869752413725424,0.2733337427149252,0.2910778049238771,-0.0171033643423539,0.6850880452139226,0.39324460031018627,0.49648558864919407,0.16987701639781025,0.3017035219404417,0.21222670120926498,0.22148064282372906,0.1027390718144894,-0.010968416946102443,0.110583347655676,0.6750982475481772,-0.3054900969310594,0.5412511495970255
OFCmed_L,0.006439423400287063,-0.19927825838206042,-0.01299822533206628,0.6334370245618253,0.27293434145692796,-0.07522268043314022,0.4145068358054565,1.0,0.2800234655296869,0.23148905182285573,-0.22260219071053403,0.06887740539712774,0.0659696036860567,0.1210039468543617,-0.07879569112410745,-0.22638206092279126,-0.027905370141148505,0.15107474106269408,0.08643532480418635,-0.05815796884110414,0.4544335748350865,-0.20790238608293737,-0.34977289219674595,-0.02414347480694312,-0.016028748138745726,-0.11884201648588401,-0.33107117596484353,0.03897324305696765,0.46292320789075975,0.036498230636242364,-0.28913771557882356,-0.09213632755808482,0.26429245922303707,-0.08414738430946837,-0.3992808187874368,-0.27990135522339005,0.24111890145136147,0.4234646994468523,-0.14217792844056293,0.484666798590079
Cingulate_Mid_L,0.608863815948509,-0.2736843817610235,-0.040624734236242056,0.5401035029635548,-0.12393842732526796,0.539472270437635,0.5204049372367612,0.2800234655296869,1.0,0.6729618563457352,0.6008235362141775,0.6549199592166077,0.3639366072934592,0.7610362357433839,0.6634968138941066,0.1311553042980001,0.8346705596272272,0.7814276451739164,0.7331217675190284,0.5823329259164677,0.5760965743532513,0.5117594775610441,-0.22453603473233408,0.6090161299266628,0.5719285422143684,0.6540983170667807,0.4238644916632408,0.6480770751756904,0.4696954005351557,0.827343155556329,0.5174633162192279,0.6108187022099321,0.6851161820968404,0.47210916411468334,0.14788179707901958,0.17646694527920365,0.33417711837778835,0.691258655880938,-0.3075911033331351,0.7338312557855884
Frontal_Inf_Tri_R,0.312692357859442,-0.2729475837035305,0.0021920547822718715,0.28829254745055327,0.15398888363523358,0.458685520841823,0.5120583981918453,0.23148905182285573,0.6729618563457352,1.0,0.3886843040238101,0.6097533068459053,0.154624958571603,0.5563650835307024,0.397820956288095,0.002733429842224143,0.7218226012899678,0.6418085673729007,0.7053734313506179,0.6460677657691624,0.6914047216702287,0.2985215983552589,-0.20573469985351556,0.3869435544790642,0.5031055732667201,0.4734769325850124,0.06468485913099078,0.5560516106943799,0.48281910249295246,0.7121531797485683,0.27894313358754663,0.40670203441912955,0.4112212030410882,0.3958777311649452,0.24492772265396923,0.23697932688771542,0.19106263836704354,0.5270452082870004,-0.3672008893028839,0.5795552933881931
