,Temporal_Sup_L,Thal_MDl_L,Occipital_Inf_L,Thal_VPL_L,Cerebellum_7b_L,Vermis_7,Olfactory_L,Thal_VPL_R,Thal_PuA_L,Cerebellum_9_R,Thal_Re_L,Putamen_L,Caudate_L,Parietal_Sup_L,OFCmed_L,SupraMarginal_R,Frontal_Sup_2_R,Parietal_Inf_R,Thal_VA_R,Cerebellum_3_R
Temporal_Sup_L,1.0,0.09864304571826434,-0.03828842708490744,0.5604258962705791,0.1327272535212226,0.12564925098478863,0.44828658341851024,0.25550563971212326,0.10970372377985127,0.12318953091370662,0.024973497972131765,0.6458330357615085,0.5668442018776143,0.2818713034546148,0.032127822150829176,0.37639984791642145,0.5663103860465969,0.23511087045576862,0.23265555591005468,0.5638110790643807
Thal_MDl_L,0.09864304571826434,1.0,0.3074467282566345,0.30135102006418407,0.33753684583964777,0.53377677053424,0.11984759291467056,0.5078228291878258,0.6899711132530782,0.5128826104057627,0.31278634870430166,0.052571352485097075,0.41507093580030097,-0.09512121769260566,-0.13091740732987894,0.16820605391859594,-0.10078009462509524,0.0561846864136951,0.2653157233430071,0.0653265524322791
Occipital_Inf_L,-0.03828842708490744,0.3074467282566345,1.0,0.26413697247241813,0.5921326072525829,0.5959105763253298,0.08424198017086072,0.7229958755201794,0.11900779216728094,0.7275255611508031,-0.03946399623143275,-0.4309734124870684,0.06214667441392221,-0.304376652101417,-0.45023136995951635,-0.40348469278131116,-0.4332303245356493,-0.4080787656388428,-0.3885186521423582,0.15231833920501775
Thal_VPL_L,0.5604258962705791,0.30135102006418407,0.26413697247241813,1.0,0.19649587713316194,0.15630709194355263,0.5785599674775436,0.5889291452655342,0.4577208510214969,0.26803036743178615,0.14046067927501188,0.37287289708473076,0.6547031384113742,0.20153259589976733,-0.04213262412370979,0.04230589421215834,0.38711790480798447,0.042614976914351774,0.22869549591685281,0.4995951255511919
Cerebellum_7b_L,0.1327272535212226,0.33753684583964777,0.5921326072525829,0.19649587713316194,1.0,0.7967595539995024,-0.03920304310871179,0.4998573673958388,0.1295615082545055,0.8277973715164983,-0.12771295190879306,-0.16561539283974813,0.30389737604596784,-0.7154730506715266,-0.14217792844056293,-0.5338397696607973,-0.5773552799759322,-0.696266573206738,-0.2484667076936645,0.13617316188751225
Vermis_7,0.12564925098478863,0.53377677053424,0.5959105763253298,0.15630709194355263,0.7967595539995024,1.0,0.00019231856602854519,0.4823463217223891,0.36410689009908437,0.8413273896194888,0.017124407065375147,-0.18155628953498032,0.2343511918146336,-0.538140328384167,-0.34977289219674595,-0.27901218485778845,-0.4216732653805399,-0.43185188001169283,-0.17179421642000617,0.2583883558244926
Olfactory_L,0.44828658341851024,0.11984759291467056,0.08424198017086072,0.5785599674775436,-0.03920304310871179,0.00019231856602854519,1.0,0.4274103043587414,0.3557949506288823,0.1344012993348234,-0.12427211991570533,0.29279794892775896,0.414781494965474,0.479115474832192,-0.1467729372555076,0.2926025565644387,0.5297206615324613,0.34983376728942805,-0.0013263269630291688,0.5644786688082762
Thal_VPL_R,0.25550563971212326,0.5078228291878258,0.7229958755201794,0.5889291452655342,0.4998573673958388,0.4823463217223891,0.4274103043587414,1.0,0.3649223809053696,0.6486886071560892,0.11157983973250023,-0.20627636593774504,0.34228044717361394,0.023062535522540308,-0.4494657036312076,-0.09644181294508672,-0.078474392923968,-0.07194760389903992,-0.2872809381782902,0.2868591028164575
Thal_PuA_L,0.10970372377985127,0.6899711132530782,0.11900779216728094,0.4577208510214969,0.1295615082545055,0.36410689009908437,0.3557949506288823,0.3649223809053696,1.0,0.28840305501577335,0.17613816909364946,0.15994123438506702,0.4059785652183844,0.052082325266391685,-0.0392090723295023,0.19147373113207264,0.12043486516400512,0.14740864420330757,0.22804614732614958,0.2329103690080437
Cerebellum_9_R,0.12318953091370662,0.5128826104057627,0.7275255611508031,0.26803036743178615,0.8277973715164983,0.8413273896194888,0.1344012993348234,0.6486886071560892,0.28840305501577335,1.0,0.08157827255371707,-0.1707128061443986,0.3190991835856993,-0.4158280786072362,-0.30754573782049055,-0.27449533657827435,-0.3948770555707197,-0.3994259010874737,-0.14993735704549438,0.3100557115357138
