,Thal_PuI_R,Frontal_Inf_Orb_2_L,ACC_pre_R,ACC_sub_R,Vermis_3,Angular_R,VTA_R,Thal_LGN_L,Occipital_Sup_L,Angular_L,Paracentral_Lobule_R,Supp_Motor_Area_R,Red_N_L,Cerebellum_8_R,Fusiform_L,Thal_MGN_R,Cingulate_Mid_L,OFCpost_R,Thal_VA_R,Rolandic_Oper_L,Postcentral_L,OFCmed_L,Cuneus_R,Precentral_L,Temporal_Inf_R,Thal_PuL_R,Temporal_Pole_Sup_R,Thal_AV_R,Frontal_Inf_Tri_R,Raphe_M
Thal_PuI_R,1.0,0.29093115444295065,0.45518278182972227,0.3696257672314438,0.6298216238827207,0.034477842363711306,0.08292383322859141,0.16336000796326205,-0.020221853157586043,0.029831527878125222,0.15992304185909276,0.3041206522245192,0.3994641654355453,-0.2815063091597454,0.16619171775162264,0.3882093039810864,0.39529993629027776,0.3027998959946731,0.3488465989218393,0.40630565500213234,0.2451535588772347,0.3643554672002458,0.018410949659601588,0.45332389679296814,-0.12165658881552509,0.3370322159602837,-0.19852322712269477,-0.03803003753215116,0.32342650896954006,0.4218804796629867
Frontal_Inf_Orb_2_L,0.29093115444295065,1.0,0.2972643272282427,0.1891738371121572,0.4447736029294653,0.11009900904412,-0.04672904838500416,-0.004228081816403505,0.060920982190847996,0.025618176316442753,0.24950595187167438,0.3863160343978019,0.33268808030117086,-0.14096731975607593,0.2993703105776834,0.3969524694969408,0.4955472234515283,0.423530240054051,0.02861084961426415,0.5333142537462816,0.2564309910653307,0.4337884519542421,0.1943563256353344,0.32051766070304283,-0.13460269979845418,0.32827313507590006,-0.27005492848092283,0.07068392668119156,0.4410755530912666,0.49504234904409916
ACC_pre_R,0.45518278182972227,0.2972643272282427,1.0,0.6055130184587645,0.45012671537655496,0.29181420452381424,0.2826111188144605,0.5515087706832492,0.25493735958989605,0.30024553046002656,0.23855861086278263,0.42498383783511495,0.39492937466090056,-0.13953505745850314,0.5881374440331356,0.5330123915552327,0.6792597007604517,0.5964288240694087,0.5969354584093673,0.6467365777141106,0.4693736087278446,0.42840787610230346,0.209834104297553,0.34459793318667636,-0.011401010079756595,0.31294402673309424,-0.07812345679277055,0.32556468422254886,0.47007539743051924,0.5730336139354602
ACC_sub_R,0.3696257672314438,0.1891738371121572,0.6055130184587645,1.0,0.38885972302928923,0.2697298689447181,0.18599220946148864,0.36908654771566385,0.20186968094767824,0.1524750293590817,0.1283357864159078,0.228419493328888,0.3243581151256902,0.01443176056572408,0.3198602607406985,0.4174480990442925,0.360002781860944,0.47764989311204126,0.5914989720234928,0.35587555450218195,0.11104207963892007,0.3991870458228949,0.20364644579594662,0.12096828291907352,0.189132403109601,0.19392079120226416,0.19630644073769302,0.16309419619869245,0.5261280126556993,0.4098663182406652
Vermis_3,0.6298216238827207,0.4447736029294653,0.45012671537655496,0.38885972302928923,1.0,0.22148064282372906,-0.004535308164802668,0.2667254808533798,0.11548588622905077,-0.0171033643423539,0.2910778049238771,0.4608248119679954,0.5189808038735704,-0.15483410230455957,0.21222670120926498,0.45777684522800705,0.5204049372367612,0.37958930438978034,0.39324460031018627,0.5338780660207051,0.18402690721533674,0.4145068358054565,0.1581006102665295,0.3017035219404417,0.01186282162355792,0.4506798189012194,-0.34187186359876875,-0.1738283536413195,0.5120583981918453,0.5146416518193576
Angular_R,0.034477842363711306,0.11009900904412,0.29181420452381424,0.2697298689447181,0.22148064282372906,1.0,0.3235281165834441,0.4565647701858957,0.8411138060244314,0.5923316740895522,0.7206189198503973,0.6301144506650539,0.706128557414933,-0.3042590756537527,0.17365927233242795,0.3399658797955188,0.47210916411468334,0.295553412208162,0.23245242247162132,0.5091699343388425,0.5560668857726336,-0.08414738430946837,0.7010367690911258,0.1703531750577677,-0.3031449168204769,-0.34747696227126973,-0.3851017619466297,-0.1174867902637113,0.3958777311649452,0.4266960414518182
VTA_R,0.08292383322859141,-0.04672904838500416,0.2826111188144605,0.18599220946148864,-0.004535308164802668,0.3235281165834441,1.0,0.09642574906956224,0.40339865993225144,0.39651557992746306,0.3592783201851397,0.4738123877904487,0.3644704320737849,0.004428958259849092,0.42584603338274135,0.18865454991108785,0.4424930804806443,0.059143877952141925,0.3042398257974248,0.30767035441665896,0.5147943460420434,-0.1998860299919687,0.42068887303206715,0.2929798769266433,0.014509100170053801,-0.10011192487419039,-0.08439932828571094,0.3802310016816191,0.23527399862583723,0.28802882054206724
Thal_LGN_L,0.16336000796326205,-0.004228081816403505,0.5515087706832492,0.36908654771566385,0.2667254808533798,0.4565647701858957,0.09642574906956224,1.0,0.3692034915983986,0.32935665529062336,0.23793011261194613,0.28520218034024375,0.30227763916379885,0.03707926201581394,0.3380716307426142,0.38924583580353894,0.3782282676189279,0.3877518775059343,0.4785518932686854,0.4279449262714604,0.3439386824436553,0.018744418857135778,0.2900931865076788,0.1450622244642656,0.07931444388492086,-0.009832234074571875,0.09061432101950359,0.1224414487515475,0.29952139155741253,0.30267737619220114
Occipital_Sup_L,-0.020221853157586043,0.060920982190847996,0.25493735958989605,0.20186968094767824,0.11548588622905077,0.8411138060244314,0.40339865993225144,0.3692034915983986,1.0,0.8291714362683601,0.7015763320508998,0.5709875103281785,0.6106259792630849,0.00904935168853712,0.29378375977515303,0.2748408497941075,0.4578319535945465,0.2703233048799527,0.0843343303296551,0.4306421223055412,0.7010957925118477,-0.2341404398716485,0.8013272461981916,0.2588250233113563,-0.14084532104027622,-0.4400946791166932,-0.09090427672916825,0.036568644066218466,0.17641205316442427,0.23560332655173102
Angular_L,0.029831527878125222,0.025618176316442753,0.30024553046002656,0.1524750293590817,-0.0171033643423539,0.5923316740895522,0.39651557992746306,0.32935665529062336,0.8291714362683601,1.0,0.6725655936805691,0.516874535962046,0.5122125195645116,0.00557247266916203,0.27682481564529465,0.1784735516884439,0.4238644916632408,0.1382838228073766,-0.07410822138785378,0.3517884754886569,0.8340780785065439,-0.33107117596484353,0.7453080550557624,0.5401899981550807,-0.2060266028871786,-0.4144535044342401,0.13406085074935425,0.06791832023632201,0.06468485913099078,0.0949020036192643
