,Frontal_Med_Orb_L,Parietal_Inf_L,OFCpost_L,ACC_sub_L,Thal_AV_R,Caudate_R,Vermis_4_5,Supp_Motor_Area_L,Thal_LGN_L,VTA_L,OFCant_R,Frontal_Inf_Orb_2_R,Cerebellum_8_L,OFCmed_L,Thal_PuL_R,Postcentral_R,Vermis_7,Olfactory_R,Occipital_Sup_L,Temporal_Mid_R,Amygdala_L,Putamen_R,Frontal_Sup_2_R,Precentral_L,Angular_R
Frontal_Med_Orb_L,1.0,-0.07776264422677177,0.30699408600395234,0.626254506012903,0.13760080422835855,0.44164086400931823,0.041931425475291995,-0.07999816836171643,0.02311037353155655,-0.16333462206093993,0.3846845085430936,0.3550108064296501,-0.3125844547412993,0.6942670699411684,0.4323717829774573,0.05521107332304528,-0.41087692951060184,-0.21645591500584013,-0.1460053461776839,-0.08065800131674467,0.19139464990814142,0.42277469948185037,0.1229236210487338,-0.23659670263095428,0.020101683730059747
Parietal_Inf_L,-0.07776264422677177,1.0,0.2410452104753912,0.24620082003631175,-0.05055317215390584,0.40790142120609674,0.6268535094864156,0.8257205035022702,0.32044488052194575,0.23009455563992748,0.23914429910676402,0.22288592801479162,-0.4986410600094212,-0.07879569112410745,-0.19214488311257052,0.667801282134174,-0.41666371112217626,0.3239554171280603,0.741585108111621,0.20851866118950044,0.6393840944314261,0.417445232104398,0.8087203826691983,0.7428419303665049,0.7025602999285394
OFCpost_L,0.30699408600395234,0.2410452104753912,1.0,0.4265363340597134,0.362501417892616,0.560270828029464,0.42535262836819066,0.37019417840889496,0.1414144698786494,0.025124829678228204,0.5498882155665136,0.7257015134926674,-0.08546549035823156,0.6220173829582211,0.35182252714150475,0.3709731647639467,-0.15300109458418604,-0.05016349557184946,0.1465352511350232,0.1599524771467922,0.5060203637829296,0.450906228798915,0.41715256307390564,0.22216604506378676,0.175565152107784
ACC_sub_L,0.626254506012903,0.24620082003631175,0.4265363340597134,1.0,0.20811368578077838,0.7808203075728034,0.4946223570552666,0.4107844944371304,0.32340318976909366,-0.04671144369733916,0.6231168608445776,0.4998091079843263,-0.3084150808572887,0.6023935160973921,0.38575553576035315,0.3961187929419524,-0.4469532124724355,0.02032610172286413,0.06648337550530516,0.04848972485918829,0.5243548412962935,0.7658624546740215,0.540385428642244,0.18241831707481715,0.2363443025528334
Thal_AV_R,0.13760080422835855,-0.05055317215390584,0.362501417892616,0.20811368578077838,1.0,0.24447709234319528,0.1500725960370728,-0.004280111183394976,0.1224414487515475,0.001239502141784889,0.1669781822489935,0.06146163950860537,0.4414901155791641,0.15289896563192942,0.08826215713195833,-0.042091098932603675,0.2796652130875281,-0.0674727288697772,0.036568644066218466,0.2494750410363813,0.15335009140624947,0.017231437952523097,0.05276313129216821,0.017277320875711866,-0.1174867902637113
Caudate_R,0.44164086400931823,0.40790142120609674,0.560270828029464,0.7808203075728034,0.24447709234319528,1.0,0.6527188149401433,0.6279879676392852,0.5163833735888019,0.06884638079848347,0.6286392976417206,0.6082606603771702,-0.27300203383733207,0.5331661643168241,0.33687657355517364,0.6278617371831615,-0.26975554090983034,0.13101147689281792,0.2744763605847859,0.39818546899653984,0.652912000000304,0.8614513220027684,0.7004905591902084,0.25282893975099985,0.42601016752424914
Vermis_4_5,0.041931425475291995,0.6268535094864156,0.42535262836819066,0.4946223570552666,0.1500725960370728,0.6527188149401433,1.0,0.7302677225168291,0.44682636184591906,0.2027857070327684,0.4515409620134794,0.45301493249648156,-0.1910490619554868,0.15107474106269408,0.23017752536046018,0.529013968291334,-0.1056846848209152,0.2927295937912098,0.37605565715481704,0.29780473545874975,0.7031134429320611,0.6213222058458527,0.7837024794453123,0.6886651358950445,0.39528914110675634
Supp_Motor_Area_L,-0.07999816836171643,0.8257205035022702,0.37019417840889496,0.4107844944371304,-0.004280111183394976,0.6279879676392852,0.7302677225168291,1.0,0.3506484527282542,0.24573572953202738,0.4576789656650201,0.4458692866092854,-0.42890420528075085,0.036498230636242364,0.0027404252871768182,0.840434089850832,-0.3799168383973343,0.2605861760698207,0.620321220277187,0.285866434305896,0.6617503118471447,0.6611929909066756,0.9109071977595176,0.659740959732906,0.6849545695033431
Thal_LGN_L,0.02311037353155655,0.32044488052194575,0.1414144698786494,0.32340318976909366,0.1224414487515475,0.5163833735888019,0.44682636184591906,0.3506484527282542,1.0,0.2114136366093169,0.19558894557137926,0.11629775453068683,-0.09138996433407219,0.018744418857135778,-0.009832234074571875,0.40341948089494367,0.027294917255174248,0.33590944790697785,0.3692034915983986,0.4994994933919756,0.2771726614716292,0.41695996645811256,0.4643127832810213,0.1450622244642656,0.4565647701858957
VTA_L,-0.16333462206093993,0.23009455563992748,0.025124829678228204,-0.04671144369733916,0.001239502141784889,0.06884638079848347,0.2027857070327684,0.24573572953202738,0.2114136366093169,1.0,-0.22630685560635475,-0.008481373752491899,-0.04309162362696662,-0.27990135522339005,-0.33627981888179315,0.357091148951769,0.1492068105271705,0.3322490040972197,0.41283563726831474,0.33619597700182935,0.09141609130857954,0.04763975838416488,0.22767288163441604,0.08869114326786576,0.4395703732561448
