,Temporal_Pole_Sup_R,Thal_MGN_L,Insula_L,OFCpost_R,Cerebellum_4_5_L,ACC_sub_L,Cerebellum_Crus1_R,Lingual_L,Thal_LGN_R,Cerebellum_Crus2_R,Thal_IL_R,ParaHippocampal_L,OFCant_L,Thal_MDl_R,Temporal_Sup_R,Olfactory_R,Frontal_Sup_2_L,OFClat_L,Lingual_R,Raphe_D,Thal_MDm_R,Thal_VA_L,Temporal_Sup_L,Cerebellum_10_R,Frontal_Inf_Tri_L,Occipital_Mid_R,Calcarine_L,Caudate_R,Vermis_3,SN_pr_L,Thal_MDl_L,Frontal_Inf_Orb_2_L,Temporal_Inf_L,Putamen_R,Thal_VL_L,Cuneus_R,Frontal_Sup_Medial_R,Cerebellum_Crus2_L,OFCmed_L,Cerebellum_9_L,Thal_PuA_R,Angular_L,Precuneus_L,Precuneus_R,Putamen_L,Frontal_Mid_2_L,Temporal_Pole_Sup_L,Frontal_Mid_2_R,Cingulate_Mid_R,Cerebellum_6_L
Thal_IL_R,0.15676174597573184,0.4446803441640878,0.31045078244434043,0.32726897137953775,0.3476786775649544,-0.13824241120707734,0.26880531299415406,0.09663925610035846,0.3249562757054012,-0.008925610395223863,1.0,0.2544269019806166,0.3519104541240064,0.24081309809408208,-0.1892516677829701,0.03187938998827602,0.4730930639413381,0.0927326488122777,-0.011287663863192514,0.05566149036444659,0.4702059171315362,0.23996381134996667,0.09037790222041563,-0.2559365141043434,0.4902408453078197,0.07758281678725845,0.12652535928750103,0.263918277065184,0.14079766935952986,0.3662118650533513,0.1324612101657092,0.16592659234389856,-0.058266073695181865,0.3967655147534214,0.508783972880826,0.16650304672168742,0.2550245242178418,0.09860246908560562,-0.07788236238218745,-0.013031642221904092,0.647037103725268,0.24680722547964504,0.21871037397768148,0.259969592904407,0.49874867177811544,0.4275317422398047,-0.025652228773421732,0.42781121609703743,0.47539515583101805,0.3735102846982996
ParaHippocampal_L,0.3495663538301475,0.3321187820758262,0.435507990067238,0.5180755025303044,0.13587578305431877,0.04471677340337815,0.012028409626829578,0.3824937690023047,0.33544326405958724,0.11269651893537337,0.2544269019806166,1.0,0.3796313457310061,0.21554959504884919,0.3681278400941205,0.41807326687222796,0.5503772727206488,0.3229435070196561,0.2752430726612122,0.20028053727774645,0.06767389642072168,0.04176352089796891,0.5067615947672861,0.39919318164176953,0.36398434992408274,-0.03682552880232184,-0.08613712555774244,0.5355900558510444,-0.024697207399981505,0.2633554624823652,0.11165535176037472,0.3555443990053424,0.16112005590465583,0.44627738201075334,0.13498308476058035,-0.012090268592631733,0.4562095193994386,-0.03380786143893722,0.5884122537614114,0.15283924466773408,0.2719286953690979,-0.13204782377611632,-0.31281221023237493,-0.08926344545495742,0.29819309190802246,0.4362163828430617,0.2997507774841649,0.43291172371022557,0.3458526750277101,0.2319395412413084
OFCant_L,0.2588267259905924,0.304357314243312,0.25135403283244595,0.5138293448734607,0.19997530935621946,0.14313485541621143,-0.03416314589241764,0.06702629031061512,-0.02402575645207573,0.048626414059013426,0.3519104541240064,0.3796313457310061,1.0,0.1813148029157432,-0.0035168318272366917,-0.0842268456450923,0.4483814647490211,0.31465802404849424,-0.1130734246201066,-0.13829391680470188,0.14684726128115794,0.06466181636651962,0.14100721627538454,-0.04679442811384199,0.3282594045619186,-0.023404965538346055,0.05736563144039065,0.3132616551901228,0.10654565616478769,0.12502851444826976,0.19440479910889077,0.1783396037948927,0.04420623575726775,0.34020984825599876,0.08682688591464341,0.0401108633397285,0.4053895232010115,0.1865007430654703,0.1639823041070669,0.18609694689508802,0.34983899585276174,0.06959148005996901,-0.09701595862714293,0.04431998268938257,0.2322067505659998,0.4628488759884989,0.18792115550204672,0.38855611600622497,0.4133477334144652,0.23297250557119326
Thal_MDl_R,0.31622074875592465,0.29526748388713914,0.1338897484726404,0.19322928310699364,0.38677478710002633,0.3507079178157304,-0.10900626050487137,-0.15488912634071528,-0.11929525085996728,-0.27793142327457065,0.24081309809408208,0.21554959504884919,0.1813148029157432,1.0,0.18572524632127288,-0.06550099325107445,0.3624219379901528,0.22089759618388893,-0.14878696916445847,-0.12826914326034045,0.5228959794249334,0.39075104098322977,0.05610227601607257,-0.026384358710823133,0.3031456121541687,-0.31749884521715754,0.027970987568989834,0.2874117700005724,0.15428802823292084,0.1058183525123172,0.4584983476736913,0.20678400110715503,-0.00878238716711082,0.3810117661022618,0.3128643436938884,-0.22547244312367376,0.36739475737961835,0.21181074768682762,0.0385484167088625,0.0787816686797305,0.38973293728618963,-0.05225229916789113,-0.06983809906296927,0.09308304322765239,0.18812693350847445,0.34388636132442124,0.14255710042042538,0.4939762081945813,0.49849306593366904,0.25168833308340377
Temporal_Sup_R,0.5702244966250961,0.12845098495861915,0.30792638248241944,0.3594471049403955,0.15925976384158347,0.07360172964454086,-0.4218514593891238,0.14580509534343858,0.45662051304418944,0.1881231276379847,-0.1892516677829701,0.3681278400941205,-0.0035168318272366917,0.18572524632127288,1.0,0.5450881756071236,0.33824190552722755,0.3478703405889108,0.4889023052475005,-0.01705024993248206,-0.01432906938647038,0.06911025078835979,0.35186342284218597,0.5608920078174019,0.11993193182295932,-0.5162410576732264,-0.03477111771406435,0.5022414754422411,0.06403792604243319,0.2862735949796329,0.11137304339199983,0.22002496874430477,0.11661569452602803,0.49810867272947895,0.19450104415633007,-0.5001489760763517,0.46692737618315244,-0.09533941569020629,0.4265252664300279,0.5162370071049756,0.17084190298005297,-0.5047942410278268,-0.3858176931614387,-0.25883832568868426,0.28832947942691506,0.2918926745682683,0.4188201929616345,0.47035469747628805,0.3369930576493824,-0.10130542086433768
Olfactory_R,0.3854404621250457,0.19733300286610445,0.5963064046242486,0.27482660892912275,-0.12677334979718044,-0.09243835664322106,-0.03160594909174804,0.06964740465791698,0.5331069825388113,0.2614917751380687,0.03187938998827602,0.41807326687222796,-0.0842268456450923,-0.06550099325107445,0.5450881756071236,1.0,0.5063386028135387,0.5936588803540154,0.17857418399826713,0.2892928934822387,-0.2147945235627309,-0.07904082690303267,0.471624715001121,0.7111302783537562,0.22457759580721484,-0.09951155575989219,-0.32177100275132064,0.7090799756323983,-0.3446804751146365,0.21980993629126702,-0.030561729148497196,0.5733274422011511,0.2992604982647222,0.5640367549470929,0.1725771509117691,-0.24497460851895672,0.5387112181831515,-0.20109024657806213,0.7469539346398781,0.2345776917808891,0.07742260900982235,-0.5676142628716407,-0.5741197592670804,-0.5054982791317294,0.457286554799677,0.3608852016235583,0.5242143718353369,0.3876346197523812,0.05962527778602651,-0.037841931967087405
Frontal_Sup_2_L,0.54443568905132,0.620121964072098,0.752411800100735,0.47839341060721746,0.39484491106293174,0.2570729825383493,0.15476345391085133,0.2088546238932426,0.3326493188511549,0.1262918374191244,0.4730930639413381,0.5503772727206488,0.4483814647490211,0.3624219379901528,0.33824190552722755,0.5063386028135387,1.0,0.663124038359536,0.10209587957584751,0.07363802314619261,0.27887778617466036,0.3829062852861566,0.5545649149145262,0.3693991270269032,0.7821621692428968,0.02475023355935345,0.10479354240863563,0.8527399836637093,-0.0058833136618841155,0.5460875270326474,0.4411768296728456,0.6575980100495401,0.4176601242957719,0.8292427868996091,0.5824518692676394,0.02294809463548591,0.8865719966180113,0.07769403099587682,0.4645005928726384,0.28574692898693077,0.4993413108142234,-0.0764778888542638,-0.20805083281126083,-0.05167064743037297,0.6994403125119675,0.9315547197541979,0.5056911844599288,0.8248155835352783,0.657968936822591,0.4545192267995506
OFClat_L,0.4744640170873201,0.41680655775930614,0.6561138797241328,0.4032345919396018,0.1425622223303944,0.26184748569479976,-0.03635571841267094,0.002890890103784067,0.16004351415999468,0.0886805347752731,0.0927326488122777,0.3229435070196561,0.31465802404849424,0.22089759618388893,0.3478703405889108,0.5936588803540154,0.663124038359536,1.0,-0.042500653977508504,0.05193989387271141,0.06066828015848658,0.021272648539539862,0.5531347405716214,0.5159316534975901,0.4186446854634775,-0.012847216788768274,-0.08741853569919755,0.793700132618269,-0.2860375298328484,0.3230583658775671,0.2527200325198635,0.5750438790142045,0.44143193253904417,0.6752847248220171,0.3139222122579628,-0.19762484219392656,0.6925364918425069,0.06179592417170345,0.5777853708522047,0.37321538090227924,0.28407331320336454,-0.36645461253198885,-0.4729449398061395,-0.37631583096842874,0.5672958931542563,0.6075497925835108,0.7699553597746581,0.5345565374920387,0.34615996551062106,0.16302831074681737
Lingual_R,0.42573367071349655,0.2179858645873149,0.2846290576145712,0.39553817450538126,0.31345567298901933,-0.4432277411840575,-0.127145235707178,0.6745705937630463,0.4854371336003851,0.2439086976043728,-0.011287663863192514,0.2752430726612122,-0.1130734246201066,-0.14878696916445847,0.4889023052475005,0.17857418399826713,0.10209587957584751,-0.042500653977508504,1.0,-0.18425272436914164,0.03762644598554434,0.0957919088154777,0.45500094060635604,0.07838834851001064,0.14315300467897119,0.052380958755095984,0.5922301441178675,0.05232704778383295,0.39680594287631243,0.3843921659071097,0.017340211961502944,0.024677425501101764,0.10256169264837005,0.08247257980820377,0.30842019747997124,0.16964990100963054,0.025499858185853635,0.06463037006460906,-0.006010755250903962,0.5877216974822104,0.12272595062410391,0.23760610531432227,0.20157952597253526,0.2854207720053915,0.2265554927453776,0.1274780612107659,0.2524329201349046,0.08778011222466287,0.22351910321372234,0.1485374600137232
Raphe_D,-0.3109966986236062,-0.08862379890144191,-0.040467367278924936,-0.30724782639503834,-0.33728249968860424,0.1741520517768072,0.10892180265610338,-0.13320590033678378,0.08862777572641972,0.010859934010860392,0.05566149036444659,0.20028053727774645,-0.13829391680470188,-0.12826914326034045,-0.01705024993248206,0.2892928934822387,0.07363802314619261,0.05193989387271141,-0.18425272436914164,1.0,0.05352258251889742,-0.05937001323731282,-0.004628533943659277,0.34424680277479813,0.08537182311429932,0.07949903891755322,-0.36710450556370666,0.18692440208940303,-0.4777775763075825,-0.11313202515178591,-0.03698871262895154,0.01805265858991514,0.1695533768275627,0.1296653022084279,-0.006254929727870299,-0.04684741497608214,0.01968005826838741,-0.3249468497362241,0.2692788138538943,-0.41828878453502627,-0.07738475619457835,-0.33500317663990736,-0.1741093686850433,-0.27496656101983463,0.1403574841105334,0.044437433953562366,-0.17431495429574517,-0.05313897676420619,-0.13886293260607183,-0.2097710599040194
