,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_MDm_L,Precentral_L,LC_L,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7
SN_pr_L,1.0,0.1058183525123172,0.4289862753092528,0.2862735949796329,0.3230583658775671,0.38006931316352566,-0.011718097924645673,-0.10242185963669057,0.19576579405920064,0.5411380779293892,0.2476572088686336,-0.2481653651638113,0.495440776780285,-0.1109338417803169,0.27643265716926135,0.19935595361325154,0.5101887048935165,0.635226187382739,0.28329026469650576,0.42888959507362084,0.02549565472275614,0.2032361024463347,0.6054706056601489,0.3152481796283319,-0.01633250067118177
Thal_MDl_R,0.1058183525123172,1.0,0.19322928310699364,0.18572524632127288,0.22089759618388893,0.46767016558422164,-0.22129155027379602,-0.2633033382514536,-0.13476766316986646,0.23992465892094986,0.2214327970766446,-0.15644262062057163,0.29526748388713914,0.16942629576922194,0.24649723210579105,0.027383207945414656,0.05610227601607257,0.4579958119394216,0.48669993768839714,0.4181146131885972,0.26609921044390283,0.2848711476955587,0.1338897484726404,0.24293836820066725,0.11181416768724853
OFCpost_R,0.4289862753092528,0.19322928310699364,1.0,0.3594471049403955,0.4032345919396018,0.2660031204586011,-0.22348839947988322,-0.2160209146526191,0.12224339417048011,0.558249832901605,0.31905631361198944,-0.023894794936331582,0.3655118911982522,-0.21216700761094923,0.5884492230675604,0.34859747557480797,0.3810429236336472,0.509464198929881,0.25166902727621027,0.3316318320791256,0.4989016973904974,0.5481201808591681,0.5211118010280114,0.14922883872964612,0.03621436747699857
Temporal_Sup_R,0.2862735949796329,0.18572524632127288,0.3594471049403955,1.0,0.3478703405889108,0.6961247838679774,-0.5461162916132571,-0.485058528624331,-0.219318684234276,0.591545786519041,0.10420025137646019,-0.07785835373618936,0.12845098495861915,-0.15159137060696976,0.2648691750474276,0.6428832833130554,0.35186342284218597,0.2276218804530277,0.1193168561878872,0.012647220162733598,-0.021268286422767936,0.5055648239827891,0.30792638248241944,-0.22408162338638898,0.005653080416213555
OFClat_L,0.3230583658775671,0.22089759618388893,0.4032345919396018,0.3478703405889108,1.0,0.5090121076491333,-0.2575181815985294,-0.09994143594190338,-0.0004178772907485726,0.5256593352494041,-0.1017074916293708,-0.22491127200239064,0.41680655775930614,-0.442899590483809,0.0683611368727818,0.6885380192768973,0.5531347405716214,0.5030156950749205,0.37295406952758353,0.13113096290485154,-0.07547551399157883,0.4510525830226337,0.6561138797241328,-0.2302264597840199,0.012011585175494777
Heschl_R,0.38006931316352566,0.46767016558422164,0.2660031204586011,0.6961247838679774,0.5090121076491333,1.0,-0.4741365360153188,-0.453363509970191,-0.19505724299938013,0.6365503190134217,0.19554555861476866,-0.29610397969996854,0.36097942237690034,-0.05392436496606179,0.16513508491102333,0.4179077387072666,0.5007622722990047,0.5445109686755196,0.5267507148976174,0.34075693587951583,-0.12414237011104515,0.49091639755396355,0.5002188839186844,0.0823213343034681,-0.031150985687875707
Cuneus_L,-0.011718097924645673,-0.22129155027379602,-0.22348839947988322,-0.5461162916132571,-0.2575181815985294,-0.4741365360153188,1.0,0.8512647686361975,0.4694353980114299,-0.2392737232724023,-0.09759889895325698,0.055657355126058114,0.23132207530971358,0.2049044734887401,-0.10060086224992316,-0.3527871993979149,0.0717609737317941,-0.1528593949364974,-0.03769109175787959,0.23950590899567742,0.08928338901856196,-0.464171048402811,-0.08902726696712623,0.45758450600541106,-0.03811298714684941
Occipital_Inf_R,-0.10242185963669057,-0.2633033382514536,-0.2160209146526191,-0.485058528624331,-0.09994143594190338,-0.453363509970191,0.8512647686361975,1.0,0.4909857483495561,-0.17806408691670367,-0.17191807186514377,-0.010879363841097793,0.18905831777380971,-0.0773249852621846,-0.12856038355820548,-0.13538396370721104,0.21212396621833318,-0.21956122671507172,-0.07434541608947756,0.0663452015174746,-0.028766384138154848,-0.2884808884034415,0.07290657239018881,0.20793434611843026,-0.0908795276743262
Temporal_Inf_R,0.19576579405920064,-0.13476766316986646,0.12224339417048011,-0.219318684234276,-0.0004178772907485726,-0.19505724299938013,0.4694353980114299,0.4909857483495561,1.0,-0.0738292264632011,0.10305376038428768,0.005842211265012841,0.25845841238496875,0.06211371770923061,0.1970590000686867,-0.07265933571476495,0.09863687242714624,0.26944728462470885,0.11398835958717628,0.35705354920345445,0.14815609431244747,-0.08569939991249798,0.1906742785424398,0.350784549536229,0.18852272326949512
SN_pr_R,0.5411380779293892,0.23992465892094986,0.558249832901605,0.591545786519041,0.5256593352494041,0.6365503190134217,-0.2392737232724023,-0.17806408691670367,-0.0738292264632011,1.0,0.01114294139686451,-0.2007263894899522,0.5049200746963327,-0.26702104330870263,0.11130738563253567,0.4389202364775696,0.6102249115056633,0.454159213555994,0.3910186066714895,0.30885970745495767,0.15430644437221458,0.5498045839734659,0.607518484841797,0.05320158010586715,-0.17275130734410865
