,OFCmed_L,OFCant_L,Frontal_Mid_2_L,Temporal_Mid_R,Supp_Motor_Area_L,Cuneus_L,Cerebellum_7b_L,Thal_PuM_L,Thal_MDm_R,Cerebellum_7b_R
OFCmed_L,1.0,0.1639823041070669,0.32612187566067674,-0.19667584624420814,-0.23731465902415785,-0.4014655396985476,-0.06915516424973345,-0.12153906008773593,-0.28959953690298884,-0.3663618505171593
OFCant_L,0.1639823041070669,1.0,0.4628488759884989,-0.017761710501707228,0.34517265744369574,-0.035118863563811754,-0.10951068364745949,0.011832564131226752,0.14684726128115794,-0.18312922945701282
Frontal_Mid_2_L,0.32612187566067674,0.4628488759884989,1.0,0.20115065331308918,0.6010252422832764,-0.019660265769187328,0.0715514796157555,0.4489229670188855,0.3688247129411529,-0.14112212436531388
Temporal_Mid_R,-0.19667584624420814,-0.017761710501707228,0.20115065331308918,1.0,0.016979111945345918,0.7399910043236813,0.14701720556744308,0.24223572178741518,0.0459533113613862,0.0004197085498160709
Supp_Motor_Area_L,-0.23731465902415785,0.34517265744369574,0.6010252422832764,0.016979111945345918,1.0,0.010408999116794855,0.18983127317615653,0.49489912137709363,0.7437954490101253,0.005415040589838449
Cuneus_L,-0.4014655396985476,-0.035118863563811754,-0.019660265769187328,0.7399910043236813,0.010408999116794855,1.0,0.12012143287041445,0.10910065262873622,0.049012422578328024,-0.012529624782147263
Cerebellum_7b_L,-0.06915516424973345,-0.10951068364745949,0.0715514796157555,0.14701720556744308,0.18983127317615653,0.12012143287041445,1.0,0.3612807747354085,0.10522944329197148,-0.08953235373509273
Thal_PuM_L,-0.12153906008773593,0.011832564131226752,0.4489229670188855,0.24223572178741518,0.49489912137709363,0.10910065262873622,0.3612807747354085,1.0,0.5676743432151686,-0.03223863570899001
Thal_MDm_R,-0.28959953690298884,0.14684726128115794,0.3688247129411529,0.0459533113613862,0.7437954490101253,0.049012422578328024,0.10522944329197148,0.5676743432151686,1.0,0.10886255671218972
Cerebellum_7b_R,-0.3663618505171593,-0.18312922945701282,-0.14112212436531388,0.0004197085498160709,0.005415040589838449,-0.012529624782147263,-0.08953235373509273,-0.03223863570899001,0.10886255671218972,1.0
