,Thal_PuI_R,SupraMarginal_R,Cerebellum_8_L,Thal_LP_L,OFCant_R,OFCmed_R,Thal_AV_R,Calcarine_L,Postcentral_R,SupraMarginal_L,Frontal_Mid_2_L,Thal_MDm_R,Thal_VA_R,Frontal_Med_Orb_R,Thal_VPL_L,Red_N_R,Thal_PuM_R,Supp_Motor_Area_R,OFClat_R,Cerebellum_10_L,Cerebellum_Crus1_L,Occipital_Mid_L,Thal_PuL_R,ACC_sub_L,VTA_L,Hippocampus_L,Precentral_L,Thal_MDl_R,Cerebellum_10_R,Cerebellum_8_R,Cerebellum_9_L,Insula_R,Occipital_Sup_R,ACC_sub_R,Parietal_Inf_L,Thal_MDm_L,Cingulate_Post_R,Temporal_Mid_R,Vermis_3,Vermis_9,Putamen_R,Frontal_Sup_Medial_R,Thal_VL_R,N_Acc_L,Frontal_Inf_Tri_L
Thal_PuI_R,1.0,0.364857370360032,0.48702570960077574,-0.09563020240147645,0.37967948078340585,-0.09957083940135653,0.3150537398090713,0.1848093510653199,0.46751792941064035,0.3181482609645619,0.2770056159910732,0.4465357188140673,0.37901359170854226,-0.21120823697845148,0.2698401886267547,0.5458074120160374,0.49246692266293934,0.6638132874172118,0.26108153235945813,0.13313728558774854,0.3043159395692741,-0.2885285613664146,0.28345676967002714,-0.08327188866435202,0.25286399498858153,0.28767672028202357,0.5283962031361132,0.2430992296340423,-0.045040011665679634,0.3583919594414802,0.28299717278262865,0.3472937058848919,-0.3064028767918022,0.36226607046557424,0.17890337585477176,0.4669036596667673,0.5838963741884883,-0.06740154253981494,0.2160983145496855,0.2645197669732929,0.35798584081820617,0.14722075495183778,0.32832000530301064,0.09368585713071988,0.2827117327339961
SupraMarginal_R,0.364857370360032,1.0,-0.23916821473669236,-0.18129744541453688,-0.07094995823764741,-0.7603296338277047,-0.18633085734680227,0.3207776510930354,0.9052098856700149,0.5606422267520927,-0.17425581215141434,0.43835461461703307,0.12832411840361557,-0.6048516956157558,0.14407263398727238,-0.15895730989728762,0.09624850536442436,0.6897584237405595,-0.26392465090051,-0.6537276763859651,0.13505332765222647,-0.12221542453696771,0.018952808696114785,-0.12568898295268677,0.22808129323983478,-0.5697312017034767,0.4526448209137639,0.2756275814936654,-0.7844632784194349,0.3086208019231587,-0.14291580178685964,-0.3096052357256849,-0.2806658867098144,0.25573442000338226,0.7160346100660498,0.14930764525795895,0.18636537566580758,-0.08958516136207151,0.5975009156038755,0.2949696742344275,-0.25023790820310043,-0.35567939134792054,0.016479300680884035,0.09354559770094047,-0.1246683704373374
Cerebellum_8_L,0.48702570960077574,-0.23916821473669236,1.0,0.08941269066649418,0.43798869299964716,0.47180682522568346,0.20507083448438657,0.0697180505991156,-0.11797992908054038,0.11174731314993402,0.6512912435118833,0.16643436853805194,0.32305527229311226,0.38256620489429377,0.22089052102157658,0.6636415946251569,0.41972431980688196,0.21997645413085157,0.5998163434016116,0.6181973566042768,0.37600807237043493,-0.1997056399023587,0.3989991389727548,0.15481826334271515,0.07240143421027162,0.63383471121745,0.3623652767656678,0.23881259458726437,0.49619278521645427,0.4642647182442036,0.4480381098404239,0.6626668537758141,-0.10405318154355814,0.3606221311904649,-0.15387873828876436,0.47106831400681204,0.5957798899936216,0.010918363297535344,0.023781368541635175,0.2548526569827466,0.6959641004455495,0.6488143046797696,0.21414699397205128,0.1722346683168864,0.5316556387153077
Thal_LP_L,-0.09563020240147645,-0.18129744541453688,0.08941269066649418,1.0,-0.0702882073644745,0.2533709657725655,-0.18330258142774686,0.19819966011389836,-0.1514457300226785,0.29590608625564846,0.3214580771152431,0.14061424933489666,0.3754267106460498,0.1766421414013499,0.47979670186531026,0.23333937091076207,0.3119181144088486,-0.0025137490833522474,0.06639120284384342,0.18372421198958214,0.06648284943821599,0.21848336983971706,0.2150277776200256,0.07527149142328364,0.21865484075123698,0.1987993590604051,0.20455342669465018,0.04731096625816224,0.11573798056088866,0.11720563196725264,0.1214284026418369,0.06377249417867582,0.20044756027062813,0.18537599516898093,0.17228583261189426,0.14350366859684652,0.1970858465048694,0.18205702186157188,0.005127753591100656,-0.03154936684062976,0.25797592574374467,0.24984191474032627,0.4151073327335017,0.45703842167998693,0.45937580342025686
OFCant_R,0.37967948078340585,-0.07094995823764741,0.43798869299964716,-0.0702882073644745,1.0,0.21442889732365733,0.4492582536249832,-0.27570333589402046,0.09511423378819686,-0.03342190505627913,0.4069872940187578,0.13055638472587322,0.17611015620494888,0.27754436829459633,-0.057712616074926525,0.4197766874991456,0.27375431987865934,0.28530964078567433,0.6015924642366953,0.3606684663791443,0.30346814236457365,-0.2356673860928938,0.09348498212079348,-0.07987100692164036,0.10863669792429131,0.42903323043517577,0.2912093273788108,0.05623656033297418,0.14310702872587364,0.3418057938889795,0.026221974190637085,0.29722114937547595,-0.18635906736903626,0.530489394389552,-0.09405514128176197,0.4100859198788855,0.3457365993203539,-0.19056113727483015,-0.12040102458509355,-0.017719791857138827,0.43643809243678566,0.40170003864108583,0.09108415152810817,-0.09613889751667089,0.26972737525070334
OFCmed_R,-0.09957083940135653,-0.7603296338277047,0.47180682522568346,0.2533709657725655,0.21442889732365733,1.0,0.12168860769806114,-0.14328578820579146,-0.6752795813885427,-0.2444476803463371,0.46076505834608344,-0.17349751183461667,0.17565382154343026,0.5969135895201326,0.05395458047480667,0.4327752295298781,0.2220847670019284,-0.4428601412342932,0.5513431610320806,0.6856621595562363,0.15192746627865242,-0.11976704932719116,0.31634003176147524,0.29751815801154224,0.005887262703445001,0.6400993666063464,-0.1506036073376512,0.04130539797016698,0.757228078432104,-0.16272795430021286,0.38077282670789864,0.652275782020067,0.004828779461520609,-0.034788107285573494,-0.5111622974374648,0.09503640145568998,0.19566582775414168,-0.036508144201956166,-0.31072822157487395,0.08874703065346674,0.5725419473338432,0.6854948545832431,0.14720275648671463,0.020060608148483303,0.3784376950330904
Thal_AV_R,0.3150537398090713,-0.18633085734680227,0.20507083448438657,-0.18330258142774686,0.4492582536249832,0.12168860769806114,1.0,-0.2198857941027594,-0.01814608749327989,-0.2656301748276957,0.003648579955562113,0.053691351369060794,0.17793782854586648,-0.011262191594277986,0.01601069285177909,0.2835769783003049,0.12036749313503428,0.19926273030983596,0.2862139910367054,0.29845492273155727,0.06297028026822275,-0.06720572249614536,-0.2970452521611425,-0.20309215585771048,0.042861236944638274,0.4560821170987435,0.033126369902094624,-0.20561869339696845,0.19346982371577837,0.04203040273793677,-0.15765688538600972,0.02361797430843804,-0.041556758997107826,0.04869784607605988,-0.3077334846438904,0.15553034670693755,-0.05051157456177899,0.04282251048162742,-0.34130776216022035,-0.21568430503717254,0.1663988071682804,-0.0036592315027292677,0.2863990574131861,-0.16785112608136923,0.019820862919255035
Calcarine_L,0.1848093510653199,0.3207776510930354,0.0697180505991156,0.19819966011389836,-0.27570333589402046,-0.14328578820579146,-0.2198857941027594,1.0,0.17939938495633545,0.664835763421411,0.2182125478332214,0.22571822675341202,0.25922454214051555,-0.3877447685719349,0.44718081127942383,0.20011329396859937,0.0978417376725784,0.3134828822824838,-0.2994725588094359,-0.2743514950374026,0.19284137109218435,0.46298904244084005,-0.03594896917844112,-0.1584889918855538,0.3878024564216039,-0.16480849363078298,0.42811694614064627,0.027970987568989834,-0.30830603330010287,-0.12245171934564841,0.4301644314003315,0.041157247245611435,0.38899111604127823,-0.012389786550711207,0.4961552905711064,0.08948620077495487,0.23527717483159394,0.5465993523244799,0.5026526551496279,0.48091289471376836,-0.04263439313860562,-0.04477976033246217,0.10609120090921145,0.2753377316018847,0.2961286824827043
Postcentral_R,0.46751792941064035,0.9052098856700149,-0.11797992908054038,-0.1514457300226785,0.09511423378819686,-0.6752795813885427,-0.01814608749327989,0.17939938495633545,1.0,0.4902490850977938,-0.02321347018112058,0.5696807355115779,0.273115500124634,-0.5190158217339034,0.23957024055292417,-0.04749314828182552,0.294293946221149,0.8358077532068573,-0.06384612677957138,-0.5438910050569832,0.18390288388446113,-0.25112429716762397,0.08539675329732122,-0.04885722582570127,0.26022828224819283,-0.40637044195512917,0.6068853666025844,0.30235762334828387,-0.7041540251364072,0.4575666181378788,-0.22629795193043972,-0.2393957267784153,-0.3474618233450307,0.40082276134936434,0.6917293825071789,0.32676954091167004,0.3045486127970838,-0.15540489937444096,0.5076627085983433,0.19577602004543876,-0.0733777039082956,-0.21660333449268815,0.18856840295207608,0.16461955611722803,0.013211145298293423
SupraMarginal_L,0.3181482609645619,0.5606422267520927,0.11174731314993402,0.29590608625564846,-0.03342190505627913,-0.2444476803463371,-0.2656301748276957,0.664835763421411,0.4902490850977938,1.0,0.2405545292798967,0.5053224640212901,0.36144126734865684,-0.3382186230833263,0.4755769996107757,0.1813432912425245,0.2692712632890005,0.5597185641661463,-0.20504401874648942,-0.3418138766792216,0.3278735629966032,0.23533365959516375,0.2065222645948294,-0.0102133431373672,0.4583071575953869,-0.1985032969905129,0.7118316280983604,0.23221432162714778,-0.5032836375147719,0.28252358293371604,0.21832199856634069,0.013226957576139675,0.1287823946047194,0.3683431275862234,0.8243461781685356,0.36147810644551814,0.49482852145230244,0.2897283835967105,0.5783440151232323,0.452432800608308,0.015201140418596028,-0.01698855497396651,0.17498167573099774,0.3940458144125844,0.39600910957548746
