,Cingulate_Post_L,Pallidum_L,Insula_L,Temporal_Inf_R,Postcentral_L,Calcarine_L,Thal_MGN_R,SN_pc_L,Thal_VPL_L,OFCmed_L,Thal_IL_L,SN_pr_R,Putamen_R,Thal_PuI_R,Frontal_Inf_Oper_R,Thal_IL_R,Cerebellum_10_L,Rectus_L,Thal_LP_R,Heschl_L,Temporal_Pole_Sup_L,Amygdala_L,Thal_VPL_R,ACC_sup_R,Cerebellum_10_R
Cingulate_Post_L,1.0,0.4298683489689084,0.363110924954278,0.24239920336915435,0.7316518811314225,0.384576663331511,0.5785467732269121,0.3659856270533095,0.6800459361848818,-0.23028866870359782,0.5840598575723709,0.321366252653795,0.4707513663685405,0.49576723383593363,0.5782692751773336,0.5717469193666516,-0.03549878308112185,-0.0832967010526572,0.3277749185311467,0.5412913374728039,0.05320382130875048,-0.13613113015654987,0.6305804525751099,0.44596513089482465,-0.2279269038600524
Pallidum_L,0.4298683489689084,1.0,0.6651972104412658,0.1361971765399727,0.15938751892387581,0.06741423121058361,0.5716284814723794,0.1996506664708074,0.659148116213394,0.3041172575358605,0.4262375608123791,0.4776687983573344,0.746475721665802,0.31082372310755957,0.6612922507244037,0.43593783722407764,0.4475888878778041,0.3229623048851264,0.21521674607534566,0.550347876506677,0.3086339517354735,0.19004892013451746,0.6098623672097558,0.5747740630204714,0.33820658568218587
Insula_L,0.363110924954278,0.6651972104412658,1.0,0.1906742785424398,-0.008500959735737603,0.19518304450062435,0.34020452398766704,0.22736409602390734,0.4763052238784546,0.5640340033832615,0.6445199539961692,0.607518484841797,0.7640567418121829,0.16557190356559284,0.6912898406945749,0.31045078244434043,0.5700501183155134,0.2836439587782352,0.07979602992885881,0.7519787939383462,0.7619797039500729,0.4535050421061673,0.34798853946973135,0.7847958677050553,0.5008402932102965
Temporal_Inf_R,0.24239920336915435,0.1361971765399727,0.1906742785424398,1.0,0.350784549536229,0.5017084987181227,0.2896617585180872,0.3687015685490688,0.27349113221731447,-0.20587109988163785,0.1910713509287219,-0.0738292264632011,0.0468058055830521,-0.01178132773357837,0.026789552377566132,0.3554073416120803,-0.1842461809181908,-0.12400695349007082,-0.16328211507011817,0.34025646948315386,0.03405077717465316,-0.06552452768926295,0.002708240527062502,0.19353252622207584,-0.23748413521149106
Postcentral_L,0.7316518811314225,0.15938751892387581,-0.008500959735737603,0.350784549536229,1.0,0.5333874203488455,0.41713344843183253,0.35282078548995816,0.49852782471726176,-0.5973249206109484,0.38229026735048593,0.05320158010586715,0.012024523265745686,0.3650138093002015,0.1446395773104864,0.4689794139993988,-0.36990245390914006,-0.2771611081695551,0.18025398186053254,0.3143171519525736,-0.27521187190148066,-0.360124666266663,0.43113654009403085,0.04978110315419463,-0.5711987027138975
Calcarine_L,0.384576663331511,0.06741423121058361,0.19518304450062435,0.5017084987181227,0.5333874203488455,1.0,0.1587084742548315,0.23614578453987295,0.44718081127942383,-0.3530930306627117,0.26256793928646477,-0.015383322878115474,-0.04263439313860562,0.1848093510653199,0.0545793549808178,0.12652535928750103,-0.2743514950374026,-0.3670401500047744,0.0552172528050326,0.44535890966586567,0.16073089906288135,-0.3193473887488214,0.10741374260905168,0.0866391786007839,-0.30830603330010287
Thal_MGN_R,0.5785467732269121,0.5716284814723794,0.34020452398766704,0.2896617585180872,0.41713344843183253,0.1587084742548315,1.0,0.4989963174304569,0.6274338306518937,-0.13336340526175647,0.3336984919733363,0.22818214866477837,0.3987346044624854,0.33663550012312715,0.49545561176441005,0.5653537701680458,0.002296315989680008,0.09998447263897646,0.16085824143104563,0.38793794250430674,-0.05533080450426204,-0.06691112242034321,0.4666831873493016,0.33686531904152556,-0.13812614474487186
SN_pc_L,0.3659856270533095,0.1996506664708074,0.22736409602390734,0.3687015685490688,0.35282078548995816,0.23614578453987295,0.4989963174304569,1.0,0.2699538231413248,-0.21114929388365786,0.32873430837997164,0.20223122673196436,0.09170973729944154,0.22839117326877154,0.249910691862608,0.425784365103202,-0.02562687816317434,-0.020675762896150845,-0.29837838452553056,0.23899459901076656,0.06149314255335837,0.1365504201211118,0.12022563208738443,0.2584278733146403,-0.26476916025080344
Thal_VPL_L,0.6800459361848818,0.659148116213394,0.4763052238784546,0.27349113221731447,0.49852782471726176,0.44718081127942383,0.6274338306518937,0.2699538231413248,1.0,-0.13174114333420991,0.48743289529594014,0.16234845585658583,0.4689921177161956,0.2698401886267547,0.5455004650086144,0.526909668187445,-0.01414609467625192,-0.19946491161879676,0.49123632591564015,0.5740367829996652,0.08262990744982486,-0.17623093615611046,0.5838719103367129,0.3987606549504904,-0.09845627766261751
OFCmed_L,-0.23028866870359782,0.3041172575358605,0.5640340033832615,-0.20587109988163785,-0.5973249206109484,-0.3530930306627117,-0.13336340526175647,-0.21114929388365786,-0.13174114333420991,1.0,0.23114017581506485,0.45181699745221443,0.4888242736547929,-0.0834643867735758,0.3039303351937794,-0.07788236238218745,0.7304791227889516,0.5240100430819693,-0.14133741028727745,0.17858328521430314,0.6220575507540904,0.7537099097855068,-0.1413215512613861,0.4630618670147618,0.7958462848911209
Thal_IL_L,0.5840598575723709,0.4262375608123791,0.6445199539961692,0.1910713509287219,0.38229026735048593,0.26256793928646477,0.3336984919733363,0.32873430837997164,0.48743289529594014,0.23114017581506485,1.0,0.46229150948554293,0.5945571667914857,0.4241661305950994,0.586641734500796,0.5859572860555207,0.25193235011184617,0.0682140137935465,-0.03778047702950934,0.5519732140205682,0.43942022281809595,0.43284594518358027,0.3841409075036086,0.651665397873519,0.0674347572745386
SN_pr_R,0.321366252653795,0.4776687983573344,0.607518484841797,-0.0738292264632011,0.05320158010586715,-0.015383322878115474,0.22818214866477837,0.20223122673196436,0.16234845585658583,0.45181699745221443,0.46229150948554293,1.0,0.6233237595392115,0.4840521965272525,0.5620822213676815,0.13249086058561793,0.6430439939726684,0.41547308067585303,-0.19804124092510011,0.49371710457177714,0.5083342878460175,0.502135092659879,0.3419289394372164,0.5872055535271289,0.5182755693674582
Putamen_R,0.4707513663685405,0.746475721665802,0.7640567418121829,0.0468058055830521,0.012024523265745686,-0.04263439313860562,0.3987346044624854,0.09170973729944154,0.4689921177161956,0.4888242736547929,0.5945571667914857,0.6233237595392115,1.0,0.35798584081820617,0.8552105270483769,0.3967655147534214,0.5592915670571403,0.4042905151828363,0.1528631050102557,0.56140506246056,0.5454307152618358,0.38021837264673286,0.5809864643016784,0.854771705563605,0.4845891118764015
Thal_PuI_R,0.49576723383593363,0.31082372310755957,0.16557190356559284,-0.01178132773357837,0.3650138093002015,0.1848093510653199,0.33663550012312715,0.22839117326877154,0.2698401886267547,-0.0834643867735758,0.4241661305950994,0.4840521965272525,0.35798584081820617,1.0,0.43723375288279237,0.25545156727309604,0.13313728558774854,0.16954144524914816,-0.10679884597384812,0.2679783414547076,0.1468456671923787,0.15269600992819737,0.5089183838388153,0.21983303505029891,-0.045040011665679634
Frontal_Inf_Oper_R,0.5782692751773336,0.6612922507244037,0.6912898406945749,0.026789552377566132,0.1446395773104864,0.0545793549808178,0.49545561176441005,0.249910691862608,0.5455004650086144,0.3039303351937794,0.586641734500796,0.5620822213676815,0.8552105270483769,0.43723375288279237,1.0,0.40351913364769487,0.31874904130253534,0.16094391227396462,0.224528371124831,0.45197301056587197,0.4909372323553815,0.22091824162195908,0.657258704926745,0.8290686060328536,0.2561600716397461
Thal_IL_R,0.5717469193666516,0.43593783722407764,0.31045078244434043,0.3554073416120803,0.4689794139993988,0.12652535928750103,0.5653537701680458,0.425784365103202,0.526909668187445,-0.07788236238218745,0.5859572860555207,0.13249086058561793,0.3967655147534214,0.25545156727309604,0.40351913364769487,1.0,-0.07533406760350475,0.06377999530937443,0.09589202650370314,0.3624097723185214,-0.025652228773421732,0.15818606277298633,0.36706243866142235,0.4012485154084975,-0.2559365141043434
Cerebellum_10_L,-0.03549878308112185,0.4475888878778041,0.5700501183155134,-0.1842461809181908,-0.36990245390914006,-0.2743514950374026,0.002296315989680008,-0.02562687816317434,-0.01414609467625192,0.7304791227889516,0.25193235011184617,0.6430439939726684,0.5592915670571403,0.13313728558774854,0.31874904130253534,-0.07533406760350475,1.0,0.617752375795682,-0.16573484051820953,0.38506980520857736,0.49920101522447047,0.6279197452589483,0.10080023490592353,0.4289709432696469,0.8643473027611815
Rectus_L,-0.0832967010526572,0.3229623048851264,0.2836439587782352,-0.12400695349007082,-0.2771611081695551,-0.3670401500047744,0.09998447263897646,-0.020675762896150845,-0.19946491161879676,0.5240100430819693,0.0682140137935465,0.41547308067585303,0.4042905151828363,0.16954144524914816,0.16094391227396462,0.06377999530937443,0.617752375795682,1.0,-0.18128378493648215,0.11530458068471121,0.18893905213230872,0.5441230370015684,0.07153699521399987,0.2077703138840863,0.4867250136968704
Thal_LP_R,0.3277749185311467,0.21521674607534566,0.07979602992885881,-0.16328211507011817,0.18025398186053254,0.0552172528050326,0.16085824143104563,-0.29837838452553056,0.49123632591564015,-0.14133741028727745,-0.03778047702950934,-0.19804124092510011,0.1528631050102557,-0.10679884597384812,0.224528371124831,0.09589202650370314,-0.16573484051820953,-0.18128378493648215,1.0,0.1618265779273397,-0.1281150593292002,-0.4706096264248909,0.3946878781096492,0.03128454834945545,-0.0727114503673162
Heschl_L,0.5412913374728039,0.550347876506677,0.7519787939383462,0.34025646948315386,0.3143171519525736,0.44535890966586567,0.38793794250430674,0.23899459901076656,0.5740367829996652,0.17858328521430314,0.5519732140205682,0.49371710457177714,0.56140506246056,0.2679783414547076,0.45197301056587197,0.3624097723185214,0.38506980520857736,0.11530458068471121,0.1618265779273397,1.0,0.5279810915802949,0.12964945326505442,0.4080534476239783,0.5562655909163347,0.28124128394434794
Temporal_Pole_Sup_L,0.05320382130875048,0.3086339517354735,0.7619797039500729,0.03405077717465316,-0.27521187190148066,0.16073089906288135,-0.05533080450426204,0.06149314255335837,0.08262990744982486,0.6220575507540904,0.43942022281809595,0.5083342878460175,0.5454307152618358,0.1468456671923787,0.4909372323553815,-0.025652228773421732,0.49920101522447047,0.18893905213230872,-0.1281150593292002,0.5279810915802949,1.0,0.47339523474994843,0.11622327844727322,0.6194142391245909,0.528960006306425
Amygdala_L,-0.13613113015654987,0.19004892013451746,0.4535050421061673,-0.06552452768926295,-0.360124666266663,-0.3193473887488214,-0.06691112242034321,0.1365504201211118,-0.17623093615611046,0.7537099097855068,0.43284594518358027,0.502135092659879,0.38021837264673286,0.15269600992819737,0.22091824162195908,0.15818606277298633,0.6279197452589483,0.5441230370015684,-0.4706096264248909,0.12964945326505442,0.47339523474994843,1.0,-0.23283438025717734,0.40319814105397644,0.5238030562709715
