,Cingulate_Post_L,Supp_Motor_Area_R,Putamen_R,Thal_AV_L,Cingulate_Post_R,Thal_PuI_R,Thal_VL_R,Rolandic_Oper_L,Thal_LP_R,Insula_R,Lingual_R,SN_pc_L,Temporal_Pole_Sup_R,Cingulate_Mid_L,ACC_sup_L,LC_L,Cerebellum_4_5_L,Frontal_Sup_Medial_R,Vermis_8,Raphe_M
Cingulate_Post_L,1.0,0.5848139484236082,0.5473517084507507,0.24096186957769936,0.8116683401940102,0.4173873241588192,0.5371748654244144,0.552038834533003,0.42693613129331726,0.4715071333965388,0.4843140031245636,0.2746888683904604,0.24944197973336993,0.5740457791376894,0.5306870719368407,0.03706754378571129,0.565649491337167,0.5068688600660737,0.19927437883830015,0.29783712010223246
Supp_Motor_Area_R,0.5848139484236082,1.0,0.7257011735424347,0.37302303872708015,0.37435624999629635,0.4273461706647088,0.6977131000520791,0.7195502411960675,0.7215694027368182,0.676431157662041,0.6762249111076075,0.36294763178516265,0.42827806064912005,0.7569003778029392,0.9040820975387117,0.06568417848045739,0.7703425148640128,0.8284599089840736,0.19855304807086122,0.45782595468412945
Putamen_R,0.5473517084507507,0.7257011735424347,1.0,0.5130088871546689,0.38880182295418303,0.42249504038153174,0.6968428722325307,0.634744010866289,0.5066144475052222,0.6409338168123818,0.34424308092338696,0.4347895409182898,0.13608434725239793,0.4838351448094966,0.7027092021374612,0.03878280914061951,0.8515105457645396,0.7442314409830976,0.24297550683342817,0.32547135117628573
Thal_AV_L,0.24096186957769936,0.37302303872708015,0.5130088871546689,1.0,0.32497640425572794,-0.01872526374770081,0.3649412706300215,0.484718883757197,0.5544648920640042,0.3088918576221955,-0.08523876704795831,0.668069528714658,0.1377676706136051,-0.029081474084632727,0.5254318462897615,0.0747166325660501,0.4548297144812544,0.5349617624022013,-0.04471110197734055,0.18832829181021035
Cingulate_Post_R,0.8116683401940102,0.37435624999629635,0.38880182295418303,0.32497640425572794,1.0,0.1669451440601291,0.3837796188888331,0.4255202984397588,0.322765111216143,0.21810233762803719,0.19393572025343683,0.2469748827522511,0.15514362251187555,0.3889685907216054,0.37787218911414444,0.15815038240478946,0.366191353385056,0.4020031351597898,0.10812083187614537,0.13933218320202562
Thal_PuI_R,0.4173873241588192,0.4273461706647088,0.42249504038153174,-0.01872526374770081,0.1669451440601291,1.0,0.3392509265301311,0.39738091176752294,0.22079402473876447,0.6833594576865382,0.5230583087123662,0.07515783317237056,0.1570052029895175,0.48571149421349785,0.3024763568203643,-0.14169730629838326,0.4922859076759594,0.2992445205503653,0.22925528608265716,0.2523925869141781
Thal_VL_R,0.5371748654244144,0.6977131000520791,0.6968428722325307,0.3649412706300215,0.3837796188888331,0.3392509265301311,1.0,0.5223581777904925,0.6253301711905188,0.46795565950536916,0.6593152814332928,0.119323581025308,0.29207849703452615,0.44823007234652734,0.6923924896648156,-0.03785341342752293,0.7752028222220232,0.5632687391248438,0.3790091798770985,0.33088512221863103
Rolandic_Oper_L,0.552038834533003,0.7195502411960675,0.634744010866289,0.484718883757197,0.4255202984397588,0.39738091176752294,0.5223581777904925,1.0,0.6708483126809605,0.7439615554594383,0.3985876018245283,0.5984063964369106,0.4526422493469868,0.406432768441587,0.7796996988190872,0.10262765304708911,0.7539472839567658,0.7921777371046129,0.11770976592226795,0.35743298832737874
Thal_LP_R,0.42693613129331726,0.7215694027368182,0.5066144475052222,0.5544648920640042,0.322765111216143,0.22079402473876447,0.6253301711905188,0.6708483126809605,1.0,0.5171347433065764,0.49384833351395857,0.5472317641971655,0.48508068508953556,0.37465100283387953,0.8393267306131713,0.025780405863830444,0.5972117210494886,0.7005056593425492,0.1847895363973176,0.4015224274386723
Insula_R,0.4715071333965388,0.676431157662041,0.6409338168123818,0.3088918576221955,0.21810233762803719,0.6833594576865382,0.46795565950536916,0.7439615554594383,0.5171347433065764,1.0,0.5101523367592472,0.3963864194236312,0.3798729681063467,0.4341883822858844,0.6872852247284433,0.05481024164307914,0.6694145532224837,0.7004857160462206,0.16151834383692495,0.39307366241936936
Lingual_R,0.4843140031245636,0.6762249111076075,0.34424308092338696,-0.08523876704795831,0.19393572025343683,0.5230583087123662,0.6593152814332928,0.3985876018245283,0.49384833351395857,0.5101523367592472,1.0,-0.07332512940404944,0.5001385201579946,0.5944623693134533,0.5526207457819922,-0.12978005942584298,0.5552333591141067,0.38778681110883934,0.36105258599561885,0.5332168240006745
SN_pc_L,0.2746888683904604,0.36294763178516265,0.4347895409182898,0.668069528714658,0.2469748827522511,0.07515783317237056,0.119323581025308,0.5984063964369106,0.5472317641971655,0.3963864194236312,-0.07332512940404944,1.0,0.20147317817073784,0.03684398041532285,0.5170961857633088,0.06304805771916094,0.41481892878282317,0.5923037236180277,-0.14218393821856964,0.17778557936727504
Temporal_Pole_Sup_R,0.24944197973336993,0.42827806064912005,0.13608434725239793,0.1377676706136051,0.15514362251187555,0.1570052029895175,0.29207849703452615,0.4526422493469868,0.48508068508953556,0.3798729681063467,0.5001385201579946,0.20147317817073784,1.0,0.1297569018783644,0.4599284717036225,-0.4233628918483937,0.323351455672958,0.47290249497601217,0.5383350544439123,0.6053610525524035
Cingulate_Mid_L,0.5740457791376894,0.7569003778029392,0.4838351448094966,-0.029081474084632727,0.3889685907216054,0.48571149421349785,0.44823007234652734,0.406432768441587,0.37465100283387953,0.4341883822858844,0.5944623693134533,0.03684398041532285,0.1297569018783644,1.0,0.560287773618792,0.11953201578912641,0.4295682063485409,0.4590542465799028,0.10123444622617472,0.24304669283962355
