,Precentral_L,OFCant_L,Cerebellum_6_R,Frontal_Inf_Oper_R,Thal_PuM_L,Cerebellum_9_L,N_Acc_R,Thal_PuI_L,Cuneus_L,Insula_L,Frontal_Mid_2_R,SN_pr_R,Frontal_Inf_Orb_2_R,Temporal_Sup_R,Heschl_R
Precentral_L,1.0,-0.06261665391414084,0.5179804154804486,0.3512982912285591,0.3782070104789217,0.3788433610485973,0.46382319761249174,0.13745389333019278,0.5518075614967176,0.16428390898235767,0.45197440778252995,0.19368671910920135,0.2762872907470679,0.6911581224750001,0.2663029468249748
OFCant_L,-0.06261665391414084,1.0,-0.00914481139322755,0.013841882574618778,0.5756545832165545,0.040541976419185506,-0.04512021914682881,0.6447585794474892,-0.2523644146369307,0.35876031416698917,0.4310919191283268,0.31873048219946115,0.07944786361602972,0.22684317175154065,0.2179163019053995
Cerebellum_6_R,0.5179804154804486,-0.00914481139322755,1.0,0.5581057491315352,0.48118538255961274,0.8371756315109432,0.16656683846263542,0.24595463672923573,0.33571029103435385,0.35808029886261783,0.623153445445895,0.4669262957777781,0.508587300963359,0.6143982244180318,0.48522501702640486
Frontal_Inf_Oper_R,0.3512982912285591,0.013841882574618778,0.5581057491315352,1.0,0.46688853968441096,0.4297868057102324,-0.13862967960145903,0.32827483723274054,0.16343980158482416,0.6828788921795818,0.6880424651215284,0.7178489548873086,0.5570366085299809,0.48976779821801386,0.6655231608914973
Thal_PuM_L,0.3782070104789217,0.5756545832165545,0.48118538255961274,0.46688853968441096,1.0,0.40029169952185756,-0.015465748289332363,0.8151697438504396,0.09445508806479452,0.41189952383813144,0.7873086840014853,0.6155333392526837,0.3746942856689807,0.5454368061015152,0.6762602756508715
Cerebellum_9_L,0.3788433610485973,0.040541976419185506,0.8371756315109432,0.4297868057102324,0.40029169952185756,1.0,0.1305624005213857,0.079643008534928,0.22766931820529104,0.3357025512212406,0.4964143955021825,0.43729111543482846,0.30827368051364606,0.38758372248402084,0.3891898570374041
N_Acc_R,0.46382319761249174,-0.04512021914682881,0.16656683846263542,-0.13862967960145903,-0.015465748289332363,0.1305624005213857,1.0,-0.17036175746630638,0.5706289843269944,-0.17348571129019996,-0.027331047082264973,-0.2495507477714523,0.021244631023681376,0.33887643238673915,-0.34843712957877093
Thal_PuI_L,0.13745389333019278,0.6447585794474892,0.24595463672923573,0.32827483723274054,0.8151697438504396,0.079643008534928,-0.17036175746630638,1.0,-0.2012764568341338,0.3632603281143942,0.6918318183316118,0.5476127248719742,0.40750099880073737,0.39988687328278877,0.5859266103218744
Cuneus_L,0.5518075614967176,-0.2523644146369307,0.33571029103435385,0.16343980158482416,0.09445508806479452,0.22766931820529104,0.5706289843269944,-0.2012764568341338,1.0,0.037226641790218146,0.12311096176446602,-0.1214931108955223,0.003376201182000511,0.36576708633789673,-0.04436866306480248
Insula_L,0.16428390898235767,0.35876031416698917,0.35808029886261783,0.6828788921795818,0.41189952383813144,0.3357025512212406,-0.17348571129019996,0.3632603281143942,0.037226641790218146,1.0,0.5995813399756523,0.5487013423886207,0.47941286955106405,0.4611295162689719,0.5238559296564719
Frontal_Mid_2_R,0.45197440778252995,0.4310919191283268,0.623153445445895,0.6880424651215284,0.7873086840014853,0.4964143955021825,-0.027331047082264973,0.6918318183316118,0.12311096176446602,0.5995813399756523,1.0,0.7172255473334819,0.5123061437718689,0.6890263465582012,0.7069665735906383
SN_pr_R,0.19368671910920135,0.31873048219946115,0.4669262957777781,0.7178489548873086,0.6155333392526837,0.43729111543482846,-0.2495507477714523,0.5476127248719742,-0.1214931108955223,0.5487013423886207,0.7172255473334819,1.0,0.49979313868332087,0.31830631952150235,0.6172240988969301
Frontal_Inf_Orb_2_R,0.2762872907470679,0.07944786361602972,0.508587300963359,0.5570366085299809,0.3746942856689807,0.30827368051364606,0.021244631023681376,0.40750099880073737,0.003376201182000511,0.47941286955106405,0.5123061437718689,0.49979313868332087,1.0,0.35851648880435566,0.4427310472857071
Temporal_Sup_R,0.6911581224750001,0.22684317175154065,0.6143982244180318,0.48976779821801386,0.5454368061015152,0.38758372248402084,0.33887643238673915,0.39988687328278877,0.36576708633789673,0.4611295162689719,0.6890263465582012,0.31830631952150235,0.35851648880435566,1.0,0.42065702810617145
Heschl_R,0.2663029468249748,0.2179163019053995,0.48522501702640486,0.6655231608914973,0.6762602756508715,0.3891898570374041,-0.34843712957877093,0.5859266103218744,-0.04436866306480248,0.5238559296564719,0.7069665735906383,0.6172240988969301,0.4427310472857071,0.42065702810617145,1.0
