,Thal_PuI_R,Vermis_4_5,VTA_R,N_Acc_L,Frontal_Sup_Medial_R,Caudate_L,Raphe_D,Cerebellum_9_R,ParaHippocampal_L,Frontal_Mid_2_L,Temporal_Pole_Sup_L,Rectus_L,Thal_MGN_R,Parietal_Inf_L,Vermis_1_2,Insula_R,OFClat_R,VTA_L,Calcarine_R,Thal_IL_R,Lingual_L,Precuneus_L,Paracentral_Lobule_R,Frontal_Sup_2_R,Frontal_Sup_Medial_L,Rolandic_Oper_L,Cerebellum_8_L,Putamen_L,Thal_VL_R,Precentral_L,Amygdala_R,Vermis_8,OFCpost_R,Thal_MDm_R,Parietal_Sup_L,Thal_MDl_R,Cerebellum_6_L,Cingulate_Mid_R,Cerebellum_4_5_R,LC_L,ACC_pre_R,Vermis_10,Thal_MGN_L,Thal_AV_L,Hippocampus_R,Frontal_Inf_Tri_L,Rolandic_Oper_R,Vermis_9,Thal_PuA_R,OFCpost_L
Thal_PuI_R,1.0,0.5537322989742198,0.15601967576662584,0.2535664934385764,0.2992445205503653,0.24870739115623525,0.08841032475919404,0.23475928582310232,0.2063529015628534,0.3705032929883803,0.12486904602491468,-0.05457055136096571,0.4395026365106194,0.42415834521246454,0.3915369738321962,0.6833594576865382,0.3181742203193011,0.22611816316410674,0.43020420039264984,0.6066130555600131,0.48438221391764824,0.5683420351354754,0.5111947721848711,0.2812767444119796,0.2206613883157221,0.39738091176752294,0.3023049212837804,0.6384012213988156,0.3392509265301311,0.45071946449730604,0.07669498602526506,0.22925528608265716,0.12879365379850152,0.7093430119319013,0.4274799584206673,0.0701670509498368,0.3609864730797221,0.30376721082721075,0.5371835613803982,-0.14169730629838326,0.1500633732819554,0.4960712790359177,-0.06087862588959002,-0.01872526374770081,0.3089409263995138,0.4534351328574912,0.4028930573492119,0.07192007256236575,0.4964499598391282,0.3872118448155211
Vermis_4_5,0.5537322989742198,1.0,0.44411432061880646,0.5420830485497005,0.756850214353156,0.6635720987371544,0.4572160739876334,0.6454424151467583,0.6251924954040947,0.7757042800473143,0.37517843638371023,0.3711315757238656,0.38686709481940196,0.5091241933434213,0.744697330739922,0.6965718721417228,0.5512022045354655,0.4005953174504164,0.7167478061593342,0.54833616807846,0.5658908792850286,0.4853105313330686,0.7325065731172113,0.782391793250017,0.751961952615362,0.7642955447686473,0.6236139364077647,0.6730853196268695,0.8002062418715472,0.6655315008868337,0.4355389221211372,0.405254725503262,0.6359253554707112,0.5940107353804183,0.2676678374213377,0.30982541204363806,0.6276304712822871,0.7683444433812481,0.8271930370275191,-0.09888119551350363,0.6639662936704762,0.8083059786045199,0.34574095099703867,0.41799595717582144,0.6998206281549753,0.6131277598358661,0.6197215055237335,0.3644085650617108,0.35228956328026,0.4783149803539253
VTA_R,0.15601967576662584,0.44411432061880646,1.0,0.48050035781536266,0.4289573840799883,0.4463585582802404,0.35943155466531934,0.5041602076808005,0.3190082996680165,0.3035337982209774,0.5399385013710493,0.0378169558234256,0.20619540847019707,0.35397517399549544,0.3300531737904032,0.22681433346223356,0.3194138994018271,0.49579706203572116,0.5610481625694541,0.3039519594891465,0.4542522523165086,0.24484141983204719,0.38513918930841157,0.4700573180049856,0.4868139881842574,0.3047660563430459,0.4864891008920906,0.21365563571733287,0.4379540609165955,0.25363886049137746,0.23500626103426156,0.0786945485992452,0.39640955340044465,0.03619673868569792,0.11935933872316244,0.15040065127279412,0.5668357139701132,0.5145929243668559,0.40810783890915736,-0.07486876494853949,0.29152673886667196,0.38257633109319816,0.1537133767101376,0.3308509339974025,0.33840409569378327,0.0848028294196437,0.17466575566044834,0.4096462427421004,0.2986584122966932,0.37421823033696117
N_Acc_L,0.2535664934385764,0.5420830485497005,0.48050035781536266,1.0,0.40739725348476624,0.33917131152740104,0.0033176376107146447,0.5063401981165868,0.15730842276786117,0.3143099679605748,0.3772050004643057,-0.13132078181952847,0.48443099096685993,0.6328734420040558,0.23158298474017056,0.3277702038344334,0.589356175440007,0.3485514626548731,0.622843102423262,0.4027498586016863,0.7355510638928191,0.563651954220483,0.5013718100722845,0.32801346258550707,0.32419329379580514,0.4148485147031765,0.42529238517989454,0.29439147052374703,0.5748022503897795,0.5337459794134491,0.19206345665246424,0.13902888965054055,0.11810287721516577,0.29764717363766624,0.4869670609061583,0.23102682816818612,0.6027428898344324,0.5902171907523762,0.5688328104128437,0.03765893931367083,0.2328834107618051,0.518420591023265,-0.052044156650500537,0.027076495908755962,0.24463834076253543,0.19646922118760712,0.2764767015465584,0.34077468002894773,0.5714928587306438,0.7087351422559635
Frontal_Sup_Medial_R,0.2992445205503653,0.756850214353156,0.4289573840799883,0.40739725348476624,1.0,0.673956798120952,0.5606481457794941,0.41115687636568027,0.7179376264987329,0.8272668341787209,0.42006214612401765,0.32807609701747553,0.32116168251671656,0.3286716153545329,0.6898038977846642,0.7004857160462206,0.3248398695228839,0.4995048524364901,0.5776353641659905,0.6245035453641757,0.35712818272841296,0.29193272976588475,0.6796146803373683,0.8919094963954832,0.8851683211627112,0.7921777371046129,0.43174776043281066,0.6426451866691586,0.5632687391248438,0.5067543668245155,0.37252838546642364,0.12549214080178683,0.6139965221587417,0.39265833321658306,0.1071789809957248,0.06851925532797504,0.45146992613322867,0.7130962337572292,0.6593882736988265,0.08655052141694553,0.768519274474994,0.5899005619794546,0.5520249766039861,0.5349617624022013,0.639073414030381,0.6314475691939468,0.6029643167710039,0.3012891663979107,0.13077049706297542,0.39578007188133274
Caudate_L,0.24870739115623525,0.6635720987371544,0.4463585582802404,0.33917131152740104,0.673956798120952,1.0,0.5241755283515708,0.34309576178084306,0.7188090999690574,0.6844515276968371,0.36831339364756743,0.24631037253334997,0.4082552949214814,0.14672426923385182,0.6898446531175239,0.5355348808713892,0.39365795433100637,0.21203148434476962,0.4029347254639379,0.45884912032601055,0.22759718455931388,0.16452531292982764,0.613541383515018,0.7869390828379508,0.7112186462691179,0.5652909411279933,0.3326953905627772,0.5806652766250509,0.6382379573500696,0.3195799453250339,0.5638323468224115,-0.008228832363807552,0.6248885439101043,0.35942427789940407,-0.08885894880260693,0.2532104466713908,0.3869451437641147,0.5663766795858972,0.448132628707127,0.15637325759606974,0.6465065908141319,0.42860897324976444,0.5539069837632735,0.6494580367852287,0.6342337734656127,0.5100081442760824,0.3780024552222459,0.17089150621435828,0.17876454772400008,0.19666824323131485
Raphe_D,0.08841032475919404,0.4572160739876334,0.35943155466531934,0.0033176376107146447,0.5606481457794941,0.5241755283515708,1.0,0.21155579615204556,0.6603372404564612,0.5189156464148086,0.28201745292629166,0.5478405856649216,-0.16518875009295414,-0.015534764737240121,0.49300181221811895,0.2817358461760546,0.2221629914614778,0.3132549031132833,0.21855610030968486,0.12458230353821838,-0.06728275646302086,0.02703844323561704,0.37505364333970687,0.683166874071709,0.7263270896858834,0.2831306042067163,0.3756544413316816,0.2904685182026414,0.4233750395536244,0.15062245972653537,0.4695264407336962,0.2150963706329505,0.646542704971924,0.0723475616591888,-0.23519674190153192,0.33243978638471355,0.15700474521753183,0.44081113805191496,0.300697175993244,-0.1236033647227448,0.6413367571928431,0.30551323354897086,0.4681223166885204,0.5040909046039195,0.5306417529574093,0.22416977314469907,0.38042509439248035,0.10758660440309467,-0.12478980733164409,-0.015899081685966505
Cerebellum_9_R,0.23475928582310232,0.6454424151467583,0.5041602076808005,0.5063401981165868,0.41115687636568027,0.34309576178084306,0.21155579615204556,1.0,0.18069389850379045,0.2922302129801333,0.5707435536177614,0.1920888802280199,0.28917204756305726,0.4515797738680011,0.38454193673848364,0.33711790679176945,0.4057590425085105,0.434868040402356,0.7174275946618646,0.20968597086198257,0.5502437689145038,0.25481308279552134,0.2812364399059623,0.4014420496960722,0.385333340965688,0.47144431667307735,0.7923150291749311,0.3662225271720176,0.5341765817194327,0.4803321622420307,0.27646452450869574,0.6260405578691703,0.5649611669839891,0.2161134980604398,0.23410426470424883,0.09833093566415638,0.7806234461701627,0.41965863612388016,0.5728714906852923,-0.4335994796322593,0.3584042227985637,0.7274254017322677,0.02385554409069569,0.22575334840153413,0.4751024755680622,0.28234081985330084,0.3286064266345806,0.7787019368207122,0.24453882121130321,0.561631878246714
ParaHippocampal_L,0.2063529015628534,0.6251924954040947,0.3190082996680165,0.15730842276786117,0.7179376264987329,0.7188090999690574,0.6603372404564612,0.18069389850379045,1.0,0.778969796027735,0.15474771373565863,0.541961119075082,0.1615019039030511,0.021232097982450793,0.7818741530745148,0.610498563858476,0.24695749683090423,0.24445286426906182,0.2740649904149564,0.39468715099685575,0.016470273738821387,0.09607725216095922,0.6312053845636393,0.8091268159397729,0.7529371808964145,0.6228385688898775,0.25099413961599737,0.5800948210796264,0.5334950106746241,0.2674267280802061,0.5286636800510451,0.01696014735891323,0.637754253906282,0.3843638111325556,-0.22391855943547057,0.3236104069429254,0.21177491844105445,0.5637257064260971,0.46949065926276257,0.251431424366178,0.8121956570735376,0.39747288599217534,0.679815605819659,0.6121332393848351,0.7766139632355155,0.6699113205275705,0.6029978149009446,0.03317105841918435,-0.015524885621716344,0.021569767295225042
Frontal_Mid_2_L,0.3705032929883803,0.7757042800473143,0.3035337982209774,0.3143099679605748,0.8272668341787209,0.6844515276968371,0.5189156464148086,0.2922302129801333,0.778969796027735,1.0,0.19607666103041885,0.43352500207220696,0.3242675678223256,0.3463852706566611,0.7531766283914728,0.7164509844769049,0.40525750973276997,0.314855556816355,0.4867724007375163,0.5139060466547628,0.2766228286712885,0.32766380038956583,0.7161145585839891,0.826264559487767,0.8038961237975609,0.7405539793147092,0.3090784548141761,0.6627385620915336,0.6388524023499706,0.5005483774869786,0.4474163394278032,0.15617210377464233,0.5828906887494979,0.5408968566323606,0.10883555525411259,0.24028858387094262,0.36508066072579204,0.6990459109822452,0.6679681528015518,0.16911583890260967,0.7809334972159298,0.564954911596681,0.5647919595423868,0.497282851831159,0.6993635596974133,0.7174404090715211,0.6145312272665497,0.14067260020366415,0.11236183389960659,0.28577684167007367
