,Frontal_Med_Orb_R,Cerebellum_9_R,Temporal_Inf_R,Cingulate_Mid_R,Raphe_D,Cerebellum_7b_R,Temporal_Inf_L,Frontal_Inf_Tri_R,Angular_L,Thal_PuM_L,Occipital_Sup_L,Cerebellum_Crus1_L,Thal_PuL_L,Cerebellum_4_5_R,Putamen_R,Thal_LP_R,Insula_R,Occipital_Mid_L,Postcentral_L,Cerebellum_4_5_L,Insula_L,SupraMarginal_R,SN_pc_L,Temporal_Pole_Sup_R,Cerebellum_8_L,Cingulate_Post_L,LC_R,Caudate_L,Temporal_Mid_L,Lingual_R,Parietal_Inf_L,OFCant_R,Parietal_Sup_R,Temporal_Pole_Mid_R,OFCmed_R,Angular_R,Olfactory_L,Occipital_Mid_R,Thal_MGN_L,Thal_IL_R,Cerebellum_8_R,Frontal_Sup_2_L,Vermis_8,Hippocampus_L,Frontal_Sup_2_R,Fusiform_R,Putamen_L,Amygdala_L,Thal_VPL_L,Cerebellum_6_L,Vermis_10,Thal_MDl_R,Thal_MDm_R,Red_N_R,Calcarine_L,Thal_LGN_R,Supp_Motor_Area_R,Precentral_R,ACC_sup_R,ACC_sub_R,Pallidum_L,SN_pr_L,Vermis_4_5,Supp_Motor_Area_L,Heschl_R
Frontal_Med_Orb_R,1.0,0.1252059430419171,0.12773344989358734,0.1334639324987005,0.49567674798181655,-0.005813874568538757,0.3394226508028269,0.532482863811283,-0.530888050581655,0.5296646151187472,-0.525708756123538,0.07090114229654466,0.38354347983469034,0.04884752229321265,0.45638978901177885,0.3135566127450317,0.382139750053707,-0.45733156318271256,-0.19871170586159756,0.41958507383749133,0.4946065291121405,-0.046005758056022236,0.5214090179946589,0.08063677522284683,0.08839803019646923,0.054550111511155956,-0.22365057465560653,0.5459998659971281,-0.05763202907537738,-0.15106544284071471,-0.34242819053958057,0.40012598442328456,-0.4807405285279449,-0.4256733875776477,0.6610420382354908,-0.48280185762653927,0.7357005933939702,-0.6214843312783247,0.671656373253056,0.06811157331711122,0.019345867965672902,0.5495955240132895,0.012866667221105462,0.5280026266836068,0.5787013337534462,0.12644178675574008,0.42959967835118973,0.7250832655144319,0.38983403871242445,-0.003512879734362191,0.15697381124143248,0.14960073305243876,0.08895110721418942,0.25717968484222714,-0.19864626309707656,-0.04674647458963706,0.2228162370053299,0.4724049822053613,0.32286038260628513,0.81629979355925,0.31095902858505964,0.4862707870598818,0.33079307456152557,0.38730575466265343,0.5744653387718642
Cerebellum_9_R,0.1252059430419171,1.0,0.5701059000936519,0.41965863612388016,0.21155579615204556,0.5985712356693897,0.3456641941412599,0.49709775531375505,0.28957737355152385,0.3829098662048664,0.3102916369113713,0.8500512400302576,0.2956907106272302,0.5728714906852923,0.30218165801105573,0.6018789641303315,0.33711790679176945,0.31640925814140863,0.5248548843229096,0.4884227091377026,0.27406326247059803,0.4636971018867991,0.2348336194925034,0.7125539953361102,0.7923150291749311,0.3616446596785133,0.053903855637966465,0.34309576178084306,0.5170934277242863,0.6365217102658172,0.4515797738680011,0.1448216793857071,-0.07288266947718412,0.48278252233102725,0.04641523597539443,0.25419617939512196,0.1826091481755225,0.1845315904454816,0.02385554409069569,0.20968597086198257,0.83176275534963,0.4165711758733243,0.6260405578691703,0.29376176041999746,0.4014420496960722,0.5142582623603364,0.3662225271720176,-0.01044165810436506,0.2974603142569842,0.7806234461701627,0.7274254017322677,0.09833093566415638,0.2161134980604398,0.5438873021648128,0.6989576576374307,0.08685864423581126,0.518015611372162,0.5937280851096403,0.560971023153772,0.17079643138104367,0.24320494620427457,0.37823627143042765,0.6454424151467583,0.3486766944064097,0.26466782014139334
Temporal_Inf_R,0.12773344989358734,0.5701059000936519,1.0,0.1512729795062327,0.19648421989109127,0.5081654712170331,-0.06266112338587464,0.45537440177659205,-0.11103743651468384,0.2758972464533119,-0.08503515839720087,0.3281752883149733,0.11549085578844642,0.5113687335094741,0.22599112642875507,0.22165959047924494,0.3258252489996177,-0.11046595077923488,0.3723513411255216,0.33559918807078815,0.15711320355470831,0.33267950145892244,-0.0928998053950035,0.7414518113779985,0.41286842266560014,0.12380401762644377,0.013816210327074863,0.04776867700317734,-0.15598577409089995,0.40939578663525433,0.2726072306538245,0.0873475871642884,-0.19589266464718466,0.3743191773499835,0.15730166280182012,0.048848548168247935,0.011442573854831809,0.10587345803252604,0.0643901314663714,0.10104255122171744,0.37738808177475675,0.2331146359831371,0.8003313611808872,0.10260135859993053,0.22119613052684128,0.6943661164040628,0.2610934025248434,-0.10718015746193237,0.055224171619291273,0.4486128519648189,0.6138334416771656,-0.23399644956570265,0.19302784562154077,0.2748996128348509,0.48602784483280387,0.0658632967540758,0.27606992420293736,0.388324468609459,0.3586953642474662,0.15831726803296545,-0.03557565621624513,0.03547083219443044,0.3898831465691774,0.07164286400702898,0.27425562859811553
Cingulate_Mid_R,0.1334639324987005,0.41965863612388016,0.1512729795062327,1.0,0.44081113805191496,0.06758104716710009,0.5509519538581782,0.39435672565919067,0.5189224713294126,0.6894920727837096,0.41037242955218334,0.3080057055224397,0.6716271308381738,0.7120061573040672,0.7406723019657929,0.5474667568697934,0.4559674890096185,0.35029407724504624,0.6441974349230243,0.7443369707271739,0.23131223275886,0.7253132929533239,0.30070343970016983,0.23918140579322764,0.42218221676074774,0.7295537140906879,0.34520492291617905,0.5663766795858972,0.4652456753890923,0.5328715991040976,0.6572699163815647,0.3317397087301459,0.3533422576881177,0.1950484841959605,0.08761882389997533,0.5116046913345031,0.35209732546401395,0.18290188225118917,0.27219320867448527,0.46994959122166385,0.4408064725351719,0.7364440008409674,0.19826217821221265,0.6931747928394808,0.6726822383334219,0.5824984614601939,0.3698230328253682,0.29194305947339955,0.6831422551511086,0.4751458531805299,0.6019214056324945,0.3622356530209,0.45891371519222124,0.3796577842799221,0.542180896125193,0.1369476185954257,0.8037440847651446,0.7513575192598891,0.8165208152448113,0.20618803702869296,0.45601565305570535,0.5442575006292155,0.7683444433812481,0.6587053661503531,0.4097270556190879
Raphe_D,0.49567674798181655,0.21155579615204556,0.19648421989109127,0.44081113805191496,1.0,-0.1415216968154933,0.6258425106338112,0.3683336495060033,-0.14517664000460567,0.7040558520812722,-0.3012288499539385,0.2147715138408681,0.49396969691180886,0.300697175993244,0.6558994029823614,0.3729885723868343,0.2817358461760546,-0.3376145765936043,0.15200850932423163,0.5465233521273043,0.25122914261862217,0.28261106336581016,0.40510036533021965,0.10542261774181318,0.3756544413316816,0.18133998660734246,-0.007320601141415001,0.5241755283515708,0.14757645980539583,0.03406181887592986,-0.015534764737240121,0.5155557469289939,-0.14936651853467817,-0.0884576284024353,0.4540833344223084,-0.2192551364351222,0.3958020505351901,-0.37482165852722577,0.4681223166885204,0.12458230353821838,0.06955385097041965,0.5800895782242276,0.2150963706329505,0.657322190247484,0.683166874071709,0.304465082663797,0.2904685182026414,0.6140511537167693,0.5138447708913936,0.15700474521753183,0.30551323354897086,0.33243978638471355,0.0723475616591888,0.1241147292899396,0.10106720077311467,-0.14931330854810085,0.421789294754093,0.5440385186049949,0.48793611929763797,0.3888354964347001,0.10629568450577084,0.6240905919682554,0.4572160739876334,0.4988069986871283,0.5451581183254322
Cerebellum_7b_R,-0.005813874568538757,0.5985712356693897,0.5081654712170331,0.06758104716710009,-0.1415216968154933,1.0,-0.15723672383383822,0.2771960235842116,0.08796853247697475,0.00045069447876009306,0.2270249814762743,0.47815698224087416,-0.07073381032746855,0.24044286146652602,-0.05401391268464053,0.23614857246658474,0.18615879734623703,0.20730542910698932,0.29628194170626787,0.08503113950906573,0.10288878082024303,0.20617421760953064,-0.0055709386823973315,0.6704483327780032,0.32365464273780936,0.08522302338777533,-0.09882265731031462,0.05410502542375628,0.11416327339840718,0.3736932283791035,0.25051303115479284,-0.2932279919441465,-0.17028803411758087,0.35019709173637636,-0.2433867092989772,0.20134570111609137,-0.033101307931682,0.19960784054859596,-0.07012040463072934,0.14711067910629494,0.6108733601231068,0.10819962407034164,0.3923461876717958,-0.1152225188636916,0.04930076976236471,0.3184038641849206,0.20336676534812112,-0.22867515438424735,-0.14216344853592786,0.3965472465727208,0.39361478233094926,-0.3288844883967633,0.0132197946754973,0.3144922992176814,0.40887614030036845,0.007559127815722716,0.18293824802433495,0.2881441237708785,0.2280715697581124,0.03897561367759485,-0.04209389836318536,-0.025256663192445402,0.24728196961883236,0.06606821243225135,0.1521469041873419
Temporal_Inf_L,0.3394226508028269,0.3456641941412599,-0.06266112338587464,0.5509519538581782,0.6258425106338112,-0.15723672383383822,1.0,0.42549118232072136,0.23639753632035015,0.6011151590276963,0.1368773071852688,0.47624137543008727,0.6311215118865942,0.47328784613653135,0.6411724714838082,0.5852801297043896,0.4010754534473919,0.13330266369656976,0.29585449926286367,0.633486653712726,0.37713975983974196,0.45546507315132645,0.4822470427765789,0.03564854249149966,0.5436475547947682,0.43627517535392224,0.2652213605485295,0.6480963784572522,0.6107498371612584,0.3729691591670779,0.23091118662849414,0.366460819654201,0.16207752361939598,-0.12964943259329748,0.22241185854019413,0.11025038812991919,0.4029678562036408,-0.0615673969583302,0.33978781584695417,0.3616485487150845,0.27224581058331987,0.6300302332418521,-0.007909895025652335,0.7535020127682455,0.6967164839142629,0.36092941166256143,0.4432497817071321,0.5696019939644648,0.5852216166268337,0.4675169728281067,0.4432038524427401,0.48774926308949773,0.2454333944596366,0.38079754654876735,0.39833244888837377,0.09711552551734208,0.601987917798567,0.574927637544588,0.5700096446965373,0.2900645390559208,0.38553010318787495,0.6210086225054092,0.595231894131291,0.6940689997049581,0.45966410163614313
Frontal_Inf_Tri_R,0.532482863811283,0.49709775531375505,0.45537440177659205,0.39435672565919067,0.3683336495060033,0.2771960235842116,0.42549118232072136,1.0,-0.1343757471035905,0.47738595394667566,-0.09958419710841157,0.46108348883538997,0.4616897803234611,0.6451697762186331,0.5893415375625928,0.4771650406149087,0.7853069119858567,-0.010096668107195398,0.3792455465944101,0.6998933202700812,0.7166862636833935,0.510678508780849,0.40036325329556455,0.4711663212803872,0.4831698570490092,0.2966186649333062,0.17599379833329126,0.5214281818514114,0.25691492163592444,0.48628263835173025,0.20364255754177674,0.2047115696405694,-0.10633448839193259,-0.03873860565797875,0.27289487678351526,0.03325769274568083,0.6329178224977864,-0.06901897611831967,0.31867815200368854,0.4874610206805264,0.42918178192461387,0.6974497534598657,0.2940141379524749,0.5647501033120564,0.6831479077478775,0.6528834942298936,0.7131703464200662,0.3056209231511054,0.42020019905358075,0.5748234567029261,0.6717742407957872,0.09997509607110053,0.45151157996733127,0.4750434673265719,0.4891917466832641,0.32805018453467577,0.6251124636106109,0.7199931055769075,0.588338109735134,0.6017671458306374,0.3669919888114793,0.46106737531103376,0.6824517564615491,0.6112332395059106,0.5749413199240929
Angular_L,-0.530888050581655,0.28957737355152385,-0.11103743651468384,0.5189224713294126,-0.14517664000460567,0.08796853247697475,0.23639753632035015,-0.1343757471035905,1.0,-0.006181071393301048,0.8885847046346125,0.3076304937937109,0.22113188589008867,0.3907079791563258,0.05494539201979262,0.24898412495909814,0.05823805999466086,0.8230064215908627,0.6457914522733633,0.1192833639929661,-0.12973443464255913,0.5116550434450481,-0.07723228488003733,0.1321024145481723,0.28288983196735357,0.5222578868988749,0.33871647518656606,0.0038456332834754764,0.607850248651065,0.5087310673414865,0.8032772672996449,-0.13330434729229843,0.6788431464378448,0.4442215379372383,-0.4640469974229512,0.7850165475689485,-0.2786770808837752,0.6838649801310653,-0.3874424203483302,0.3377229411773375,0.4237118447386569,0.0915824979276578,-0.0014038646041858276,0.08743564235888543,-0.008980841073178017,0.19035048199401355,-0.005333576853737599,-0.3562360623944737,0.17164406429371248,0.4121861897542589,0.2827140960369406,0.15179684164354576,0.24862153645362217,0.17459204335529255,0.5807987789201557,0.1599888723876545,0.3740298038968299,0.15693584394233484,0.2981478803124883,-0.5053942755072416,0.12238518655008654,-0.05537228049325998,0.2519969653104212,0.1496163852991404,-0.20718697183360643
Thal_PuM_L,0.5296646151187472,0.3829098662048664,0.2758972464533119,0.6894920727837096,0.7040558520812722,0.00045069447876009306,0.6011151590276963,0.47738595394667566,-0.006181071393301048,1.0,-0.1394241513268628,0.2410205584171601,0.7562949535426731,0.5171188852418785,0.8238585576134507,0.6450244591617406,0.4957824656693864,-0.15443744752797683,0.31166596393243545,0.7607962366563223,0.41189952383813144,0.49499008440793113,0.45910033077704043,0.2586242189037089,0.4259782473501513,0.4170220593263054,0.07372896015015325,0.6903602648823368,0.2609275004856152,0.24802857393584002,0.18308158876814304,0.5549578485077606,-0.09961111380774339,0.005534363514027475,0.4972590777516571,-0.008093138473685453,0.5309422997206262,-0.2843537392429433,0.6443887813268108,0.3035594513277957,0.2855702567826315,0.7991084653515944,0.2725396933311812,0.8674166654231303,0.841886690746893,0.5105591717530918,0.46353741916533237,0.6837620254788044,0.7994588316803878,0.3144933231015874,0.460582745920186,0.31727668794690284,0.3283916656806532,0.3784081788010024,0.2629562555161951,0.016067241275180277,0.6824335121900303,0.7851037914998932,0.8250349448565578,0.5530682612301291,0.3833559467977771,0.6996552656175982,0.7037138563326824,0.6917023367162226,0.6762602756508715
