,Temporal_Pole_Sup_R,OFCpost_R,SupraMarginal_L,Temporal_Mid_R,Pallidum_L,Fusiform_R,OFClat_L,Cingulate_Post_R,Thal_AV_L,Rolandic_Oper_R,Red_N_L,Frontal_Inf_Orb_2_R,Paracentral_Lobule_L,ACC_pre_R,Amygdala_L,Parietal_Inf_L,Cerebellum_10_R,Precuneus_L,Precentral_L,Thal_Re_L,SN_pc_R,Thal_VA_L,Frontal_Sup_Medial_L,Cuneus_L,Thal_PuL_L,Cingulate_Mid_L,ACC_sup_L,Rolandic_Oper_L,Insula_R,Cuneus_R,Calcarine_L,Cingulate_Post_L,Thal_VPL_L,Supp_Motor_Area_L,Thal_LGN_L,Cerebellum_4_5_R,Temporal_Pole_Sup_L,ACC_sub_L,Frontal_Inf_Tri_R,Thal_VL_R
Temporal_Pole_Sup_R,1.0,0.4404904617231492,0.3931848192145183,0.7370008319389054,-0.005679360679801877,0.5715677749887885,-0.315527867692759,0.15514362251187555,0.1377676706136051,0.3229710643207981,0.36704410992401365,0.3596820732217803,0.3947956596620313,0.2461401490285172,-0.12719180605507627,0.36677102149201485,0.25604903104853616,0.10053789263036592,0.49214802656120754,-0.13918693858263012,0.6613732659994574,0.15702148942492197,0.3168216877676253,0.19315194611066672,0.24421413496795275,0.1297569018783644,0.4599284717036225,0.4526422493469868,0.3798729681063467,0.2297093192293308,0.5642825582118408,0.24944197973336993,0.019671761843114168,0.25719747927038317,-0.11738147210848902,0.504485027925423,0.43427594457449137,-0.05946774466770634,0.4711663212803872,0.29207849703452615
OFCpost_R,0.4404904617231492,1.0,0.12991244410284125,0.23253368948860192,0.30159442278417276,0.4402135645104389,0.13327042930498295,0.1529941130087842,0.691202556716136,0.4274722538260381,0.6611542724197776,0.4593771143838128,0.5531578461654059,0.7180682865549939,0.6286545858421135,-0.022215624333208443,0.45378312138382904,-0.0801533068773942,0.2457689480888008,-0.1188557807045225,0.3677901072141877,0.4132293580111955,0.7041050256329892,-0.11525621595363084,0.5468128266712773,0.03338585544669452,0.6179886514684835,0.5109939405274307,0.4322474802026395,-0.0585905533679916,0.23614563344994752,0.2360891339674451,0.5035929736473692,0.5535893977787124,0.025241938972166544,0.3699419620079877,0.4224600703132235,0.033587216958187685,0.5997637831853566,0.5145028184398399
SupraMarginal_L,0.3931848192145183,0.12991244410284125,1.0,0.437412319371716,0.20824727514171093,0.5172874211722007,-0.06329337099144057,0.34492142090747,-0.014673552773511712,0.45998930756836176,0.3861354854137793,-0.007957657040432636,0.5585204212652692,0.1880405615047369,-0.12902427870497607,0.7584878231516865,0.41313674038506976,0.5749434966756249,0.6207826237504261,0.03436692886853577,0.42537973015058,0.1996785953343054,0.365813053078698,0.6484887611009396,0.4010261231314839,0.579702651813904,0.47402947279089847,0.49912488734518234,0.336130185730803,0.7628098567320455,0.6946636752336545,0.5301488739578316,0.3553136008365568,0.3297590168146666,0.14088351248444977,0.6414905388647916,0.2723377959144192,-0.0473213781982089,0.3441521429430432,0.3977164165980248
Temporal_Mid_R,0.7370008319389054,0.23253368948860192,0.437412319371716,1.0,-0.02987539740240105,0.7082087601424171,-0.32942398733931993,-0.0009118912794426268,-0.13656904787427848,0.3405655317299563,0.18964816227631387,0.2356397580937229,0.40400926400324116,0.07715761067269815,-0.31175032190100094,0.5524937352121866,0.2988833042240696,0.4845075059191242,0.5574960956542591,-0.06310233171340444,0.6488655864360138,0.104574594600533,0.100546761443996,0.46507234467209185,0.10648469757591414,0.3640388186868703,0.3235519510368111,0.2883704153017446,0.37307791963825726,0.43905807237445843,0.7247844753745223,0.22098256786835388,-0.026940789450506965,0.20570269416745424,-0.005879033327423514,0.5799757884859641,0.13634709648773208,0.020312983984829266,0.4273562466847842,0.3090969382566793
Pallidum_L,-0.005679360679801877,0.30159442278417276,0.20824727514171093,-0.02987539740240105,1.0,0.27019405935702867,0.32556017441231283,0.5014576149029375,0.3093023316360051,0.27820482512079614,0.2654852067099294,0.5156857613168159,0.5152941690636963,0.424506021226662,0.3319752592962606,0.2509807667955387,0.4827893619632382,0.28473305013526995,0.3489442482982925,0.5960658178869633,-0.15333144190439912,0.5418735809230606,0.38011297735691046,0.21876627680604196,0.47896735070336793,0.3769525240864503,0.4372940164778796,0.49733576984021327,0.5514017356575576,0.19512535058056527,0.19430404605621254,0.5745485323068208,0.470577469131616,0.4276632466717661,0.1659059122186169,0.4066658643547904,0.06734527174193573,0.486610479639217,0.3669919888114793,0.4998290768416198
Fusiform_R,0.5715677749887885,0.4402135645104389,0.5172874211722007,0.7082087601424171,0.27019405935702867,1.0,0.04563993998884181,0.1427825988978373,0.11194198126530443,0.5777476742980667,0.44197380013736415,0.4632873638100167,0.7203720392378763,0.44763438627161145,0.07439190195409932,0.5222577781575173,0.6590484890515419,0.45005606780138463,0.6331619449927439,0.14824775649797323,0.5307873108614962,0.3552214388046616,0.4902672441225649,0.37436897323490037,0.4833571733525616,0.5083539298818938,0.6222986754680163,0.49368453423648506,0.6098667894522328,0.44892941842300266,0.7014336143536878,0.42571870104579246,0.45921229652490836,0.5354647952186872,0.22430454772752523,0.8623017645080603,0.218005940626721,0.2280694587807194,0.6528834942298936,0.6281943720746566
OFClat_L,-0.315527867692759,0.13327042930498295,-0.06329337099144057,-0.32942398733931993,0.32556017441231283,0.04563993998884181,1.0,0.2548059310779662,0.17717974466498088,0.15393263513856636,0.19955607396863975,0.08479099919526668,0.23622398255122704,0.44039060691186355,0.5502655346708227,-0.0269078486222392,0.2983175880158476,0.12502593494740694,-0.049122621210555016,0.43091278696606167,-0.1958933457611139,0.36890275199960915,0.3235588383935112,-0.02079389720607576,0.16422051197931337,-0.0392586269226352,0.1266426120920223,0.025498982559593868,0.12952641360221742,0.04354354578028549,-0.1379218358821034,0.1994013282776401,0.6162247144163538,0.20047878635797878,0.6908034105266883,0.1529755763059802,-0.018017630480072218,0.4921068036291398,0.026020174083408232,0.44853988724781446
Cingulate_Post_R,0.15514362251187555,0.1529941130087842,0.34492142090747,-0.0009118912794426268,0.5014576149029375,0.1427825988978373,0.2548059310779662,1.0,0.32497640425572794,0.0522369904935896,0.12209478836432301,0.15878083419982006,0.4147964590560483,0.31264683622764794,0.21781751384833753,0.43167925522893025,0.27451684792945213,0.27601559437456485,0.44203820868525423,0.1985518396973379,0.014458110620379598,0.4230742410819028,0.42647571274946805,0.3605712190173192,0.3709626691894529,0.3889685907216054,0.37787218911414444,0.4255202984397588,0.21810233762803719,0.3097615666716625,0.17365654904874553,0.8116683401940102,0.306896426471443,0.2632363610538145,0.1458138676753552,0.316138306641524,0.14767506915758138,0.02231136503338032,-0.011470762974315346,0.3837796188888331
Thal_AV_L,0.1377676706136051,0.691202556716136,-0.014673552773511712,-0.13656904787427848,0.3093023316360051,0.11194198126530443,0.17717974466498088,0.32497640425572794,1.0,0.22464823618768592,0.4817616860081872,0.4085334707904443,0.37341893961917805,0.6031069338598611,0.7126607752580779,-0.19804424544434787,0.32367402529292755,-0.23436481031888848,-0.01344534726479249,-0.15033807219107473,0.12637383015492365,0.46924215886853704,0.6494334349329322,-0.17386757031128583,0.5107629954094359,-0.029081474084632727,0.5254318462897615,0.484718883757197,0.3088918576221955,-0.23884522274730885,-0.046217267450739466,0.24096186957769936,0.3951289507544525,0.5375705392052206,-0.13272111776796983,0.08544459574162064,0.40410238475033533,-0.10049305461825601,0.29453138340708895,0.3649412706300215
Rolandic_Oper_R,0.3229710643207981,0.4274722538260381,0.45998930756836176,0.3405655317299563,0.27820482512079614,0.5777476742980667,0.15393263513856636,0.0522369904935896,0.22464823618768592,1.0,0.5521088269246754,0.3483534314501222,0.5694743612215077,0.5542797222037812,0.30099953145604197,0.18874566382950797,0.6223201813223214,0.26980540388977836,0.38767476031762216,0.033091152600805765,0.3537453869787656,0.41259326942486974,0.5357949727064094,0.12133284279214955,0.34216549161077064,0.21948779284685074,0.5124845860371391,0.6841284554070874,0.6887058904423478,0.3413471130473189,0.4325023854195738,0.3334516676217386,0.4324806675935127,0.5850293671979779,0.2258955015031356,0.6407989389765029,0.18311535969167111,0.12659907936660078,0.8263588791102143,0.4065387126821085
