,Vermis_9,Amygdala_R,Pallidum_R,Vermis_7,Insula_L,Calcarine_L,Thal_PuL_L,OFCmed_L,OFCmed_R,OFCant_R,Insula_R,Hippocampus_L,Precuneus_L,Temporal_Inf_L,Frontal_Inf_Tri_L,Precuneus_R,Frontal_Med_Orb_R,Frontal_Mid_2_R,Cingulate_Post_R,Thal_AV_R,Cingulate_Mid_L,Cerebellum_3_L,Paracentral_Lobule_R,Cerebellum_9_L,Frontal_Sup_2_R,Cerebellum_10_L,Rolandic_Oper_R,Fusiform_L,VTA_L,Vermis_6,Thal_VA_R,Temporal_Pole_Mid_R,Thal_MDl_R,Temporal_Sup_R,Occipital_Inf_R
Vermis_9,1.0,0.24188822931151727,0.00020908064083790122,0.8103732629397724,0.21525922459816124,0.5677910561466831,0.06353388510541558,-0.014914087779618312,-0.06889855290887072,-0.1531613571297105,0.23536292601944056,0.06317330013574665,0.009506231725722241,0.16997047741663796,0.197374011818699,-0.033163401224380044,0.1743350995975128,0.3147401498076032,-0.07296379300123002,0.4828215760462661,-0.005128978526264197,0.3689514716935227,0.02492844233816899,0.8288862277075736,0.26220071272350837,0.21669422118281448,0.3105619362128917,0.37617233216126394,0.4827560433350793,0.6235142225069609,0.11790966008119946,0.2846597962752667,-0.19625725010159908,0.304771405005907,0.6110077436895271
Amygdala_R,0.24188822931151727,1.0,0.5909217960867559,0.16079311070785313,0.18669976831474422,0.04537040569114832,0.32948894840606496,0.19723752108130096,0.28951329268131776,0.2635205925399057,0.30324457754707423,0.48539432920027586,-0.03269763536246809,0.36925439547929056,0.21396938391698345,0.05761785705552752,0.6128277685237569,0.46976982948607865,0.1830765970702889,0.49873945344581727,0.001249315496175479,0.1225970121706711,0.3502308061155739,0.24821950659796974,0.5362357866961456,0.37255129273164456,0.21205562956567706,0.354912432271776,0.16803665156638006,0.12479673992313389,0.39132900891708045,-0.19807046872948547,0.12457674089057968,0.22998422489421466,-0.12216047120284314
Pallidum_R,0.00020908064083790122,0.5909217960867559,1.0,-0.05866960764219948,0.5654770443457201,-0.050109922686998466,0.5900732600124672,0.12001303650916335,0.5244735276630818,0.3146919958683157,0.6269589046544789,0.6291023017253062,-0.05151804831960892,0.39156082735162917,0.6291507813190446,0.1261505511426175,0.7119673614717775,0.6530999676191805,0.1976674393286717,0.36835124309782535,0.11453370092541612,0.1760834233881861,0.47487200337756996,0.09902879773104167,0.6751908991913989,0.5540933342334978,0.38681060150374796,0.45886432288303086,0.13564760282310034,-0.016576057950432037,0.7657605436331669,-0.4649653743918317,0.03797509030356096,0.3746699188838615,-0.33506857101385445
Vermis_7,0.8103732629397724,0.16079311070785313,-0.05866960764219948,1.0,0.18810013795860406,0.736142696552681,0.10569463226950469,0.18160827647582448,-0.09326806242506522,-0.05897778324507042,0.2646113238662845,0.09128014211504884,0.18011764095892893,0.154337907727491,0.17923626800040365,0.12639595642319354,-0.026985498284177026,0.3233436879287664,-0.0038405932792121155,0.35253829614550775,0.16255580437611084,0.4424812854211518,0.09449026694455676,0.8510872728810809,0.2509634595422428,0.23234979098322026,0.31393715800319916,0.398520662717431,0.4726669689918212,0.805801948329194,0.014031856021020774,0.4516270454680559,-0.09910751462133112,0.40498971083033924,0.629444690426005
Insula_L,0.21525922459816124,0.18669976831474422,0.5654770443457201,0.18810013795860406,1.0,0.2976418303202499,0.4002483995299304,0.26922374203763855,0.3898990977911371,0.2579586263561929,0.8270703787599353,0.5768599717325281,0.13015270758179046,0.37713975983974196,0.8493724566556099,0.26470110713006517,0.4946065291121405,0.5995813399756523,0.1327297155978948,0.16896719887125233,0.0577454078602776,0.4752289119049258,0.44270255027550454,0.3357025512212406,0.5623002198461868,0.5026293496735647,0.6728758197846126,0.5095025091041732,0.16614847826305076,0.23153775107314892,0.6239088335056326,-0.18052775232363777,0.13743836838153312,0.4611295162689719,-0.03567954343412343
Calcarine_L,0.5677910561466831,0.04537040569114832,-0.050109922686998466,0.736142696552681,0.2976418303202499,1.0,0.32247469728773137,0.20993292327920143,-0.2610713862193643,-0.03485827220428854,0.48986074033843047,0.3456527467962099,0.6820905165381324,0.39833244888837377,0.2636252063742221,0.5971409279780932,-0.19864626309707656,0.4360124512720636,0.17365654904874553,0.41529691629389304,0.6008221478368498,0.7280788440838656,0.4580177174490969,0.6902465627826563,0.3583486704753463,0.4282542852457665,0.4325023854195738,0.5835570142311849,0.5033485932681767,0.8480510586956221,0.021965428525234358,0.42273984171436907,0.07632135119891245,0.5969046654877747,0.6253260312997004
Thal_PuL_L,0.06353388510541558,0.32948894840606496,0.5900732600124672,0.10569463226950469,0.4002483995299304,0.32247469728773137,1.0,0.1644355648999908,0.24679629627586808,0.26341155576917863,0.6042424829348537,0.7371827810190834,0.25936693186775556,0.6311215118865942,0.5206540373684393,0.37387356713462266,0.38354347983469034,0.6803671057032855,0.3709626691894529,0.4857958394827671,0.573304377353827,0.4958364176342626,0.5811184169479212,0.31892312353858715,0.7530953596822183,0.5834301761134341,0.34216549161077064,0.6152432453693368,0.3337419065718129,0.20209768419424737,0.6105162380008329,-0.09269734071749702,0.15600372614789793,0.489618244388749,-0.08180751475271385
OFCmed_L,-0.014914087779618312,0.19723752108130096,0.12001303650916335,0.18160827647582448,0.26922374203763855,0.20993292327920143,0.1644355648999908,1.0,0.4835139810892419,0.7813695033283138,0.14926355651615908,0.40220228989460166,0.19314713982705964,0.28885683029448617,0.19138430065343018,0.10445647002084629,0.16352358765132105,0.3624562853802645,0.0405685580210045,-0.2358945235383328,0.05306580673921068,0.2658889310533571,0.23400106544511487,0.21446229713837206,0.27637517924810695,0.17025462971679392,0.3004578351150507,0.30398079020072005,-0.09864248506992597,0.2425802518374421,0.034574827768260784,0.3558940087171962,0.6172477469352976,0.355197123185192,-0.25658784143044366
OFCmed_R,-0.06889855290887072,0.28951329268131776,0.5244735276630818,-0.09326806242506522,0.3898990977911371,-0.2610713862193643,0.24679629627586808,0.4835139810892419,1.0,0.7307597696884044,0.1770058575917091,0.4234149747426453,-0.2580302454817122,0.22241185854019413,0.3805252611091874,-0.19089664342498103,0.6610420382354908,0.43571197596837336,0.04723579324775535,-0.16866570500119765,-0.2444077797239766,-0.05178227544294683,0.0765092224013674,0.05990361956808619,0.3604840904398559,0.20200839075156496,0.2941136027100193,0.218510976061499,-0.12667275505061343,-0.21612771665108002,0.5282852384579435,-0.2344314008363613,0.31165504951970735,0.19141482205832602,-0.6093164113025255
OFCant_R,-0.1531613571297105,0.2635205925399057,0.3146919958683157,-0.05897778324507042,0.2579586263561929,-0.03485827220428854,0.26341155576917863,0.7813695033283138,0.7307597696884044,1.0,0.13305301669703803,0.5074314154423533,0.03100527334088951,0.366460819654201,0.2675653064841414,0.045517995304480675,0.40012598442328456,0.46837980295207765,0.15624819557253464,-0.20086701230587944,-0.03237220018495448,0.1490169146090875,0.2717760148584389,0.0897345543205448,0.403979269725396,0.1919848932285852,0.27219340413340914,0.3372151181101185,-0.18525215307187023,-0.014652134808469957,0.30288474685281497,0.12358814437992187,0.7140791523349501,0.3055526868508182,-0.5772057136451495
