,Occipital_Sup_R,Precuneus_L,Frontal_Sup_Medial_L,Thal_IL_R,Cerebellum_Crus1_R,Supp_Motor_Area_L,Caudate_L,VTA_L,Cerebellum_9_R,Thal_MGN_R,Raphe_M,Vermis_8,LC_L,Vermis_9,Rectus_R,Calcarine_L,Fusiform_L,Frontal_Sup_2_L,Pallidum_L,Thal_MDm_R,Precentral_R,Frontal_Inf_Tri_L,Temporal_Pole_Sup_R,Caudate_R,Cingulate_Mid_R
Occipital_Sup_R,1.0,0.827677663257119,0.15322673762781608,0.5707736575170965,0.43309207264302674,0.4218502635564053,0.1509018217090771,0.4490541050277345,0.42018325322180067,0.46922213422408887,0.3514394720383724,0.20689653138174127,-0.01088600991877549,0.34191420696869884,-0.22044410548794985,0.8190064308564505,0.3668655163475883,0.3001544917997077,0.12279265726312776,0.4268080411516474,0.36415694440924024,0.11310076773677405,0.38682610855105865,0.1040461045587179,0.45352942086389547
Precuneus_L,0.827677663257119,1.0,0.20443164673349767,0.4812194292361724,0.18130261285792956,0.40640940689490407,0.16452531292982764,0.22007318804039397,0.25481308279552134,0.3446759950662542,0.16531162093135876,0.15566129119063907,0.07950173687405192,0.009506231725722241,0.052129867733898286,0.6820905165381324,0.3136983619200175,0.3569328361702377,0.28473305013526995,0.5617763448377276,0.3352360998836748,0.11798165896070567,0.10053789263036592,0.12418310890317952,0.5671937094668557
Frontal_Sup_Medial_L,0.15322673762781608,0.20443164673349767,1.0,0.4084856633106543,0.2658284532755851,0.76548306629378,0.7112186462691179,0.3967374187150233,0.385333340965688,0.10105065742581325,0.3365389247158684,0.1710304955599297,-0.021814978669959767,0.19960845201932828,0.3021190705398174,0.31874446853448196,0.6698270091526033,0.8835564387976769,0.38011297735691046,0.3025616535544894,0.8339812855003551,0.508403227318454,0.3168216877676253,0.855212715175417,0.7418493736746608
Thal_IL_R,0.5707736575170965,0.4812194292361724,0.4084856633106543,1.0,0.3353139221291126,0.5810079463645875,0.45884912032601055,0.41962687787988295,0.20968597086198257,0.619530761865423,0.3153490281914942,-0.05992427934184654,0.1346654362115268,0.12555258445365075,-0.1685284567332659,0.5087158929478531,0.4441096037053817,0.5492191055230073,0.45566424255766025,0.6760180624119067,0.5094187573941288,0.5513228595650436,0.25859297756805305,0.34521600178841877,0.46994959122166385
Cerebellum_Crus1_R,0.43309207264302674,0.18130261285792956,0.2658284532755851,0.3353139221291126,1.0,0.29508507726049743,0.2693458661079687,0.5163620533702452,0.8421208368927834,0.49741366558565503,0.7179226721520147,0.502748068550766,-0.40944477621815495,0.8299520793962252,-0.17713065950487192,0.6398665934098888,0.30148736586659497,0.3245761451579638,0.09490358209509216,0.15341041168647684,0.5393325633568071,0.22141095363047777,0.7742407650396196,0.3587493593048646,0.2797524339046784
Supp_Motor_Area_L,0.4218502635564053,0.40640940689490407,0.76548306629378,0.5810079463645875,0.29508507726049743,1.0,0.7510255587156279,0.34009093318042605,0.3486766944064097,0.4355613204318175,0.3065217758531211,-0.03498512427908423,0.17408424842095593,0.19398263789046183,0.2106325594614353,0.469090817003728,0.7186869307530023,0.8659740640836497,0.4276632466717661,0.40020996692545396,0.841473732257937,0.5593008084454517,0.25719747927038317,0.695775402101808,0.6587053661503531
Caudate_L,0.1509018217090771,0.16452531292982764,0.7112186462691179,0.45884912032601055,0.2693458661079687,0.7510255587156279,1.0,0.21203148434476962,0.34309576178084306,0.4082552949214814,0.3132237556669875,-0.008228832363807552,0.15637325759606974,0.17089150621435828,0.2726604885746941,0.2626403934865397,0.6943166339565177,0.7746392669394185,0.5963301753269913,0.35942427789940407,0.7052171260303213,0.5100081442760824,0.19345759624714903,0.6721915411751104,0.5663766795858972
VTA_L,0.4490541050277345,0.22007318804039397,0.3967374187150233,0.41962687787988295,0.5163620533702452,0.34009093318042605,0.21203148434476962,1.0,0.434868040402356,0.27935691049678796,0.4825834743145202,0.31333742990190105,-0.2899681409025117,0.4827560433350793,-0.25817659517301045,0.5033485932681767,0.33741807756408343,0.3824744208719227,-0.10441460607604786,0.09645426907085514,0.45855037460368087,0.1754686346498457,0.6110102578387497,0.3656891320596915,0.35308264512882176
Cerebellum_9_R,0.42018325322180067,0.25481308279552134,0.385333340965688,0.20968597086198257,0.8421208368927834,0.3486766944064097,0.34309576178084306,0.434868040402356,1.0,0.28917204756305726,0.6504673888101824,0.6260405578691703,-0.4335994796322593,0.7787019368207122,0.07985824629978026,0.6989576576374307,0.4869427093667833,0.4165711758733243,0.24320494620427457,0.2161134980604398,0.5937280851096403,0.28234081985330084,0.7125539953361102,0.42662531555149846,0.41965863612388016
Thal_MGN_R,0.46922213422408887,0.3446759950662542,0.10105065742581325,0.619530761865423,0.49741366558565503,0.4355613204318175,0.4082552949214814,0.27935691049678796,0.28917204756305726,1.0,0.36985998753929866,-0.022467000596942423,0.021843529770979014,0.300406586332428,-0.14611895579832798,0.4317677548379478,0.2684272599780181,0.36091015524505493,0.3553950991408795,0.4860807668426761,0.3690208336032138,0.41601936061460415,0.3683495789268174,0.17211734380872037,0.18593514375451925
Raphe_M,0.3514394720383724,0.16531162093135876,0.3365389247158684,0.3153490281914942,0.7179226721520147,0.3065217758531211,0.3132237556669875,0.4825834743145202,0.6504673888101824,0.36985998753929866,1.0,0.499339308197693,-0.43851214756099177,0.6594055039066536,-0.058732819526457786,0.5761842260888019,0.43175866510447614,0.371493850255128,0.14559737330126066,0.18914764755751248,0.500941234902594,0.24679494220020942,0.6053610525524035,0.4087383521111045,0.31710383338153697
