,Frontal_Med_Orb_L,Thal_VA_L,Cerebellum_Crus2_L,Frontal_Sup_Medial_R,Precentral_L,Putamen_R,Cerebellum_4_5_L,Cuneus_L,Insula_R,ParaHippocampal_L,Cerebellum_9_L,Thal_MDm_L,Vermis_1_2,Thal_PuA_L,Frontal_Inf_Orb_2_L,Cingulate_Mid_L,VTA_L,Thal_PuI_R,Thal_VPL_R,OFCpost_R,Frontal_Inf_Tri_R,Lingual_L,Thal_PuM_R,Thal_VPL_L,SN_pc_L,ParaHippocampal_R,ACC_pre_R,Cuneus_R,Temporal_Sup_L,OFCmed_L,Cerebellum_10_L,Parietal_Sup_R,Heschl_L,Insula_L,Cerebellum_3_L,Frontal_Mid_2_L,Parietal_Inf_R,Supp_Motor_Area_R,Cingulate_Post_R,SN_pr_R,Temporal_Pole_Sup_R,Caudate_R,Rectus_R,Vermis_6,Cerebellum_10_R,Temporal_Inf_L,Red_N_L,Parietal_Sup_L,Thal_Re_L,Frontal_Sup_2_R,Heschl_R,Raphe_D,Olfactory_L,Frontal_Inf_Orb_2_R,Paracentral_Lobule_L,ACC_sub_R,Frontal_Med_Orb_R,Pallidum_R,Frontal_Sup_2_L,Fusiform_R,Angular_L,Parietal_Inf_L,Thal_LGN_L,Temporal_Mid_R,Rectus_L,Hippocampus_L,Thal_IL_R,Temporal_Sup_R,Thal_PuL_R,Thal_PuL_L,N_Acc_R,Cerebellum_3_R,SN_pr_L,OFCant_L,Vermis_8,OFClat_L,Occipital_Sup_L,Thal_VL_L,Thal_MDm_R,Thal_IL_L,Temporal_Pole_Sup_L,Calcarine_R,Amygdala_L,Thal_LP_R,Cerebellum_7b_L,Vermis_7,Thal_MGN_L,Raphe_M,Temporal_Pole_Mid_L,Cingulate_Mid_R,Olfactory_R,Postcentral_L,SupraMarginal_R,Hippocampus_R,Frontal_Inf_Oper_L,OFCant_R,OFClat_R,Thal_PuA_R,Vermis_9,Cerebellum_7b_R,Caudate_L,Cerebellum_6_R,LC_L,Supp_Motor_Area_L,Cerebellum_Crus2_R,Rolandic_Oper_L,Temporal_Inf_R,Cerebellum_8_R,ACC_sup_L,ACC_sub_L,Red_N_R,Amygdala_R,Temporal_Mid_L,Vermis_3,Paracentral_Lobule_R
Frontal_Med_Orb_L,1.0,0.3499187746198215,0.13367031763465453,0.13504659088164078,-0.010832389390860888,0.18921068724007917,0.23819939690552902,-0.18947034085627493,0.19886859421839911,0.33845824468855046,0.1299991637204211,0.15403181347217135,0.275270577675311,0.5068672942955995,0.3424039539988525,-0.09238930991534905,-0.03306776935343298,0.019793733003072748,0.43611137435461583,0.44443811688012225,0.22145749463807937,-0.09822720006741066,0.11410122080060753,0.2238361127102958,0.142977940789946,0.15489777110058486,0.3344970362054684,-0.3701398098575383,0.21754096894559644,0.1488104038295434,0.2146495440697579,-0.34781345210043435,0.0870537664633845,0.13560670257457666,0.0011278868907481287,0.2606301208723733,-0.08449167254787793,0.20721066609125,0.03192532053345586,0.26652866448282514,0.1667564431175264,0.35634872268750284,0.39476719608912303,0.056047167782861916,0.2209857922782695,0.1785069877318614,0.23093661580972652,-0.30303961515527883,0.2667601824349331,0.34303194751408134,0.32328073052867157,0.1954838416788964,0.22893339577107513,0.7237973318738629,0.22356278643129626,0.4752845065601977,0.5256406210521806,0.5496256164634241,0.3017989464758698,0.20069954181705613,-0.3731430748033787,-0.18065752789342204,0.0007286664111758004,0.054619905103306686,0.18481614214774722,0.30333649999820816,-0.05616258319284976,0.05165102516425852,-0.048611507336689716,0.20360646207962368,-0.06302801003427,0.2664731103282696,0.28517922551633995,0.27321099415007694,0.12654252165009444,0.26031222394574305,-0.2752680343361028,0.41358909757767665,0.03647963910422179,0.13291946211740502,0.1378459285722408,0.08241106217088028,0.43700697405948674,0.3536188370389088,0.347392868193452,0.11467238693397346,0.38935631085973665,0.13255665740278227,-0.06929914884146265,0.03147642829876914,-0.09516719779060866,-0.14364477867956815,-0.0220959977415982,0.48551473914853965,0.09721743588230244,0.1856425287710687,0.3667421998643952,-0.20011645900453323,0.15102021819768133,0.15491719929045356,0.5304656889521797,0.300178688725319,0.005105096377590034,0.30839858700654715,0.08966372504694912,0.09139153643206427,0.17444869709131672,0.002110958299788004,0.26556847903461805,0.4499060147544371,0.6395387636434193,0.6927531210483615,-0.05037149460061278,0.08749127665884338,0.17110435251266345
Thal_VA_L,0.3499187746198215,1.0,0.09499883739369229,0.5668866965438777,0.3669756906202005,0.671611767986494,0.5998587651722651,0.24593424376061074,0.5800371784234358,0.5678215642508684,0.22066006906452126,0.5610997300830904,0.6036818229526671,0.5076603076351268,0.45714445704591633,0.3779258618427219,0.16931377513396212,0.3967745725155629,0.5033646637954431,0.4132293580111955,0.41278828851651567,0.21221925764544666,0.5479689865911902,0.48175810201579067,0.3839870719771622,0.5601766742078433,0.534209495257441,0.24594311713806677,0.54256684509738,0.30023740053491726,0.4940920175433918,0.1180469056972642,0.508470019674234,0.49548631586096936,0.39210234975433944,0.6240629974562478,0.3480026141546157,0.5723273650543489,0.4230742410819028,0.39526858718617786,0.15702148942492197,0.5803095524895038,0.3552500974659446,0.22606848561147358,0.6246137987603413,0.48771958709497715,0.37418943954417616,0.08883506052399374,0.3973576157287628,0.6286100417966924,0.5183908477774105,0.36753630886074296,0.36710406580881355,0.49117130672921494,0.6213116708207174,0.4473460394691292,0.35286776863330943,0.5810592935499549,0.6880366999528319,0.3552214388046616,0.08771989433880673,0.27225227496839566,0.2598755124827231,0.104574594600533,0.27522893786140773,0.6130064107310026,0.4162773705261876,0.4027917048818525,0.316532993361667,0.5173353730697298,0.12314693540492484,0.5403824563251192,0.500652530962092,0.32069397307711256,0.18070324438023647,0.36890275199960915,0.11124050041164621,0.5862311233656998,0.5206835414400812,0.5533166438252427,0.28893719948764035,0.30599537103719987,0.5108857091288111,0.4904208830163895,0.30920121414001667,0.12582312376505614,0.3548032438403316,0.23444306252204353,0.13450466303299743,0.52523055888095,0.3189749449686755,0.3271563945015857,0.39557061852239817,0.4798181090710492,0.4797417800184898,0.3216993020815962,0.34467400315419217,0.2687210749292018,0.012839729746399214,0.008524009959368539,0.6463354314171218,0.307649964920453,0.01096417784209853,0.6296896898660991,0.16107040554029212,0.5398105416496132,0.09940429735082712,0.263681201986383,0.5930676698971487,0.29795971358606116,0.414322857767191,0.3838925562204176,0.3453972571054323,0.5199518811359723,0.6090731563479485
Cerebellum_Crus2_L,0.13367031763465453,0.09499883739369229,1.0,0.4371476120230629,0.15456206387390078,0.18277080935778692,0.2333992195651492,0.0046860483571320175,0.12511156177214344,0.2771955689374961,0.5519907743615847,0.06213221476314082,0.17283208859166366,0.46918496707382956,0.2705059375800162,0.06470794660232998,0.42016145344471156,-0.2064459683189914,0.48544114261895804,0.4100904070022432,0.29951683584038274,0.1660257036710961,0.15732608573155077,0.053730834914516745,0.42278668728895613,0.19698041355286958,0.3020072611515554,-0.09433134894481007,0.1561920640537079,-0.3152585425968074,0.2541360958500673,-0.33643114483372644,0.13826171654845146,0.05744478376872798,0.2073909611650855,0.19253572595934096,0.06584518431974667,0.38126388660169713,0.08795397210794696,0.5446045003355272,0.4447413039989416,0.3401487817492268,-0.32374488109868765,0.2390053347905121,0.1912604867526259,0.26753300556049275,0.43382830083079443,-0.1838696109724249,-0.37939047254091973,0.4085149813825844,0.3933897313372099,0.27779832159547835,0.20759700334706427,0.27946948532380994,0.3162935893609003,0.15702857440476162,0.22032156516203566,0.11763411531484366,0.29161059934760347,0.19442087444574097,0.02077406420456248,0.012722260767975562,-0.2639077027235905,0.23820354099135282,-0.017820158668963883,0.20517253090227688,0.1949747302764655,0.05904516913219137,0.13753825944772108,0.2305456790632461,-0.1778351536535721,0.06211870196278525,0.2863071922452827,-0.19787027228110457,0.00814534406071587,-0.3664541116961191,-0.009074289111876598,0.2076648321654606,-0.20494412776971654,0.30323281808478336,0.36612613508272196,0.4182244068348629,0.1629155974128038,0.5003142573934309,0.5328344219803312,0.3971579490709832,0.3248368993873112,0.42997705060224234,-0.15681438979531273,0.2527113345548785,0.05821103739280989,0.12318854403875808,0.22322369203914302,0.32494059087492666,0.36646802518967614,-0.23661760289605518,0.07504472258440908,-0.17049131060487616,0.5420494860644153,0.41166669716830284,0.3420225055341996,0.5149593311963592,-0.007883373657354606,0.39451176215423356,0.37906428881523935,0.36552419227833516,0.16540766439917862,0.5025668125906746,0.47410465533704726,-0.33682842942947255,0.15751256480791728,0.28696285449631637,0.17428706842631642,0.39986879655638613,0.1474918772173615
Frontal_Sup_Medial_R,0.13504659088164078,0.5668866965438777,0.4371476120230629,1.0,0.5067543668245155,0.7442314409830976,0.7547237497652795,0.2672182656299111,0.7004857160462206,0.7179376264987329,0.469262187741468,0.5839272919885522,0.6898038977846642,0.6794706869579802,0.539278477947142,0.4590542465799028,0.4995048524364901,0.2992445205503653,0.7934812523649427,0.6139965221587417,0.6590702060011189,0.35712818272841296,0.5387340093409053,0.553847239441756,0.5923037236180277,0.6677973136347651,0.768519274474994,0.3548672928518873,0.6788015628574424,0.15273461682382558,0.6984609856158632,0.044137305858767406,0.5640354231352397,0.5606195722739794,0.5604704688139113,0.8272668341787209,0.5284788370067184,0.8284599089840736,0.4020031351597898,0.7228074338358881,0.47290249497601217,0.8228796198984971,0.145107491134605,0.3915730565704438,0.725027750379126,0.5806513458017851,0.5567622673083611,0.1071789809957248,-0.031349790722923494,0.8919094963954832,0.7029023178200677,0.5606481457794941,0.49490651980396133,0.4392063466285991,0.8266110427941289,0.48114828437080437,0.4311484889528254,0.5522458210640507,0.8862989027925734,0.5865859866591957,0.1474279299569904,0.3286716153545329,0.08300115816430267,0.28903466304326697,0.32807609701747553,0.7810622974977112,0.6245035453641757,0.6265069674830429,0.43533885432659036,0.7573035449413825,-0.04135919724853735,0.6056435735705321,0.5550134655957293,0.2504302431229551,0.12549214080178683,0.13398881320822892,0.08992420646438887,0.638577555526933,0.39265833321658306,0.636111947967611,0.42006214612401765,0.5776353641659905,0.5071931897674978,0.7005056593425492,0.45821988724451795,0.2670232384605995,0.5520249766039861,0.3873096251865505,0.1139776504774286,0.7130962337572292,0.37133317227866325,0.469341133153615,0.6730778411503888,0.639073414030381,0.6425417531163071,0.21626021740877277,0.3248398695228839,0.13077049706297542,0.3012891663979107,0.1464081779655832,0.673956798120952,0.6072715236704169,0.08655052141694553,0.8206407426487162,0.2184525347509505,0.7921777371046129,0.2747539093637426,0.49726961786211216,0.9029557064358901,-0.07843625055093968,0.3059880356710936,0.37252838546642364,0.2979320349043859,0.8014472275692521,0.6796146803373683
Precentral_L,-0.010832389390860888,0.3669756906202005,0.15456206387390078,0.5067543668245155,1.0,0.4986626065104997,0.541079851669433,0.5518075614967176,0.5009111666858389,0.2674267280802061,0.3788433610485973,0.5836647322286138,0.4335302695740474,0.24676947699727664,-0.07104821068441645,0.7275344699102256,0.39722419703336903,0.45071946449730604,0.3679200565382304,0.2457689480888008,0.3961462228829163,0.6171234218396523,0.49177687980717705,0.36729527516056015,0.03599042520329288,0.6387258671505188,0.35699789487355477,0.5914120341835443,0.4134776598249438,0.15732547254536153,0.5497989577979626,0.3588983978576594,0.3905731928340271,0.16428390898235767,0.47927332023218044,0.5005483774869786,0.5924117512514321,0.7234513533283673,0.44203820868525423,0.19368671910920135,0.49214802656120754,0.4608043634766707,0.12961413639048092,0.6251484337770823,0.5280000174892118,0.15408357549810303,0.22956327317048494,0.6364168560440551,0.25126556566274016,0.39544203526988847,0.2663029468249748,0.15062245972653537,0.04695454074398582,0.2762872907470679,0.7220189769829993,0.06109145322376908,-0.04173731548155557,0.16916146838328314,0.5332136909141854,0.6331619449927439,0.48251615485939936,0.7530789197837053,0.15540100332331186,0.5574960956542591,0.10568524040288374,0.3303728726423167,0.4854119883758239,0.6911581224750001,0.5551613508135309,0.49755120734901803,0.46382319761249174,0.5865719483084817,0.19758613675936207,-0.06261665391414084,0.4166753223029373,-0.049122621210555016,0.4539658961679433,0.16569080826094287,0.5396701560547147,0.5963492389683562,0.007196028125547249,0.6614103427710143,-0.10390695506202376,0.38636482975280134,0.13655749269741163,0.39733588438022255,-0.011069690686533707,0.41808966505266065,-0.16582980526979788,0.6754082724062637,0.35520253628167353,0.8817360762645756,0.6500527832315376,0.35911498605439873,0.8075959912703222,0.11571416763909166,0.4713352758715399,0.38623980456574336,0.23445222220251222,0.3252687756089311,0.3195799453250339,0.5179804154804486,-0.09575185565100941,0.4069450046082205,0.49588457022645155,0.5787515885465352,0.46094480773540203,0.5152561291731289,0.5579818830098379,0.1429105910749521,0.3440912504551451,0.14100215876025976,0.19786417882885277,0.5346850063820329,0.5881276891159651
Putamen_R,0.18921068724007917,0.671611767986494,0.18277080935778692,0.7442314409830976,0.4986626065104997,1.0,0.8515105457645396,0.2177463041403152,0.6409338168123818,0.8077319775537224,0.31323175426867883,0.7301525735660034,0.7930735110241679,0.602345957452384,0.47161578046637304,0.4838351448094966,0.2731877086986736,0.42249504038153174,0.7002548351142526,0.634713625720549,0.5893415375625928,0.22876380846729297,0.6192218660147857,0.7552765331011468,0.4347895409182898,0.6156337092987192,0.7721126768460892,0.32584242293870946,0.6896591112454665,0.3883282869700113,0.7203956914310456,0.10565564388292784,0.6521614719521565,0.5123225173455824,0.516890384387123,0.8038666759038962,0.420542657363872,0.7257011735424347,0.38880182295418303,0.5598571772943207,0.13608434725239793,0.8347527503115131,0.4969459805362202,0.295249850296611,0.7791873186191624,0.6411724714838082,0.5578445354795665,0.05314108263598925,0.23687351242123153,0.8187795158556879,0.6946242546361355,0.6558994029823614,0.5699938004980052,0.371203750738133,0.79674974454928,0.5398789487350542,0.45638978901177885,0.6907100959897294,0.8442029966331168,0.5886333241232247,0.05494539201979262,0.27740479273927676,0.2990481511082687,0.15044435309567003,0.5497386964506046,0.8339172454947591,0.4882938758057269,0.6516201304175987,0.37193083064802934,0.730528778754261,0.0737636063686116,0.731931395030712,0.6697335157058074,0.47911926264711796,0.24297550683342817,0.41350799103864555,-0.0291458498813636,0.7864301183327395,0.5875623447335184,0.6161477947230404,0.2104978524446156,0.4270061638051104,0.6020990736743072,0.5066144475052222,0.4257754730901124,0.12328165949561118,0.48688378916485126,0.32547135117628573,0.16050287339022687,0.7406723019657929,0.19915670714836128,0.42636905385361096,0.5500550163766399,0.7115108973652456,0.5561173816674121,0.5280487849689337,0.41745389838449776,0.197491951241435,0.056868899507468124,-0.05401391268464053,0.698816774258517,0.4243895957243766,0.03878280914061951,0.729904953977532,0.10015128748436462,0.634744010866289,0.22599112642875507,0.25060563804406943,0.7027092021374612,0.16911257139475291,0.31858396931227656,0.43991558170465545,0.2772754816094201,0.7703194866665162,0.7499849885162406
Cerebellum_4_5_L,0.23819939690552902,0.5998587651722651,0.2333992195651492,0.7547237497652795,0.541079851669433,0.8515105457645396,1.0,0.29208553269695176,0.6694145532224837,0.752885719492873,0.49077232564424295,0.7178273509036805,0.8112063846072405,0.566414304591467,0.5205881827695207,0.4295682063485409,0.2842671750001277,0.4922859076759594,0.7205633535481003,0.6330891321388304,0.6998933202700812,0.4496014194907963,0.6495881987976148,0.7169122816449686,0.41481892878282317,0.686269518782809,0.7144872870725351,0.3677816482641918,0.7557469645322713,0.40756381094719096,0.7635049887821963,0.07339386860499897,0.6809688139810581,0.5830833788236057,0.6639535639310598,0.8178440550069381,0.47434850733512685,0.7703425148640128,0.366191353385056,0.5555778229853253,0.323351455672958,0.8031507783858797,0.4436725262919932,0.549197092644651,0.772866961299388,0.633486653712726,0.6512118600934983,0.10215146969804259,0.25496972977506843,0.8231897398513287,0.6150937778544386,0.5465233521273043,0.5451451114187009,0.4576171070453602,0.823420035640598,0.5261962358197075,0.41958507383749133,0.5740948271069368,0.865031227557585,0.6932662673620728,0.1192833639929661,0.35881073985101863,0.3796512395429324,0.3189248594747515,0.47773159738733467,0.8343562128479927,0.4494066181912876,0.7275845672192595,0.47342958588172895,0.6417794771792888,0.1974532758868809,0.8029091707009358,0.6868220513527626,0.45433108899025965,0.29455727203334353,0.3380684159177873,0.08538908349819353,0.6958459395163777,0.5255183499721034,0.6892128339100468,0.29981566106653373,0.607187344228976,0.5022505249261091,0.5972117210494886,0.5489184910800586,0.35567219002648753,0.4444756633738732,0.39379687314356254,0.07968709403952709,0.7443369707271739,0.3100369893091392,0.4943011373535109,0.619394097431626,0.7501652702880809,0.6569209798211866,0.46642599085339803,0.4355248317439459,0.23624003691642959,0.24486924375496796,0.08503113950906573,0.682563330675464,0.6234148628772768,0.029262996322518355,0.78416506594696,0.18111024990578015,0.7539472839567658,0.33559918807078815,0.4202583730419365,0.7405679377628752,0.25260465775928503,0.48035245954426714,0.4116790459003999,0.4368841195549558,0.8236909075833415,0.7531459508524687
Cuneus_L,-0.18947034085627493,0.24593424376061074,0.0046860483571320175,0.2672182656299111,0.5518075614967176,0.2177463041403152,0.29208553269695176,1.0,0.2956078506272408,-0.01398653252037503,0.22766931820529104,0.5777867633728141,0.1421879275292013,0.08749019135541736,0.0063828534823128415,0.7673185532424853,0.3165306976991694,0.47801281548155633,0.13127005756145388,-0.11525621595363084,0.061822623822684886,0.7147556284334264,0.5544252999034287,0.17677266351517892,-0.08877874667364721,0.3263500648752998,-0.05855910164226622,0.8342976303208793,0.2983953404598606,0.025279203635403008,0.27512113659471327,0.7736921952700619,0.17268604862340695,0.037226641790218146,0.5341385681850928,0.22739063719793243,0.7999166691292036,0.5232336503448504,0.3605712190173192,-0.1214931108955223,0.19315194611066672,0.02074530052102552,-0.16891772291928323,0.5135920520483833,0.3563593082894421,0.30425026728610893,0.04224846923633466,0.8407930122998064,0.243076738434868,0.13188108619215347,-0.04436866306480248,-0.08010622065275412,-0.2139796968328233,0.003376201182000511,0.5290301499637108,-0.3638359579209219,-0.42930595078799166,-0.1805496728612964,0.2693975673045769,0.37436897323490037,0.8263130397293796,0.8311402752354271,0.1532308244603336,0.46507234467209185,-0.1928516828844003,0.2380783405789129,0.5254220550868623,0.36576708633789673,0.8001949208449466,0.2737894582777365,0.5706289843269944,0.26118198748589544,0.005987340552675629,-0.2523644146369307,0.08718241581785556,-0.02079389720607576,0.8725845199965392,-0.13215741919769297,0.461893522406137,0.5700253000608343,0.16996661368250263,0.6158477307148494,-0.233358492543167,0.3119585931570932,0.03895978192219677,0.250320527789987,-0.2325469846583973,0.2020097076400343,0.08948088416527318,0.5444688545428241,0.3119353945742579,0.7399798820316289,0.6637021827221415,-0.03764418000279522,0.4391627558680752,-0.16224732658525032,0.43445437209255755,0.7475861511491363,0.09766645312263644,0.15214326195214978,0.13272628231813413,0.33571029103435385,0.07762323150362778,0.3591370693757917,0.1359703373892588,0.2983061358440441,0.07464894903364633,0.37683217523937185,0.388045981162771,0.08376650563727016,0.3218076150301711,-0.08736852941085241,0.5416339995657917,0.3099288837029298,0.5287098377780487
Insula_R,0.19886859421839911,0.5800371784234358,0.12511156177214344,0.7004857160462206,0.5009111666858389,0.6409338168123818,0.6694145532224837,0.2956078506272408,1.0,0.610498563858476,0.34742461663628205,0.6077404152558593,0.6872715558116776,0.41568384674347103,0.433727458970968,0.4341883822858844,0.3561908963376424,0.6833594576865382,0.4241182943059099,0.4322474802026395,0.7853069119858567,0.4360839776622975,0.47748970201721863,0.4244994630835216,0.3963864194236312,0.7169140656290653,0.5762747536785923,0.3764365587500126,0.5603266163453944,0.14926355651615908,0.7141579360289766,0.15075934543967945,0.5013086586439454,0.8270703787599353,0.6356703951143311,0.7164509844769049,0.4906709124182943,0.676431157662041,0.21810233762803719,0.507901950428988,0.3798729681063467,0.6247335110797159,0.2829929878230854,0.4621503995457779,0.7131619837108971,0.4010754534473919,0.4421018102263232,0.19824983475349794,0.31766124867512735,0.6667234618044935,0.5814446306042154,0.2817358461760546,0.4912569925071815,0.6210570160633784,0.7093447942907308,0.5526023939615115,0.382139750053707,0.6269589046544789,0.7659640468620438,0.6098667894522328,0.05823805999466086,0.3331844060351709,0.0891180691313821,0.37307791963825726,0.10996930330546101,0.6278703589044401,0.7420195838186145,0.6804783227785085,0.411714915141152,0.6042424829348537,0.011738072289697978,0.7034844891960174,0.35865878017870767,0.1231524754105093,0.16151834383692495,0.12952641360221742,0.14926968126451676,0.3953923557311042,0.7323538165353104,0.5922733518012113,0.2078513518044956,0.5364310116923275,0.29666765346833773,0.5171347433065764,0.3376590151166763,0.2646113238662845,0.344878819330756,0.39307366241936936,-0.009742683192973762,0.4559674890096185,0.695140019192033,0.4543970406063538,0.571043770729352,0.6583506886479945,0.6268046485652662,0.13305301669703803,0.35672418029288516,0.26622739364042197,0.23536292601944056,0.18615879734623703,0.5355348808713892,0.535186088117246,0.05481024164307914,0.6812088420184644,0.11255158280730765,0.7439615554594383,0.3258252489996177,0.35692287967190955,0.6872852247284433,0.35904517336149205,0.4798514716585559,0.30324457754707423,0.2815582076751971,0.6136654483839132,0.6676018001953788
ParaHippocampal_L,0.33845824468855046,0.5678215642508684,0.2771955689374961,0.7179376264987329,0.2674267280802061,0.8077319775537224,0.752885719492873,-0.01398653252037503,0.610498563858476,1.0,0.22519808680106262,0.5128600998704157,0.7818741530745148,0.6326725395580061,0.5323665387221856,0.21529910716938452,0.24445286426906182,0.2063529015628534,0.7072675673542814,0.637754253906282,0.6325432980019524,0.016470273738821387,0.4508293332275491,0.6546357876772776,0.5805843198784646,0.5985729662998985,0.8121956570735376,0.06593103198370481,0.6576543460138488,0.2342838242102418,0.6949730532541328,-0.11520406433606399,0.465682724724534,0.5656114481072471,0.42683152952620895,0.778969796027735,0.2162767791104538,0.5939654016514916,0.25550231443612287,0.7568652516595795,0.10110105107696485,0.8064657162908995,0.48765492356589674,0.08352000522016288,0.7036079348790293,0.6074352351084509,0.6138204928929469,-0.22391855943547057,0.139799503906059,0.8091268159397729,0.668291670790062,0.6603372404564612,0.7212248305739506,0.5131200120667845,0.6576941021240644,0.7036852513889614,0.6907691388855324,0.7503742511272878,0.810837134971211,0.43685911856674353,-0.18035715651614026,0.021232097982450793,0.19889034463250158,-0.005029658747337987,0.541961119075082,0.8599175052491669,0.39468715099685575,0.48297995150581374,0.19633645556591575,0.6611351284410838,-0.1581708978459123,0.65765666169631,0.7059006027484334,0.4860228985692617,0.01696014735891323,0.39180241818791395,-0.23532064882098477,0.8109294590702948,0.3843638111325556,0.39679073989235475,0.15474771373565863,0.2740649904149564,0.7526739972040873,0.47921416963810437,0.45934004875791157,-0.004554733809625715,0.679815605819659,0.19178875774853194,0.1350633985085834,0.5637257064260971,0.210498699356989,0.1545954906000666,0.3645841867510565,0.7766139632355155,0.4273473072074799,0.44774359003769976,0.24695749683090423,-0.015524885621716344,0.03317105841918435,-0.12965860450247402,0.7188090999690574,0.3783705642753955,0.251431424366178,0.7146732120176045,-0.04713485962058919,0.6228385688898775,0.10981892898995833,0.13172885401113835,0.6641220750186247,0.13747011974536505,0.3147173398829306,0.5286636800510451,0.19022254528870666,0.7235807648855217,0.6312053845636393
