,Paracentral_Lobule_L,Occipital_Mid_R,Parietal_Sup_L,Precuneus_R,Thal_LGN_R,OFCpost_R,N_Acc_R,SupraMarginal_R,Thal_VL_L,Cerebellum_8_L,Thal_PuA_R,Frontal_Med_Orb_R,Vermis_6,Caudate_R,Thal_AV_R,Heschl_R,Postcentral_R,Cuneus_R,ACC_sup_R,Frontal_Sup_Medial_R,Occipital_Inf_R,Postcentral_L,Cerebellum_Crus1_R,Cerebellum_4_5_L,Cerebellum_4_5_R,Cerebellum_10_L,Frontal_Inf_Orb_2_R,Vermis_3,Thal_PuM_R,OFCmed_R,Parietal_Inf_R,OFClat_R,OFCant_L,Frontal_Inf_Tri_R,Cerebellum_Crus1_L,Thal_MDl_L,Angular_L,Precentral_R,Raphe_D,Cerebellum_9_L,Paracentral_Lobule_R,Cerebellum_9_R,LC_L,Temporal_Mid_R,Temporal_Sup_L,Pallidum_R,Cerebellum_10_R,SN_pc_R,Thal_PuI_R,Vermis_8,Frontal_Sup_2_L,Thal_IL_R,SN_pc_L,Cingulate_Post_R,Thal_MDl_R
Paracentral_Lobule_L,1.0,0.1886588025493442,0.3753439542657435,0.6368746827794443,0.28607834265866117,0.5531578461654059,0.31006853027869935,0.7721949627941416,0.5795466206801142,0.49389615802836767,0.4143663214834132,0.2879834715390062,0.5732328069675737,0.7549551505121207,0.5371762187720428,0.5345025320327129,0.910081894067767,0.5465234167451497,0.9355230180427042,0.8266110427941289,0.15448250969019628,0.7121828575750325,0.4410050426167928,0.823420035640598,0.7882333194711638,0.7181539967613498,0.519809253108415,0.8492598054894526,0.6723911726624439,0.12873419798152713,0.6986390585494721,0.6149326383923235,0.23696395475331386,0.6320143844390509,0.4202427210090961,0.302655430578707,0.36983344985844574,0.9068054290386226,0.449852620034471,0.5218901447395613,0.8571306322177983,0.5483167272817977,0.07614306719397543,0.40400926400324116,0.6978698568981074,0.4787707322396727,0.7949344027139494,0.41508507913384013,0.46470274291407065,0.23997841786517873,0.8666781759683483,0.609142891336558,0.341719131622519,0.4147964590560483,0.28392564094061706
Occipital_Mid_R,0.1886588025493442,1.0,0.8052919115180833,0.5393622407075238,0.2948357818445284,-0.42386033132105605,0.6068189175040039,0.4714948912860119,-0.5396362192437764,0.07162159759910232,0.575238608896938,-0.6214843312783247,0.4910126365040451,-0.31520649186352956,0.048113551465501746,-0.4172843878488927,0.3658604770522024,0.6520421420962017,0.10282000010311637,-0.07804677533095386,0.5881476638522676,0.5589831638292383,0.21064069420976653,-0.04908642597896526,0.330822721204055,0.03170379398550408,-0.114805283158237,0.009781320417513634,0.1504737118563571,-0.6426487003534659,0.6202381261089285,0.32526557472692325,-0.4451931939072434,-0.06901897611831967,0.13506902684509414,-0.5840211248671375,0.6838649801310653,-0.054850067286634704,-0.37482165852722577,0.08855406973256104,0.24089744231292637,0.1845315904454816,0.0877336639701465,0.5174898742976352,-0.11026102314169767,-0.476995868033751,0.06350553910437215,0.2532499247895998,0.2969882570777563,0.052302885647107056,-0.12206963072490544,0.26591843867695547,-0.410701572089618,0.014609137645091913,-0.0871372343590889
Parietal_Sup_L,0.3753439542657435,0.8052919115180833,1.0,0.7060393492037049,0.30971946003735845,-0.2973722076611151,0.6339773326989147,0.601055063228429,-0.3473534142829946,0.14923635379537883,0.6782277128137052,-0.5395750986489467,0.4919485823174738,-0.11881199154707434,0.06606668357134654,-0.2596351126394678,0.5197401004725033,0.794969292743534,0.30121126851794244,0.1071789809957248,0.4662421923539694,0.7712873836617035,0.19071284359994062,0.10215146969804259,0.4734767729564543,0.12792716577138638,-0.10315553620619425,0.1288260761163437,0.2754435529701369,-0.43436946677292143,0.7712823020607285,0.4105668266164162,-0.3276078351778717,-0.010740360003543144,0.12349110957254537,-0.47683762248993733,0.7722356972657558,0.1083974048847431,-0.23519674190153192,0.09475674206764852,0.37047885276779835,0.23410426470424883,-0.027264791232880073,0.4773791330708169,0.0883302952879677,-0.3125690781905356,0.22053161872253943,0.15187343431741782,0.4274799584206673,0.20940564769763362,0.07967326237292603,0.40883937168737994,-0.30840083663705176,0.29704939613107284,-0.015345329193800298
Precuneus_R,0.6368746827794443,0.5393622407075238,0.7060393492037049,1.0,0.3730789651789817,0.010106788389076747,0.4622343702254824,0.7025390476009273,0.1291574937216659,0.2437077733770423,0.682272629454907,-0.17402405827100617,0.45519040568725083,0.2622659332473687,0.3147346836743907,0.15568728808705942,0.7747307461600762,0.7424590005195207,0.5252805477178865,0.44384999868056835,0.21226614726469253,0.7046546271124328,0.17185907115187513,0.5240073345818494,0.600795649283755,0.4333480140120527,0.15561878078389133,0.3972880958907697,0.6438624236255954,-0.19089664342498103,0.7908039574781802,0.4472190104411083,-0.04694958866815765,0.25092548533249037,0.1686613362200782,-0.08537647038813362,0.6251986629082594,0.4528733595986531,0.08592345904572322,0.15499270193326878,0.7626167805940235,0.24800015193331723,0.18430540800072312,0.3593540768094127,0.4550927216406848,0.1261505511426175,0.5207860789062138,0.11597976805935072,0.5681129882084949,0.07910625105825111,0.5093386657225891,0.5874148576276692,0.07228919489176078,0.586483565160803,0.1925480278682213
Thal_LGN_R,0.28607834265866117,0.2948357818445284,0.30971946003735845,0.3730789651789817,1.0,-0.12356765698158043,0.37400678510978924,0.15930928079214102,0.003817645583771971,0.11200925629590082,0.4813697465447708,-0.04674647458963706,0.2729382179330737,0.05199540848598317,-0.25217176781111933,-0.0306439610677916,0.3152743169615097,0.3193298328251256,0.17185503271212232,0.05294890643647984,0.06442732530164459,0.30194206970935145,0.00340663000910018,0.32049299136621817,0.36224330855359443,0.22406145491075868,0.3335745782703929,0.14422775591338116,0.3012259662781952,0.027080156920679777,0.2669965548462093,0.26992907723204934,0.14720300568917113,0.32805018453467577,0.021829351699525056,0.0334829529327695,0.1599888723876545,0.13181965880574395,-0.14931330854810085,-0.00621751631292634,0.3567633210969439,0.08685864423581126,-0.01961366368738367,0.13177695553450236,0.23149402656942933,0.16377098780484411,0.374160852469848,-0.0758134841874542,0.6056580598024575,0.13419572035673716,0.222802964795622,0.314138192956194,-0.07244168625378887,0.048521487575321744,0.289221173206309
OFCpost_R,0.5531578461654059,-0.42386033132105605,-0.2973722076611151,0.010106788389076747,-0.12356765698158043,1.0,-0.25220883236026204,0.2807486897245004,0.7246681163414173,0.5298360711006611,-0.20737257532068282,0.723044359377894,0.27478145587420005,0.7836027565145168,0.507465272170109,0.7010870634268088,0.3402219477305256,-0.0585905533679916,0.5955533880354043,0.6139965221587417,-0.0745660655772504,0.15250474603045402,0.49131597710514807,0.6330891321388304,0.3699419620079877,0.4960633871029361,0.4593771143838128,0.6520004523120885,0.4393305202795442,0.5834930128237062,0.04714833380638324,0.2950380824638369,0.4788538832650555,0.5997637831853566,0.49562467828957313,0.6321563507242773,-0.23520183036990805,0.7259514761877048,0.646542704971924,0.6259010531400097,0.34021470361022627,0.5649611669839891,-0.23461049341011533,0.23253368948860192,0.5187219380983442,0.6271932129393334,0.45378312138382904,0.3677901072141877,0.12879365379850152,0.3611906031138381,0.6834365771094475,0.16446038856527542,0.5340361877917559,0.1529941130087842,0.1620051540182478
N_Acc_R,0.31006853027869935,0.6068189175040039,0.6339773326989147,0.4622343702254824,0.37400678510978924,-0.25220883236026204,1.0,0.3144745960267951,-0.20031818734820936,0.23894428054741718,0.5849241444234728,-0.45158076054369994,0.5164788447075397,-0.06693892712183633,-0.10427785601294529,-0.34843712957877093,0.33169721499005894,0.5564447037328661,0.25663221101882366,-0.04135919724853735,0.31532263965975654,0.5624757791908891,0.16241228522467016,0.1974532758868809,0.47169232806115113,0.12276237479631248,0.021244631023681376,0.16901013873381654,0.3383660653047934,-0.33098315256229327,0.4270781415721145,0.5128491457083819,-0.04512021914682881,-0.008149163470454695,0.1800573435472037,-0.3182938568071047,0.5978050507479794,0.09411992473134541,-0.17801009258883932,0.1305624005213857,0.25876689146674886,0.2942547125041017,-0.08362937601025897,0.32640020181888163,0.10541738128313301,-0.3563340703241208,0.23332238234827343,0.17059705900155123,0.23649028058255017,0.3253860976715661,0.013886947111943958,0.036765040347999794,-0.45331261252429844,0.24789198852442312,0.3830602582480853
SupraMarginal_R,0.7721949627941416,0.4714948912860119,0.601055063228429,0.7025390476009273,0.15930928079214102,0.2807486897245004,0.3144745960267951,1.0,0.22290682821335253,0.4828639240661494,0.4397918914407568,-0.046005758056022236,0.6460582535312474,0.4825803199587927,0.5298735538578175,0.40238771889630787,0.8606173726535518,0.7118461986314413,0.7465948965844175,0.6730778411503888,0.36631385552879725,0.7738558356908748,0.40930988958535125,0.619394097431626,0.7419888350768279,0.5884140531276854,0.2356600509283967,0.6557633861469851,0.4243642271862183,-0.12817132416006655,0.9056662568850248,0.43547371952360053,-0.08934587321714411,0.510678508780849,0.4004995824343002,-0.022090778392366315,0.5116550434450481,0.6534522990387951,0.28261106336581016,0.47820294335956187,0.6996314295223309,0.4636971018867991,-0.00998106727251461,0.6053572355107845,0.47224472928848393,0.21662021641263013,0.6341302730514261,0.4713291323740855,0.4563268414931056,0.2474701197782798,0.60699599270073,0.6627743508817356,0.2134093993729044,0.2959718705528843,-0.030267635249085968
Thal_VL_L,0.5795466206801142,-0.5396362192437764,-0.3473534142829946,0.1291574937216659,0.003817645583771971,0.7246681163414173,-0.20031818734820936,0.22290682821335253,1.0,0.3222112540767214,-0.07293674612279781,0.6596749012814159,-0.011555363561689161,0.8160831270520849,0.3702300625934772,0.6827933530648698,0.4076279442905333,-0.06138101465237913,0.6094907041622498,0.638577555526933,-0.47348468121259984,0.03804058269594206,0.050418073864100334,0.6958459395163777,0.3241723007114828,0.5077877473818102,0.4023620247916393,0.6426234244743343,0.4709413159107862,0.6217620619942458,0.07745533759963737,0.22945454295046686,0.6680357410562321,0.4192095060846845,0.1552150195798195,0.761598678429451,-0.1809552658447394,0.6648958956435127,0.6677684304385555,0.26819025727736645,0.5134360364743444,0.23479599607664428,0.08532387820467488,-0.16941699768933322,0.7007846082403524,0.7211382655565265,0.5427357796997604,0.10437634341333521,0.08302625605597479,0.10115008245204488,0.7541469589118894,0.16371349702748333,0.5694754205885935,0.36103185096911355,0.443188924480092
Cerebellum_8_L,0.49389615802836767,0.07162159759910232,0.14923635379537883,0.2437077733770423,0.11200925629590082,0.5298360711006611,0.23894428054741718,0.4828639240661494,0.3222112540767214,1.0,0.2930139371626458,0.08839803019646923,0.6118671956450503,0.3940853191421975,0.3486087268854982,0.3543196421008392,0.42937589619469013,0.43957853392380264,0.49656975983143425,0.43174776043281066,0.292156409771061,0.4411666360786244,0.564158428792102,0.5444712329711511,0.5884399089264182,0.2794175139106845,0.11704244907753138,0.6042070398551032,0.49880262863400326,0.16009135520025153,0.38735837105276594,0.3411274094302544,0.21789492448544817,0.4831698570490092,0.868560677817321,0.02759710821394823,0.28288983196735357,0.522789795628007,0.3756544413316816,0.8526370796685285,0.25609759178095787,0.7923150291749311,-0.45706651700205914,0.3726186725713706,0.466357281253786,0.06978886172844848,0.3480170485566963,0.4513578966698098,0.3023049212837804,0.5655147409314123,0.40351947466516686,0.19422927747298407,0.3231940403366744,0.1683316336651277,0.27528685196127134
