,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_L,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_R,Thal_MDm_L,Precentral_L,LC_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7
SN_pr_L,1.0,0.30784140778696717,0.23490073971414738,0.19730701694140937,0.07065522125968737,0.06579160716589791,-0.11342795454898445,-0.07086264981208788,0.12074729204920359,0.23607966546939524,0.15003998953949502,0.1914470076574758,0.2288280402446117,0.23218610276899518,-0.127997325824173,0.2436584102677603,0.13119282204953062,0.22691565966187985,0.3680952596603703,0.23196545070348557,0.034429099685837815,0.39254939743065187,0.2610358863502512,0.13527782735286353,-0.0785459577781077
Thal_MDl_R,0.30784140778696717,1.0,0.2857045770346288,0.46066877762516445,0.11000527137074773,0.25551018641302553,0.24006168553139312,0.08750722582839755,0.40743453298058746,0.10568918100045113,0.1546041769508094,0.1405682905928186,0.23378705676663278,0.2792900370509015,0.033640056915316546,0.10454203950019517,0.3907414115142291,0.36870318836832866,0.47778185107024707,0.35492498657284155,0.1763703808380454,0.2779154546826187,0.35315523849316705,0.280458505078654,0.03328535914142874
OFCpost_R,0.23490073971414738,0.2857045770346288,1.0,0.5176393612063087,-0.20899155568105637,0.6487993268038252,0.06584443596729453,0.26745749333942,0.6406854910704571,0.3604537150878167,0.03532842597222808,-0.12968309288166682,0.41757003477289256,0.006777958467057227,0.09875104743275963,0.2858478023919495,0.4014165598068301,0.3117117896164819,0.12752956913589839,0.33831481761737925,0.10396611623171043,0.31370364948332075,0.6022893932385311,0.23824616415283728,0.2441057690727548
Temporal_Sup_R,0.19730701694140937,0.46066877762516445,0.5176393612063087,1.0,0.2656846622301051,0.6341949490994782,0.34089326857442487,0.19643009194972189,0.6995489772579893,0.24294485417515577,0.09142710923469805,0.2346572513044344,0.4149343700160837,0.34554711692585227,0.06416460722916983,0.39311017717342467,0.623799561836802,0.624069830846276,0.4233701728155437,0.6529838156018509,0.2918514089782789,0.45669186521115207,0.751840503230002,0.5417835966116781,-0.01783711085384318
OFClat_L,0.07065522125968737,0.11000527137074773,-0.20899155568105637,0.2656846622301051,1.0,-0.011674718001917552,-0.1360381871408499,-0.2783334973179941,0.01871970905222435,-0.2772826364582865,0.027272692229855393,0.19936803874760234,0.12471320733282935,0.21310708293272945,-0.263335422518219,0.1565946679503315,0.016319519729654966,0.17004002076391145,0.040774138028150164,0.4396677672677031,0.2747048655988697,0.2980655572764936,0.22761853476252977,0.4805715488331153,-0.3988779340204605
Heschl_R,0.06579160716589791,0.25551018641302553,0.6487993268038252,0.6341949490994782,-0.011674718001917552,1.0,-0.019081772097631775,-0.023722172052591847,0.5727337702453424,0.21124932218463421,0.07658398986369525,-0.03129963852544351,0.39976181962108615,-0.11110236760151082,-0.17615284626959202,0.5193423396487741,0.28778100667893164,0.623437800351252,0.026689370110551388,0.5486725635239308,0.29612691300297767,0.48615079076793627,0.7878842761429007,0.4932808052160958,-0.13165796516475242
Cuneus_L,-0.11342795454898445,0.24006168553139312,0.06584443596729453,0.34089326857442487,-0.1360381871408499,-0.019081772097631775,1.0,0.7271372337365278,0.3845142773047865,0.1624592797209329,-0.03919598141905354,0.17424841344211764,-0.01731826759990823,0.34307745510557863,0.6998824828601808,-0.2217432869096887,0.5287303645502154,0.051382328685805445,0.5631791583294132,0.01218230404388954,-0.034184067100104895,-0.3949494214350626,-0.018000779063472954,-0.01591546723976184,0.4839147088529218
Occipital_Inf_R,-0.07086264981208788,0.08750722582839755,0.26745749333942,0.19643009194972189,-0.2783334973179941,-0.023722172052591847,0.7271372337365278,1.0,0.41913152528288955,0.22382041840730854,-0.08781353987561087,0.02301278677236371,-0.06798954872165015,0.1844117065712305,0.9027480318410733,-0.4063457924222196,0.4350428076854006,-0.1763589636764219,0.4399252588630586,-0.2536379982152461,-0.18179802291730549,-0.5150292346101499,-0.17735540987056336,-0.3089541946282906,0.8068892924148793
Temporal_Inf_R,0.12074729204920359,0.40743453298058746,0.6406854910704571,0.6995489772579893,0.01871970905222435,0.5727337702453424,0.3845142773047865,0.41913152528288955,1.0,0.13317685835878568,0.12948431756475723,-0.02271139094877803,0.37755311366521477,0.16090598664382047,0.20653241953552787,0.21787609802528968,0.37729869783872644,0.36673606928469654,0.4787262347123686,0.5094858632482883,0.2737518139692605,0.3567728763457744,0.5003806500371746,0.44393206014893855,0.15470203815392242
Red_N_L,0.23607966546939524,0.10568918100045113,0.3604537150878167,0.24294485417515577,-0.2772826364582865,0.21124932218463421,0.1624592797209329,0.22382041840730854,0.13317685835878568,1.0,0.16793721110459484,0.027280883962176296,0.08565686034662781,0.2185109560151286,0.27027677921808263,0.3383654727023066,0.28315055657313404,0.1370932605258526,0.21769411205774514,-0.1034367206295338,-0.06546539436208622,0.08922275775401446,0.2814997751814467,-0.16265305716559475,0.27320663573143555
Vermis_8,0.15003998953949502,0.1546041769508094,0.03532842597222808,0.09142710923469805,0.027272692229855393,0.07658398986369525,-0.03919598141905354,-0.08781353987561087,0.12948431756475723,0.16793721110459484,1.0,-0.007153712945932063,-0.09768282018073476,-0.0579006216356277,-0.07554466540918464,0.2305263351081575,0.1319186458651229,-0.021750193399600756,0.025799575941522757,-0.08227890713201516,0.26564512454031347,0.13648307932821563,0.004438010500406497,-0.14655700716614245,0.1899544930870908
Thal_AV_L,0.1914470076574758,0.1405682905928186,-0.12968309288166682,0.2346572513044344,0.19936803874760234,-0.03129963852544351,0.17424841344211764,0.02301278677236371,-0.02271139094877803,0.027280883962176296,-0.007153712945932063,1.0,0.02706040991399958,0.1442883477987137,0.06604559711092095,0.052485291286176274,0.21928133241884595,0.2548520058374804,0.3855740703317101,0.14383972418926588,0.009864499521170472,0.04715681699933521,0.09959876535320024,0.13679210442954692,-0.0841473853157581
Thal_MGN_L,0.2288280402446117,0.23378705676663278,0.41757003477289256,0.4149343700160837,0.12471320733282935,0.39976181962108615,-0.01731826759990823,-0.06798954872165015,0.37755311366521477,0.08565686034662781,-0.09768282018073476,0.02706040991399958,1.0,-0.030134508898086033,-0.19871104313481722,0.38268061768017664,0.09178803020559632,0.5020808310957531,0.21561045109408597,0.4821069993499858,0.05039067971411642,0.4624774434584456,0.5429023663052379,0.43426524711733483,-0.25671967953623365
Paracentral_Lobule_R,0.23218610276899518,0.2792900370509015,0.006777958467057227,0.34554711692585227,0.21310708293272945,-0.11110236760151082,0.34307745510557863,0.1844117065712305,0.16090598664382047,0.2185109560151286,-0.0579006216356277,0.1442883477987137,-0.030134508898086033,1.0,0.21993348635889218,-0.0003443181810918492,0.28775166689546894,0.10120397721022988,0.4199127382266804,0.24510789365384086,0.0444566945244028,0.05969234338537414,0.18052035682757736,0.13544251673900803,0.12972210071357052
Vermis_9,-0.127997325824173,0.033640056915316546,0.09875104743275963,0.06416460722916983,-0.263335422518219,-0.17615284626959202,0.6998824828601808,0.9027480318410733,0.20653241953552787,0.27027677921808263,-0.07554466540918464,0.06604559711092095,-0.19871104313481722,0.21993348635889218,1.0,-0.4251473238332415,0.43742054787784224,-0.2794024781364103,0.3690510567745157,-0.4016043204720592,-0.18963614763384293,-0.6370120472091763,-0.2965248888458239,-0.47424557739723977,0.7861698256689998
