,Thal_IL_L,Thal_LGN_L,Frontal_Mid_2_R,SN_pr_R,Postcentral_R,Frontal_Sup_Medial_R,Cerebellum_3_R,Hippocampus_L,Cerebellum_8_L,Thal_VPL_R,Occipital_Sup_R,Parietal_Inf_L,Temporal_Sup_L,Raphe_D,Precentral_R,Fusiform_L,LC_R,LC_L,Parietal_Sup_R,Cerebellum_6_L,Heschl_L,Thal_MDl_L,Thal_VA_L,Cuneus_L,Frontal_Med_Orb_L
Thal_IL_L,1.0,0.33202811836326745,0.29603092826605387,0.447650060016685,0.16173814396370836,0.4055899201011496,0.032363863063769496,0.5301324048458448,-0.2999600222728958,0.06441757251393888,-0.09720153114534588,0.12534112140777853,0.11329806573396425,-0.05556444380250813,0.07998629516028982,-0.21313108211053802,0.22656009004915093,0.3208996759240368,0.09216836779976287,-0.3183896721541529,0.32044774767022316,0.2551593735729345,0.43201013951001677,-0.21511771060741858,-0.29764860052755465
Thal_LGN_L,0.33202811836326745,1.0,0.2254024144376007,0.29014274239509524,-0.010911596472564174,0.5730005473266594,-0.19233834891454904,0.40609029131014995,-0.7352184584219423,-0.12227335476831257,-0.15656846087019727,0.1784880600480891,-0.11222048956068978,-0.1434566987470326,-0.19267775995162215,-0.4727775787786573,0.34273906142953275,0.3058799197120557,0.07704746089974404,-0.7135950353138109,0.3448094672685618,0.21308974407106382,0.4047455864954373,-0.48315880294962915,-0.18192459066592748
Frontal_Mid_2_R,0.29603092826605387,0.2254024144376007,1.0,0.16670082353783974,0.7310930137275233,0.4330765181894486,0.07013962901348408,0.42881313269017723,-0.044265842884528075,-0.0872058635715,0.07338208064491532,0.14261560168106688,0.5580068143573635,0.0369394081396587,0.6816877381138672,0.1869790603004223,0.24308777585483335,0.19208608671902289,0.11663967510510986,-0.03247666985203889,0.5118632340736121,0.09368781958225023,0.5320712618487358,0.03961751700398114,-0.1151128889535719
SN_pr_R,0.447650060016685,0.29014274239509524,0.16670082353783974,1.0,0.12078955028201115,0.22290788589401997,0.44537535628982755,0.2828383991290458,-0.11703088891272338,0.3173816248125276,0.1250524456989716,0.11361591352090664,0.09534026481741688,0.14915358802888107,0.07137438266714877,-0.04156269336643889,0.0791245318842907,0.1941993790437098,0.15949162938396066,-0.15575326515153728,0.26790863089746436,0.12446703732074972,0.27221928471654877,-0.0680073800619247,-0.25619772525684104
Postcentral_R,0.16173814396370836,-0.010911596472564174,0.7310930137275233,0.12078955028201115,1.0,0.15586253104474132,0.34829353804750274,0.15442170232416247,0.19609836013544762,0.0077020719007691585,0.37122910050639324,0.313659528980481,0.6198773793048851,0.10176511938858042,0.9028905489306117,0.3439511544585351,0.1804510732558964,0.15192106027371124,0.3425089686332405,0.1576486113343439,0.40779606707321464,0.03833511567418205,0.43751541185046045,0.38059908426217703,0.08816522450654879
Frontal_Sup_Medial_R,0.4055899201011496,0.5730005473266594,0.4330765181894486,0.22290788589401997,0.15586253104474132,1.0,-0.026738872501939695,0.5832544086899484,-0.5928204150615113,-0.033034032975590565,0.12161071461279517,0.43420504237472046,0.14015291650549558,-0.06755787434277788,-0.015145494591988152,-0.48419053754517066,0.23478954239950311,0.2975959089377487,0.37596698157820296,-0.6063749289724675,0.4282813080101195,0.3550325338637385,0.5039225719449921,-0.2705676398937806,-0.38159724013107604
Cerebellum_3_R,0.032363863063769496,-0.19233834891454904,0.07013962901348408,0.44537535628982755,0.34829353804750274,-0.026738872501939695,1.0,0.04256253324824208,0.3224159285452504,0.45546025438312426,0.5923045856233207,0.3401030176261137,0.41796844958021956,0.34423097329945834,0.3058873242872791,0.32522691083988886,0.028522257639040385,0.13851963612730053,0.32171612733386357,0.28589519974791905,0.2743622680701024,0.12250667145993736,0.15668606059838686,0.5773142156795472,-0.028217713861524614
Hippocampus_L,0.5301324048458448,0.40609029131014995,0.42881313269017723,0.2828383991290458,0.15442170232416247,0.5832544086899484,0.04256253324824208,1.0,-0.3209131252898245,0.17013087289732706,-0.09816693834353456,0.13614762800364916,0.36274739798564215,0.06235207950798109,0.03226538588559422,-0.10769560636649024,0.26420199159684477,0.347755162086601,0.08935500982978727,-0.2547579822642967,0.49584989580896804,0.14537972157920967,0.5539785924524963,-0.18441866386006112,-0.2871481556770046
Cerebellum_8_L,-0.2999600222728958,-0.7352184584219423,-0.044265842884528075,-0.11703088891272338,0.19609836013544762,-0.5928204150615113,0.3224159285452504,-0.3209131252898245,1.0,0.396156341792059,0.12976751522248953,-0.3777694527987035,0.4111327605163416,0.362277355210934,0.399749833415797,0.8465648599298297,-0.2406556264485237,-0.34590076938576825,-0.29725867929276173,0.961959546202944,0.03682923582982499,-0.06937913412735237,-0.29525254009333,0.580560736734263,0.27859455860018967
Thal_VPL_R,0.06441757251393888,-0.12227335476831257,-0.0872058635715,0.3173816248125276,0.0077020719007691585,-0.033034032975590565,0.45546025438312426,0.17013087289732706,0.396156341792059,1.0,0.37110870219321956,0.08718132462607646,0.3686521707143961,0.41026267440138675,0.07510258067717178,0.3470332859679548,-0.13856785129450913,-0.04524779982364836,0.11468306470866835,0.38090759079342335,0.2935235650301156,0.42985194564749296,0.1252582792261868,0.46080454085259476,0.018888954078159215
Occipital_Sup_R,-0.09720153114534588,-0.15656846087019727,0.07338208064491532,0.1250524456989716,0.37122910050639324,0.12161071461279517,0.5923045856233207,-0.09816693834353456,0.12976751522248953,0.37110870219321956,1.0,0.7204994936772532,0.32897208188021193,0.1869418014033862,0.25010777817671387,0.09914701497236734,0.019030774684560405,0.11817960584028255,0.755901053614096,0.07081823883646206,0.1324101455934998,0.23134184983040051,0.2153456357725447,0.7624175702322541,0.10264652317864381
Parietal_Inf_L,0.12534112140777853,0.1784880600480891,0.14261560168106688,0.11361591352090664,0.313659528980481,0.43420504237472046,0.3401030176261137,0.13614762800364916,-0.3777694527987035,0.08718132462607646,0.7204994936772532,1.0,0.20426793995681375,-0.05182351665698167,0.09599336088831587,-0.35545968015851076,0.22800525824862045,0.2981416836824235,0.840593202355654,-0.412607884617761,0.14639990165954986,0.20596991992468147,0.3995337971057982,0.38157891792778226,-0.1822626546623306
Temporal_Sup_L,0.11329806573396425,-0.11222048956068978,0.5580068143573635,0.09534026481741688,0.6198773793048851,0.14015291650549558,0.41796844958021956,0.36274739798564215,0.4111327605163416,0.3686521707143961,0.32897208188021193,0.20426793995681375,1.0,0.3213329682982119,0.5500770363833771,0.6156459522463978,0.15357835931770275,0.11667025127336814,0.10651680760282776,0.45163831029941154,0.684205266890957,0.1815923037542655,0.38861909487154966,0.5287303645502154,0.011373964936902103
Raphe_D,-0.05556444380250813,-0.1434566987470326,0.0369394081396587,0.14915358802888107,0.10176511938858042,-0.06755787434277788,0.34423097329945834,0.06235207950798109,0.362277355210934,0.41026267440138675,0.1869418014033862,-0.05182351665698167,0.3213329682982119,1.0,0.1675415079507258,0.37065148260919595,-0.01909642960896787,-0.0909141768910499,-0.054295700551059346,0.3593962804132207,0.29996842789360834,0.2755347670023171,0.10016744894116442,0.3011139038725275,0.03189904429955763
Precentral_R,0.07998629516028982,-0.19267775995162215,0.6816877381138672,0.07137438266714877,0.9028905489306117,-0.015145494591988152,0.3058873242872791,0.03226538588559422,0.399749833415797,0.07510258067717178,0.25010777817671387,0.09599336088831587,0.5500770363833771,0.1675415079507258,1.0,0.4794035311302779,0.08924910555644672,0.028692877602625955,0.1576314974090141,0.35403125982119676,0.3110240666253308,0.04778636004494506,0.31123164581208346,0.37263079124261506,0.11028417745729437
Fusiform_L,-0.21313108211053802,-0.4727775787786573,0.1869790603004223,-0.04156269336643889,0.3439511544585351,-0.48419053754517066,0.32522691083988886,-0.10769560636649024,0.8465648599298297,0.3470332859679548,0.09914701497236734,-0.35545968015851076,0.6156459522463978,0.37065148260919595,0.4794035311302779,1.0,-0.04511272134586649,-0.12410373865750936,-0.3134636402167331,0.898201205939566,0.28261556367564133,-0.07562914190898792,-0.09282702877148014,0.5455147470471574,0.3144478587149628
LC_R,0.22656009004915093,0.34273906142953275,0.24308777585483335,0.0791245318842907,0.1804510732558964,0.23478954239950311,0.028522257639040385,0.26420199159684477,-0.2406556264485237,-0.13856785129450913,0.019030774684560405,0.22800525824862045,0.15357835931770275,-0.01909642960896787,0.08924910555644672,-0.04511272134586649,1.0,0.31363041887233595,0.1094568825884783,-0.22905703662315402,0.2083101053579079,0.06869703575532013,0.3501338158202943,-0.034184067100104895,-0.06862581562442129
LC_L,0.3208996759240368,0.3058799197120557,0.19208608671902289,0.1941993790437098,0.15192106027371124,0.2975959089377487,0.13851963612730053,0.347755162086601,-0.34590076938576825,-0.04524779982364836,0.11817960584028255,0.2981416836824235,0.11667025127336814,-0.0909141768910499,0.028692877602625955,-0.12410373865750936,0.31363041887233595,1.0,0.22247983696440377,-0.31347240152415023,0.2029765377180249,0.0666523225705117,0.3546125047203867,-0.062154389215635326,-0.18724959762298718
