,Calcarine_L,Red_N_L,Cerebellum_8_R,ParaHippocampal_L,Vermis_7,Occipital_Inf_R,Thal_LP_L,Thal_VPL_L,N_Acc_L,Temporal_Pole_Sup_R,ACC_pre_R,Parietal_Inf_L,Vermis_8,Precuneus_R,Temporal_Sup_R,LC_R,Thal_PuA_L,Frontal_Inf_Oper_R,N_Acc_R,Cerebellum_6_L,OFCpost_L,Rectus_L,Insula_R,Frontal_Mid_2_R,Temporal_Mid_L,Cerebellum_10_L,Frontal_Sup_2_R,Heschl_L,Cerebellum_8_L,Cerebellum_3_R
Calcarine_L,1.0,0.3103075439366858,0.7580745686079983,-0.5295354579016053,0.7772456508153156,0.90639672529167,-0.07279734180782683,-0.5831000879755649,-0.1405150212127522,-0.25273235897048674,-0.5532103659629756,-0.019702432021354497,-0.016201092918892223,0.21347235781934332,0.22979552868787187,-0.16125135304496016,-0.2543176480096182,0.05666879560374413,0.07481043640416266,0.8536786121276656,-0.5394015823773686,-0.669145816812837,0.1772231282714718,-0.005224435477455313,0.8334550062891388,-0.46453848934969777,-0.401506051467513,0.14913888682985424,0.8411225820872062,0.5095435852343965
Red_N_L,0.3103075439366858,1.0,0.2368333780803991,-0.06875677710102401,0.27320663573143555,0.22382041840730854,-0.12469931523319046,-0.03937272583818824,0.4438531724058467,0.20326856560960752,0.07944482860932019,-0.15465425382398934,0.16793721110459484,0.02685139172334022,0.24294485417515577,-0.06546539436208622,0.04569502410536548,0.11764900062884878,0.24964127877768083,0.28390847482665127,0.23880780001974936,0.0256504284677839,0.425804719703368,0.0773876394498708,0.3124509884228702,-0.10143298755474559,0.0357655634782706,0.2916347841550332,0.27906888894780996,0.24543225092061685
Cerebellum_8_R,0.7580745686079983,0.2368333780803991,1.0,-0.47158124285901337,0.8275895631506217,0.855501971361854,-0.19786120030318388,-0.515919440385871,-0.19764771041940066,0.014949538906311004,-0.45870830623073,-0.14298506039374143,0.017938796232244463,-0.07539541094335529,0.14749943412256794,-0.13001290806001867,-0.16308085806931502,-0.008113717822613812,0.007264148992111752,0.7272066931273768,-0.4043559031245083,-0.513162889690636,0.12184299092031423,-0.14809617823011942,0.570632397444615,-0.4322832122385903,-0.4135575336108284,0.12085302114893456,0.7392936370949319,0.4455355972282643
ParaHippocampal_L,-0.5295354579016053,-0.06875677710102401,-0.47158124285901337,1.0,-0.49182476714722134,-0.5564117234764475,0.15854223038797544,0.635751242271645,0.3723685632395804,0.4850917915367804,0.6631883708240266,0.2764524923956497,0.2897998893013398,0.2167643943227255,0.33307953882708907,0.4057700587344786,0.3396518044474001,0.4387315216034623,0.2938540938187663,-0.598422160610326,0.6289469262111692,0.5729754646304492,0.38717462042556117,0.34653882721574936,-0.45113311106200676,0.5806182144048193,0.6415983071082344,0.3320112726174949,-0.6247185514835312,-0.03986839612768199
Vermis_7,0.7772456508153156,0.27320663573143555,0.8275895631506217,-0.49182476714722134,1.0,0.8068892924148793,-0.3266359063707516,-0.4866060350204839,-0.24312560160637314,-0.17640613591452384,-0.5471653228412842,-0.38149509667588627,0.1899544930870908,-0.17998410726624806,-0.01783711085384318,-0.19064878713244265,-0.27747035736194947,-0.042850090543495103,0.026200232538835962,0.8953395503064703,-0.5519728635403799,-0.5392169507631871,-0.009565262844222842,-0.0698913267406572,0.7611188206271157,-0.4970960701993911,-0.5359693807766793,0.1701739576303551,0.8432446352180505,0.31299443932315374
Occipital_Inf_R,0.90639672529167,0.22382041840730854,0.855501971361854,-0.5564117234764475,0.8068892924148793,1.0,-0.07918496383909872,-0.5821042806470241,-0.14776817901057848,-0.13253283714688663,-0.5614046244148906,-0.008882900394042872,-0.08781353987561087,0.098726859382482,0.19643009194972189,-0.18179802291730549,-0.19401638751331754,-0.043854482606182174,0.06526746904594895,0.7969422916455384,-0.5052578950499631,-0.6568515729496691,0.1291916572553747,-0.1468683453211605,0.6935765919928185,-0.4253428122569826,-0.4346663567965955,0.12262636841394459,0.809865463154655,0.5696886603318488
Thal_LP_L,-0.07279734180782683,-0.12469931523319046,-0.19786120030318388,0.15854223038797544,-0.3266359063707516,-0.07918496383909872,1.0,0.36781738023246835,0.13288237639412445,0.21484775289387104,0.3327633998904069,0.4067859999382916,-0.33096499055111356,0.3272688668309105,0.37447723451696757,0.11130152698660756,0.31158868963835906,0.2725473532464154,0.12457757576335288,-0.3247044541162232,0.200425051860023,0.16508221911867668,0.31880991245305407,0.19364864993818898,-0.23431308627194358,0.18389023604019406,0.3703655352130352,0.09054443731139736,-0.28470238785295754,0.10453067942189828
Thal_VPL_L,-0.5831000879755649,-0.03937272583818824,-0.515919440385871,0.635751242271645,-0.4866060350204839,-0.5821042806470241,0.36781738023246835,1.0,0.4230106813094807,0.4698896041969741,0.7857112977175245,0.09529146950587379,0.29218494392414257,0.04678598394162734,0.32037309505521533,0.2927289486899545,0.732421684283896,0.43360754669757223,0.1048953014295689,-0.6063059382276444,0.6182617756083876,0.6450356157787718,0.2640778809299327,0.3457762648620109,-0.4954291300541267,0.48536899305138725,0.6297869586637933,0.4374389335108848,-0.6223839839703226,-0.15839711622905128
N_Acc_L,-0.1405150212127522,0.4438531724058467,-0.19764771041940066,0.3723685632395804,-0.24312560160637314,-0.14776817901057848,0.13288237639412445,0.4230106813094807,1.0,0.3085143843013461,0.3882051590183426,0.14247532849357405,0.16847962047953027,0.19121302916919927,0.305299431276604,0.12525703510499306,0.43909140148197473,0.19232581705634128,0.4675913751862103,-0.26215096061728543,0.532030043986469,0.3153275996995247,0.3662696667153912,0.04828995049921052,-0.1671853628501609,0.30689767624808306,0.3510656232466749,0.2671481714105134,-0.22533835558302576,0.17838763050722925
Temporal_Pole_Sup_R,-0.25273235897048674,0.20326856560960752,0.014949538906311004,0.4850917915367804,-0.17640613591452384,-0.13253283714688663,0.21484775289387104,0.4698896041969741,0.3085143843013461,1.0,0.7004306354605547,0.21755239284707442,0.07799332389633512,0.12975760034628908,0.6389726689663376,0.283566244892399,0.42844905991680443,0.5160499993979252,0.11171767093700989,-0.38522010506225474,0.7120751000564854,0.535959681317388,0.591431188939864,0.4013847908027691,-0.3666250327722538,0.4512443567367899,0.6671848917411672,0.5034623257656654,-0.34417739169414535,0.1454006600716287
