,Cerebellum_8_R,Frontal_Mid_2_R,Caudate_R,Vermis_6,Temporal_Pole_Mid_L,OFClat_L,Heschl_R,ACC_pre_R,Thal_PuM_R,Frontal_Inf_Orb_2_R,Lingual_L,Frontal_Mid_2_L,Thal_PuA_R,Heschl_L,Thal_MGN_R,OFClat_R,Thal_LGN_R,Occipital_Sup_L,Temporal_Inf_R,Thal_MGN_L,Putamen_R,Vermis_3,Occipital_Mid_L,Thal_PuI_R,OFCmed_R,Cerebellum_4_5_R,Frontal_Sup_2_L,ACC_sub_L,Amygdala_L,Vermis_9,Vermis_7,Temporal_Pole_Sup_R,Thal_MDm_L,Thal_LP_L,Rectus_R,Temporal_Mid_L,LC_R,Thal_VA_L,Vermis_10,SN_pc_R,Frontal_Inf_Tri_L,Postcentral_L,Temporal_Sup_L,ParaHippocampal_L,Cerebellum_Crus1_R
Cerebellum_8_R,1.0,-0.14809617823011942,-0.38477725831631554,0.5400998014962698,0.3901759487696755,-0.3420123185657583,0.06804108739318812,-0.45870830623073,-0.2736579274686848,-0.4166574131627599,0.6968355186821186,-0.44544812221732893,-0.22922339301603478,0.12085302114893456,0.005595391304784287,-0.557840507616724,0.049357555794107534,0.5060946362282602,0.4128858025414247,-0.12670672426988874,-0.3621931882853895,0.42081968401826503,0.7304442212216086,-0.40240863299699337,-0.3531580305659212,0.08358163575602805,-0.35007631686037655,-0.4932577314710373,-0.6304176819485021,0.7922265166315332,0.8275895631506217,0.014949538906311004,0.287149290331748,-0.19786120030318388,-0.35082182569854503,0.570632397444615,-0.13001290806001867,-0.2893807007426496,0.2856853110796555,-0.13584788541836867,-0.39307303495691354,-0.3508940443015558,0.34025965234371375,-0.47158124285901337,0.8810247948104828
Frontal_Mid_2_R,-0.14809617823011942,1.0,0.4831338284757311,0.22131261200564814,0.14192923582165137,0.30023789390212996,0.29411729145545656,0.4345836616145139,0.4702515033540774,0.25282862864648814,0.06754880473159616,0.4938404313846756,0.3778898989573895,0.5118632340736121,0.1759732845046415,0.14002969686346067,0.12031773114894875,-0.06151848417132142,0.09911429984434898,0.12123897028031591,0.5231059517470669,0.15292035277338462,-0.15705923351696074,0.1960731334838144,0.2301866116143879,0.5057645629689655,0.5697669653224358,0.20012417662720672,0.2475761905153128,-0.1422698744126837,-0.0698913267406572,0.4013847908027691,0.007350193015790681,0.19364864993818898,0.2702708346617539,0.10597884925628483,0.24308777585483335,0.5320712618487358,0.2668168894362025,0.2536679464100357,0.5634174777480794,0.378892582652477,0.5580068143573635,0.34653882721574936,-0.21186405362493965
Caudate_R,-0.38477725831631554,0.4831338284757311,1.0,-0.2602501940654712,-0.21416537222272788,0.28704264678021274,0.6455158025004091,0.8065587520677074,0.6146441147118858,0.6365092893666318,-0.4109692934450424,0.8744971565309306,0.37409851467762173,0.5024928523203309,0.325486070630042,0.45786616772228717,0.042112058227232345,-0.23698493270637352,0.3435151989371285,0.5345815890602619,0.7288010750296112,-0.12502625610853826,-0.5076600371541304,0.4300651892485542,0.4929518049436634,0.18204806147088404,0.7948166136421417,0.5068302254793545,0.5675883749096212,-0.4871013388573391,-0.4745411504417878,0.6470675687937233,0.13394257011198102,0.5140205864006383,0.6256100168838922,-0.41772752708850747,0.3446522926955811,0.7171020106911822,-0.26122800268379254,0.3887728447170177,0.7948524537973891,0.6472288175673642,0.23258202410881484,0.657366643073204,-0.34882751050550564
Vermis_6,0.5400998014962698,0.22131261200564814,-0.2602501940654712,1.0,0.4327154258978827,0.04548803029569878,-0.15157926247569747,-0.3716851252780822,0.04696088718717617,-0.4035652664604705,0.7322808921040018,-0.3514046515316329,0.11985936609395047,0.3265833412074953,-0.04546646575591112,-0.2621991726420163,0.15402489436147299,0.5988716057333193,0.23579259380166134,-0.18473148797954733,0.007886249303576646,0.6723057235654932,0.6937941425139449,-0.09532584041720532,-0.2672054079756498,0.6744588008652008,-0.08339623020329677,-0.4099777243127704,-0.5454887817451541,0.7343124180852726,0.6443888595523645,-0.13056470952694887,0.3526871068514597,-0.20784064011344977,-0.4028990017820183,0.7781477564035001,0.05540366939412513,0.009720449458016233,0.6491178665948718,-0.012698895710235992,-0.18967837817825065,-0.2544594613333812,0.6256008419135617,-0.2842928968709147,0.6270889593601167
Temporal_Pole_Mid_L,0.3901759487696755,0.14192923582165137,-0.21416537222272788,0.4327154258978827,1.0,-0.4103001368998837,-0.10251487177665732,-0.13344991335057593,-0.03901780653272985,-0.21416034351531113,0.4119953599783949,-0.22570760691138225,-0.05018784868993956,0.33698431420319097,-0.12475310317081124,-0.4955554167834007,0.2367162318941024,0.24482706809799107,-0.0701864601371301,-0.17177898332835645,0.04316904118489881,0.40148491663803815,0.41547920068795224,-0.21120634995181725,0.036878391474046056,0.30246383621361783,-0.19652145701777057,-0.06995973591957796,-0.1523984822403667,0.4047396405008214,0.574463071612678,-0.036787035758820044,0.0614739051411214,-0.2938535970244167,-0.23799937304652585,0.6233065111115894,-0.06754080545504396,-0.055461712308310485,0.2956427921481284,0.10058326093050177,-0.11778989252347528,-0.5047070880406581,0.4728381295057361,-0.13425699403339844,0.35504653647945916
OFClat_L,-0.3420123185657583,0.30023789390212996,0.28704264678021274,0.04548803029569878,-0.4103001368998837,1.0,-0.011674718001917552,0.2720351426381545,0.3142159504263311,0.2980655572764936,-0.22877143299524036,0.26026846862511965,0.40525075448830483,0.06721598772046744,-0.11112594956232949,0.6995031581077314,-0.0776421213027074,-0.18612579994693215,0.01871970905222435,0.12471320733282935,0.4103289026859099,0.0018190619461672484,-0.37776162616018627,0.39484859591093974,0.05533782042732877,0.3334979401117129,0.36986301067093125,0.12310989807284241,0.22104070791999628,-0.263335422518219,-0.3988779340204605,0.1349815429048238,0.040774138028150164,0.12591701559705887,0.0661758503401255,-0.23652741038704825,0.2747048655988697,0.3312032134314826,0.16245807727100642,-0.09784234788464993,0.4198098313771006,0.4805715488331153,0.016319519729654966,0.3738637104558203,-0.2970838389325762
Heschl_R,0.06804108739318812,0.29411729145545656,0.6455158025004091,-0.15157926247569747,-0.10251487177665732,-0.011674718001917552,1.0,0.5755936386695455,0.4028115222876372,0.48615079076793627,-0.08296767534222736,0.6045839167923432,0.1727638719526046,0.4728392381816103,0.5719428582563588,0.1226609075554272,-0.06512098781318623,-0.030911417390217463,0.5727337702453424,0.39976181962108615,0.3770545309040133,-0.10172120318395704,-0.1908042513304443,0.09876880135754756,0.45459384831389116,0.025372437522839894,0.5484500849455427,0.3239110790786274,0.3124675777532139,-0.17615284626959202,-0.13165796516475242,0.728437538051026,0.026689370110551388,0.26757726424115663,0.5750976475472598,-0.2704992692208021,0.29612691300297767,0.4451664142196161,-0.18916766120159847,0.35047600782667937,0.5652104192992133,0.4932808052160958,0.28778100667893164,0.43137828679718404,0.04190031350555422
ACC_pre_R,-0.45870830623073,0.4345836616145139,0.8065587520677074,-0.3716851252780822,-0.13344991335057593,0.2720351426381545,0.5755936386695455,1.0,0.5864122870672742,0.7525714725267327,-0.5446831725775351,0.8166491984460176,0.3040377875554105,0.48456096156610357,0.16475825492623009,0.4983644834502058,-0.035516400134363156,-0.39877421097274274,0.20799110080332214,0.41310991154467847,0.6110306091695236,-0.22475690812934257,-0.662574714819575,0.37330310669225536,0.6248216068618188,0.15026119035443958,0.691166263183081,0.6741082602577916,0.650719572104043,-0.5968222779593462,-0.5471653228412842,0.7004306354605547,-0.006132645042413753,0.3327633998904069,0.6638209103197201,-0.5012959753821402,0.32462465058660256,0.5514047948089622,-0.3205623262556671,0.3097247120096294,0.787195101235263,0.5255951325324341,0.10635892294738163,0.6631883708240266,-0.45184034213563035
Thal_PuM_R,-0.2736579274686848,0.4702515033540774,0.6146441147118858,0.04696088718717617,-0.03901780653272985,0.3142159504263311,0.4028115222876372,0.5864122870672742,1.0,0.30303209157288863,-0.22371183248963078,0.5510470917428335,0.4002961924182914,0.5728310364473641,0.21973832838070664,0.28314474046169646,0.24719540587193653,-0.012106805482426744,0.1134581779466522,0.23517638660441087,0.619040680480396,-0.026908916585885154,-0.25801471717269736,0.2538476696944318,0.33513889936657837,0.41267491368591597,0.6495556476290962,0.3209752291119843,0.47300640858362547,-0.29037481973343016,-0.15430652187239513,0.37844119779426544,-0.01820022241355383,0.21265595328628709,0.4405494865814846,-0.06635662731373283,0.30693154557685426,0.5683121565582432,0.11417698705476376,0.2664831340757157,0.6045870213675184,0.33910577515209783,0.32564030968248425,0.4850401350203238,-0.20891159657717343
Frontal_Inf_Orb_2_R,-0.4166574131627599,0.25282862864648814,0.6365092893666318,-0.4035652664604705,-0.21416034351531113,0.2980655572764936,0.48615079076793627,0.7525714725267327,0.30303209157288863,1.0,-0.5828149227272242,0.7239695522959624,0.15985153357902296,0.31959000413319233,0.07442278498673087,0.5753862847653054,-0.271783623889221,-0.4512235955325727,0.3567728763457744,0.4624774434584456,0.4448500770467072,-0.18307711901472212,-0.6803705406176589,0.2659053568330682,0.611806005668921,0.07910116109669728,0.5558046087400386,0.7881214044213005,0.5399001575371699,-0.6370120472091763,-0.5972221311805975,0.6955824281256513,0.12241953894641473,0.23984971828619092,0.5971944299854179,-0.6532687753566796,0.25672571818777823,0.4465144787419589,-0.49736885234867784,0.08406033406983159,0.7101919326412021,0.5903007868448273,-0.0625458230286581,0.6592154360107689,-0.3703946991888971
Lingual_L,0.6968355186821186,0.06754880473159616,-0.4109692934450424,0.7322808921040018,0.4119953599783949,-0.22877143299524036,-0.08296767534222736,-0.5446831725775351,-0.22371183248963078,-0.5828149227272242,1.0,-0.5052287359770612,-0.022618726336657777,0.09381409739541897,0.09924770191675975,-0.5488993996652051,0.1839140135762341,0.6408535681301875,0.18439447560412794,-0.12200811241701506,-0.18607482811466583,0.6008634961699825,0.8545546505124957,-0.18456882698697352,-0.48065685598066565,0.2076551244520382,-0.30427061189238785,-0.6099243321034878,-0.7209873530757047,0.8613859673866016,0.7043376473444942,-0.2227899366881885,0.2895847636826066,-0.024108821779525287,-0.4895060803591447,0.7981974082827125,-0.18944097353654357,-0.1694948524431286,0.5088682261521047,-0.07003583476981759,-0.39290031336651726,-0.31582166799022154,0.5514282119730173,-0.5558049551528663,0.6945380862922372
