,Cerebellum_Crus2_R,Thal_MDl_R,Red_N_R,OFCant_R,ACC_sub_R,Thal_VA_L,Cerebellum_3_R,Thal_VA_R,Thal_LP_L,Occipital_Inf_L,Red_N_L,Cerebellum_Crus1_R,Heschl_R,Temporal_Mid_L,Occipital_Sup_L,Cerebellum_4_5_R,Frontal_Inf_Oper_L,SN_pc_R,Thal_LP_R,Frontal_Med_Orb_L,Occipital_Sup_R,Cingulate_Post_L,Frontal_Sup_2_R,ACC_sup_L,Occipital_Inf_R,ACC_sub_L,SupraMarginal_L,Temporal_Pole_Mid_L,Pallidum_R,Frontal_Inf_Tri_R,Thal_AV_R,Thal_PuA_L,Caudate_R,Vermis_1_2,ACC_pre_L
Cerebellum_Crus2_R,1.0,0.31630211202779346,0.2076352928360044,-0.307560404091985,-0.07027933247306165,0.11188117674470655,0.5309336047278739,0.08192383702298037,0.019265904817292682,0.03957196381254206,0.20403191915315005,0.43833127578042175,0.24677807112679173,0.04683528229748559,0.2329203684884267,0.18567457911286028,0.1842269751890125,0.014472502862966193,0.18188221522120734,-0.10634865643487493,0.34780582155444756,0.17034462247233226,0.08374480703169135,-0.1309137325854815,0.34601229325047017,0.05184632614765913,0.13326453717622472,0.0007692549589094044,0.07102413704716899,0.10702678655365071,-0.09620949461919455,0.24797255963905454,0.13921352252638147,0.11910978193579447,-0.035488539309057064
Thal_MDl_R,0.31630211202779346,1.0,0.25075090632219166,0.09332739829240445,0.10597518258780152,0.5479442528987231,0.3889240413471061,0.43927425659264235,0.2403250773311289,-0.1165905397342838,0.10568918100045113,0.09761625948422942,0.25551018641302553,0.059415691280932555,0.1586098225374138,0.4093161510817322,0.36607227158070194,0.07931934976080014,0.1776829866588033,-0.12656285788197988,0.3419357836522596,0.3989844311877062,0.31690633824957976,0.19992289148062117,0.08750722582839755,0.18524896176914876,0.25660950613125766,0.15901568470225944,0.4057544002295068,0.3179661684418694,0.30975939417655235,0.30865183512799393,0.42122117871838377,0.32580705583624003,0.19007788902365794
Red_N_R,0.2076352928360044,0.25075090632219166,1.0,-0.07721114953292199,0.2111242027130603,0.26562678057218525,0.16816883669785002,0.30826293276925626,-0.015731480255561172,-0.15089805408300044,0.48512096242197816,0.0438537023774464,0.25948113943486345,-0.14465347742157147,-0.12626115322626322,0.1733460388763697,0.2722982031641399,-0.008588622782969261,-0.0638524726966879,-0.04262141849972311,0.03885179772171245,0.07054327111574571,0.300274680646302,-0.012798884561994179,-0.096049942261658,0.5270210535881645,0.004813706976212052,0.2495749600815817,0.34757941335627596,0.3093091256041606,0.2882059196635458,0.38407037899266977,0.30161690115745354,0.09508172187167872,0.3917083448317538
OFCant_R,-0.307560404091985,0.09332739829240445,-0.07721114953292199,1.0,0.27726013062709925,0.25823663795090424,-0.3468951964710686,0.33097595363258325,-0.027881141538877635,-0.3344813042388104,-0.30880487576132193,-0.5687323207145715,-0.1437738069127888,-0.18472873596465073,-0.3808996197754942,0.27257717087742034,0.12664922284785077,0.17021813499644986,-0.5340071199941198,-0.15463537948415948,-0.44915011516392844,0.09450977941268217,0.20008611793105152,0.48381156991351226,-0.5704603770995887,0.21013218120943788,0.003738490827327291,-0.13534376844559026,0.4428017805760499,0.21205965788889689,0.508360282580535,-0.019762119814217122,0.23488262839729745,0.21853868562305848,0.3975775754360461
ACC_sub_R,-0.07027933247306165,0.10597518258780152,0.2111242027130603,0.27726013062709925,1.0,0.3766417638284589,-0.26548311806988917,0.44974242673680404,0.19206181887795004,-0.6449443058992245,0.07809872009744659,-0.586001660940827,0.5363139417196958,-0.6033424536070646,-0.4805963751085401,-0.07694509749319034,0.4619811225379354,0.40461389130309594,-0.4203154836598514,-0.19887454297659948,-0.25175600209792814,-0.11878719913612965,0.6120162243353999,0.12740941674695816,-0.6695579330054761,0.6421982135879942,-0.10273644019410128,-0.17566854237879587,0.6349667411889253,0.6251849042653332,0.565766831481129,0.30037661006777283,0.6233332524115273,-0.00848788440463061,0.7461087255268016
Thal_VA_L,0.11188117674470655,0.5479442528987231,0.26562678057218525,0.25823663795090424,0.3766417638284589,1.0,0.15668606059838686,0.7278162350567143,0.4019635184874456,-0.3486893781637957,0.12765368022570414,-0.21513298014675858,0.4451664142196161,-0.1293440637154738,-0.0002159839557652187,0.4091394688132895,0.6316556121937839,0.2682073845083723,0.014049920608781746,-0.10367350994226426,0.2153456357725447,0.47981011041372934,0.6418425115494605,0.3981686870210064,-0.21473257780499416,0.34191874000646383,0.3128566345006509,-0.055461712308310485,0.6393007955019725,0.5535332792462483,0.5430487055407471,0.28264717043857057,0.7171020106911822,0.17517507866072504,0.3791505735164711
Cerebellum_3_R,0.5309336047278739,0.3889240413471061,0.16816883669785002,-0.3468951964710686,-0.26548311806988917,0.15668606059838686,1.0,0.06464089295751135,0.10453067942189828,0.2357109711873564,0.24543225092061685,0.5422729037350869,0.07942930740112115,0.3025081902306595,0.4704846541015785,0.3439024580908031,0.3370744723060668,0.04339659031426804,0.44829821891854826,-0.028217713861524614,0.5923045856233207,0.3003628219483298,0.05685855622970276,-0.04004138097167117,0.5696886603318488,-0.037774810126978906,0.3311848270883625,0.10875893049299944,-0.05862496236619685,0.06407929110340814,-0.17452184185295325,0.11964728372994315,0.04645125937453721,0.45586851797128114,-0.24519625443506585
Thal_VA_R,0.08192383702298037,0.43927425659264235,0.30826293276925626,0.33097595363258325,0.44974242673680404,0.7278162350567143,0.06464089295751135,1.0,0.29988972520322027,-0.4787770863515739,0.031395518050622184,-0.29795444859131404,0.4928569556726628,-0.3272200927167545,-0.16794836787416517,0.39677871196376213,0.6012741467463211,0.1313173765820791,-0.21483971208087682,-0.2232268781407092,0.10004578635643055,0.31838853256382976,0.7362844798011806,0.2938637308185223,-0.3479507477374352,0.4673985870593438,0.18413015064628127,-0.1818062791085593,0.7553987853968084,0.6672652424036687,0.6737853323329575,0.4305723929901918,0.7480256926640025,0.10925902635788766,0.5387594836861719
Thal_LP_L,0.019265904817292682,0.2403250773311289,-0.015731480255561172,-0.027881141538877635,0.19206181887795004,0.4019635184874456,0.10453067942189828,0.29988972520322027,1.0,-0.2884880196862597,-0.12469931523319046,-0.1658991083611432,0.26757726424115663,-0.23431308627194358,-0.06503335746200137,-0.12954750477198082,0.3761748438945336,0.11619069519871138,0.4072873788689249,-0.04599423954905705,0.31598378794865933,0.25756907838424714,0.3703655352130352,0.38513222501294575,-0.07918496383909872,0.04611608058838587,0.25328222340573026,-0.2938535970244167,0.3150371288162673,0.32602357217680317,0.18388825900914516,0.31158868963835906,0.5140205864006383,-0.1657090446745216,0.08226092806333309
Occipital_Inf_L,0.03957196381254206,-0.1165905397342838,-0.15089805408300044,-0.3344813042388104,-0.6449443058992245,-0.3486893781637957,0.2357109711873564,-0.4787770863515739,-0.2884880196862597,1.0,0.2756962691763776,0.7410423666522347,-0.2837309950107408,0.8001241876317526,0.5068441416008421,0.10060298862908935,-0.2730328498643005,-0.09017817033003753,0.3417038764068178,0.21276349217764426,-0.01106932490243046,0.07310686880451589,-0.5775817757801867,-0.1451758771336219,0.7723618866485342,-0.5702561313573928,-0.0243116553625756,0.5509609549287674,-0.6271828656098095,-0.4314691544078242,-0.5546814787437936,-0.3127175433365919,-0.551922930811661,0.11589598392501622,-0.5585246534739869
Red_N_L,0.20403191915315005,0.10568918100045113,0.48512096242197816,-0.30880487576132193,0.07809872009744659,0.12765368022570414,0.24543225092061685,0.031395518050622184,-0.12469931523319046,0.2756962691763776,1.0,0.303899575143922,0.21124932218463421,0.3124509884228702,0.23730286464819308,0.19742687080625404,0.23275187029141328,0.2801000419215502,0.08717511277407991,0.2161184468976157,0.0510696627296423,0.22354130414274703,0.0357655634782706,-0.06427067519063176,0.22382041840730854,0.29359834188379175,-0.043124616311367936,0.46851111054083655,-0.03716827242142937,0.14118594677421029,-0.05904990034223457,0.04569502410536548,0.047814757107011295,0.12847716923340038,0.09509264434889393
Cerebellum_Crus1_R,0.43833127578042175,0.09761625948422942,0.0438537023774464,-0.5687323207145715,-0.586001660940827,-0.21513298014675858,0.5422729037350869,-0.29795444859131404,-0.1658991083611432,0.7410423666522347,0.303899575143922,1.0,0.04190031350555422,0.5918100785946664,0.5791324433082295,0.1506294492387241,-0.07785433895177306,-0.13885267666959955,0.45076554486569737,0.035723553522553825,0.2788195327545699,0.15331116739241182,-0.41651327351277945,-0.279309930574677,0.9074492615869238,-0.44184281295673133,0.1265129730575841,0.35504653647945916,-0.480937988617601,-0.27402424960276345,-0.4692574608897747,-0.04159444702499162,-0.34882751050550564,0.06801183094532032,-0.5127037345846773
Heschl_R,0.24677807112679173,0.25551018641302553,0.25948113943486345,-0.1437738069127888,0.5363139417196958,0.4451664142196161,0.07942930740112115,0.4928569556726628,0.26757726424115663,-0.2837309950107408,0.21124932218463421,0.04190031350555422,1.0,-0.2704992692208021,-0.030911417390217463,0.025372437522839894,0.6683235545182394,0.35047600782667937,-0.012863192835412667,-0.25345335378671335,0.12605863563116912,0.16928840307437634,0.584764270769914,0.04554086394815919,-0.023722172052591847,0.3239110790786274,0.2731960261995163,-0.10251487177665732,0.4796602184942031,0.6123086304735246,0.3029100098864531,0.2479799016772928,0.6455158025004091,-0.15624833120885068,0.4329099497554384
Temporal_Mid_L,0.04683528229748559,0.059415691280932555,-0.14465347742157147,-0.18472873596465073,-0.6033424536070646,-0.1293440637154738,0.3025081902306595,-0.3272200927167545,-0.23431308627194358,0.8001241876317526,0.3124509884228702,0.5918100785946664,-0.2704992692208021,1.0,0.6931078409474489,0.40321730369971964,-0.08981694180922332,0.045300133797016556,0.3987389428338416,0.2690957985349409,0.18350168177113327,0.3659439002583242,-0.4049603104370538,-0.08865588729327732,0.6935765919928185,-0.5040058223543906,0.27314117741783545,0.6233065111115894,-0.5029164701387558,-0.39144885264514434,-0.4949189745593268,-0.3321659065685549,-0.41772752708850747,0.24447060035514326,-0.5071999644530346
Occipital_Sup_L,0.2329203684884267,0.1586098225374138,-0.12626115322626322,-0.3808996197754942,-0.4805963751085401,-0.0002159839557652187,0.4704846541015785,-0.16794836787416517,-0.06503335746200137,0.5068441416008421,0.23730286464819308,0.5791324433082295,-0.030911417390217463,0.6931078409474489,1.0,0.32290155254536784,-0.009143027450433052,0.03489770025366386,0.5254720381472374,0.2089630700606268,0.5230649522104603,0.5076660270543415,-0.26284802298887416,-0.10792160701270863,0.6754147194793398,-0.4154159931352221,0.3674212310655729,0.24482706809799107,-0.39561983378943366,-0.3587800097368689,-0.5052738766130854,-0.22954086579811347,-0.23698493270637352,0.20725238926013476,-0.5368564572179751
Cerebellum_4_5_R,0.18567457911286028,0.4093161510817322,0.1733460388763697,0.27257717087742034,-0.07694509749319034,0.4091394688132895,0.3439024580908031,0.39677871196376213,-0.12954750477198082,0.10060298862908935,0.19742687080625404,0.1506294492387241,0.025372437522839894,0.40321730369971964,0.32290155254536784,1.0,0.28938488288381853,0.11900455504160344,-0.10432118603678356,0.07500263722427071,0.17818931705939736,0.5216809970941182,0.24230796114933636,0.12920310650423358,0.13705817162045647,0.09403812613015447,0.19513801567561317,0.30246383621361783,0.2285452201699939,0.2782080330348644,0.24462833833020473,0.12363066825785633,0.18204806147088404,0.47959065786460575,0.08871187942139909
Frontal_Inf_Oper_L,0.1842269751890125,0.36607227158070194,0.2722982031641399,0.12664922284785077,0.4619811225379354,0.6316556121937839,0.3370744723060668,0.6012741467463211,0.3761748438945336,-0.2730328498643005,0.23275187029141328,-0.07785433895177306,0.6683235545182394,-0.08981694180922332,-0.009143027450433052,0.28938488288381853,1.0,0.40662397697548314,0.0030303467367508805,-0.14534922579782678,0.28484963821986364,0.3702454988366753,0.7286555192471675,0.3877281461633851,-0.05838759509876332,0.3779429176347118,0.43661510567642675,-0.04003358677965648,0.5288532296365347,0.7161750102613039,0.41350799861264353,0.2882100251245238,0.7074000760478352,0.15799821481069876,0.3862177381058796
SN_pc_R,0.014472502862966193,0.07931934976080014,-0.008588622782969261,0.17021813499644986,0.40461389130309594,0.2682073845083723,0.04339659031426804,0.1313173765820791,0.11619069519871138,-0.09017817033003753,0.2801000419215502,-0.13885267666959955,0.35047600782667937,0.045300133797016556,0.03489770025366386,0.11900455504160344,0.40662397697548314,1.0,-0.06339683538916187,-0.0364067121118433,-0.10436599811673161,0.2121911328493668,0.24936925543096908,0.19501672774053008,-0.1466511861725273,0.24674731480168258,0.16008163376072881,0.10058326093050177,0.2777366942766927,0.25080464768057537,0.14551601556149585,-0.06697572109912085,0.3887728447170177,0.2274180390243098,0.35871169458566793
Thal_LP_R,0.18188221522120734,0.1776829866588033,-0.0638524726966879,-0.5340071199941198,-0.4203154836598514,0.014049920608781746,0.44829821891854826,-0.21483971208087682,0.4072873788689249,0.3417038764068178,0.08717511277407991,0.45076554486569737,-0.012863192835412667,0.3987389428338416,0.5254720381472374,-0.10432118603678356,0.0030303467367508805,-0.06339683538916187,1.0,0.08217420875889761,0.636278150014032,0.1980695363375968,-0.18639429292479984,-0.13592894836377073,0.59748555093244,-0.4428658344228118,0.47692699185054677,0.13353133312082036,-0.332079225684154,-0.35595223269305754,-0.49082459309280024,-0.12906048455583358,-0.08515988667342,-0.06256686487353179,-0.5339741378343249
