,Cerebellum_3_L,Occipital_Inf_R,Thal_IL_R,Rectus_R,Raphe_D,Thal_MDl_L,ACC_sub_R,Frontal_Mid_2_R,Fusiform_R,Cerebellum_Crus2_L,Postcentral_L,Occipital_Sup_L,Thal_LGN_L,N_Acc_R,Frontal_Sup_Medial_R,SupraMarginal_L,Supp_Motor_Area_L,Precuneus_L,Temporal_Pole_Mid_R,Thal_LP_R,Cerebellum_4_5_L,LC_R,SN_pr_L,Vermis_8,Temporal_Pole_Sup_R,Thal_AV_L,ACC_pre_R,Thal_IL_L,Frontal_Med_Orb_R,Temporal_Mid_R,Amygdala_R,OFCant_R,Thal_MDm_L,Olfactory_L,Red_N_L,OFCmed_L,Olfactory_R,Supp_Motor_Area_R,Thal_LGN_R,OFClat_L,Frontal_Inf_Orb_2_L,Temporal_Pole_Sup_L,Rolandic_Oper_L,Cingulate_Post_L,Temporal_Pole_Mid_L,Occipital_Mid_L,Frontal_Inf_Tri_L,OFCant_L,Parietal_Inf_L,Cerebellum_4_5_R,ACC_pre_L,OFClat_R,Putamen_L,Cerebellum_10_R,Parietal_Sup_L,Fusiform_L,OFCpost_L,Cerebellum_Crus1_L,Cingulate_Post_R,Thal_PuI_R,Heschl_L,Postcentral_R,Occipital_Inf_L,OFCpost_R,Precentral_L,Parietal_Sup_R,Vermis_9,Vermis_7,Vermis_1_2,Lingual_R,Thal_PuL_L,Heschl_R,SN_pc_R,VTA_L,Occipital_Sup_R,Insula_R,ParaHippocampal_L,Putamen_R,Thal_PuI_L,Cerebellum_9_L,Cerebellum_3_R,Thal_PuA_L,Vermis_3,Precentral_R,Angular_L,ACC_sub_L,Thal_VA_L,Red_N_R,Cerebellum_9_R,Angular_R,Cerebellum_8_L,OFCmed_R,Cerebellum_7b_R,Thal_MDm_R,Thal_PuA_R,Calcarine_R,Temporal_Inf_L,Cerebellum_Crus1_R,Frontal_Inf_Oper_L,Rolandic_Oper_R,Cerebellum_6_L,Parietal_Inf_R,SN_pr_R,Cerebellum_6_R,Thal_LP_L,SupraMarginal_R,Caudate_L,Cuneus_L,Temporal_Sup_L,Cerebellum_10_L,Thal_MDl_R,Pallidum_R,Thal_MGN_L,Pallidum_L,Hippocampus_L,SN_pc_L,Thal_VL_R,Frontal_Sup_Medial_L,Temporal_Sup_R,ParaHippocampal_R,Thal_PuL_R,Paracentral_Lobule_L,Temporal_Inf_R,Amygdala_L,Rectus_L,VTA_R,Thal_VPL_L,Precuneus_R,Vermis_4_5,Cerebellum_7b_L,N_Acc_L,ACC_sup_L,Cuneus_R,Thal_PuM_R,Vermis_10,Thal_MGN_R,Insula_L,Frontal_Mid_2_L,Thal_VL_L,Thal_AV_R
Cerebellum_3_L,1.0,0.17022716093139065,0.2332551784889238,0.13913400180786412,0.24515358466545983,-0.09441699675840652,0.037657889977091234,0.3740759840756972,0.6047367357544123,0.06185838643773098,0.22565450447051963,0.31662027869830994,-0.04004129053398038,0.2911813876955477,0.05758294653887264,0.3123295256864842,0.3120153692818324,0.30674873393346663,0.09007290394618972,0.11090203353268178,0.5786551076502744,0.245299872743436,0.22094314953643646,0.09909440203802992,0.17351560149953463,0.1902820576008835,0.08760169064149646,0.05705343661085554,0.011294549751847202,0.3275967549902681,0.19883985445708358,0.07768829506133908,0.268925472510593,0.001221184271284296,0.30821366772920417,0.1337262281864453,0.23599934137112077,0.3003051784696679,0.10732945896488086,0.20756729189980425,0.15434000790617283,0.13884424237670254,0.4072301159043582,0.44595294559040616,0.13451616336696157,0.15667737897288658,0.26050217596517394,-0.08365481543637121,0.24371444449367438,0.595246141549583,0.06184930762910826,0.10575956129015321,0.4376012372096944,0.41013708596086373,0.1879269623699675,0.33609199480531476,0.06387427266984842,0.08415309810718843,0.3751437063033025,0.13285211448462653,0.33415307923173726,0.47924330431386525,0.04595649070898262,0.26179809541671845,0.28566910214028274,0.24424404010492892,0.16958739730916483,0.0874697919252918,0.4360153113295288,0.4265600202281732,-0.07261408991263388,0.15349284188045717,0.3554380842303639,0.035528676708277064,0.27175842067170813,0.3731725698370264,0.2684528021266852,0.39914467126305286,-0.10135088995927616,0.16133407497949342,0.47797780267879303,-0.1183097580395112,0.518163010485443,0.41709234542194995,0.2385615087657232,0.08728440174319708,0.3457626008319678,0.15180184836776833,0.10630040569530287,0.31886924867009475,0.11974248431189442,0.058900868941984784,-0.057626645114408896,0.2342559240009307,0.32698802637411933,0.4384131280560388,0.18454469755856473,0.1027131727764712,0.4256819344413473,0.45871080540374964,0.15358489265886505,0.3525825651239277,0.14754143479675189,0.42400696480676303,0.02589793477131115,0.3988891688176821,0.1089642192905281,0.3500280663548718,0.48402784825516565,0.22893771690121506,0.22849214679507668,0.17500082043579626,0.07145533046738173,0.32912069037878194,0.330518468367262,0.3731289530576794,0.16456093175079248,0.298293345552687,0.4258858776138774,0.37642935815569056,0.16033048741917416,0.2620270307584457,0.2857762374720116,0.035991976649072936,0.010805615748272655,0.23828107231376153,-0.046683388073739215,0.44675542523031675,0.5893751274490768,0.10195717582628666,0.11476171318155287,0.17269720319415063,0.303050226383556,0.2538959260361654,0.30830421176628653,0.27419447202324015,0.3771023558150718,0.15969891169429787,0.13000117041885173,0.10457039492000801
Occipital_Inf_R,0.17022716093139065,1.0,-0.18890759570932997,-0.45339349498309406,0.3904244427377226,0.07291833974566005,-0.6695579330054761,-0.1468683453211605,0.48492795506275305,0.77789315076297,-0.3089541946282906,0.6754147194793398,-0.6531498879062669,0.06526746904594895,-0.4037593080359681,0.226074134144709,-0.21631228119152385,-0.07775205721523275,0.8127884693372792,0.59748555093244,-0.05971794470943897,-0.18179802291730549,-0.07086264981208788,-0.08781353987561087,-0.13253283714688663,0.02301278677236371,-0.5614046244148906,-0.2814729009538926,-0.4366295168144428,0.4651358131016654,-0.4063457924222196,-0.5704603770995887,0.4399252588630586,-0.4745876335252641,0.22382041840730854,0.12618910522746737,-0.46215030037530164,-0.2592854070781068,0.10027142788558972,-0.2783334973179941,-0.42717524639434123,0.6412285421953521,0.09955278832063415,0.18540575263966771,0.33862983080974457,0.8664347630894565,-0.4429098686893597,-0.2978286931604044,-0.008882900394042872,0.13705817162045647,-0.6604972699326178,-0.5459490937381815,-0.28571472941703385,0.3894091220560384,-0.0854019233431245,0.646803886874432,-0.5052578950499631,0.8493570546712689,0.257382967311927,-0.2761787188234089,0.12262636841394459,0.2019851339864369,0.7723618866485342,0.26745749333942,-0.2536379982152461,-0.04924492820741733,0.9027480318410733,0.8068892924148793,0.04394966546648665,0.8307539835802682,-0.00983055875250713,-0.023722172052591847,-0.1466511861725273,-0.08814221850698017,0.42631054623475395,0.1291916572553747,-0.5564117234764475,-0.2925998099858767,-0.5827752653938569,0.9076550565502666,0.5696886603318488,-0.19401638751331754,0.5691202163091268,0.3110949099458238,0.41025859801208203,-0.6056341178413224,-0.21473257780499416,-0.096049942261658,0.909004475183149,0.43268413246452875,0.809865463154655,-0.47606770232104173,0.5441138219219036,0.5386744135837545,-0.15443647393349105,0.7525233679094135,0.5113544592393794,0.9074492615869238,-0.05838759509876332,-0.07637000668955816,0.7969422916455384,0.17936421529992125,-0.05959553570251469,0.7958922263323629,-0.07918496383909872,0.3935331209216533,-0.2684648658697151,0.7271372337365278,0.4350428076854006,-0.4253428122569826,0.08750722582839755,-0.5847534158796204,-0.06798954872165015,-0.33745182461871426,-0.27618620055997434,-0.2060886945538166,-0.3377300445099455,-0.05896841446898866,0.19643009194972189,-0.38687557013467394,0.5804822863438729,-0.3022007232271798,0.41913152528288955,-0.7782132600862346,-0.6568515729496691,-0.13942426944191721,-0.5821042806470241,0.098726859382482,0.29413222855525695,0.8019213820537345,-0.14776817901057848,-0.21220338962917643,0.5728547449293104,-0.2684341217339917,0.3519307322780558,-0.005993140200389635,-0.17735540987056336,-0.4758456384832732,-0.42647809729895986,-0.5917217418801197
Thal_IL_R,0.2332551784889238,-0.18890759570932997,1.0,0.047488731873245364,0.0660088486675889,0.05763076785754306,0.16447753084166977,0.259201309443292,0.3856288239544846,-0.05437112372118824,0.12383159690680526,-0.01920387140399679,0.3478910360909866,0.3587698458398224,0.053096619359585984,-0.14266719498954727,0.387086188026261,0.11888557231870077,-0.22788684795990846,-0.2787021953079366,0.3757529154932351,0.23180718553950125,0.29221555836481444,0.3033654809928094,0.15366707530681908,0.19163456427236558,0.3629084892198043,0.32686044512696455,0.27540194801767304,0.14665760661676208,0.32352273409896093,0.2508246888787619,0.3064852914457706,0.21838156667035258,0.3013131354066009,-0.043367629283641594,0.29263347867179884,0.33627236970041346,0.012421355248802217,0.3332420280668757,0.44520096393365977,-0.016556591452385912,0.16982794902059428,0.3174761407593149,0.18130330048583704,-0.16860003863673306,0.3687408255400575,0.2183222902845499,-0.03877431857801973,0.5541111714002107,0.26472056223709645,0.3917276518640982,0.4314476616167272,0.19390770837766147,-0.014471246805391058,0.20271933914114326,0.2700418299730418,-0.14841189727903142,0.23414186353112398,0.3466768019380475,0.30253811329865615,0.3148384800167396,-0.13986739374639853,-0.0504437224060496,0.17018476587552814,0.050592671373493985,-0.035453129082750064,-0.1680986672547346,0.2520797022162124,0.09411419203804675,0.08859995726933852,0.003303927364462037,0.0613808329984001,0.0671903183711144,-0.009553652623637878,0.19394966454013898,0.29761072440754593,0.4678561977949309,0.4283319046910666,-0.10397905965713738,0.12234222948749789,0.39126957850746563,0.28260948752628556,0.2700130527615748,-0.2406121308038463,0.36828307794639675,0.33678914367881635,0.31372345020017944,-0.14319454522397793,-0.02738659215584149,-0.04715061058907121,0.2651681403974869,-0.034216247535957464,0.3117289327674837,0.24464159927272633,0.033547696048071986,0.22137818742917145,-0.10320199527041386,0.24518766566340985,0.4237534624399214,-0.058280642582162895,0.1691655792172965,0.3272646973946363,0.1448356812298304,-0.06134960745138788,0.06389873536245881,0.3044920839927181,0.007223909555269477,0.2401043293909485,0.24392819829008605,0.38229707985760714,0.3085820072267946,0.0331819557429464,0.4058126476297736,0.13575629928387395,0.21191146485419754,0.34726284155241693,0.2875683945502681,0.24909743152776292,0.38801809354258193,-0.19069209725803274,0.3624490612695277,0.060694725714464326,0.17580454908035711,0.15823923453742253,0.16230503592090872,0.3544940647164231,0.28211350930566764,0.24962156922908485,-0.1233129129056236,0.4494574717173917,0.20040515818922547,-0.05918663692281958,0.26729979502507795,0.14326464541310283,-0.07320817071916866,0.23308515343814376,0.19416741130814608,0.30518295798367573,0.2990661815206656
Rectus_R,0.13913400180786412,-0.45339349498309406,0.047488731873245364,1.0,-0.12532907279388947,0.1983759730946885,0.6153596431000704,0.2702708346617539,0.011625610285752735,-0.6115099713097697,0.5254306594516618,-0.2815520382872852,0.5963698670096974,-0.04640837647925643,0.7102651823522821,0.21157362708104513,0.42145509812365395,0.33214136880718587,-0.27486522480872844,-0.2262280751311833,0.35870678773448994,0.24014544216200018,0.15128866671786514,0.13031322702852086,0.5548500927333502,0.0009281894070352171,0.6638209103197201,0.26701038880650263,0.15882303517974294,0.16823524942424606,0.5595448229295377,0.17747685638962785,-0.1343297741465072,0.5161329492687431,0.036058493497911404,0.11110270432156207,0.6654253180530675,0.4762246144853007,-0.008589931571526542,0.0661758503401255,0.3977158198047054,-0.2072573838645352,0.4047773520833115,0.04366732067622394,-0.23799937304652585,-0.5224958382920419,0.6437859536116937,0.09808620054575953,0.340825016222001,-0.01896293055871603,0.6443689057187723,0.3335414873892796,0.4048284515443892,-0.09651462484925942,0.281305272945754,-0.4486387109421293,0.6978558731014378,-0.5884531332610805,-0.05453516779876314,0.20741303478541287,0.3569990552512969,0.04477399631056439,-0.5644168784833318,0.401820981170198,0.5508848677890462,0.1964504753109409,-0.5365760441099572,-0.4553279986131841,-0.027519978754582782,-0.44055594047665475,0.14675464229402146,0.5750976475472598,0.3768455471843006,0.15953424020783985,-0.030263199919746596,0.36007824902158436,0.5922107518384888,0.4337390300817429,0.3575839243254351,-0.504250067345576,-0.04000382232205567,0.3180278718816581,-0.3586406086749218,-0.1613352045228358,0.02372243240747094,0.6158626586214742,0.385025989172031,0.25095804694895607,-0.5387660247229982,0.021897023039780188,-0.6253852571281777,0.7068777774660663,-0.2637674321697969,-0.3464613286376514,0.1472473349423064,-0.2800987333528274,-0.47061778472733184,-0.3769533093742207,0.48087272548998883,0.15952255414424088,-0.5902273302065488,-0.09684285160366121,0.07643279102016887,-0.4199939714133399,0.19497392058302518,0.05461947114627622,0.4834208762115223,-0.32361161432933544,0.078583605578763,0.45874361813206493,0.051290368663180236,0.6377682638179469,0.3515484092946406,0.5909828469209779,0.506886937107736,0.37517742714169033,0.47675540147443246,0.3777753411030863,0.3385791146938177,0.5693457340859556,-0.4294195712271246,0.37027150053810665,0.2687910409946692,0.6540334379590579,0.6191445184901656,0.24191573671442038,0.5537621950681679,0.06289782265621324,-0.13139663547243094,-0.5992731670148957,0.2642351995543524,-0.008299638646548604,-0.13751373625074342,0.4405494865814846,-0.3575533228681251,0.3873974523055548,0.5877194828766633,0.7300775821648076,0.5193095018818973,0.47221734376562663
Raphe_D,0.24515358466545983,0.3904244427377226,0.0660088486675889,-0.12532907279388947,1.0,0.2755347670023171,-0.23379090650704287,0.0369394081396587,0.29419565139741244,0.3713627917152611,-0.18297780843491449,0.26583448657448294,-0.1434566987470326,0.1539380171068492,-0.06755787434277788,0.11370237677865669,0.051893268127268674,-0.049410511224896925,0.391378681679631,0.3036429362858346,0.1426059139861573,-0.01909642960896787,0.3466408942795836,0.0984975304710616,0.038975002120545846,0.19138528845047065,-0.050932514737303494,-0.05556444380250813,-0.08926657475162067,0.20115048965952248,-0.06737055575391568,-0.18488239144553922,0.36310423134516745,0.0040437020062125476,0.18752492699654222,0.09355586685178917,-0.10541483566836425,-0.0012742924101523533,0.25145519318930126,-0.1159442179479989,-0.1249087376011389,0.3781330061615087,0.051273165428755284,0.175301777976518,0.2725881651090104,0.3348311219356849,-0.09489424927674855,-0.07425944088044356,-0.05182351665698167,0.24626576936176114,-0.14533720156940197,-0.24204226271357573,0.011149252189288755,0.28511189461439446,-0.09309252160440658,0.37065148260919595,-0.11933789561749987,0.3432352707472507,0.1931142657603859,-0.03953719282271832,0.29996842789360834,0.10176511938858042,0.3393374171646057,0.18432607169938614,-0.07096749578166132,-0.054295700551059346,0.38010546280519525,0.355038569167577,0.20692125811412826,0.41087621308090544,0.04725699607964169,0.006172319232661446,0.00020635487388725342,0.020540391599733445,0.1869418014033862,0.1541448575814049,-0.0949730708557237,0.09083811948263877,-0.12019093923665203,0.3771959572903808,0.34423097329945834,0.0936589723324287,0.3337101296784838,0.1675415079507258,0.11893956239079076,-0.17335418750085593,0.10016744894116442,0.14962866518085569,0.3694459602145783,0.14092838693559712,0.362277355210934,-0.13725838293725343,0.2666195509728558,0.38565196897977616,-0.0021365278137193016,0.3072269825808061,0.30077664260753056,0.3968825051535267,0.014078460300996612,0.03901433896422579,0.3593962804132207,0.04320723491888678,0.14915358802888107,0.4082717063818606,0.08384592623561883,0.1903173153093166,0.06978508404012433,0.3011139038725275,0.3213329682982119,-0.07657767873613364,0.20167680472408678,-0.05839424714813606,-0.004670496561437356,0.09324475508784853,0.06235207950798109,0.11382828006381651,0.08373767223797624,0.013799471290723212,0.16122684405428608,0.03944679246815919,0.23830689670574406,-0.1044908161140302,0.1673448531302471,-0.2834818368693227,-0.1346162800151543,0.1361749692818247,-0.10249089442451063,0.07971355788294059,0.26501293339835885,0.3503173508719232,0.048096840783655205,-0.0964576824514388,0.21168219412907954,0.03499353646074992,0.17275931733542876,-0.09181818937484452,-0.0322837479215827,-0.08404909500176554,0.053073008099160095,-0.18541885725252288
Thal_MDl_L,-0.09441699675840652,0.07291833974566005,0.05763076785754306,0.1983759730946885,0.2755347670023171,1.0,0.10754903274724507,0.09368781958225023,0.10292018409799253,-0.11258399118670036,0.12694697294905757,-0.012292118677206646,0.21308974407106382,-0.02175455482380322,0.3550325338637385,0.12577912590213605,0.21431622642801396,0.22246130683243723,0.15584272079137143,0.2536091080172609,0.10419454529297398,0.06869703575532013,0.23398687763620538,0.03478511483506197,0.28208624898889567,0.17519727835903876,0.30002484982736144,0.2551593735729345,-0.2433215576995267,0.2825632914376543,0.13027951420624218,-0.1329575877105345,0.37662168719146805,0.3136077021188991,-0.025793415733231535,-0.10902516196982327,0.044181237514318655,0.27027019533272556,0.16324488748373814,-0.06208862289701734,-0.11455028146694918,0.008338789485278459,0.037024860503156856,0.11686046553030784,-0.03469020087935301,-0.03623706116087526,0.18140009747143235,0.19512523861459136,0.20596991992468147,0.044016616509086184,0.06943208941569931,-0.012805327345966004,0.1619798997308306,0.15946409834499453,0.18530561365974985,-0.07562914190898792,0.1561847888673176,-0.08790536818376635,0.07545489703339676,0.10773926113042988,0.3466657584057974,0.03833511567418205,-0.09063883212434613,0.1964745306246773,0.2528965288825235,0.144183147554165,0.04172826195177398,-0.04269091189019471,-0.11562813266061694,0.023943643736560213,0.3338122691159116,0.26235023070297186,-0.013721135727827741,0.0819472591888257,0.23134184983040051,0.14865021667691924,0.07198698997658708,0.1147290710503283,0.16475829467224107,0.01873332477026014,0.12250667145993736,0.5135582056021368,-0.1016440028956744,0.04778636004494506,0.18101721732838477,0.024864978864188966,0.24986884542728582,0.08549890452382355,-0.003960336426132424,0.2266519639952267,-0.06937913412735237,0.12915462548112575,0.1947209100608438,0.3600835091024991,0.09575170156380797,0.0035057201009492936,-0.091837907966173,0.07073076173979378,0.1394868898192844,-0.14742449839748117,-0.08894247309106505,-0.004747353137209133,0.12446703732074972,-0.008978721862129382,0.3793647318274091,0.20368732366347062,0.5151900784732608,0.10343843398371672,0.1815923037542655,0.1948669174078911,0.3902206675575826,0.20274790933159437,0.2397192325621943,0.2476010447670778,0.14537972157920967,0.05900582087993916,0.4273578069631222,0.12799040469309034,0.25707402680119873,0.2357332682554889,-0.06939031084241552,0.04849038593339949,0.278310223166454,0.029531098969953325,0.15152946512823218,0.139050801319391,0.33935735303964737,0.133683372432925,-0.03653819405274511,-0.08970808736527018,0.14689930781500585,-0.08329939539564112,0.16539233025302288,0.31805869646411933,0.002827171134983779,0.014429184310612613,0.18431448019145535,0.31535902143778055,0.4028013902828917,0.09786984456013487
ACC_sub_R,0.037657889977091234,-0.6695579330054761,0.16447753084166977,0.6153596431000704,-0.23379090650704287,0.10754903274724507,1.0,0.27333091003421683,-0.16264093096153848,-0.6862198692873032,0.43150264400594507,-0.4805963751085401,0.6498179399741363,-0.032628863935538474,0.6218086237570467,-0.10273644019410128,0.3626881669238572,0.23894816649654876,-0.4562335345093851,-0.4203154836598514,0.27836889781986923,0.3617330381439741,0.15878449534263622,0.058865580885079025,0.5344008560736508,-0.01386515649257848,0.7307552340425335,0.4089623454182807,0.23562334079312341,-0.015344697464054948,0.6634498121485123,0.27726013062709925,-0.24211213848777693,0.4597534216317781,0.07809872009744659,0.038442567557771305,0.6804772229311852,0.4000568475758289,-0.14135033774467795,0.12043028956599515,0.5283624889788799,-0.3412528332953678,0.3237070308655575,-0.11878719913612965,-0.17566854237879587,-0.6976525585467603,0.6486593704754045,0.08639484654117305,0.17149450437820019,-0.07694509749319034,0.7461087255268016,0.45226802607324756,0.44908136462912435,-0.2551757159711692,0.2356230820554606,-0.5470285670815525,0.727965147986208,-0.6993631792405715,-0.19101375173539936,0.22044094557686264,0.16562073390909782,0.03105254397606334,-0.6449443058992245,0.2332702720780949,0.4359002994133642,0.16998595461021154,-0.6599531111101552,-0.609280970912417,-0.00848788440463061,-0.5856100851303383,0.08712987887746164,0.5363139417196958,0.40461389130309594,-0.07250586964939881,-0.25175600209792814,0.4136072029859607,0.6361297584184804,0.3832906614223001,0.40437434846932685,-0.665610279498939,-0.26548311806988917,0.30037661006777283,-0.33587452002472556,-0.18422062128270913,-0.2178536804829783,0.6421982135879942,0.3766417638284589,0.2111242027130603,-0.6861884408084846,-0.11729962722811647,-0.7012177279392265,0.6196368771269165,-0.33361674871836516,-0.4111573289192642,0.21469039111635194,-0.3964334348806042,-0.5309990660618938,-0.586001660940827,0.4619811225379354,0.24861833930674698,-0.6958561318264689,-0.0843588210222907,0.1898212834455323,-0.5751748688185404,0.19206181887795004,-0.0883178512926668,0.3838178353559728,-0.5180303117893544,-0.1227024199921917,0.483920198026855,0.10597518258780152,0.6349667411889253,0.29752330615602224,0.5026105081692162,0.5020779842940533,0.3946588668478679,0.45603698504386736,0.3367885487028951,0.2130874006484917,0.5222241253761456,-0.5090396349222979,0.36545197588202044,0.04135037512998644,0.7283371636247755,0.6592274210151102,0.2297398457568179,0.5573819204296672,0.0023739383250800023,-0.2409636427608764,-0.7041324557256031,0.20536680340976612,0.12740941674695816,-0.3101197906124968,0.35197167812960245,-0.37573480925843483,0.3434851920745112,0.6082667208723074,0.6307407865860583,0.47469176846036926,0.565766831481129
Frontal_Mid_2_R,0.3740759840756972,-0.1468683453211605,0.259201309443292,0.2702708346617539,0.0369394081396587,0.09368781958225023,0.27333091003421683,1.0,0.38020885647170755,-0.09881001543534823,0.378892582652477,-0.06151848417132142,0.2254024144376007,0.16988945067752625,0.4330765181894486,0.20116316829988534,0.7629680813362619,0.2600394375410932,-0.10158908180505626,-0.18174015289496884,0.3957096393278889,0.24308777585483335,0.18820548930506228,0.055658477358949125,0.4013847908027691,0.17764027737449728,0.4345836616145139,0.29603092826605387,0.04130564136383118,0.14593810989372924,0.15743037410256813,0.3658573385306573,0.007350193015790681,0.12278866670690963,0.0773876394498708,0.1265664673783907,0.32329061959467975,0.672117218455135,0.12031773114894875,0.30023789390212996,0.24578254192002563,0.07799952609760112,0.4431934464076963,0.29641621064457363,0.14192923582165137,-0.15705923351696074,0.5634174777480794,0.09576916728030133,0.14261560168106688,0.5057645629689655,0.3311890677249893,0.14002969686346067,0.3842356888255168,0.233553506338049,0.057323767893564734,0.1869790603004223,0.207862466639681,-0.1270406056805207,0.27042992256036114,0.1960731334838144,0.5118632340736121,0.7310930137275233,-0.05306694156346399,0.17909671592866747,0.555351969852727,0.11663967510510986,-0.1422698744126837,-0.0698913267406572,0.2344057398239787,0.1571603071301204,0.14258328249409127,0.29411729145545656,0.2536679464100357,0.07711512645375668,0.07338208064491532,0.3735598690917708,0.34653882721574936,0.5231059517470669,0.16662995705620942,-0.06234579507426017,0.07013962901348408,0.09755554650879154,0.15292035277338462,0.6816877381138672,-0.072269817865091,0.20012417662720672,0.5320712618487358,0.05833776315048436,-0.12458626583763575,0.2048994315936037,-0.044265842884528075,0.2301866116143879,-0.16368588364450498,0.10176641847098439,0.3778898989573895,0.1442369441228777,0.073180374436232,-0.21186405362493965,0.6059075265980944,0.6735332115127038,-0.03247666985203889,0.48018673507655946,0.16670082353783974,0.13933283273369418,0.19364864993818898,0.5770510984285412,0.37742724944478434,0.03961751700398114,0.5580068143573635,0.2690943747469626,0.2770185289887738,0.45176573855413243,0.12123897028031591,0.5407669069570143,0.42881313269017723,0.17772888384823504,0.41523807042426597,0.5962567314053752,0.5662227984007956,0.43260007532552386,-0.2079746819123587,0.4828429913794021,0.09911429984434898,0.2475761905153128,0.23392556496083267,0.17458892326616923,0.3457762648620109,0.3712014676306749,0.4275636384662945,-0.08374217790874243,0.04828995049921052,0.3841404709613151,0.025917215604761172,0.4702515033540774,0.2668168894362025,0.1759732845046415,0.4826329780671972,0.4938404313846756,0.4786117363130246,0.46016862003724057
Fusiform_R,0.6047367357544123,0.48492795506275305,0.3856288239544846,0.011625610285752735,0.29419565139741244,0.10292018409799253,-0.16264093096153848,0.38020885647170755,1.0,0.2412634136338478,0.2568765445742491,0.4297416589962923,-0.01850175958299237,0.29571638643271225,0.041958354931439755,0.297508298447856,0.40219322357713005,0.3606834862767088,0.2943465849832172,0.2060979215446782,0.5479815931064912,0.29359224795521266,0.20965723366736255,0.21309039534861202,0.3041916917077028,0.21164282982534594,0.08518833448074653,0.0480889109200616,-0.15162044038008424,0.6929778760385873,0.22194392587246695,-0.14633371848756918,0.5366227041326308,-0.028898724471295018,0.34546574183129936,0.030104744455811,0.10610976747797239,0.3903328740075655,0.006642212234095724,0.2613278042380277,0.1497848227159838,0.2851110894611174,0.4401024654741495,0.5126718881098075,0.19328402506194986,0.3481032155956151,0.219192084121499,0.0660013027264894,0.28451335748528034,0.7052261027859904,-0.10868844638678543,0.1262132232662602,0.41290370525510955,0.4142924127928651,0.19281298711219572,0.5201543024936129,0.08176495077952109,0.2523929639341353,0.47181734716564205,0.18573741909158745,0.5095014797365665,0.6288087393391513,0.211128502924746,0.3196119167887304,0.35824101928615987,0.23356055998469202,0.4256412101911233,0.25297461456263304,0.18753962136000069,0.6814872370473505,0.05012809769340692,0.2703642878633587,0.08709909405266242,0.006097077850815561,0.47263093130214984,0.4743407789776346,0.11334086604169524,0.37510286329392506,-0.08733752402930338,0.3916654774828894,0.5856504387255342,0.17457207115815032,0.5546254422060509,0.5669945649280049,0.2637172330848146,-0.020827065569556363,0.3945356759010732,0.2166483535064936,0.3261817213755179,0.4987723773453983,0.3120309115455299,0.044590122449968066,0.2763341142875166,0.43250169273867184,0.30186862483426613,0.6398095122071726,0.2946084806420934,0.44973827014462026,0.4824770726473637,0.5222786508474938,0.306408059420178,0.4368606653254916,0.1779517742096272,0.6427573595068774,0.09887650797836933,0.6037177862793806,0.16879849489634408,0.5605574552651318,0.6460765083507852,0.19133918011623963,0.33496377186385473,0.06790315035436169,0.18955274962232416,0.31159831910032093,0.12297776034904982,0.15471381013270438,0.2301659561795858,0.3795397557807606,0.6836751786017403,0.38751605794416705,0.1893030395623979,0.3111488418148922,0.616269798745762,-0.2640079441520624,-0.14837452715383417,0.17449502815487472,0.0031301451578152435,0.5415796789457478,0.6016513384941456,0.24752741973999914,0.2862385948878881,0.12773041689017287,0.503996642839372,0.23813679738521665,0.3647407816194567,0.180397792697788,0.4180520451600564,0.12976559272239027,0.0834064596006458,0.03012044200030542
