,N_Acc_L,OFCmed_R,Cerebellum_4_5_L,Vermis_10,Calcarine_L,Rectus_L,Angular_R,Frontal_Inf_Orb_2_R,LC_R,Occipital_Sup_L
N_Acc_L,1.0,0.3418028315506434,0.293818775822854,-0.23436449363293665,-0.1405150212127522,0.3153275996995247,0.1175872558066949,0.5220130981565467,0.12525703510499306,-0.10345132342284676
OFCmed_R,0.3418028315506434,1.0,0.38982905572182036,-0.2590949343765549,-0.4403958306199464,0.6085154484503149,-0.08942866768954469,0.611806005668921,0.3138056902964114,-0.25039355411396147
Cerebellum_4_5_L,0.293818775822854,0.38982905572182036,1.0,0.15062662694913287,-0.020891566738589537,0.3782592193235101,0.11867750399255464,0.41567572379864637,0.39905264247185207,0.09646265930054529
Vermis_10,-0.23436449363293665,-0.2590949343765549,0.15062662694913287,1.0,0.4783400453325281,-0.4103912592697844,0.051688858955992616,-0.49736885234867784,0.09209239254620981,0.36188046303641946
Calcarine_L,-0.1405150212127522,-0.4403958306199464,-0.020891566738589537,0.4783400453325281,1.0,-0.669145816812837,0.471129676256188,-0.5647936065404678,-0.16125135304496016,0.7654069073801072
Rectus_L,0.3153275996995247,0.6085154484503149,0.3782592193235101,-0.4103912592697844,-0.669145816812837,1.0,-0.14283000377588878,0.7113913410200198,0.2674555790115522,-0.46252422673448557
Angular_R,0.1175872558066949,-0.08942866768954469,0.11867750399255464,0.051688858955992616,0.471129676256188,-0.14283000377588878,1.0,0.06487815642506567,0.03130438616492003,0.5020628299364257
Frontal_Inf_Orb_2_R,0.5220130981565467,0.611806005668921,0.41567572379864637,-0.49736885234867784,-0.5647936065404678,0.7113913410200198,0.06487815642506567,1.0,0.25672571818777823,-0.4512235955325727
LC_R,0.12525703510499306,0.3138056902964114,0.39905264247185207,0.09209239254620981,-0.16125135304496016,0.2674555790115522,0.03130438616492003,0.25672571818777823,1.0,-0.07290946357813378
Occipital_Sup_L,-0.10345132342284676,-0.25039355411396147,0.09646265930054529,0.36188046303641946,0.7654069073801072,-0.46252422673448557,0.5020628299364257,-0.4512235955325727,-0.07290946357813378,1.0
