,Cingulate_Mid_L,Parietal_Sup_R,Raphe_D,Rectus_L,Cerebellum_3_L,ACC_sup_L,Frontal_Inf_Orb_2_L,Cerebellum_7b_R,Vermis_9,Cerebellum_6_L,Cerebellum_6_R,Pallidum_L,Frontal_Med_Orb_L,Red_N_L,Calcarine_L,Cerebellum_4_5_L,Occipital_Inf_R,Frontal_Inf_Oper_L,ACC_sup_R,N_Acc_R,Lingual_R,Cingulate_Mid_R,Parietal_Inf_L,Supp_Motor_Area_R,Thal_LP_L,Thal_MDl_L,Cerebellum_9_R,Pallidum_R,ACC_sub_R,Thal_AV_L,Heschl_R,ACC_sub_L,Amygdala_L,Thal_LGN_L,Frontal_Med_Orb_R,OFCant_L,Precentral_L,Vermis_4_5,Olfactory_L,Frontal_Inf_Oper_R,Hippocampus_L,Supp_Motor_Area_L,Thal_IL_R,Temporal_Pole_Sup_L,Cerebellum_9_L,Thal_PuL_L,Frontal_Inf_Tri_L,Angular_R,OFCpost_R,Temporal_Inf_R,OFCant_R,ACC_pre_L,Occipital_Mid_R,VTA_L,Insula_L,Cerebellum_Crus2_R,Frontal_Inf_Orb_2_R,Rolandic_Oper_R,Thal_IL_L,LC_L,Cerebellum_Crus1_L,Thal_MGN_L,Thal_PuA_L,Heschl_L,Paracentral_Lobule_R,Thal_MDl_R,Cingulate_Post_L,Cuneus_R,Temporal_Mid_L,Fusiform_L,N_Acc_L,Vermis_8,Occipital_Sup_R,OFCpost_L,Precuneus_L
Cingulate_Mid_L,1.0,0.3166425397612737,-0.0593882780906002,0.5131804436627436,0.20187565828148438,0.31185098693164576,0.4004573695849991,-0.27721311660254944,-0.46931485905042425,-0.5052011200204811,-0.26612142638386355,0.6425342966129044,-0.36789559359781915,-0.10201707246764227,-0.34488673819138144,0.3903851075814853,-0.34024748793604814,0.6692084377579107,0.5691901306487429,0.1264457483930863,-0.2257081094675359,0.8805932387703652,0.5298577338431463,0.8133716300847106,0.3711794781878488,0.2571916153959662,-0.4676868144756382,0.7050977885636028,0.45554732029222605,0.13329863075808615,0.5305808556678184,0.4094532283411208,0.4830552414439714,0.5611370851093194,0.045813114974475704,0.23175141955419462,0.8421547703572958,0.08194386974304264,0.43603175605597094,0.5584271671941109,0.5115630573134461,0.7682419226219213,0.13961641533133554,-0.24384372284211187,-0.3945899226228941,0.242340339427465,0.7430234745301014,0.18436080892942114,0.31117878781470437,0.3373449768030978,0.3148864146065814,0.4995765925203722,-0.08543471783495314,0.29786857502081243,0.6216357595590346,0.07103837897659955,0.5562056763042154,0.39200136431040117,0.31285655314500865,0.32539713114166247,-0.5262744822864672,0.4056630791450914,0.38551639490810063,0.5116687536211658,0.02947368937774472,0.2899219690177408,0.2491610807751781,0.03256115213095692,-0.3315041442801379,-0.3232262163098276,0.23333085533222847,0.10605343275482415,0.15628108995977236,0.5262668021914244,0.5285500147036956
Parietal_Sup_R,0.3166425397612737,1.0,-0.054295700551059346,0.16648863318504922,0.24424404010492892,0.06576263973064957,0.16517334174580534,-0.10284606048726282,-0.13691880491012035,-0.37495497674340084,-0.19333522582926177,0.0585568730156981,0.02776184785485576,-0.07090127690340278,-0.02091352241473974,0.10352737969314542,-0.04924492820741733,0.37195989052660616,0.3993271414962378,0.2978790674583364,-0.05227732862647783,0.2219091314939936,0.840593202355654,0.4645490724288254,0.43232878352939125,0.144183147554165,-0.3036156826764466,0.20943574723895217,0.16998595461021154,0.11335387599161544,0.25017906663575973,0.10531483830968527,0.027853307981822166,0.07704746089974404,-0.1366027395038541,0.17765314900296222,0.6120953800235258,-0.08231887866326094,0.2772066179910131,0.12688723240147107,0.08935500982978727,0.23770777970893486,0.050592671373493985,-0.39591706308882746,-0.24344919232572068,0.2902278144716412,0.19758119206373043,0.78334762940187,0.07762335705417368,0.3589539787383152,-0.2051843938919861,-0.0615778459043138,0.5695035201315881,0.07633277740493931,0.4265739648088537,0.18295507103707928,0.27860879668791433,0.0019862282255794055,0.09216836779976287,0.22247983696440377,-0.3588062636709223,0.2613192547325985,0.008515373054185647,-0.010866476431625804,0.30443113316339676,0.31383060977544647,0.2076166225564066,0.619268550867073,-0.2085611382601378,-0.3134636402167331,0.188198669581262,-0.3383805246584888,0.755901053614096,0.26609913638569077,0.9248879769821732
Raphe_D,-0.0593882780906002,-0.054295700551059346,1.0,-0.1346162800151543,0.24515358466545983,-0.0964576824514388,-0.1249087376011389,0.2666195509728558,0.38010546280519525,0.3593962804132207,0.4082717063818606,0.09324475508784853,0.03189904429955763,0.18752492699654222,0.34536213242284425,0.1426059139861573,0.3904244427377226,0.014078460300996612,0.07354295396385228,0.1539380171068492,0.41087621308090544,-0.04595055668618754,-0.05182351665698167,-0.0012742924101523533,0.08384592623561883,0.2755347670023171,0.3694459602145783,-0.05839424714813606,-0.23379090650704287,0.19138528845047065,0.006172319232661446,-0.17335418750085593,-0.2834818368693227,-0.1434566987470326,-0.08926657475162067,-0.07425944088044356,-0.07096749578166132,0.26501293339835885,0.0040437020062125476,0.08132286333700797,0.06235207950798109,0.051893268127268674,0.0660088486675889,0.3781330061615087,0.3771959572903808,0.04725699607964169,-0.09489424927674855,0.14092838693559712,0.18432607169938614,0.1673448531302471,-0.18488239144553922,-0.14533720156940197,0.2504868683163701,0.020540391599733445,-0.0322837479215827,0.24647738924696896,-0.15803038689906684,0.03901433896422579,-0.05556444380250813,-0.0909141768910499,0.3432352707472507,-0.004670496561437356,0.0936589723324287,0.29996842789360834,0.1960329009690862,0.20167680472408678,0.175301777976518,0.21168219412907954,0.3632779926483013,0.37065148260919595,0.048096840783655205,0.0984975304710616,0.1869418014033862,-0.11933789561749987,-0.049410511224896925
Rectus_L,0.5131804436627436,0.16648863318504922,-0.1346162800151543,1.0,0.010805615748272655,0.019062646581862158,0.585730397787097,-0.36239230630725744,-0.7263167844041509,-0.6863705637132954,-0.5329931174543099,0.508899840861248,-0.2890695782623243,0.0256504284677839,-0.669145816812837,0.3782592193235101,-0.6568515729496691,0.32189460845160417,0.39536567746668694,0.05829867438973317,-0.5503671030857579,0.3260296342730022,0.18038236756194068,0.4305086712962572,0.16508221911867668,0.15152946512823218,-0.670080558749767,0.7113826260926395,0.6592274210151102,-0.09711584286330291,0.39230814629678185,0.699980345502699,0.6801134181246672,0.683647082605902,0.4313790178165577,0.22021470627111775,0.44920950159922274,-0.1296340750005472,0.592567203528823,0.2515899664807036,0.5245414075133896,0.36237076176536137,0.15823923453742253,-0.3106450874609817,-0.6507361462261373,0.18743429781363855,0.6091799957291836,-0.14283000377588878,0.24461070578057864,0.09893578791884665,0.28490351633502153,0.7549819330481939,-0.40085885370273777,0.12695870717136107,0.4634325860229788,-0.000926572658590816,0.7113913410200198,0.16563144380325961,0.4447724909591078,0.32961618978051366,-0.6857321436558895,0.25550462870474955,0.3638666003333836,0.263229435465642,-0.10734334779412394,0.20097996530362905,-0.09795779632660943,-0.32014231187066894,-0.5908995553516522,-0.5138168266133455,0.3153275996995247,0.19924876879235734,-0.15581079359776684,0.7329869757237604,0.2489782863527909
Cerebellum_3_L,0.20187565828148438,0.24424404010492892,0.24515358466545983,0.010805615748272655,1.0,0.17269720319415063,0.15434000790617283,-0.057626645114408896,0.16958739730916483,0.15358489265886505,0.42400696480676303,0.32912069037878194,0.10860247877799534,0.30821366772920417,0.279149503708687,0.5786551076502744,0.17022716093139065,0.4256819344413473,0.14264685132694074,0.2911813876955477,0.4265600202281732,0.24809838748751045,0.24371444449367438,0.3003051784696679,0.02589793477131115,-0.09441699675840652,0.10630040569530287,0.17500082043579626,0.037657889977091234,0.1902820576008835,0.15349284188045717,0.08728440174319708,0.035991976649072936,-0.04004129053398038,0.011294549751847202,-0.08365481543637121,0.28566910214028274,0.5893751274490768,0.001221184271284296,0.39917632716354806,0.330518468367262,0.3120153692818324,0.2332551784889238,0.13884424237670254,0.16133407497949342,-0.07261408991263388,0.26050217596517394,0.31886924867009475,0.26179809541671845,0.2857762374720116,0.07768829506133908,0.06184930762910826,0.29832466696574955,0.035528676708277064,0.3771023558150718,0.18266956854350994,0.04399585447824413,0.45871080540374964,0.05705343661085554,0.2876951697419271,0.08415309810718843,0.07145533046738173,-0.1183097580395112,0.33415307923173726,0.4071266947260351,0.22849214679507668,0.44595294559040616,0.303050226383556,0.28630969449251403,0.33609199480531476,0.11476171318155287,0.09909440203802992,0.27175842067170813,0.06387427266984842,0.30674873393346663
ACC_sup_L,0.31185098693164576,0.06576263973064957,-0.0964576824514388,0.019062646581862158,0.17269720319415063,1.0,0.2033031467157496,-0.15511886170310685,-0.2029822346793374,-0.1897693231199263,-0.11702139868776401,0.2554728760607558,0.05674704781281569,-0.06427067519063176,-0.12001986603646891,0.07648573296373096,-0.21220338962917643,0.3877281461633851,0.3040394612638389,0.24675274281724766,-0.029791311219165863,0.49795992049207877,0.05143056227508307,0.3281841787993054,0.38513222501294575,-0.08329939539564112,-0.23478015031758726,0.3190988333679202,0.12740941674695816,0.17199108145868885,0.04554086394815919,0.02117899823865752,0.20769319809381817,0.157296704016632,0.08990338225473224,0.24602444731342948,0.3260736687715959,0.079970006512787,0.036188173611461455,0.4392316365375813,0.28924431283732505,0.3555659913931217,0.20040515818922547,-0.27219255548954946,-0.22458279857696894,0.16318559509115624,0.4059359319292248,0.031949103191752516,-0.05403144963231596,-0.13030772954060657,0.48381156991351226,0.1428597375432666,-0.11134273058251334,0.05901305430911124,0.3364085495834855,-0.1309137325854815,0.0879300040847805,0.5063672530549796,0.2225302577066929,0.05914870874144225,-0.20667000723294196,0.19567327836167112,0.029404200209616923,0.045812399518882066,0.17889550444602012,0.19992289148062117,0.3624400862079204,-0.10572998317118734,-0.08865588729327732,-0.09769424327226538,0.15552369983047945,-0.1016574786039236,-0.08370969139872336,0.007389555266182711,0.13334015162316906
Frontal_Inf_Orb_2_L,0.4004573695849991,0.16517334174580534,-0.1249087376011389,0.585730397787097,0.15434000790617283,0.2033031467157496,1.0,-0.32285310403638534,-0.48060265901333626,-0.5000041363691008,-0.30651265074804185,0.4913652588552751,-0.07275544419416768,0.2894314301422752,-0.40332172038510905,0.40500143071643563,-0.42717524639434123,0.523308313250549,0.3962958000795514,0.29011318375692974,-0.2305149438001528,0.30777265406922,0.1617746242916833,0.40595227857224286,0.13634755093179407,-0.11455028146694918,-0.4938746915802863,0.5606041909918801,0.5283624889788799,0.10218590953749633,0.27122298418138757,0.7637676130692855,0.4591104183304091,0.6101379749564017,0.5764501560793556,0.3027350107189463,0.4105536550564282,-0.03984673571032164,0.6244010049939636,0.32527840622476833,0.406993190547138,0.3813458846350889,0.44520096393365977,-0.11145516637893421,-0.45960190664962497,0.24381983443614877,0.6923675992196325,-0.00912502710338273,0.24025946156636332,0.17108875964363598,0.20021728484715984,0.6051749564585693,-0.16541951371607735,0.27662294089851536,0.5402967417417072,0.1290113746883373,0.8508882905540159,0.4820515157301382,0.4051008906044525,0.30429674820244873,-0.502108003228446,0.38672893163734684,0.4602430706440719,0.3266562962423799,0.14106730231319908,0.2943993886786962,0.07117941933441932,-0.18268453346516825,-0.386291928469395,-0.2699117903207279,0.5756693851353228,0.17408202714425977,-0.02469398656567442,0.6784496212899743,0.24461604186204958
Cerebellum_7b_R,-0.27721311660254944,-0.10284606048726282,0.2666195509728558,-0.36239230630725744,-0.057626645114408896,-0.15511886170310685,-0.32285310403638534,1.0,0.5837822746680046,0.4834803574443877,0.4575371433678317,-0.19031358379262545,0.17512784414652804,0.13178676735327285,0.5262460755731678,-0.08899132464805971,0.5441138219219036,-0.09648891520191709,-0.06982017801306209,-0.06283623134692833,0.4570868201170694,-0.21551414722974271,-0.12478793312216183,-0.23012079116848963,0.01730407460868246,0.1947209100608438,0.5260686497401207,-0.3735457662947041,-0.33361674871836516,0.03291499784759384,0.06110940987832927,-0.3965046859531581,-0.46018736382283804,-0.37651270112610624,-0.3734042071101263,-0.1371618138380717,-0.22103066338636132,0.11321731339431945,-0.31692990250926284,-0.08311816358105178,-0.20263435472120125,-0.2084136821284703,-0.034216247535957464,0.36281472983613977,0.5163390811380757,0.019726924716642585,-0.29933846233158085,0.18489499792341582,0.09299757079390922,0.22844927833721868,-0.3949847949770063,-0.3632834169758826,0.3877779728223641,-0.1547155071475912,-0.12937864887386546,0.2866530827361132,-0.3267626217541671,-0.07749769723540073,-0.14642025077482,-0.27720942383262104,0.50581200754313,-0.019428525255040834,-0.06104925584310132,0.08863374865333257,0.011449143124616704,0.01895559553715775,0.1209174931076983,0.27408769632339064,0.42483270180975546,0.39266670041226415,-0.10740489376500192,-0.03998769839783104,0.15313907375956254,-0.27311546759249966,-0.14748088495043093
Vermis_9,-0.46931485905042425,-0.13691880491012035,0.38010546280519525,-0.7263167844041509,0.16958739730916483,-0.2029822346793374,-0.48060265901333626,0.5837822746680046,1.0,0.8859420387386274,0.8246292156599706,-0.3503539814558684,0.24641516959271736,0.27027677921808263,0.8977382610644824,-0.12378112332979997,0.9027480318410733,-0.17000894347413975,-0.2794024781364103,0.0329719759846391,0.8236325689695816,-0.30709361040177713,-0.17099530528532816,-0.3372761927106103,-0.17930327525368428,0.04172826195177398,0.931250499994354,-0.6648156362494971,-0.6599531111101552,0.06604559711092095,-0.17615284626959202,-0.6357055577898689,-0.7858834289812603,-0.7165209596281537,-0.44488847715181856,-0.36065965572635683,-0.4016043204720592,0.32257764948249057,-0.5512464986863155,-0.13264272806874688,-0.36019137878579355,-0.24070015267823844,-0.035453129082750064,0.664371786188557,0.9298951729257569,-0.1071523481255278,-0.4988357816485923,0.31762846950935647,0.09875104743275963,0.20653241953552787,-0.4921270563795882,-0.6778066208266376,0.6271164716685608,-0.18204071717031095,-0.2965248888458239,0.2868599812481687,-0.6370120472091763,-0.07357715373899933,-0.3188675765573989,-0.2965225996302167,0.8897478634307107,-0.19871104313481722,-0.24304397196889532,0.03988050825507271,0.21993348635889218,0.033640056915316546,0.21631633880762113,0.4531653997291014,0.8074560328998186,0.7553579388962196,-0.19582501479063616,-0.07554466540918464,0.29610814375740646,-0.5801657405039562,-0.20609041803105857
Cerebellum_6_L,-0.5052011200204811,-0.37495497674340084,0.3593962804132207,-0.6863705637132954,0.15358489265886505,-0.1897693231199263,-0.5000041363691008,0.4834803574443877,0.8859420387386274,1.0,0.8628998300502222,-0.3088323179488613,0.24879663928081247,0.28390847482665127,0.8536786121276656,-0.09634329858363572,0.7969422916455384,-0.2753546080380899,-0.44727047637268824,0.020168634266098995,0.8136747068404473,-0.3374871843258653,-0.412607884617761,-0.4429864065261076,-0.3247044541162232,-0.08894247309106505,0.9374969638468822,-0.645150184930042,-0.6958561318264689,0.022380419016072305,-0.3249799878606173,-0.6139414990837974,-0.661202205530261,-0.7135950353138109,-0.24602815774710013,-0.4453876234613812,-0.567494544457157,0.4570354391368693,-0.6311215901042937,-0.10896822858133724,-0.2547579822642967,-0.26628106357009484,-0.058280642582162895,0.7569954802573291,0.9115890506635603,-0.2167901217563784,-0.5468737026637888,0.058276880854875236,-0.007709432148960855,-0.05039761608379962,-0.3012248978425046,-0.5979739675992801,0.37087218991038434,-0.203350761592736,-0.44150975593782416,0.0799892939964591,-0.7353285626823125,0.021354565660233443,-0.3183896721541529,-0.31347240152415023,0.9620851981873877,-0.3609669147562513,-0.3617688015968414,0.08335747490326709,0.2177297080875013,-0.03555817963296414,0.16673493700425498,0.2495307602394104,0.9148752085794939,0.898201205939566,-0.26215096061728543,0.06506952271556134,0.07081823883646206,-0.6822818501442893,-0.44585550139264996
