,Insula_L,Occipital_Mid_L,Occipital_Mid_R,Red_N_R,Temporal_Inf_R,Thal_MDm_R,Frontal_Sup_2_R,Thal_MGN_R,Frontal_Mid_2_R,SN_pr_R,Precentral_R,Lingual_L,Thal_PuM_L,Heschl_R,Thal_LP_R,ACC_pre_L,Rectus_R,Frontal_Sup_2_L,Thal_LP_L,Thal_MDm_L,Hippocampus_L,Postcentral_R,Cerebellum_4_5_L,Thal_PuI_R,Frontal_Inf_Tri_R,Temporal_Inf_L,LC_L,Parietal_Inf_R,Rectus_L,Thal_AV_R,Putamen_R,Cuneus_R,OFClat_L,OFCmed_L,Thal_PuI_L,Cerebellum_8_R,Temporal_Pole_Mid_R,Cingulate_Mid_L,Vermis_9,Fusiform_R,Cerebellum_7b_R,Olfactory_R,Temporal_Pole_Mid_L,N_Acc_R,Vermis_7,Cerebellum_Crus2_L,Insula_R,Hippocampus_R,Cerebellum_7b_L,Amygdala_L,ParaHippocampal_L,Pallidum_L,Heschl_L,Cerebellum_10_R,Rolandic_Oper_L,Temporal_Sup_R,Frontal_Inf_Oper_R,Thal_VPL_L,Calcarine_L,Angular_R,ParaHippocampal_R,Cerebellum_Crus1_R,ACC_sub_L,Cingulate_Mid_R,Frontal_Inf_Orb_2_R,Thal_PuA_R,Caudate_L,Thal_PuM_R,Thal_VPL_R,ACC_pre_R,Frontal_Mid_2_L,Cerebellum_10_L,Parietal_Sup_R,Thal_VL_L,Paracentral_Lobule_R,Vermis_1_2,OFCmed_R,Frontal_Med_Orb_L,Cerebellum_9_R,Cerebellum_6_R,ACC_sub_R,Temporal_Sup_L,Calcarine_R,OFCant_L,Cingulate_Post_L,Olfactory_L,Thal_MGN_L,Occipital_Inf_R,Frontal_Inf_Oper_L,VTA_R
Insula_L,1.0,-0.12163169629694169,-0.27277125260116464,0.01011522172520778,0.4083717153933223,0.4601441225626826,0.2787555329246941,-0.24890032252764002,0.19613967985304515,0.37726205513782407,-0.11742257507816198,0.5227664264769735,0.19816624122763182,0.17095851029273357,0.4647001047904077,0.36469688540766126,-0.08599524746607161,0.5748855881758504,0.46456739321670526,0.47131389205802043,0.4898613810886108,-0.12036236223031586,0.6480149373630057,-0.0027535163283818756,0.5503222276666354,-0.0183256448788887,-0.09722257384397945,-0.3435118304606323,-0.1338049834827071,0.043547883643776535,0.5104862053132802,-0.17836242725367088,0.2981506331874092,-0.13088253960319796,0.0705340757086875,0.377365167525249,0.41633021651797864,0.6407287244995088,0.35358069540488246,0.45353357428285057,0.3565506568102389,0.48055580176498686,0.39776762208309585,0.1907688667096255,0.42735322014910965,0.3081782170255156,0.8431681690688982,0.4527739807350721,0.3287463972359461,0.032618343158374176,0.2257208327960662,0.47818372977224083,0.5452538154497643,0.316782214061113,0.7108896817295273,0.5565735552808398,0.41639115319743314,0.5311735727153907,0.38546205851273435,-0.11716247706517124,0.4124451737909181,0.14824760931267442,0.03890658553629028,0.684487292558202,0.5896874314771082,0.4680799796840412,0.3353035727908815,0.279733765783081,0.33747676093659296,0.45750684440938555,0.5866408294913671,0.0981346444911931,-0.3432588364262267,0.3384198516585906,-0.0364845861114393,0.3542022502564721,0.1445115181167887,-0.014652028458126971,0.42000698346388377,0.41790913860903284,0.37055168710078334,0.5452042932392653,0.37260174288079223,0.0375394096492993,0.5655690700005721,0.2626112579269182,-0.057635646222016355,-0.22920414414357787,0.6504757237349212,0.2937758987834807
Occipital_Mid_L,-0.12163169629694169,1.0,0.6117065242035081,0.27604923039652923,0.1848309847721145,0.05178530590715032,-0.08330048791206938,-0.054507014324811615,-0.11523776611276929,0.21875475118288262,-0.0018117623750116584,0.14895363428937874,-0.5703370038242821,-0.11058505443736384,-0.0942271862700086,-0.40922221236124273,-0.36652419707085027,0.19308712462268013,-0.1352539164280364,-0.11718518527676647,-0.30964376794681414,0.05154926900433374,-0.31008866717242595,-0.4485688578896558,-0.09114112074437317,-0.5636663977418999,-0.2831102981275414,0.11117787405470388,-0.40509741891227524,0.31251770295245684,-0.40433232981986256,0.8518244998398815,-0.24379564305148527,-0.39814026719217144,-0.47319912813084,0.26746842389835135,0.029635809898647038,-0.12765577475638037,0.10327209214915811,0.14438692549915969,0.3625151656616424,0.5093233052665652,-0.12062848500126111,-0.38127409125824296,-0.01894003903607631,0.41671778876414883,0.06950080301649833,-0.0836297248227693,0.18245388674277793,-0.49667081046700934,-0.45491433608195336,-0.5412123548249691,-0.4166763487496598,-0.2766131691979365,0.019341088709787305,0.4394848345522236,-0.2850464897416597,-0.13612634324952885,0.48221093053774594,0.5648983438845974,-0.15481314780707112,0.6767496308961579,-0.3449794955210399,-0.1005341534128648,-0.23649978516094278,-0.13048507954819663,-0.5687569865294717,-0.19243506465968999,0.22327491176110342,-0.21038791943419094,0.224761960511068,-0.4844220899934094,0.6000446619048599,0.41864074448515987,0.23074076721345474,0.32182032192195836,-0.4603623652122006,-0.4897551434887512,0.0983357921926293,0.23367378041448192,-0.004255917166292011,0.02123306016369776,0.5438691796250952,-0.4350246159197612,-0.20128919411485358,0.12124279552741514,0.07730074287349724,0.65970554368704,0.026368771370744767,-0.10047850859119746
Occipital_Mid_R,-0.27277125260116464,0.6117065242035081,1.0,-0.12898514203050665,0.3124273235271783,-0.11555602988673178,-0.24096702620975316,-0.045216187657565306,-0.14947006118244743,0.018337668268936503,-0.2032775877565195,-0.07407037312387774,-0.24268819145248177,-0.2949849098729416,-0.06417241283385151,-0.2100450769280966,-0.02412292660878503,-0.059409190928648256,-0.17069161748893036,-0.19667431671182375,-0.39192299247360446,-0.19731308867129924,-0.3089211218295523,-0.06965426178469686,0.0687779803775039,-0.3934685055632055,0.0402703868278022,-0.13764248309455754,-0.012856934668708051,-0.1783760522541752,-0.07620825766722454,0.6166288541249683,-0.13309355431670883,0.04950651538188095,-0.20984986417360915,0.08405246670359476,0.13557688847239846,-0.23120121546750372,-0.13692657093745475,0.31923957397670777,0.22485198742562407,0.12118543214239633,-0.12395299838514262,0.07241879917717506,-0.022931116969545296,0.14072715140838404,-0.012114248571781314,0.12909250121819985,-0.11825551628879039,-0.2036944887000048,-0.30096237910843915,-0.3285925172988882,-0.4603437383220209,0.10620032601726123,-0.3126977712522896,0.26665047644496676,-0.11026759871333867,-0.16430319395898418,0.06207905169699177,0.14122526286167575,0.10725699544875655,0.48403206345701955,-0.24753833553850144,-0.1752603334377038,0.0009971820174830752,0.06355817408905598,-0.3727252848669244,-0.165744610155633,-0.01868772106052678,-0.06410994502980683,-0.04675477081407167,-0.1151194870792615,0.7779408297449832,-0.09336984550240449,-0.20001117805888038,-0.14978026494480734,-0.0491656528673401,-0.10219187881079914,-0.05383463570781776,0.09894708456370689,0.24518657673132405,-0.40984874086039463,0.14551495362804798,0.004548568343288595,0.014786301253979181,-0.2298707833376145,0.04497484117207008,0.8809610893702858,-0.3240350307556768,-0.10228671889249698
Red_N_R,0.01011522172520778,0.27604923039652923,-0.12898514203050665,1.0,-0.34928993329398117,0.18307955312198199,0.6006224239597794,0.2482571803581532,0.5510910478015689,0.35728104872488187,0.619590859048644,-0.04242531153075925,-0.11277856910310441,0.5250938596635701,0.3507492855018897,-0.14747058498388912,-0.1263108525442244,0.3894331237804052,0.12611468653227437,0.22529066117579827,0.25367717220478325,0.6363051383001674,0.1806353423836643,-0.10487430804487145,0.1933353554863843,0.10982055288571464,-0.03902314168101507,0.5210903461225921,-0.09940426052300132,0.36271290117770916,-0.3487834330094453,0.3541251559625959,0.050554465899769425,-0.22161850388038232,-0.13198206804172807,-0.11842429140411793,-0.44846366711773633,0.3794007086840811,0.0406925730786695,-0.21353086348041092,-0.1559939471147874,0.21475940900649232,-0.33420408756542697,-0.17234574145577364,-0.2991180275810132,-0.030626707185123767,0.06942575672765887,-0.019379215369863374,0.15597159549987366,0.06666344313015102,0.13816490731683895,-0.061461146779925376,0.0389448699681343,-0.2784680567010064,0.48822823434078494,0.16216768063372375,0.2022813761941592,-0.004135024872357614,0.16527925142882452,0.5960872532837868,-0.15329138505893325,-0.0044025074057648175,0.10324734453360793,0.3472249237039947,-0.0047755308557818205,-0.025842379745374486,-0.0968897440119994,0.47503736628509585,0.11624660120475486,0.06006534625241783,0.3642712180593964,-0.16289884456332976,0.16808357823184392,0.3498731924852859,0.7599941547350367,0.38899850045877965,-0.3272739899260911,-0.3869144128154633,-0.15175535839414325,-0.19301137501711144,-0.13147135375289457,0.2511929322810542,0.15307329441988943,-0.13265541628572486,-0.11135154634776727,0.22049541738843695,0.3038226189385236,-0.1483094245277895,0.2558044092215851,-0.3026365270633283
Temporal_Inf_R,0.4083717153933223,0.1848309847721145,0.3124273235271783,-0.34928993329398117,1.0,0.4010171207511234,-0.4642604148482077,-0.6311784631865162,-0.5029795170664767,0.30950639791240564,-0.7800820421889662,0.6337133860389574,-0.08920313000410961,-0.6302977382241491,0.18393034576138048,-0.08690974282137323,-0.22270700446361244,0.25055277585351676,0.26248398627608116,0.15790277848057332,-0.19202336307115295,-0.7823067897206107,0.2767266154393248,-0.35451315273653755,0.10729525676592076,-0.4639954027877168,-0.38123582461224176,-0.8779375370927066,-0.27418162285101055,-0.06586514332592101,0.36882298305703154,0.0429873893819755,-0.13077429624749717,-0.09822028979210935,-0.25598362860092655,0.7137181470161895,0.8847933647560811,0.11468395036539965,0.4646986389210261,0.8883862876061918,0.7959886291931793,0.4274653604743769,0.6483440652063638,0.2227709090431313,0.769132693074651,0.5343285329102655,0.3242669748625112,0.20548237050368803,0.29331899617725665,-0.31419239487304457,-0.2493535296635359,0.15861200059396913,0.13957614024340084,0.4922106055268303,0.03141835548860433,0.607517312571902,-0.23095591520092745,0.3818214370471101,0.4413683094319653,-0.3816591059168065,0.3657290653637761,0.5604228042135494,-0.4401304041873574,0.039861752698965726,0.23127986136378947,0.5213205621207451,-0.01925544411098426,-0.23128927015848258,0.4833845107573238,-0.00928616502892116,0.39247941206397907,-0.06383234464082607,-0.080764051605882,0.1462566496648289,-0.6300693424601075,0.14852393829851454,0.1647913027409224,-0.09536763393256227,0.6611965733078955,0.8093283267522027,0.3946444010720657,0.04556273167280561,0.5124857734792253,-0.09990457810869313,0.5601261753677154,-0.08430900628664922,0.02352215696231774,0.3494194256522469,0.10244519122700098,0.46372799444852986
Thal_MDm_R,0.4601441225626826,0.05178530590715032,-0.11555602988673178,0.18307955312198199,0.4010171207511234,1.0,0.16091911978609377,-0.24968752634967661,0.03528869345860097,0.2710594236022096,-0.21023089416602372,0.547467126592909,0.22593756497980394,-0.07529783306540329,0.35266988081050715,0.18912278130045226,-0.07676435429128244,0.449761034415248,0.4152013969888977,0.6651478873180369,0.34915174323643267,-0.17873731755431452,0.5633308282483943,-0.16656052193541931,0.06705757463030211,0.1444368727445936,-0.14309690373415881,-0.2956972255932235,-0.16968192313781913,0.22126411732005696,0.3628471553135638,-0.011567273968081241,-0.01073187097337861,-0.09967222747634731,0.10897273212427108,0.3614083892221059,0.3421461688328716,0.39810964110819175,0.4913479539734809,0.38583966222387517,0.3468279744943979,0.45138025250211466,0.3794381746586465,0.04604508614505498,0.49077709586421875,0.3269221917725957,0.39919379951631656,0.2734547109006289,0.40177437829254115,0.007044016311771551,0.18093288694443596,0.4912124138290175,0.4200950605534615,0.3181214268887809,0.3577549515247303,0.38138774343344484,-0.03147315113858926,0.5187871220783032,0.38502535395363763,-0.024951493862224405,0.28685686053693205,0.18630490900979083,0.08953528787647526,0.3594596653306113,0.10150504540186184,0.5160988996052025,0.3697562294733364,0.28097215563234895,0.547939343164267,0.19825891713823954,0.4626993556597585,0.07301362858709756,-0.2507458802597364,0.46722909889868214,-0.003935700337800251,0.33780941524611163,0.04466230062275616,-0.0969670715500714,0.41722238416354096,0.46264743893738297,0.050785561777512034,0.5029156011859126,0.36695494660610567,-0.1516142153453953,0.556842269009217,0.3806278298880818,0.05672927177096814,-0.06234250439594322,0.4615859385077748,0.470509329749408
Frontal_Sup_2_R,0.2787555329246941,-0.08330048791206938,-0.24096702620975316,0.6006224239597794,-0.4642604148482077,0.16091911978609377,1.0,0.33211003002714534,0.946540409389561,0.20970867762344045,0.8120290370999494,-0.16730652488092884,0.19270084444001978,0.7401235169863123,0.5040561138462012,0.2362168560230452,0.027683641708569684,0.5163993531114631,0.18836596486790036,0.3531391268914167,0.4797982459163991,0.8031405158976859,0.33403139941078164,0.2543684981366922,0.5786777418072507,0.35054455381643845,0.1773655525414646,0.554760923426499,0.11316197910275631,0.13373532347687508,-0.05083804958596133,0.08480081326230679,0.31815781328779374,-0.0992861820525131,0.1336915792056058,-0.27477837091362245,-0.4867916095912948,0.6136214320908423,-0.04874974296289158,-0.31708451465709564,-0.34005030774760103,0.04909643036144184,-0.38215735760506686,-0.024460798950194113,-0.3648716425473914,-0.20228863749090645,0.33669764014736925,0.14688445281033968,0.17318760791555715,0.3136569124895956,0.3153233085791105,0.17676019534327414,0.1507129189363959,-0.1466406824866468,0.6282949999372668,0.16042496978270213,0.6813154637152425,0.014735177267320102,-0.02238491519169974,0.5016838787914372,-0.05198936759111945,-0.20005898612239317,0.2854701893679389,0.7267511026965137,0.330379128225819,0.11803898824321968,0.14636966544507213,0.6799295688170041,-0.07756885396341945,0.4681989980329442,0.37545467105893426,0.07459182368612181,0.1318906227344857,0.16633477225740054,0.7771014490243872,0.2915939558969914,-0.14902789653542323,-0.14261199447558354,-0.258969113612443,-0.36139330408515075,0.04063851319080394,0.27132286476587886,-0.06871554915110108,0.05272362408197417,0.025303805128564276,0.1726961221468627,0.04211282933710867,-0.24869513214507655,0.3326971408139231,-0.31275634702817245
Thal_MGN_R,-0.24890032252764002,-0.054507014324811615,-0.045216187657565306,0.2482571803581532,-0.6311784631865162,-0.24968752634967661,0.33211003002714534,1.0,0.3783248836491879,-0.3160408030986751,0.48947601589366674,-0.7156660797531768,0.3246213375318132,0.43690046729594134,-0.024851346278427788,0.3127264324125271,0.46259097083900697,-0.08188650963837109,-0.2217081220538701,-0.10871779147780503,0.36694361149189636,0.506861814560746,-0.10540904873511932,0.6350594687548986,0.04056351917271008,0.34580567080252794,0.6140507299124008,0.6156492567764018,0.48416831189362225,-0.34040188721806075,-0.08027720999610828,-0.10714012482007786,0.18485705326867014,0.40026813485734847,0.35952566139191927,-0.7765594022606261,-0.6938665819626109,-0.05693514210795558,-0.704117836366168,-0.4366078255429354,-0.7757822318878437,-0.34314413767242435,-0.7486381954346828,0.20805765205584167,-0.7683530721946759,-0.6764624886784858,-0.20338942451162803,0.16822849959961966,-0.5999750643081927,0.4707897658465868,0.47790157242007775,-0.022941015650582486,-0.047871122990710196,-0.08864126129201277,0.04924692015644362,-0.4335623891161146,0.23358654133242537,-0.3232520055947818,-0.6664033918779411,0.07298404577738761,0.1495545954817899,-0.5365709807491325,0.5246608602395495,0.0343714411260026,0.05461071267182466,-0.1921942246442332,0.14321705566388768,0.38606489251248255,-0.6926374363644817,0.30858540935621115,-0.2640243722821122,0.386019912261854,0.1822637125080549,-0.29197259409525117,0.38288960612583156,-0.46133427901063384,0.11875022447347505,0.36394435279741805,-0.7899575124917382,-0.7553488230028965,-0.04104230187738805,-0.1763418240471981,-0.6691894944124929,0.3464867468672392,-0.3328673013805808,0.053690143071752315,0.18712281672986006,-0.09232357102612672,0.02628971965658386,-0.4102612841993394
Frontal_Mid_2_R,0.19613967985304515,-0.11523776611276929,-0.14947006118244743,0.5510910478015689,-0.5029795170664767,0.03528869345860097,0.946540409389561,0.3783248836491879,1.0,0.1635278722503718,0.8515135201136167,-0.25880522352840885,0.2160232805952938,0.7568291922230801,0.5114922285014835,0.2152194268449363,0.05383796140687117,0.38295768991156764,0.16424247366440708,0.26680125802665927,0.40162021884817384,0.8200424592840785,0.26415099544322823,0.29481930683910923,0.6757542846755431,0.3172953652017196,0.23500361112469662,0.5843042539281045,0.18224843151937611,0.011508171182496744,-0.0799222733891436,0.10358193048736965,0.41293361421612984,-0.0337311597193591,0.14440612672332967,-0.33922054931963835,-0.51651292912832,0.532778741754829,-0.1848785546406543,-0.33684686097315664,-0.3949133633543109,-0.04605861215806028,-0.4619754215998666,0.04884537843481872,-0.4418104996841263,-0.2724679095738053,0.28940695686766305,0.1730413866246449,0.06508968998534792,0.35858706815959496,0.30141921653902426,0.1149381840102481,0.028414216761316183,-0.14030142298083603,0.5066308900135352,0.15027923355047076,0.7625384125511764,-0.01342598712640031,-0.0999366808383436,0.48925678327727645,-0.061299835597068364,-0.24136149523716535,0.2657084514093496,0.6891390411695322,0.3920253184470859,0.12024829841777103,0.06924654673620134,0.6454958629099478,-0.14867644814513079,0.47227104083815735,0.28054182560570745,0.0936490213062195,0.22142369366725953,0.03746701144557395,0.7269599393697994,0.1994932890694966,-0.11674824244736602,-0.13675549888164054,-0.3306779931581286,-0.43507084636746923,0.1621977632912442,0.09098911619953824,-0.14306309570271047,0.16992204833678737,-0.020781380428899834,-0.008110519142356644,0.01751829593089016,-0.20162896739056382,0.14899737959418816,-0.40575781971377883
SN_pr_R,0.37726205513782407,0.21875475118288262,0.018337668268936503,0.35728104872488187,0.30950639791240564,0.2710594236022096,0.20970867762344045,-0.3160408030986751,0.1635278722503718,1.0,0.07261608594350673,0.4584722169543198,-0.31162120284026873,0.03231142443586904,0.3245288999438407,-0.28248542789790815,-0.43495733960561445,0.38073209147011716,0.28408431952381286,0.27681651965680915,0.010545348636278212,0.049408213692481245,0.2768791590445005,-0.4016410153797856,0.32612654745863057,-0.34990295822228246,-0.437107757698797,-0.11259280446918418,-0.3807140615132549,0.3036553844776925,-0.15086160558065909,0.2873685529475328,-0.05648989168084077,-0.3740610821445682,-0.4027017860011878,0.5078262278122381,0.35437772641925724,0.3252699251092596,0.3668738629660219,0.2641249157013802,0.45506498066638473,0.5596463138438353,0.31541180454970413,-0.20623632625066116,0.3437635331624015,0.3639533155051861,0.4319286497714365,0.0592403118637007,0.3284339401319766,-0.37948984725756396,-0.24485941705865483,-0.04252610725237943,0.004577081194467217,0.05309869472382716,0.36016001138306963,0.6295443672996112,0.16443282790178565,0.2504718273200216,0.5029071060715246,0.2774115061128013,0.00024542016450482143,0.3873382654890305,-0.36561170347587624,0.3645452055835781,0.18758154131530735,0.2091933762521926,-0.27094889202162936,0.1385424732311321,0.4034546118706819,-0.00851643415409081,0.4975673271432357,-0.3040518192398308,0.040047930817701465,0.362148738757759,0.1362618567876995,0.4975871055599982,-0.3597374383546586,-0.4375586508921121,0.4617594613110279,0.4368339098737213,0.19857809418748565,0.18978545179433132,0.5226311164740093,-0.22353362198522597,0.26441563956329456,0.23456771403287469,0.010875476025923862,0.06342445763156783,0.11815576194129535,0.020686406202410766
