,SN_pc_R,Raphe_D,Cerebellum_8_L,Occipital_Inf_R,Thal_MGN_R,Calcarine_L,Cuneus_L,Cerebellum_9_R,Occipital_Sup_L,Calcarine_R,Thal_IL_R,Red_N_R,Lingual_L,Vermis_4_5,Hippocampus_L,Cerebellum_6_L,Frontal_Med_Orb_L,Thal_PuA_L,Precentral_R,Precuneus_L,Thal_LP_R,Amygdala_L,Frontal_Inf_Orb_2_L,Vermis_7,Cerebellum_10_L,ACC_sub_L,SupraMarginal_L,Thal_LP_L,Cingulate_Post_R,OFCpost_R,Thal_VPL_R,Thal_PuL_R,Lingual_R,Temporal_Pole_Mid_R,Rolandic_Oper_R,Temporal_Sup_L,Frontal_Sup_2_R,Vermis_10,Cerebellum_Crus2_R,Thal_PuM_L,Frontal_Sup_2_L,Temporal_Inf_R,Thal_PuM_R,Hippocampus_R,Temporal_Mid_R,Cerebellum_Crus1_L,Rolandic_Oper_L,Red_N_L,Thal_MDl_R,Precentral_L,ACC_sup_L,Postcentral_L,Cerebellum_4_5_L,Cerebellum_3_R,Vermis_8,Frontal_Sup_Medial_R,Cingulate_Mid_L,Occipital_Mid_L,Cingulate_Mid_R,Insula_R,Thal_IL_L,ACC_sub_R,OFClat_R,Supp_Motor_Area_L,Temporal_Pole_Sup_R,Parietal_Sup_L,Occipital_Inf_L,Fusiform_L,Thal_VA_R,Frontal_Inf_Oper_L,Caudate_L,ACC_pre_R,Frontal_Med_Orb_R,Thal_VA_L,Pallidum_R
SN_pc_R,1.0,0.5230910199504268,0.5010311977863562,0.10183780124382338,-0.3882839504230699,0.6627602989674382,0.6885704353412732,0.5072842490806978,0.4630142706397222,0.6963808711332371,-0.3669210751149871,0.359643375724034,0.5225287512884179,0.1859869995758199,-0.03391500301693632,0.3358952366373041,-0.6131956962894318,-0.4201431238171969,0.09467993153736527,0.25010558659788795,0.330036704969435,-0.3823825862958213,-0.2305931363935051,0.34329771794693414,-0.41681763130758664,-0.33894714272550275,0.5119266542969324,0.3204353243592148,0.33773599263992155,0.1066630259623482,0.5155924556099345,-0.4849267124357421,0.5995197112284685,0.2955523146927701,0.38931337480327394,0.25217860394080627,0.17899817113565616,0.2770043854022794,0.6299029350087273,-0.3939074077819438,0.3806394193732438,0.3093259848236519,0.090054696639858,0.04061772432442261,0.5128322164780884,0.605319751289656,0.35592703508235723,0.3534457233854295,-0.45018835302398785,0.5585919506467811,0.10480289117259467,0.5269434527733842,0.1886905086612772,0.36834653818589047,0.3236522077969192,0.2778113606368804,0.2842944531236106,0.3425997110092616,0.31318739476182805,0.4017712588842996,-0.18281880530259623,0.2093643327613028,-0.004976264908832894,0.511172334276694,0.47013486655891357,0.2380766275335469,0.4882831899536285,-0.22520132618215585,-0.255760600933767,0.14408502988963914,-0.36931918886675696,-0.05084526556322743,-0.5844317706355057,-0.5073879559432957,-0.061940928175376504
Raphe_D,0.5230910199504268,1.0,0.6434042954012792,0.008425914000456898,-0.4392740015651743,0.7753582330997674,0.5176853045191894,0.719442389408875,0.24356585414997692,0.7425184576601429,-0.7071535973811619,0.2112742761664848,0.7064647376577179,0.3615982623066278,-0.11366795517139622,0.6896322266349771,-0.49772360596237514,-0.3105958167142423,-0.0918575425861867,0.15639674085147967,0.12195144135281993,-0.5606370007546817,-0.15895446950971637,0.5953818321224085,-0.6054899408312282,-0.37896473744188813,0.5318796322408567,0.054164470384191823,0.4266446598939128,-0.047463885813262115,0.5414749963223302,-0.438316938108149,0.7398487607667401,0.41770482479770815,0.12120491998026131,0.39204442486035224,0.04744667762568999,0.40520019725387596,0.611637129186049,-0.408865421732029,0.12203516197863414,0.2943667122823766,-0.0795943284131705,-0.16676361696627026,0.41394704951350203,0.787899611148541,0.2455042434551995,0.13845343740469068,-0.6351578682399843,0.31614024679159325,0.12965808580360633,0.41558082559075626,0.20474431187520384,0.39620880083183513,0.3817428265317861,0.12914458258265119,0.09560331504812661,0.34982397320485403,0.09938951843966631,0.35279672677171603,0.23652397608127426,-0.24631148000855047,-0.30754130194230184,0.33771988316099233,0.43384948690910613,-0.007821641612816333,0.4284822004883908,-0.002583069678411384,-0.3111876568146956,0.24606656635151947,-0.24588531813679768,-0.28226137750880703,-0.5816474256242478,-0.2337461153805465,-0.4052153115230142
Cerebellum_8_L,0.5010311977863562,0.6434042954012792,1.0,-0.08356081893001865,-0.8117114392444724,0.7756819425787078,0.6167959105385569,0.9207109386067347,0.15009138051135443,0.7590244275170495,-0.5272237471889359,-0.06536009790106004,0.8858032706635723,0.5044451218454165,-0.09983990935645681,0.8942092209142033,-0.44730136533553305,-0.14107892165080574,-0.3433415087890373,-0.2689248748195773,0.2270283666084085,-0.4708192527078281,-0.14449090623033667,0.8634094107582777,-0.3493179612958706,-0.4158096232868118,0.3890929850700988,0.4053884154069219,0.6089650164972289,0.36733104849949766,0.8218297223280704,-0.27543859854614927,0.8743421495066133,0.6962524116502495,0.2701519029305935,0.4868503770112544,-0.06738931766830225,0.33515142865271236,0.794712579981411,-0.18848081221398705,0.30362795501212786,0.5748837937675293,-0.07945444097086247,-0.013131037556022488,0.6215218565443963,0.8702918741385021,0.2650702046443247,-0.003301335223383782,-0.5036032118542708,0.2700921105820747,0.20167434700924441,0.2507620129365878,0.3987681885588155,0.4792076187220843,0.7097674344514958,0.22140179410735453,0.3437230440448581,-0.013095933378442642,0.2192995959574401,0.43654517424887795,0.1347973413247378,-0.03196356236099211,0.055887078915042784,0.1544722111935347,0.746815677396605,-0.2971829071170255,0.6881936342350639,0.21729463407818114,0.037428807648317304,0.21774404731583286,-0.0033235371025931116,-0.2425579216202852,-0.4316821059585731,-0.1373390211090927,-0.18313233892205724
Occipital_Inf_R,0.10183780124382338,0.008425914000456898,-0.08356081893001865,1.0,-0.09232357102612672,0.12777158570443858,0.42321315288471467,0.028167309766153573,0.7358755359791063,0.2237735861142545,-0.05229178880705221,-0.1483094245277895,-0.03733696332292519,-0.14341210734171017,-0.4029504588970992,-0.17666402794954714,-0.14120989449246077,-0.2264126346979277,-0.22593073850108172,0.034465360734778294,-0.12311778413229797,-0.3071616436449455,-0.3026928477513952,0.011349588921460211,-0.16387502896960787,-0.29203306850184707,0.11591972794310278,-0.1699684860300638,0.019283652553748202,0.1379724087522329,0.043165518593522405,-0.09335757981765694,0.0855060340130429,0.18277512946337915,0.06368226846945396,-0.3095036546139972,-0.24869513214507655,-0.3513244077289769,0.27103674384530846,-0.3017600827035566,-0.005897702937843373,0.3494194256522469,-0.18767984415005187,0.07501168558854898,0.4451212877832932,0.016351829014882985,-0.24149087986632356,-0.1389491322961715,-0.07852373156901037,0.16874803075159395,-0.23776613361777701,0.0496279375765605,-0.36338641819615547,-0.08024507536120852,0.14273830183780342,-0.06270774271714655,-0.2453816185680827,0.65970554368704,-0.20403419278649276,0.021996591469343192,-0.43202267194737354,0.18821843419804163,0.19854730182351799,-0.046828836702058,0.26890967482893585,0.6639152427514599,0.44139953235902596,-0.49031873954467836,-0.058675698203801356,-0.2769078503995455,-0.4082292012305485,-0.06451713968402181,-0.09162314675948763,-0.22875335301261646,0.03488180478991556
Thal_MGN_R,-0.3882839504230699,-0.4392740015651743,-0.8117114392444724,-0.09232357102612672,1.0,-0.6664033918779411,-0.6037485309970404,-0.7899575124917382,-0.25687632293595053,-0.6691894944124929,0.5152621736214987,0.2482571803581532,-0.7156660797531768,-0.2477537969146154,0.36694361149189636,-0.6944157720335081,0.36394435279741805,0.1933473536049329,0.48947601589366674,0.37527623433557117,-0.024851346278427788,0.4707897658465868,0.19964794253202298,-0.7683530721946759,0.386019912261854,0.5246608602395495,-0.27860005796902637,-0.2217081220538701,-0.3969341159141376,-0.4145150259777312,-0.6926374363644817,0.2663763076892947,-0.7211880462219092,-0.6938665819626109,-0.08068872518287927,-0.1763418240471981,0.33211003002714534,-0.02280456555628517,-0.7418768124438756,0.3246213375318132,-0.08188650963837109,-0.6311784631865162,0.38606489251248255,0.16822849959961966,-0.6495159361515215,-0.6978301126855649,0.04924692015644362,0.2157241748774622,0.4299599469604024,-0.14037102208530755,-0.05059438388766881,-0.08223772839859066,-0.10540904873511932,-0.22790768320605934,-0.6745930411692458,-0.002631434178331114,-0.05693514210795558,-0.054507014324811615,0.0343714411260026,-0.20338942451162803,0.029294031217023182,-0.04104230187738805,-0.14726304774092658,0.06651124878833248,-0.7479515541036942,0.19118527590407652,-0.735537443175507,-0.035201380564848186,-0.11989442481179549,0.02628971965658386,0.14321705566388768,0.30858540935621115,0.31599196616728703,0.057537522853652164,0.2680410911712822
Calcarine_L,0.6627602989674382,0.7753582330997674,0.7756819425787078,0.12777158570443858,-0.6664033918779411,1.0,0.8360356212023441,0.7704165732058619,0.5258586826138937,0.9806364411061415,-0.6823064941949811,0.16527925142882452,0.8240692781741459,0.2760769202922171,-0.2373817957743422,0.6726309304869627,-0.7053130931785331,-0.48681596562075896,-0.14621163382251134,0.18000624284260466,0.1409947618762197,-0.6348625302146653,-0.252243642134222,0.6134527256279895,-0.6883501237107295,-0.5211794538173308,0.7208854400751165,0.2004415740801375,0.3850085901848629,0.10989266547207938,0.7494246477656322,-0.6011334698118896,0.868391526747266,0.48538056095820403,0.2879850165334279,0.3884618637365011,-0.02238491519169974,0.24298480522076144,0.8183251472909254,-0.5557942835439704,0.29587964919659676,0.4413683094319653,-0.23548078987942922,-0.13903828866898899,0.6184016298536733,0.8836034409120554,0.2570196859637049,0.11181017792189027,-0.6348826437542382,0.5401077465608909,0.1392909531387417,0.5535432908013551,0.1680066011497854,0.4039489046625921,0.4813526561342406,0.1864118059241071,0.19969416065915183,0.48221093053774594,0.1974915791947389,0.40847857163581414,0.024839793600943145,-0.02385398695831935,-0.13481642539134392,0.3762043381364377,0.6131218153349347,0.16071539364914228,0.7374706242303516,-0.13039623021377317,-0.3252502475477618,0.20952191602728368,-0.3713619652388657,-0.29960987728691574,-0.6948804402322095,-0.4119581950577973,-0.34430843999730876
Cuneus_L,0.6885704353412732,0.5176853045191894,0.6167959105385569,0.42321315288471467,-0.6037485309970404,0.8360356212023441,1.0,0.6175062865867753,0.7935797135856618,0.8843297085101804,-0.5171230451227532,0.2188951650629174,0.6452770534551194,0.11553768373268809,-0.3671488941489046,0.44367774706762897,-0.7866818107629563,-0.5649092218148712,-0.09121841731784847,0.21693751332652236,0.2141740564129906,-0.6614344403975622,-0.41846824330014426,0.4854747266794503,-0.5851687359184206,-0.5870324848771059,0.70562575274803,0.2495359289005249,0.34240568982615716,0.12090988832473347,0.6791480021859336,-0.6343102811867258,0.7190908825649275,0.41750929273120124,0.3127452617811122,0.219527416228326,-0.027273260418664513,0.12204982715163781,0.7986286052952716,-0.6142114012129637,0.3756959413146101,0.4856032840273206,-0.17908985360820784,-0.08507188856421499,0.7085139356583972,0.7447764207631279,0.19852892240006226,0.23495224290790115,-0.5627388434988918,0.6659962423474881,0.013068764806639134,0.6055931486223831,0.027051967181946916,0.31390160043369686,0.5039270447061369,0.17055413197760397,0.19015927528932983,0.6273468158836955,0.15107715060631782,0.33035874571676954,-0.30232632271498483,0.0742829996265035,-0.04484469084644867,0.4406395825899787,0.6137221479379813,0.4814670367838657,0.8137765075932718,-0.3533672547832629,-0.3108600344791948,0.048100628286508754,-0.5221146125549758,-0.2897821642849053,-0.7241086685725343,-0.5700471439516618,-0.17894776029150122
Cerebellum_9_R,0.5072842490806978,0.719442389408875,0.9207109386067347,0.028167309766153573,-0.7899575124917382,0.7704165732058619,0.6175062865867753,1.0,0.2387064591947462,0.782466076977544,-0.6633848132538832,-0.15175535839414325,0.8971798253611731,0.4669301340760662,-0.23285744711877449,0.8631571477470843,-0.4409682921461337,-0.1793721106626603,-0.4578672000638917,-0.3383286922036544,0.13727181708956665,-0.6220349067030925,-0.24629641368834357,0.9174105056279872,-0.44074116000549735,-0.5437512299921453,0.35573790777917225,0.2949478772286265,0.6124136781572587,0.35016446457595685,0.7452287540772551,-0.32233177801236723,0.9199163220802209,0.818052283689763,0.15793715640069328,0.36307254920714555,-0.258969113612443,0.2129370533787754,0.8734074300277416,-0.3169682923132197,0.15266306759051976,0.6611965733078955,-0.21108444105941315,-0.03823646316898371,0.7284727445436092,0.8509585613693301,0.15470045161471524,-0.11521200904024123,-0.538506081907436,0.24286149354173803,0.058337025440500664,0.20968858483879135,0.30043190186596697,0.4866785823298317,0.7344278607117097,0.04480344257275201,0.17355945095547334,0.0983357921926293,0.06278052315913558,0.38568200788280954,0.028565017279029048,-0.034284448262219984,0.03604730079335006,0.05921069955159658,0.8462053939168261,-0.22233281431698756,0.7049968277349645,0.04995168750145902,0.01867018782002484,0.11393515202710204,-0.15854469386638778,-0.341032656188075,-0.44683479331105086,-0.11228664464673825,-0.27412581430005095
Occipital_Sup_L,0.4630142706397222,0.24356585414997692,0.15009138051135443,0.7358755359791063,-0.25687632293595053,0.5258586826138937,0.7935797135856618,0.2387064591947462,1.0,0.6071436334169683,-0.30922153442835326,0.15315679761503803,0.21954827439475794,-0.174068542396829,-0.43721953125459234,-0.019577348716464844,-0.5896806772886019,-0.5054879879002425,-0.07035423323345842,0.274194889697449,0.03532857799453948,-0.5281311952925581,-0.43955702661128343,0.11255513023157421,-0.47561505793057607,-0.5022949693013183,0.5131325134064507,0.012747734555548822,0.05263825381255935,0.04896108524628433,0.3362161923360743,-0.5174624421270154,0.35135494390604083,0.2206234614623512,0.1544950652738823,-0.13941750417419432,-0.13568739845779634,-0.18706528972939884,0.5544770620516019,-0.5847527756175375,0.1930061991149034,0.34878302900049885,-0.22192248221280117,-0.052070702963349785,0.5742580100426986,0.3520987368122063,-0.06640486976180514,0.12253276246309498,-0.31678703455448715,0.5483970398377256,-0.19787096299372495,0.43460792576446833,-0.2905957206452862,0.051021904134008776,0.1965160197018983,0.03822137822459932,-0.082687060800273,0.8409632966995894,-0.0426443476738727,0.10686078458765284,-0.4631069844150649,0.22897277786801226,0.045633895827077844,0.28711837141215624,0.3992907096498947,0.8045007001836864,0.6375906557320092,-0.6177668075713663,-0.29320942166542646,-0.18209091729309976,-0.6294410865392702,-0.19640612271522565,-0.5081751503884371,-0.5000714033558212,-0.07951009010718535
Calcarine_R,0.6963808711332371,0.7425184576601429,0.7590244275170495,0.2237735861142545,-0.6691894944124929,0.9806364411061415,0.8843297085101804,0.782466076977544,0.6071436334169683,1.0,-0.6787166093400551,0.15307329441988943,0.8242242692035482,0.2779036001918402,-0.27247090322979345,0.6443624932755868,-0.7213041588617797,-0.5351831025770079,-0.18111261858086752,0.1737950405466039,0.13754653872402467,-0.6893784821061715,-0.29798145486678906,0.6269790263581042,-0.6662998886299661,-0.5695865521869776,0.731688093697988,0.22687927418925105,0.41207905771992703,0.1490341069088258,0.7603787465938369,-0.6120167002607597,0.8885611300259084,0.5224225917789467,0.2927983494203641,0.3713421822018469,-0.06871554915110108,0.1812443045613356,0.8625422358435791,-0.5915258577006584,0.3131331423917082,0.5124857734792253,-0.23915013469064317,-0.11300716641448266,0.7065295067319576,0.8625018286240826,0.2534502422574965,0.12187146606552883,-0.6552513053214811,0.5793113383105215,0.0865071854377313,0.5667849991845397,0.1417664419926964,0.4054048281955939,0.5310329807538159,0.1700239607602748,0.18320541781792005,0.5438691796250952,0.16638235940395404,0.4114109008466819,-0.10824175073257504,0.011336769710753642,-0.09080964303520189,0.37406868869359833,0.6725917073284969,0.23684819742855234,0.781714643573446,-0.20562028077398234,-0.32420225780423345,0.17543897877601536,-0.43029037928037844,-0.2995824169573039,-0.7019734947529247,-0.46921109621462026,-0.32365703460026374
