,Frontal_Med_Orb_R,Cingulate_Mid_L,Thal_MDl_R,Cerebellum_7b_R,Putamen_L,Rolandic_Oper_R,ACC_pre_L,Red_N_L,Red_N_R,Occipital_Mid_L,Thal_PuI_R,Cerebellum_10_R,Thal_MDm_L,Rolandic_Oper_L,Cerebellum_Crus1_L,Frontal_Inf_Orb_2_R,Thal_LP_R,Frontal_Sup_2_L,Temporal_Sup_R,Putamen_R,Cerebellum_9_L,Frontal_Med_Orb_L,Thal_LGN_R,Thal_PuM_R,Thal_LGN_L,Frontal_Inf_Orb_2_L,Temporal_Mid_R,Insula_R,Thal_MGN_R,Thal_LP_L,Temporal_Pole_Mid_L,Paracentral_Lobule_L,Thal_AV_L,Thal_VL_L,Thal_VA_R,Occipital_Inf_L,Vermis_7,Parietal_Sup_L,Thal_PuM_L,Angular_R,Cuneus_R,Cingulate_Mid_R,Olfactory_L,Vermis_1_2,Amygdala_R
Frontal_Med_Orb_R,1.0,-0.054918050976116434,0.6842021535353532,-0.4975233005611287,0.6125871344555278,-0.05140076646824212,0.7190157287905258,-0.42236340227346586,-0.4294967180649473,-0.4889737425239402,0.7444209462463428,0.4485014448631395,-0.015747352631854145,-0.1995150204728777,-0.6716828989236856,0.3074089949892783,-0.16365985863697208,-0.15337875896929112,-0.4704927003240329,0.6324838952328171,-0.48589054493330125,0.9527677964241257,0.07641215258851829,0.09999806733902299,0.27399234923929017,0.500120155445104,-0.28551553946185115,-0.040938931135018064,0.31599196616728703,-0.10571053831999758,-0.1401654745229766,-0.5073375910429696,-0.15963058925385099,-0.46073172298522763,0.671578996130563,-0.40237109829277506,-0.2376918879448433,-0.3959561040239204,0.660830793599138,-0.6551884875857313,-0.6186782457892952,-0.0422242154077147,-0.05794564387660961,-0.771417030351095,0.4922635250278726
Cingulate_Mid_L,-0.054918050976116434,1.0,8.497610440597755e-05,0.15911327375821144,0.5791474601739549,0.7641817266490764,0.31390708270783013,0.4592477928960238,0.3794007086840811,-0.12765577475638037,0.09847611979462609,0.27275182975303236,0.5074136904330204,0.8358283457870294,0.2691169553735289,0.5538342476001549,0.5838619373048451,0.8049320364950346,0.38886449138177104,0.45728944063128557,0.20626564674392933,-0.09327821317212132,0.2322036811642302,0.5709533033662028,0.09354058079176775,0.2623865376877439,0.11478115763221017,0.6312348053748059,-0.05693514210795558,0.516308367618614,0.12673406694747502,0.2423025867380207,-0.03756733508019781,0.19620800200917574,0.20103134401555955,0.12375943955121528,0.12636838702232167,-0.09005800555342577,0.34749318316536226,0.018986943460927847,-0.13475896311877716,0.8957485330507984,0.06976307457645758,0.36651097077670086,0.38902807446897786
Thal_MDl_R,0.6842021535353532,8.497610440597755e-05,1.0,-0.4421295457887289,0.6327087153019383,0.03771763911117222,0.5494105825202198,-0.23944666246655885,-0.21754869407086486,-0.3837044051330618,0.6482659575769475,0.3736532150445258,0.13058651676879018,-0.11673834026077419,-0.6236133059138886,0.47228124995721665,0.07208579883295888,-0.020170351877421232,-0.35005919404101543,0.46710997814082816,-0.5388301291032456,0.6188781996554535,0.32546115438620604,0.13179447913169337,0.3923809816677361,0.4053975915123455,-0.2610217107631508,-0.10823136381916645,0.4299599469604024,-0.04894163909756782,-0.3969142528581311,-0.22838836794970774,-0.33264990269150857,-0.6390965457981991,0.6248559978304898,-0.38939830090634764,-0.36223517148751233,-0.15549387329303194,0.5393404281586615,-0.4955443594732661,-0.41765018921973923,0.0980974177998479,-0.29313546756875364,-0.6854654052560957,0.6873205414656116
Cerebellum_7b_R,-0.4975233005611287,0.15911327375821144,-0.4421295457887289,1.0,-0.17332872713369507,0.23640075523256346,-0.38031068373895965,-0.14726240857299863,-0.1559939471147874,0.3625151656616424,-0.7042420402251607,0.07627412003315216,0.11038145917600803,0.08954232673024351,0.7519124884205605,0.03575928097621191,0.1413328154362018,0.288793616860006,0.7113134929019526,0.0480814312239258,0.8897176101094041,-0.5360987066691517,-0.7026388544978129,-0.30000085838470186,-0.0006489072337856547,-0.2893594936430604,0.8724342352378667,0.32352412334900377,-0.7757822318878437,0.2688985771896046,0.7154135253842379,-0.2931560805791224,0.1290735462695197,0.363349278252982,0.04650259383118121,0.883659284751561,0.7877888576008859,0.09359928952705247,-0.40950585077201557,-0.01056736406976183,0.3060861141676552,0.06881365561240074,-0.050619549523088,0.5922795297715773,-0.4545820885229691
Putamen_L,0.6125871344555278,0.5791474601739549,0.6327087153019383,-0.17332872713369507,1.0,0.5009653385790847,0.7233898679034584,-0.06649525065020728,-0.11759557588037205,-0.548290087498208,0.6149825443353654,0.5963008032385472,0.3865466134047297,0.3850118478421124,-0.30436407391335646,0.7193849868513985,0.4112132728229529,0.368830256906696,-0.021079088341423493,0.8412076421119012,-0.16077226203045808,0.542268981842148,0.19842342611574726,0.4624445045283568,0.4123446472585825,0.5968125163203752,-0.06826042415859236,0.3986479038663571,0.16737745853681976,0.4066015795527942,-0.019354301192587166,-0.28238868340451695,-0.2322879959389856,-0.3128087302837122,0.7587056810032785,-0.17340372134086388,-0.0180401029363619,-0.4084742580622324,0.7901240164797979,-0.5666037750032515,-0.6068364004973541,0.5792109773587438,-0.1441416094474377,-0.3257322455032235,0.698021750685686
Rolandic_Oper_R,-0.05140076646824212,0.7641817266490764,0.03771763911117222,0.23640075523256346,0.5009653385790847,1.0,0.2488076097123881,0.22182048329504347,0.2132250318014756,0.04684930188000179,0.05749906288245094,0.21759621596749718,0.3794049347393572,0.6827938491894281,0.2311539614737051,0.7141633579364519,0.5509107595437364,0.5958654542417388,0.610152368032818,0.41375865101569553,0.20075021057097203,-0.11237325530280982,0.11822199527256755,0.3861648251776783,0.18883596350007056,0.30175871386748765,0.2883425901696044,0.7874615824548785,-0.08068872518287927,0.38631072180978293,0.08330346127668203,0.17330841583286397,-0.06143605253683587,0.16272494016716893,0.19879927024883676,0.2697005513116796,0.1298296552732222,0.06620878640953345,0.18601396799954278,0.101594886102821,0.09196717828647,0.8216964890172291,-0.04306152643018229,0.2882327041849411,0.2942681152194152
ACC_pre_L,0.7190157287905258,0.31390708270783013,0.5494105825202198,-0.38031068373895965,0.7233898679034584,0.2488076097123881,1.0,-0.16371834100343283,-0.14747058498388912,-0.40922221236124273,0.6860529294621933,0.33417867710012233,0.21817568913648222,0.1884683040108738,-0.44375991259444386,0.5077298513031175,0.13488361948972102,0.25426180800622533,-0.256685851434857,0.683321688280157,-0.3509733478548256,0.7327577277613385,0.2248855446850774,0.34642423228678076,0.49609313697053564,0.6325323889025807,-0.2949108622365294,0.24259141621193767,0.3127264324125271,0.06864291975713195,-0.18486434326190998,-0.21259758282195948,-0.1890220950972796,-0.20789287974726192,0.59599570689703,-0.3825503044921087,-0.2245101177559667,-0.3528280601730504,0.7061479150792161,-0.44001563101073693,-0.5575481641813315,0.3786276606937816,0.0494149703054823,-0.4396276488475657,0.5681454402013469
Red_N_L,-0.42236340227346586,0.4592477928960238,-0.23944666246655885,-0.14726240857299863,-0.06649525065020728,0.22182048329504347,-0.16371834100343283,1.0,0.917571699012334,0.20363501653176708,-0.070730663896381,-0.11551697529889474,0.3178412869684584,0.529299943648703,0.200802049176154,-0.049380643507411164,0.4090685506319477,0.4789162369748698,0.1777757625815686,-0.29399894673854254,-0.07537217125372585,-0.40536758980877485,0.4956215965459297,0.5558550706268517,-0.19196927376761602,-0.14090726562184896,-0.15554599552993872,0.07324184692437498,0.2157241748774622,0.27750251870725023,-0.28776703468465403,0.7390333662950853,0.21016743033860383,0.36005322151035685,-0.36941695103344085,-0.1267551715243457,-0.2455979939525138,0.3039458483026506,-0.025569178927580365,0.5621939585681013,0.30783449434729876,0.38382921558685673,0.18164688146732924,0.3941720269787432,0.2863625423496248
Red_N_R,-0.4294967180649473,0.3794007086840811,-0.21754869407086486,-0.1559939471147874,-0.11759557588037205,0.2132250318014756,-0.14747058498388912,0.917571699012334,1.0,0.27604923039652923,-0.10487430804487145,-0.2784680567010064,0.22529066117579827,0.48822823434078494,0.19455887920941925,-0.0047755308557818205,0.3507492855018897,0.3894331237804052,0.16216768063372375,-0.3487834330094453,-0.09849951494239882,-0.3869144128154633,0.5206977087591775,0.47503736628509585,-0.05714779497916267,-0.053114654986024815,-0.20385032192383098,0.06942575672765887,0.2482571803581532,0.12611468653227437,-0.33420408756542697,0.7489013511721551,0.15723983022987423,0.3498731924852859,-0.4143230065789298,-0.136126032551694,-0.2991180275810132,0.3352268475428533,-0.11277856910310441,0.5960872532837868,0.3541251559625959,0.3472249237039947,0.22049541738843695,0.38899850045877965,0.25334332918168156
Occipital_Mid_L,-0.4889737425239402,-0.12765577475638037,-0.3837044051330618,0.3625151656616424,-0.548290087498208,0.04684930188000179,-0.40922221236124273,0.20363501653176708,0.27604923039652923,1.0,-0.4485688578896558,-0.2766131691979365,-0.11718518527676647,0.019341088709787305,0.2497726552175441,-0.23649978516094278,-0.0942271862700086,0.19308712462268013,0.4394848345522236,-0.40433232981986256,0.17482492550484544,-0.4897551434887512,-0.1535511023972463,-0.19243506465968999,-0.09846429627968563,-0.36426122268504907,0.39906106685920467,0.06950080301649833,-0.054507014324811615,-0.1352539164280364,-0.12062848500126111,0.3325347963294084,0.07382973703948877,0.41864074448515987,-0.48832713406119455,0.46179497048507123,-0.01894003903607631,0.8105637722529422,-0.5703370038242821,0.5648983438845974,0.8518244998398815,-0.1005341534128648,0.12124279552741514,0.32182032192195836,-0.31364986605349104
