,Red_N_L,OFCant_L,VTA_R,N_Acc_R,SN_pc_R,Red_N_R,Thal_PuM_L,Thal_PuM_R,Occipital_Mid_L,Insula_R
Red_N_L,1.0,-0.12195081256188273,-0.2724687813058716,-0.15104997889857014,0.3534457233854295,0.917571699012334,-0.025569178927580365,0.5558550706268517,0.20363501653176708,0.07324184692437498
OFCant_L,-0.12195081256188273,1.0,-0.2286987744979704,0.769258756321161,-0.3811805326268239,-0.13265541628572486,0.6572421219630404,0.2876575464538071,-0.4350246159197612,0.004856423660655931
VTA_R,-0.2724687813058716,-0.2286987744979704,1.0,-0.10668622484447073,0.11494476097541395,-0.3026365270633283,0.09061973802075714,-0.1171916134444204,-0.10047850859119746,0.21370689166119358
N_Acc_R,-0.15104997889857014,0.769258756321161,-0.10668622484447073,1.0,-0.29213307513549874,-0.17234574145577364,0.677690208856591,0.2960020154022554,-0.38127409125824296,0.06644451413943474
SN_pc_R,0.3534457233854295,-0.3811805326268239,0.11494476097541395,-0.29213307513549874,1.0,0.359643375724034,-0.3939074077819438,0.090054696639858,0.3425997110092616,0.4017712588842996
Red_N_R,0.917571699012334,-0.13265541628572486,-0.3026365270633283,-0.17234574145577364,0.359643375724034,1.0,-0.11277856910310441,0.47503736628509585,0.27604923039652923,0.06942575672765887
Thal_PuM_L,-0.025569178927580365,0.6572421219630404,0.09061973802075714,0.677690208856591,-0.3939074077819438,-0.11277856910310441,1.0,0.5298244404040527,-0.5703370038242821,0.14192939312123645
Thal_PuM_R,0.5558550706268517,0.2876575464538071,-0.1171916134444204,0.2960020154022554,0.090054696639858,0.47503736628509585,0.5298244404040527,1.0,-0.19243506465968999,0.3218877467333735
Occipital_Mid_L,0.20363501653176708,-0.4350246159197612,-0.10047850859119746,-0.38127409125824296,0.3425997110092616,0.27604923039652923,-0.5703370038242821,-0.19243506465968999,1.0,0.06950080301649833
Insula_R,0.07324184692437498,0.004856423660655931,0.21370689166119358,0.06644451413943474,0.4017712588842996,0.06942575672765887,0.14192939312123645,0.3218877467333735,0.06950080301649833,1.0
