,Thal_IL_L,Frontal_Inf_Tri_L,Hippocampus_L,LC_L,Frontal_Sup_2_R,Parietal_Sup_R,Precentral_R,Caudate_L,Cerebellum_3_L,Cerebellum_10_R,OFCpost_R,OFCpost_L,SN_pr_R,Angular_L,Olfactory_R,ACC_pre_R,Temporal_Inf_L,Vermis_6,Pallidum_R,SN_pr_L,Cerebellum_Crus2_R,Thal_PuA_L,SN_pc_L,Cingulate_Post_R,VTA_L,Frontal_Inf_Oper_L,Cerebellum_8_L,Thal_VA_R,Temporal_Pole_Mid_L,Thal_PuA_R,Temporal_Sup_R,Thal_VL_R,Angular_R,Lingual_L,Postcentral_L,Occipital_Sup_R,Cerebellum_Crus1_L,Cerebellum_7b_L,ParaHippocampal_L,N_Acc_R
Thal_IL_L,1.0,0.24249107832160705,0.2978396592183248,-0.012203586709559924,0.19808887695638935,-0.375666657758376,0.09351137213288788,0.4674882939173967,0.36882961545734105,-0.06382883904245733,-0.12833892232564276,0.2728368227090082,-0.1639006182010045,-0.2288038773139318,-0.01981989282080927,-0.008737132850997672,0.5484381029297386,-0.05463150555079316,-0.032500677107446474,-0.06258219154937278,-0.19438343472020392,0.37461634512650466,0.183123051245274,-0.02676424315689133,-0.018332267809425734,0.25991657272688057,0.1347973413247378,0.08720717469552339,0.035344011753078,0.0321573630905451,-0.31364651178879815,0.19627552443016802,-0.12676547534595667,0.04464730727398981,-0.06114182853231724,-0.41096630264427414,0.09975712991337948,0.18821896928150883,0.34507272776218423,0.05951538684212809
Frontal_Inf_Tri_L,0.24249107832160705,1.0,0.6738164070004155,0.24730737039251,0.41229748866563304,-0.2590491334631701,0.08566701529988789,0.6081740652355464,0.3999328864255106,0.23565377329836917,0.24153114968195097,0.3730989916076122,0.07025213134166945,0.053041601951337496,0.059848164405596975,0.49306784382734514,0.3581028355899781,-0.005243511761928912,0.3169033459688357,0.20198338844860197,-0.06359823334196783,0.22203598072849726,0.2636517845966949,0.31384402108794884,0.1555556476492443,0.8119928900088753,0.18081949993092838,0.13228298732749258,0.069354499764032,0.23267927271576724,0.06847514889430957,0.2577664319011528,-0.04876259451244787,0.20788478643326563,0.31044614044541774,-0.3209943774428867,0.047768120873140106,0.22414236995908146,0.4992818504003052,0.21841109503061826
Hippocampus_L,0.2978396592183248,0.6738164070004155,1.0,0.5413696958743118,0.4797982459163991,-0.2906065660357976,0.2086875160623009,0.6766507932797388,0.35039588369202335,0.39732865448189936,0.24952411326087817,0.5966072940942709,0.010545348636278212,-0.24469119361154884,-0.028220568896701985,0.6298915086189814,0.605451948245312,-0.2844595109974587,0.4949144447671609,0.06459355072365149,-0.36946911164583124,0.38746547734620085,0.38006709293213664,0.1957433270209653,0.0348094953648533,0.542385258523138,-0.09983990935645681,0.23717103189442337,-0.14752407382666724,0.2708376379823136,-0.08010909339776023,0.15500132015446114,-0.1301836391082703,-0.04864232733357099,-0.01949668159615147,-0.2803569404437403,-0.22910154687842035,-0.04669514340355217,0.7493808312661963,0.34051713200440864
LC_L,-0.012203586709559924,0.24730737039251,0.5413696958743118,1.0,0.1773655525414646,0.09935820807739483,0.20528919743234847,0.4784965846645802,-0.21838445887684665,0.3832590228984546,0.06924127128529924,0.47385499222705413,-0.437107757698797,-0.47237554365614526,-0.5154640897957672,0.46395279346841073,0.5491602454540035,-0.7314329789893137,0.4691470400773482,-0.39781708263109933,-0.7450259778992863,0.3704397156504099,-0.0004495716082868894,-0.24004355347393316,-0.28527960885280873,0.04526244512732701,-0.6282662383577837,0.26578167597206676,-0.4982472614225849,-0.015884406267974382,-0.44950298581887765,-0.2875856671600113,-0.20378620356154595,-0.5646373896932277,-0.370755257040914,0.1815310482418636,-0.7715408128463582,-0.5940991383046326,0.6682799200720253,0.44253719991900053
Frontal_Sup_2_R,0.19808887695638935,0.41229748866563304,0.4797982459163991,0.1773655525414646,1.0,0.1318906227344857,0.8120290370999494,0.14636966544507213,0.3377188521038612,-0.1466406824866468,-0.3743226061272635,-0.046424832893703936,0.20970867762344045,0.15336449155413598,0.04909643036144184,0.4681989980329442,0.35054455381643845,-0.2856572948948526,0.2885225644022531,0.41962226783985346,-0.2609788855133032,0.007620941815364993,0.5949938287179924,-0.023213838158983615,-0.3520260288760393,0.3326971408139231,-0.06738931766830225,-0.20497481468381631,-0.38215735760506686,0.11803898824321968,0.16042496978270213,-0.01652892653869606,0.5016838787914372,-0.16730652488092884,0.4230677880178593,-0.11766364015130207,0.08473165574835118,0.17318760791555715,0.3153233085791105,-0.024460798950194113
Parietal_Sup_R,-0.375666657758376,-0.2590491334631701,-0.2906065660357976,0.09935820807739483,0.1318906227344857,1.0,0.2686215348267078,-0.4632699484175742,-0.3378755547591699,-0.12565980032804513,-0.2080315082334036,-0.3472772299070858,0.040047930817701465,0.331908473194597,0.017987362273677504,-5.6016859290773946e-05,-0.3217575863743242,-0.19415667961372227,0.11321586533089198,0.04650104525949991,0.030842070071219366,-0.2655614956799343,0.10416004942331455,-0.2624124702780041,-0.31420035147135184,-0.29124727304291875,-0.3084647589859625,-0.2581057153691762,-0.429521490942078,-0.1263279637608416,0.1959827908698353,-0.17279278114219349,0.48692398579409096,-0.3236335010834874,0.2281051640847699,0.8392631941533856,-0.08132097483723416,-0.11706277165102513,-0.25169095063124336,-0.08102541036688812
Precentral_R,0.09351137213288788,0.08566701529988789,0.2086875160623009,0.20528919743234847,0.8120290370999494,0.2686215348267078,1.0,-0.1880482828000208,0.08697776066501074,-0.44393888094380446,-0.6936018502194162,-0.259540748654711,0.07261608594350673,0.22857779926315497,-0.12326174660829949,0.16046084115718484,0.26089597652448504,-0.46343932051976094,0.02549914184702269,0.3745487608328886,-0.4124012345647342,-0.2555569728490912,0.6371280025624759,-0.4355398376353943,-0.62330282412369,-0.013670727180710978,-0.3433415087890373,-0.5105094811427032,-0.5952879279715974,-0.26676701859681157,-0.07346966745004054,-0.12446553804045753,0.6929292134105786,-0.40653359647783244,0.3904240378274318,0.02063245341329814,-0.08519352198798393,-0.04217538916109963,0.13280680609443402,-0.26473022571563426
Caudate_L,0.4674882939173967,0.6081740652355464,0.6766507932797388,0.4784965846645802,0.14636966544507213,-0.4632699484175742,-0.1880482828000208,1.0,0.23214076098231665,0.49576857039162237,0.41638432068868364,0.7351361424035758,-0.27094889202162936,-0.5618056816920055,-0.3396373384786076,0.5061633815071837,0.6982137589351383,-0.2451598300624355,0.4918292269757494,-0.31401385257907194,-0.3660802172171237,0.734135440489349,-0.08614488697190018,0.26795505956293225,0.19993332915557813,0.5021070168139476,-0.0033235371025931116,0.620641884711521,0.06570248263745104,0.36718251161932247,-0.360994296915706,0.011492911234376315,-0.5793519811916514,-0.03847850746338794,-0.30803639718783976,-0.4146312971340333,-0.2917752572403403,-0.10555097516539541,0.7465965745354262,0.6140736648945221
Cerebellum_3_L,0.36882961545734105,0.3999328864255106,0.35039588369202335,-0.21838445887684665,0.3377188521038612,-0.3378755547591699,0.08697776066501074,0.23214076098231665,1.0,0.1581617158816538,0.1999330465740759,0.1426831410004836,0.370998832801154,0.10104723225659869,0.3402104902727833,0.0676793323931929,0.16971374721775354,0.46737663841826255,0.19768280159984022,0.4189501892665817,0.35891178370970434,0.1465753044699332,0.2812422275663719,0.4569536920639815,0.34185162201080965,0.3891507712031135,0.6081023291868821,0.09962733466242278,0.4412904996702735,0.42481557078426446,0.445120524259621,0.3108621009217861,0.032848899903639386,0.6373668627575387,0.2870017295970714,-0.43286640020722705,0.564259047357745,0.5176229620470479,0.1597590023178854,0.015151008726799366
Cerebellum_10_R,-0.06382883904245733,0.23565377329836917,0.39732865448189936,0.3832590228984546,-0.1466406824866468,-0.12565980032804513,-0.44393888094380446,0.49576857039162237,0.1581617158816538,1.0,0.6975248716016964,0.4810960685618179,0.05309869472382716,-0.41246072389987337,-0.108653311957504,0.34757967602996376,0.19836291482461751,0.04842936821394358,0.570538028324062,-0.16368485932517515,0.0038639039069253973,0.48888263893832895,-0.30857085411675644,0.455454112159436,0.4760344349933521,0.1407594938184572,0.14033195561895578,0.621334848361558,0.2588229499429131,0.5036196084377508,0.11819671297327947,-0.10868181071166652,-0.5581778943630555,0.1251452351602334,-0.34720914176593676,-0.023679879743076344,-0.19141524406567426,-0.15113124487528418,0.38064545544152956,0.543675448206912
OFCpost_R,-0.12833892232564276,0.24153114968195097,0.24952411326087817,0.06924127128529924,-0.3743226061272635,-0.2080315082334036,-0.6936018502194162,0.41638432068868364,0.1999330465740759,0.6975248716016964,1.0,0.6066137805575232,0.13016507323706342,-0.24297903453908837,0.08453305655199025,0.3230054856128228,-0.04038968446782299,0.3297780317240716,0.4395936952161435,-0.23034554444963448,0.3222589282174775,0.3703342355114458,-0.36302626497711427,0.5401946998288197,0.6686040598991673,0.16077178205263923,0.36733104849949766,0.6918984971850756,0.5038980721722075,0.4953376756723938,0.30340079389644414,0.07120685258245855,-0.5605697964125003,0.4048089595780833,-0.3249688352238246,-0.08190864977767921,0.04519080349284425,0.098740671819068,0.1999872491416849,0.49920091410166006
OFCpost_L,0.2728368227090082,0.3730989916076122,0.5966072940942709,0.47385499222705413,-0.046424832893703936,-0.3472772299070858,-0.259540748654711,0.7351361424035758,0.1426831410004836,0.4810960685618179,0.6066137805575232,1.0,-0.2665158809365454,-0.6108352703131205,-0.2895327691847624,0.5391367340390877,0.5024326028893075,-0.2900674097528415,0.5536932622692696,-0.5253720665999999,-0.3411265855424841,0.70344020689049,-0.08267135531234127,0.14671740220439589,0.13685069055238502,0.22752721129056225,-0.14705595711660124,0.6905269186726762,-0.018507362734141868,0.3168802875665467,-0.21916926500424064,-0.16283731933977855,-0.5896151512958884,-0.10664609640994882,-0.5313449676234836,-0.21645995940941098,-0.4333464355441244,-0.2620548679243564,0.6887190462443754,0.697876890459821
SN_pr_R,-0.1639006182010045,0.07025213134166945,0.010545348636278212,-0.437107757698797,0.20970867762344045,0.040047930817701465,0.07261608594350673,-0.27094889202162936,0.370998832801154,0.05309869472382716,0.13016507323706342,-0.2665158809365454,1.0,0.38390234460805633,0.5596463138438353,-0.00851643415409081,-0.34990295822228246,0.5034949828468848,0.04728618306715662,0.7151695564946204,0.5364735358346577,-0.29488507108576245,0.21379104207097518,0.3636808249389383,0.2819731461093126,0.11815576194129535,0.43733296129037624,-0.06731786421862362,0.31541180454970413,0.2091933762521926,0.6295443672996112,0.16863011272852546,0.2774115061128013,0.4584722169543198,0.4279296759646614,-0.049995762073071257,0.5240615455604822,0.3284339401319766,-0.24485941705865483,-0.20623632625066116
Angular_L,-0.2288038773139318,0.053041601951337496,-0.24469119361154884,-0.47237554365614526,0.15336449155413598,0.331908473194597,0.22857779926315497,-0.5618056816920055,0.10104723225659869,-0.41246072389987337,-0.24297903453908837,-0.6108352703131205,0.38390234460805633,1.0,0.5136383388216398,-0.284157992221521,-0.5066895430829803,0.43591935742706867,-0.3292242470212322,0.5781586843278755,0.506196556321396,-0.7273091237986652,0.3432153202386542,0.021560843465993504,-0.07127524593227938,0.14794318003019621,0.28201415523238776,-0.6411322128403161,0.018183445784220563,-0.14208993575360204,0.5137944121711464,0.41840425411117027,0.752502694949767,0.35557607439738514,0.8315579628439821,0.22544799471351423,0.5470130859394208,0.4711846685827536,-0.4980544107321369,-0.5476452762379578
Olfactory_R,-0.01981989282080927,0.059848164405596975,-0.028220568896701985,-0.5154640897957672,0.04909643036144184,0.017987362273677504,-0.12326174660829949,-0.3396373384786076,0.3402104902727833,-0.108653311957504,0.08453305655199025,-0.2895327691847624,0.5596463138438353,0.5136383388216398,1.0,-0.06033634932441677,-0.44460583919580926,0.6361427481116425,-0.19646837577177645,0.5064037768956748,0.6009758691686968,-0.37313803624578756,0.17643244909809944,0.40214759881101914,0.336543310214177,0.25219947062650666,0.4577473426147156,-0.22184459097147297,0.34831924294217215,0.13758047187871636,0.7036293057699087,0.570034186308551,0.33853231537877815,0.5902071938705495,0.4307759954874936,0.07828633267554491,0.6237274315228455,0.45839158932909546,-0.33020405794897106,-0.3931884867906572
ACC_pre_R,-0.008737132850997672,0.49306784382734514,0.6298915086189814,0.46395279346841073,0.4681989980329442,-5.6016859290773946e-05,0.16046084115718484,0.5061633815071837,0.0676793323931929,0.34757967602996376,0.3230054856128228,0.5391367340390877,-0.00851643415409081,-0.284157992221521,-0.06033634932441677,1.0,0.29250694792352555,-0.39646873014747713,0.6161498851059565,-0.1698535069967994,-0.31579094119380535,0.4079209489109767,0.16227974004833234,0.12604749081313385,-0.02653236745682298,0.339698507067247,-0.2425579216202852,0.4541222437136831,-0.27180077852687445,0.2797816088357063,0.10054890653460391,-0.123908778388169,-0.11652226668174474,-0.24908205871426461,-0.13380882970633798,-0.0077589342942079535,-0.34109875683418117,-0.16565468778080158,0.5540117269075316,0.5032416684735438
Temporal_Inf_L,0.5484381029297386,0.3581028355899781,0.605451948245312,0.5491602454540035,0.35054455381643845,-0.3217575863743242,0.26089597652448504,0.6982137589351383,0.16971374721775354,0.19836291482461751,-0.04038968446782299,0.5024326028893075,-0.34990295822228246,-0.5066895430829803,-0.44460583919580926,0.29250694792352555,1.0,-0.4843966110338769,0.2181958202018762,-0.16329151346721635,-0.6860717770049946,0.4887952661876441,0.2003860699913513,-0.03213036580704791,-0.10675614055358724,0.16984415172372844,-0.22788401472453015,0.23689326951959724,-0.2204712620368971,-0.030121283447408033,-0.5638093579034915,-0.0023907736368937406,-0.22027249484142108,-0.24806288518303174,-0.3275380989366713,-0.309996042895674,-0.35240844414408634,-0.15359973593781243,0.7282978223031,0.2819792252866153
Vermis_6,-0.05463150555079316,-0.005243511761928912,-0.2844595109974587,-0.7314329789893137,-0.2856572948948526,-0.19415667961372227,-0.46343932051976094,-0.2451598300624355,0.46737663841826255,0.04842936821394358,0.3297780317240716,-0.2900674097528415,0.5034949828468848,0.43591935742706867,0.6361427481116425,-0.39646873014747713,-0.4843966110338769,1.0,-0.2909299784992261,0.4236559351232306,0.9056279548577321,-0.2950696611995432,-0.14610344679321857,0.6048078956842794,0.645828710530333,0.13407564354279783,0.886142644860185,-0.06389526398447729,0.8309729048749377,0.27836323332243407,0.6565443388854507,0.5520756829032265,0.05012086893063359,0.9263939036256423,0.32674961414669645,-0.19346732074214607,0.85437261856163,0.6831096595365647,-0.5356006078240232,-0.3487686113608275
