,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R
SN_pr_L,1.0,-0.5162639296414225,-0.23034554444963448,0.4586917357857425,-0.19840067337535539,0.3148715961213539,0.5524229277860548,-0.09106699262655336,-0.010962189346119335,0.17771400059030704,0.3175597044655177,0.18739237128064112,0.5065626066011266,0.477561155634754,-0.21779525732060026
Thal_MDl_R,-0.5162639296414225,1.0,0.23787804716045036,-0.35005919404101543,0.3202404807482833,-0.031151034775778724,-0.5627388434988918,-0.07852373156901037,-0.03953375072006881,-0.23306870642279645,-0.33264990269150857,0.014298947898254147,-0.24715183983532035,-0.549567711614525,0.6873205414656116
OFCpost_R,-0.23034554444963448,0.23787804716045036,1.0,0.30340079389644414,0.2314676508778091,-0.4101585298969278,0.12090988832473347,0.1379724087522329,0.7322825307475039,0.57245360801228,0.07351826727945479,0.1365114517352542,-0.6750615440612773,0.17346319270063393,0.18848967266898825
Temporal_Sup_R,0.4586917357857425,-0.35005919404101543,0.30340079389644414,1.0,0.015130263059645734,-0.04003496414561913,0.744864817245079,0.31452461408594373,0.607517312571902,0.5332303897432675,0.16955514045569967,-0.012582485433633097,0.03631200630258873,0.4792551420833122,-0.23803982083535863
OFClat_L,-0.19840067337535539,0.3202404807482833,0.2314676508778091,0.015130263059645734,1.0,0.27971288879666706,-0.22507793873444049,-0.20506786623166673,-0.13077429624749717,-0.15366681141466082,-0.18477750881408456,-0.010271228263638209,0.11041098733892661,-0.28204812122505746,0.5524316225737591
Heschl_R,0.3148715961213539,-0.031151034775778724,-0.4101585298969278,-0.04003496414561913,0.27971288879666706,1.0,-0.1120762201634886,-0.28838411909593403,-0.6302977382241491,-0.4361079180942073,-0.08665997706395796,0.03596909684486228,0.7445507645082088,-0.19667064073615687,0.2956780386098299
Cuneus_L,0.5524229277860548,-0.5627388434988918,0.12090988832473347,0.744864817245079,-0.22507793873444049,-0.1120762201634886,1.0,0.42321315288471467,0.4856032840273206,0.5039270447061369,0.2288252813720191,-0.04791134768062599,0.08099717023826149,0.5827303060827329,-0.4085216771196237
Occipital_Inf_R,-0.09106699262655336,-0.07852373156901037,0.1379724087522329,0.31452461408594373,-0.20506786623166673,-0.28838411909593403,0.42321315288471467,1.0,0.3494194256522469,0.14273830183780342,-0.020137585820163027,0.051332281769302546,-0.1635631904772722,-0.04479066369257223,-0.13646933090022373
Temporal_Inf_R,-0.010962189346119335,-0.03953375072006881,0.7322825307475039,0.607517312571902,-0.13077429624749717,-0.6302977382241491,0.4856032840273206,0.3494194256522469,1.0,0.8329088421416901,0.17082655549512685,0.02352215696231774,-0.6300693424601075,0.4646986389210261,-0.14768431724673578
Vermis_8,0.17771400059030704,-0.23306870642279645,0.57245360801228,0.5332303897432675,-0.15366681141466082,-0.4361079180942073,0.5039270447061369,0.14273830183780342,0.8329088421416901,1.0,0.19613186727448229,0.038265532298463405,-0.43115904466130206,0.6804028174794283,-0.21566302743121596
Thal_AV_L,0.3175597044655177,-0.33264990269150857,0.07351826727945479,0.16955514045569967,-0.18477750881408456,-0.08665997706395796,0.2288252813720191,-0.020137585820163027,0.17082655549512685,0.19613186727448229,1.0,0.5102693071980966,0.00872414137278106,0.2812270777270879,-0.11829826918073029
Thal_MGN_L,0.18739237128064112,0.014298947898254147,0.1365114517352542,-0.012582485433633097,-0.010271228263638209,0.03596909684486228,-0.04791134768062599,0.051332281769302546,0.02352215696231774,0.038265532298463405,0.5102693071980966,1.0,0.05260783624670442,-0.13845121238816702,0.27890327097619466
Paracentral_Lobule_R,0.5065626066011266,-0.24715183983532035,-0.6750615440612773,0.03631200630258873,0.11041098733892661,0.7445507645082088,0.08099717023826149,-0.1635631904772722,-0.6300693424601075,-0.43115904466130206,0.00872414137278106,0.05260783624670442,1.0,-0.01348345357590052,0.13827064561851746
Vermis_9,0.477561155634754,-0.549567711614525,0.17346319270063393,0.4792551420833122,-0.28204812122505746,-0.19667064073615687,0.5827303060827329,-0.04479066369257223,0.4646986389210261,0.6804028174794283,0.2812270777270879,-0.13845121238816702,-0.01348345357590052,1.0,-0.47757335137255064
Amygdala_R,-0.21779525732060026,0.6873205414656116,0.18848967266898825,-0.23803982083535863,0.5524316225737591,0.2956780386098299,-0.4085216771196237,-0.13646933090022373,-0.14768431724673578,-0.21566302743121596,-0.11829826918073029,0.27890327097619466,0.13827064561851746,-0.47757335137255064,1.0
