,Frontal_Inf_Orb_2_L,SN_pr_R,Thal_VA_R,Occipital_Sup_R,Postcentral_R,Vermis_9,ACC_pre_R,Raphe_M,Putamen_R,Occipital_Inf_R,Raphe_D,Frontal_Sup_Medial_R,Thal_IL_R,Occipital_Mid_R,Thal_MGN_L,ACC_sub_R,Rolandic_Oper_L,ParaHippocampal_R,Temporal_Pole_Sup_R,Cingulate_Mid_R,Lingual_L,Cerebellum_6_L,OFCant_L,Thal_PuL_R,Thal_PuL_L,LC_L,Cerebellum_10_L,Rectus_L,Cerebellum_Crus1_L,Thal_PuA_L,Hippocampus_L,Thal_PuI_L,OFCmed_L,Cerebellum_7b_L,Frontal_Inf_Oper_R,OFCpost_L,Thal_IL_L,Cerebellum_9_L,OFCpost_R,Cerebellum_Crus1_R,Fusiform_L,ACC_sub_L,Temporal_Mid_L,OFClat_R,Red_N_R,Angular_R,Pallidum_L,Thal_AV_R,Frontal_Inf_Tri_R,OFCmed_R,Temporal_Mid_R,Thal_VL_L,Paracentral_Lobule_L,Frontal_Inf_Tri_L,Parietal_Inf_L,Cerebellum_3_R,Thal_VPL_R,N_Acc_R,Amygdala_R,Parietal_Sup_L,Postcentral_L,Thal_LP_L,Insula_R,Cerebellum_3_L,OFClat_L
Frontal_Inf_Orb_2_L,1.0,-0.14159191101276666,0.3830544785933604,-0.23343705922699284,0.006504149873392989,-0.21072462469733572,0.4930713681753238,0.3034135601183067,0.5214207056355348,-0.3026928477513952,-0.15895446950971637,0.3203508909179653,0.37497752073385365,-0.2638371427709316,0.11548179758321969,0.16513478419596947,0.27255500205161887,0.4648269662068361,-0.22981279664203164,0.30711709165425705,-0.09275225224345326,-0.038645889631821286,0.512177962063455,0.5416582258419146,0.0961675553694041,0.36872166813622204,0.4061189831420141,0.4262756044302014,-0.28355125276023174,0.5042325924027985,0.5364970387869518,0.45317707423092474,0.4699423395824208,-0.12042891451279587,0.3051959626849635,0.5821103806814748,0.3220270602093106,-0.22217239496100294,0.2112655399378034,-0.33349395354898986,0.5279898912148284,0.46995600875403104,0.3065759350967239,0.30666044339233883,-0.053114654986024815,-0.32821871774237715,0.45992664216625695,-0.3826654738496471,0.2571066340654719,0.5333251873890166,-0.25561669894594397,-0.17237445023016515,-0.14817145844657037,0.6001179678202729,-0.3041781088326087,0.16588095721245158,-0.21275933762252458,0.471601440074539,0.4506402269176468,-0.36909571741434827,-0.25290253565052645,0.06107486080750672,0.37161512090091725,0.1723050829082797,0.4001378974232682
SN_pr_R,-0.14159191101276666,1.0,-0.06731786421862362,-0.049995762073071257,0.049408213692481245,0.3668738629660219,-0.00851643415409081,-0.2050511956675651,-0.15086160558065909,0.06342445763156783,0.4432341949671415,0.32526702044616973,-0.296167513128875,0.018337668268936503,0.010875476025923862,0.19857809418748565,0.36016001138306963,0.00024542016450482143,0.4608840652022096,0.3645452055835781,0.4584722169543198,0.3000482230596677,-0.22353362198522597,-0.3223017498154144,0.17982935019335075,-0.437107757698797,-0.3040518192398308,-0.3807140615132549,0.5240615455604822,-0.29488507108576245,0.010545348636278212,-0.4027017860011878,-0.3740610821445682,0.3284339401319766,0.16443282790178565,-0.2665158809365454,-0.1639006182010045,0.46861467273906515,0.13016507323706342,0.3873382654890305,-0.18926548017851041,-0.36561170347587624,-0.18288215173649444,0.018061496110716325,0.35728104872488187,0.2774115061128013,-0.04252610725237943,0.3036553844776925,0.32612654745863057,-0.3597374383546586,0.4758188944797207,0.362148738757759,0.20357588042685276,0.07025213134166945,0.3597136837747533,0.4805385443488877,0.4034546118706819,-0.20623632625066116,-0.1658494717223994,0.13182228583174616,0.4279296759646614,0.28408431952381286,0.4319286497714365,0.370998832801154,-0.05648989168084077
Thal_VA_R,0.3830544785933604,-0.06731786421862362,1.0,-0.15490890610816288,-0.5349964114147373,-0.10419073059152568,0.4541222437136831,0.47045742146247577,0.7798186487996431,-0.058675698203801356,-0.3111876568146956,0.21691442901407904,0.49120552252865907,0.03758893549894081,-0.055896364840855264,0.5395946038292204,-0.06999305979297973,0.6397890181432789,0.27172107739873047,0.18942682102836067,0.003937278422751248,0.035320589854536344,0.6385753437623884,0.7700377415615982,0.2223294937066371,0.26578167597206676,0.5508328069875688,0.5150554946449052,-0.24685067229472898,0.7526578228959264,0.23717103189442337,0.49709850938281724,0.6274461655919169,-0.25383276273179833,0.17408257831460858,0.6905269186726762,0.08720717469552339,0.01573468994060567,0.6918984971850756,-0.1812322843082038,0.43252741036146597,0.23405176101957462,0.13690380351442194,0.7859234772118703,-0.4143230065789298,-0.7545554907992045,0.568468660361587,-0.6116567051905204,0.2737378172816068,0.7552729545130438,0.19144643700588482,-0.4439343411374698,-0.6309529132429921,0.13228298732749258,-0.6802084604117618,0.2796044523248016,-0.04251431753438744,0.7966570848944525,0.49898933417677943,-0.4039689977893257,-0.5653727488157811,0.2471457712278819,0.13001911357457732,0.09962733466242278,0.28908317259225735
Occipital_Sup_R,-0.23343705922699284,-0.049995762073071257,-0.15490890610816288,1.0,0.05143109717274649,-0.31847193467163176,-0.0077589342942079535,0.02883019398909759,-0.22593402632412182,0.812139523818496,-0.12269360358448253,-0.09525436206567768,0.08830817534302435,0.8895322331912261,0.12462219897261681,0.16426863126043031,-0.27619179395160975,0.05284512315256475,-0.06772321815549542,-0.2090832674761325,-0.30170449618290573,-0.4420199668341027,0.02443876751633553,-0.08828326533205438,-0.3747831089837466,0.1815310482418636,-0.06922186210763714,0.08202103290576591,-0.24606322163416103,-0.17987985348034366,-0.2803569404437403,-0.16049022962353138,0.08752610424469336,-0.2773016558859216,-0.10105052342917575,-0.21645995940941098,-0.41096630264427414,-0.25123576723407043,-0.08190864977767921,0.35657049785778244,-0.4983395809593521,-0.12227135645795205,-0.5285672284870957,0.06083323342668189,0.039435610159881694,0.30500024522334307,-0.4416226676769769,-0.1491733865593254,0.014894351420024307,-0.12851723720482325,0.15391484429661162,-0.07488110967238193,0.1415586041054806,-0.3209943774428867,0.25937269295440796,-0.1832575401576607,-0.21831864615341157,-0.005022651203007798,0.0015562605567302947,0.7828715692616662,0.03478300193622425,-0.2645049813501877,-0.11255815391876536,-0.43286640020722705,-0.0845212822728508
Postcentral_R,0.006504149873392989,0.049408213692481245,-0.5349964114147373,0.05143109717274649,1.0,-0.22800036459052317,0.1421519130751265,-0.11887168581181429,-0.443193138697818,-0.21187230447775574,-0.018126427498075443,0.21366729719620378,0.15218346186295065,-0.19731308867129924,0.032251023556596474,-0.2102984817789286,0.3366600181065414,-0.33920867565161583,-0.6855980313937736,0.34668272996264565,-0.38357118880644775,-0.3518702853279703,-0.06346304932870606,-0.3047725134453326,-0.4581322026939525,0.200731279119779,-0.1021891477826336,0.07187604037011078,-0.085030658778524,-0.264992829355579,0.21003598625076972,0.03907405875496009,-0.1706835846143128,-0.02445014115340151,0.4866470401925596,-0.2637494384913995,0.14544977440673376,-0.4675376132436829,-0.7212414359226809,-0.26670974600726627,-0.10570903662680937,0.23130365047574034,-0.17467750889822792,-0.4986760368735242,0.6363051383001674,0.7094211970728149,-0.1860157594021847,0.21323390815303334,0.27029652816314076,-0.36978049310784017,-0.614778698759191,0.09022596243068269,0.8872841629715686,0.10310919005286252,0.4425940262734359,-0.08536626101406014,-0.27637542043694924,-0.29644787705723397,0.168655634425071,0.25266202552709116,0.4067906655303082,-0.0995444656694634,-0.00423664327516731,0.08416246369690589,0.19545216991690456
Vermis_9,-0.21072462469733572,0.3668738629660219,-0.10419073059152568,-0.31847193467163176,-0.22800036459052317,1.0,-0.31747736921128417,-0.3302039304602245,0.006781409322086684,-0.04479066369257223,0.707076361500881,0.13972715557095364,-0.606566035183608,-0.13692657093745475,-0.13845121238816702,-0.23412409187735167,0.23741914350041515,-0.15617431307345947,0.6091914231007388,0.11919495180261638,0.8041133824889483,0.8489860373246653,-0.5699465125821134,-0.34433984315941646,0.5207259259000336,-0.6036213672851586,-0.3997020993147135,-0.6417838172577195,0.8393373641361718,-0.24769713386527475,-0.12885191006707594,-0.3042449831345301,-0.6035736601845602,0.7028169857875075,-0.19489126342042237,-0.2833800595780503,0.13467704567600183,0.8392930391172605,0.17346319270063393,0.47016173487622764,0.16920375815191027,-0.4450412452319547,0.3687644089240458,-0.1424030698572846,0.0406925730786695,0.1158312043391733,0.10401895155127107,0.5784306593587486,-0.10406649158878975,-0.34515621503036215,0.5363957968341503,0.5326798181874435,-0.07999012507934715,0.09393111613927944,0.2367541540399069,0.41544395219603936,0.7340328076418978,-0.40078881848572345,-0.47757335137255064,-0.19611580803575418,0.33753256423387246,0.2528084227913742,0.3422642949020048,0.5350242478818845,-0.28204812122505746
ACC_pre_R,0.4930713681753238,-0.00851643415409081,0.4541222437136831,-0.0077589342942079535,0.1421519130751265,-0.31747736921128417,1.0,0.45611324626442795,0.48754820438721663,-0.06451713968402181,-0.28226137750880703,0.6844851538854836,0.6397181360615827,-0.06410994502980683,0.1491976475486004,0.544660297232294,0.36904108251659884,0.5383065987255967,-0.1248163041293195,0.5825676047739262,-0.24908205871426461,-0.2842201180557993,0.5789868754155776,0.5556347126625679,0.03089238990896606,0.46395279346841073,0.5012993124014105,0.5584007414906018,-0.34109875683418117,0.4079209489109767,0.6298915086189814,0.40814483691456105,0.491038581934624,-0.16565468778080158,0.55630936881888,0.5391367340390877,-0.008737132850997672,-0.3446645090816628,0.3230054856128228,-0.23213309419640196,0.256831507017768,0.4400497120269184,-0.06976899805023734,0.5632867328015194,0.06006534625241783,-0.11652226668174474,0.4114731688966979,-0.32786709607405173,0.6410324117072196,0.47928048498601905,-0.09209124130150366,-0.015133941110232743,0.0713491662202487,0.49306784382734514,-0.14422117300540563,0.15178379888448243,-0.19798593510458537,0.5032416684735438,0.5796879082371247,-0.07272903877154,-0.13380882970633798,0.1856922718989966,0.3937232463791642,0.0676793323931929,0.5347995473388104
Raphe_M,0.3034135601183067,-0.2050511956675651,0.47045742146247577,0.02883019398909759,-0.11887168581181429,-0.3302039304602245,0.45611324626442795,1.0,0.5839646629229689,-0.0530289882789871,-0.46551391530380115,0.16013126232817787,0.5430318814360016,0.008870378870302871,0.15349702351742212,0.2828161052888208,0.06721722787812205,0.6399008266292152,-0.12430740691951957,0.2022550072301987,-0.1902838838905512,-0.12406474530057979,0.5555184597964185,0.5806711571454648,0.22216511116321036,0.7630731991019606,0.8016432973627983,0.6784267856704764,-0.5142347194607979,0.4651747052597478,0.5788087416768845,0.5735856527830359,0.5907522643925133,-0.32117897058718176,0.20803286943892116,0.5875186361812594,-0.024416974782781778,-0.3123631285011128,0.4525850818556878,-0.45557760363526234,0.454585858927397,0.5293917686895698,0.26277249043855067,0.38818655233709976,-0.2374291889936731,-0.39299060549896353,0.5657979078669231,-0.3291523570118021,0.17819597949397412,0.5677040405774028,-0.14633429581364446,-0.12381651460573777,-0.2968475998091707,0.3514703922107658,-0.4472853484457357,0.06541795537532097,-0.15279881629203335,0.488302120098082,0.4050845450042297,-0.22077855596093604,-0.3896252477066163,0.31716020748443435,0.18224560410857643,0.041298928248523305,0.31124508179480476
Putamen_R,0.5214207056355348,-0.15086160558065909,0.7798186487996431,-0.22593402632412182,-0.443193138697818,0.006781409322086684,0.48754820438721663,0.5839646629229689,1.0,-0.11820204943872178,-0.1759333701155088,0.36542006099972507,0.4722361994284451,-0.07620825766722454,-0.027416404543228787,0.3705641144084089,0.2514246292253165,0.7352991468243846,0.21003350348070152,0.37716774402621495,0.15617537230401451,0.20639543794424445,0.5216001054408067,0.749674030684188,0.375295889454423,0.34129151480158115,0.5975807908201904,0.460388900643431,-0.15615892613876559,0.7426928972867605,0.49054402331297686,0.5724251217444786,0.5256286077128506,-0.03468148319027671,0.28389201963337846,0.7559929293337841,0.2739821948328703,0.08322506038324805,0.7027233303723021,-0.18919847373393384,0.6437895629384701,0.4191372845190923,0.421250157604003,0.6826233784230321,-0.3487834330094453,-0.6802536598006541,0.7573986653102464,-0.4556617128360158,0.28497780748435175,0.7676937910019849,0.11853854885318174,-0.17159432443298747,-0.5596290541291209,0.5262591908071012,-0.5188178112418528,0.4087942083208315,0.07792263662864383,0.7124116477953794,0.4678007464681759,-0.42869312056708275,-0.3446860094605113,0.3519998142532817,0.4436384143889471,0.3235146002437351,0.3139934562722563
Occipital_Inf_R,-0.3026928477513952,0.06342445763156783,-0.058675698203801356,0.812139523818496,-0.21187230447775574,-0.04479066369257223,-0.06451713968402181,-0.0530289882789871,-0.11820204943872178,1.0,0.008425914000456898,-0.06270774271714655,-0.05229178880705221,0.8809610893702858,0.051332281769302546,0.18821843419804163,-0.24149087986632356,0.05828078708000899,0.26890967482893585,-0.20403419278649276,-0.03733696332292519,-0.17666402794954714,-0.10834302431479434,-0.09335757981765694,-0.14025833489378023,-0.05428932862854349,-0.16387502896960787,-0.10628982901878443,0.016351829014882985,-0.2264126346979277,-0.4029504588970992,-0.30024360105965336,-0.04491102169825835,-0.016388634527764057,-0.1707569280008244,-0.2683005103679596,-0.43202267194737354,0.050975220273969064,0.1379724087522329,0.5830162868182581,-0.49031873954467836,-0.29203306850184707,-0.43428093940875684,0.19854730182351799,-0.1483094245277895,0.19196158753245957,-0.3734962574652112,-0.03638307048115968,0.02141282872837669,-0.15114531891325622,0.4451212877832932,0.02494692624127896,-0.07085560172504929,-0.3109985614433991,0.2195294186409552,-0.08024507536120852,0.043165518593522405,-0.05401317073154794,-0.13646933090022373,0.6639152427514599,0.0496279375765605,-0.1699684860300638,0.021996591469343192,-0.3587127008420095,-0.20506786623166673
