,Temporal_Inf_L,Raphe_M,Angular_R,Lingual_R,Rolandic_Oper_R,Cerebellum_10_L,Occipital_Sup_R,Frontal_Sup_2_L,Thal_LGN_L,LC_L,Red_N_R,Vermis_10,Pallidum_L,Caudate_L,Temporal_Pole_Sup_L,Cuneus_R,ACC_sub_L,Temporal_Inf_R,SupraMarginal_R,Olfactory_R
Temporal_Inf_L,1.0,0.4365361414849371,-0.22027249484142108,-0.3900970131310805,-0.007722792724570432,0.5620421432283357,-0.309996042895674,-0.059570258248712274,0.10170489971211517,0.5491602454540035,0.10982055288571464,0.37998004681585057,0.5817504187632053,0.6982137589351383,0.3635521220495422,-0.5189998392435787,0.7081523747972598,-0.4639954027877168,0.014258652114582236,-0.44460583919580926
Raphe_M,0.4365361414849371,1.0,-0.39299060549896353,-0.24755683883494436,0.15350878599677376,0.8016432973627983,0.02883019398909759,0.11931550865437658,0.050750578341581434,0.7630731991019606,-0.2374291889936731,-0.16553216566534648,0.5657979078669231,0.5727201887714413,0.364968077706499,-0.4153657544557206,0.5293917686895698,-0.01551005225317705,-0.264069741471578,-0.3928280804219246
Angular_R,-0.22027249484142108,-0.39299060549896353,1.0,0.10386247909722142,0.101594886102821,-0.49893442350784123,0.30500024522334307,0.17638987249613888,-0.2910107592705444,-0.20378620356154595,0.5960872532837868,0.28714871492868044,-0.4730676281454129,-0.5793519811916514,-0.5788219248176377,0.7805839431106073,-0.19310602567321714,-0.3816591059168065,0.8987041071255106,0.33853231537877815
Lingual_R,-0.3900970131310805,-0.24755683883494436,0.10386247909722142,1.0,0.3430173037899772,-0.43782772107526247,-0.19717679484300996,0.2863110129438252,-0.10464790891783243,-0.6201355258588207,-0.03043181730522065,0.2022723393457334,0.11139947749568574,-0.16490392657841588,0.3666795512390955,0.2527423363867287,-0.4696853492682001,0.6378602537028161,-0.11911385016532461,0.6678898881547795
Rolandic_Oper_R,-0.007722792724570432,0.15350878599677376,0.101594886102821,0.3430173037899772,1.0,0.082383312806026,-0.01622419457319019,0.5958654542417388,0.18883596350007056,0.03293003042703452,0.2132250318014756,0.3465710288496001,0.3312671898037058,0.18488039513539092,0.12762132043083663,0.09196717828647,0.025221243128700725,0.25211426179370794,0.1981180294076796,0.24868831953614978
Cerebellum_10_L,0.5620421432283357,0.8016432973627983,-0.49893442350784123,-0.43782772107526247,0.082383312806026,1.0,-0.06922186210763714,0.1171454702557441,0.09736686241663613,0.8039397515829244,-0.16289884456332976,-0.1020308330566206,0.6067092791320848,0.6846775652140136,0.3345668829346918,-0.5534272256987616,0.6056024267955763,-0.06383234464082607,-0.30912858815579125,-0.48646272636995014
Occipital_Sup_R,-0.309996042895674,0.02883019398909759,0.30500024522334307,-0.19717679484300996,-0.01622419457319019,-0.06922186210763714,1.0,-0.08421329891385498,-0.044311679394996584,0.1815310482418636,0.039435610159881694,-0.3565062515994111,-0.4416226676769769,-0.4146312971340333,-0.5521953228831988,0.6610400342851306,-0.12227135645795205,0.04726505333321329,0.1260846755564978,0.07828633267554491
Frontal_Sup_2_L,-0.059570258248712274,0.11931550865437658,0.17638987249613888,0.2863110129438252,0.5958654542417388,0.1171454702557441,-0.08421329891385498,1.0,-0.0006045660177715431,-0.031370109122012116,0.3894331237804052,0.42370061562958766,0.2836426139288562,0.26733636414623746,0.021525048260687137,0.12309849465907062,0.09712392938527607,0.25055277585351676,0.1779586907299731,0.26256399501068645
Thal_LGN_L,0.10170489971211517,0.050750578341581434,-0.2910107592705444,-0.10464790891783243,0.18883596350007056,0.09736686241663613,-0.044311679394996584,-0.0006045660177715431,1.0,-0.01867554884708754,-0.05714779497916267,0.03628218700709715,0.17033905551133305,0.31071371008478377,0.027916726656890014,-0.2416770787065722,0.18710202514029664,0.10388736302408964,-0.20303608765787948,0.07046114497209069
LC_L,0.5491602454540035,0.7630731991019606,-0.20378620356154595,-0.6201355258588207,0.03293003042703452,0.8039397515829244,0.1815310482418636,-0.031370109122012116,-0.01867554884708754,1.0,-0.03902314168101507,-0.18601422550473018,0.35673912821134324,0.4784965846645802,0.03675978653377511,-0.30005378746957284,0.6684625858166777,-0.38123582461224176,-0.009527905481019667,-0.5154640897957672
