,ACC_pre_L,Thal_MDl_R,SN_pc_L,OFCmed_R,Thal_MGN_R,OFCant_L,Calcarine_L,Parietal_Sup_L,Frontal_Sup_2_L,Thal_VL_R,Frontal_Inf_Tri_L,Frontal_Sup_2_R,ACC_sup_L,Occipital_Mid_L,OFCpost_R,Thal_MDl_L,Thal_AV_L,Cerebellum_6_R,Thal_MDm_R,Thal_LGN_L,Thal_PuA_L,Cerebellum_Crus1_L,Temporal_Sup_L,Frontal_Med_Orb_L,Temporal_Inf_R,Cingulate_Post_L,Vermis_6,Parietal_Sup_R,Cerebellum_Crus2_R,SN_pc_R,Precentral_L,Cuneus_R,Rectus_L,Hippocampus_L,Lingual_L,Rectus_R,Thal_VA_R,Temporal_Mid_R,Red_N_L,Cerebellum_6_L,Frontal_Mid_2_L,Temporal_Pole_Sup_R,Paracentral_Lobule_R,Vermis_8,Cerebellum_4_5_R,Cerebellum_Crus2_L,Insula_L,Thal_PuM_L,OFClat_L,OFCmed_L,Vermis_3,Olfactory_R,Frontal_Inf_Orb_2_R,Cingulate_Mid_R,Thal_LGN_R,Pallidum_L,Red_N_R,Occipital_Inf_L,Raphe_D,Cerebellum_8_L,Cingulate_Post_R,Amygdala_L,Cerebellum_10_R,Fusiform_L,Cerebellum_4_5_L,Precuneus_L,Vermis_9,Thal_VL_L,OFClat_R,Heschl_R,Temporal_Pole_Mid_R,Supp_Motor_Area_R,Occipital_Inf_R,Thal_PuI_L,Precuneus_R,Cerebellum_Crus1_R,Raphe_M,ACC_sub_R,N_Acc_R,SupraMarginal_L,Thal_IL_L,Temporal_Pole_Mid_L,Thal_LP_R,Vermis_10,Thal_PuM_R,Cerebellum_9_R,Occipital_Sup_L,Temporal_Mid_L,Pallidum_R,Rolandic_Oper_L,Caudate_R,Putamen_L,Thal_VPL_L,Cerebellum_8_R,Thal_AV_R,LC_L,VTA_L,ACC_sup_R,Thal_LP_L,ACC_sub_L,Postcentral_L,Thal_PuL_R,Putamen_R,SupraMarginal_R,ParaHippocampal_L,Temporal_Sup_R,Vermis_4_5,Hippocampus_R,Frontal_Inf_Tri_R,Thal_PuI_R,Temporal_Inf_L,Temporal_Pole_Sup_L,Angular_L,Frontal_Sup_Medial_R,Thal_MGN_L
ACC_pre_L,1.0,0.5494105825202198,0.00588251651453508,0.6842193556124577,0.3127264324125271,0.608015185321777,-0.4281866435254442,-0.3528280601730504,0.25426180800622533,-0.09986781685692092,0.5247093894248982,0.2362168560230452,0.5244075908534559,-0.40922221236124273,0.33406856913229277,-0.5074897486879736,-0.1890220950972796,-0.3316734920774922,0.18912278130045226,0.49609313697053564,0.6593823535158932,-0.44375991259444386,0.09542908104956396,0.7327577277613385,-0.08690974282137323,0.24844087947964041,-0.4392389382599427,-0.255463847641328,-0.44124843878722614,-0.3336083171449679,-0.3433309591780905,-0.5575481641813315,0.6314200014737537,0.6292558261266142,-0.27368808296355535,0.6482951891333384,0.59599570689703,-0.2949108622365294,-0.16371834100343283,-0.19665889411740908,0.03948510854013574,-0.2324142035847169,-0.11204852893859818,-0.16542862740316192,0.2708044914832069,-0.4277622956887499,0.36469688540766126,0.7061479150792161,0.4917370095298231,0.6183192239775409,0.5851160323889844,-0.2254046252488465,0.5077298513031175,0.3786276606937816,0.2248855446850774,0.5295740323485314,-0.14747058498388912,-0.3825503044921087,-0.28958261259867923,-0.26703972248497065,0.07520770671840939,0.7206822144534789,0.33417867710012233,0.48194446072281233,0.3097383974294785,-0.16631760138527465,-0.33491981248246033,-0.20789287974726192,0.4805560563033864,0.1774046460206126,-0.10887473064857793,-0.20303227483769715,-0.2531400410506558,0.6211360005690145,-0.20640046272159598,-0.4181625184676809,0.501604531061867,0.34783674145487126,0.5974704704338165,-0.43199887305685425,0.34466147116841905,-0.18486434326190998,0.13488361948972102,0.057387804691491996,0.34642423228678076,-0.34969770090769586,-0.4778652929337641,0.25654143460659756,0.4955986158087054,0.1884683040108738,0.714425949596506,0.7233898679034584,0.24456278899216266,-0.3931697797820628,-0.48391893309264494,0.5031877913214633,-0.01473736087552811,0.46806782251929213,0.06864291975713195,0.6426266516018376,-0.3447913642028305,0.7149760794796749,0.683321688280157,-0.2548477768120854,0.6733391460260808,-0.256685851434857,0.2726081622523024,0.4655009768350266,0.32666665540372897,0.6860529294621933,0.5156719186537243,0.29300254816326654,-0.5440652758331914,0.4713398266851162,0.0068001572690339985
Thal_MDl_R,0.5494105825202198,1.0,-0.19495789423990179,0.6629033695267385,0.4299599469604024,0.6954774801133029,-0.6348826437542382,-0.15549387329303194,-0.020170351877421232,-0.6294203473197113,0.04036365988020382,0.0016520442133741964,0.09492456918831496,-0.3837044051330618,0.23787804716045036,-0.539539574687726,-0.33264990269150857,-0.4769557207050403,-0.08950814260108993,0.3923809816677361,0.6182885177234023,-0.6236133059138886,-0.3849520412755227,0.6188781996554535,-0.03953375072006881,0.018001522094369574,-0.5797277236050129,-0.052051982999733994,-0.5237825998267568,-0.45018835302398785,-0.42138842395769677,-0.41765018921973923,0.6805743663819328,0.280007389345152,-0.5313297623081372,0.6631112275396618,0.6248559978304898,-0.2610217107631508,-0.23944666246655885,-0.49921715824844526,-0.21632538978204746,-0.27318489706825494,-0.24715183983532035,-0.23306870642279645,0.010712100268731237,-0.5653949956815374,0.016370564959268866,0.5393404281586615,0.3202404807482833,0.7392431679402157,0.5270461364805255,-0.41537129969869097,0.47228124995721665,0.0980974177998479,0.32546115438620604,0.2766703800382007,-0.21754869407086486,-0.38939830090634764,-0.6351578682399843,-0.5036032118542708,-0.16521972088953088,0.6814401515487464,0.3736532150445258,0.19349691830628307,0.09179227319117787,-0.29295929039145585,-0.549567711614525,-0.6390965457981991,0.5320199245129591,-0.031151034775778724,-0.12489953733714439,-0.34482952267302364,-0.07852373156901037,0.5778188964786062,-0.389414748208751,-0.39382756630049753,0.39233022484491087,0.4697078656185892,0.7468489999210869,-0.6509271425991593,0.09975308089776383,-0.3969142528581311,0.07208579883295888,-0.2182684064188958,0.13179447913169337,-0.538506081907436,-0.31678703455448715,-0.15497289381806523,0.6059091697771734,-0.11673834026077419,0.6083071352011765,0.6327087153019383,0.13171306468595662,-0.528193338366476,-0.7065725709343957,0.5031030074140584,-0.16012157924274856,0.2346262589679703,-0.04894163909756782,0.40484532096576353,-0.4936378526927357,0.7233590517669136,0.46710997814082816,-0.30921921493484295,0.5962396570982751,-0.35005919404101543,-0.05904097463843017,0.3123372189493796,0.2697070804600761,0.6482659575769475,0.3212459315830211,0.07912381054868106,-0.5825041299120644,0.1171669907110365,0.014298947898254147
SN_pc_L,0.00588251651453508,-0.19495789423990179,1.0,-0.23814943203932876,0.32491442872604104,-0.15634273638041774,0.13480065039596564,0.17016431974953766,0.2218251533208716,0.22154883071011972,0.2636517845966949,0.5949938287179924,0.10004149916636994,0.1892924729653103,-0.36302626497711427,0.22956011947399282,0.034751329907402186,-0.25864158367618784,0.04053628683719953,0.1586737543536331,-0.21926013223609642,0.09761445042464058,0.26299112652828344,-0.20769175962438957,-0.4434951906382335,-0.191276282390322,-0.14610344679321857,0.10416004942331455,-0.1567215532092261,0.3421559483567205,0.3328592304474055,0.22238192099045337,-0.04016658068679532,0.38006709293213664,-0.05755654035570954,-0.13351125398306973,-0.4527671887124204,-0.3060733353935917,0.5605372213199364,-0.09918924027088084,0.16587876097260015,-0.36765953729876955,0.6769944353753268,-0.36060980726681935,0.2730628862303616,-0.07827625090343346,0.1045488260820987,-0.025284654982655943,0.2699398399804396,-0.2621330721753501,-0.029398961079609175,0.17643244909809944,-0.006020066703403887,0.3757045389601184,0.41944251568727997,-0.05465616879983106,0.5766271095319038,-0.23772244142413876,0.24507181677567239,-0.11058585626982728,-0.15625400063241646,0.11811462306682895,-0.30857085411675644,0.01405725720464874,0.12983093405330828,0.6581164916138158,-0.07386438343432805,0.34104819751868704,-0.3154073323425479,0.5495961238735959,-0.4525622451700156,0.5696174950984282,-0.19656983237030787,-0.04121463183991701,0.6540614518480723,-0.08574799818271434,-0.03875159597391804,-0.05027416662100553,-0.2567780059283389,0.3134023393040804,0.183123051245274,-0.33509377423507036,0.16371251559519498,0.4435740542710025,0.318398054600484,-0.17972390494082802,-0.003665129390776297,-0.054660234164083346,0.04457384079676222,0.4497765970945658,-0.051774246287320844,-0.0879149810532499,-0.08794006073385892,-0.19648484567191696,0.22447576222784468,-0.0004495716082868894,-0.2703365172612003,0.4242598795214523,0.04662023526171875,0.27168526222184025,0.4547391682345189,-0.27387178493040554,-0.24540102192201416,0.6525631578004166,0.1266329073020655,0.10369439781594059,0.004564714629954506,0.12050638302272411,0.2304713628444588,-0.008945945302068416,0.2003860699913513,-0.3534186520051022,0.3432153202386542,0.25808851845951375,0.2168879463486598
OFCmed_R,0.6842193556124577,0.6629033695267385,-0.23814943203932876,1.0,0.11875022447347505,0.7429038879139835,-0.4656482085129811,-0.38189023410771983,0.0834468825573563,-0.33474642181554887,0.33321202646312287,-0.14902789653542323,0.38987412820432726,-0.4603623652122006,0.6183299431525496,-0.49287510975649385,-0.14795650144931563,-0.23945942588377797,0.04466230062275616,0.4119158178311491,0.7005885901686831,-0.4924290533301012,-0.06830098510828728,0.7417383416797739,0.1647913027409224,0.3170083891432042,-0.34480338959519913,-0.2381589047638819,-0.36356159148055567,-0.35128900557512877,-0.48185782968181207,-0.5811558535466889,0.7645162158306779,0.43100214576820317,-0.19562346203256167,0.7246430989533439,0.7552729545130438,-0.12075558671104818,-0.29578745412850926,-0.1443843641828198,-0.12130623083304043,-0.07545606401189699,-0.43480288330606404,0.05033397497603537,0.1977798024270582,-0.41444715093293616,0.1445115181167887,0.7034435282309114,0.45660961845378456,0.7690983993645443,0.6097725870253944,-0.503440417801551,0.43644467686366933,0.10010053855287242,0.010652959332980058,0.5799615977933699,-0.3272739899260911,-0.11751709103199778,-0.5332993165215585,-0.18881718720466076,0.14866968969018765,0.7601958616956475,0.5245984720119449,0.5605268869858379,0.2908082634148601,-0.456544918569741,-0.34515621503036215,-0.4004059117730235,0.6631791007557553,-0.10546824345020446,0.03760283342673766,-0.4792186090469035,-0.15114531891325622,0.6085274015511475,-0.4506337404707993,-0.38727200504059656,0.5677040405774028,0.40657411022051115,0.8211328343201236,-0.5352995699162956,0.16087263785561556,-0.04724129364135017,0.04850239031728716,-0.19012863470084854,0.1685893361521602,-0.29614022192553696,-0.38674201046631357,0.2791532632737106,0.5745977838262454,-0.050613200910866796,0.6301227603627192,0.7437643856149189,0.16034793076667633,-0.32931991532741867,-0.6091863387327345,0.48815358419907645,0.1382697226860299,0.1984369268103381,0.13229657691862776,0.5578650873720086,-0.5470045394534079,0.7801515661724688,0.7676937910019849,-0.5478754586466815,0.653474899804425,-0.32366616921811303,0.24501971021383015,0.5118046200855348,0.15652598257768577,0.5910078007695685,0.4840800030240087,0.5123024172058429,-0.5875616033682289,0.14357239115031487,0.15140048807615591
Thal_MGN_R,0.3127264324125271,0.4299599469604024,0.32491442872604104,0.11875022447347505,1.0,0.3464867468672392,-0.6664033918779411,0.19118527590407652,-0.08188650963837109,-0.32060417895022597,0.04431612701189448,0.33211003002714534,-0.05059438388766881,-0.054507014324811615,-0.4145150259777312,-0.37594606577647344,-0.24150095739615107,-0.7553488230028965,-0.24968752634967661,0.11554726859075005,0.1933473536049329,-0.6978301126855649,-0.1763418240471981,0.36394435279741805,-0.6311784631865162,-0.3328673013805808,-0.7741379897156176,0.1822637125080549,-0.7418768124438756,-0.3882839504230699,-0.14037102208530755,-0.10714012482007786,0.48416831189362225,0.36694361149189636,-0.7156660797531768,0.46259097083900697,-0.11989442481179549,-0.6495159361515215,0.2157241748774622,-0.6944157720335081,-0.2640243722821122,-0.7479515541036942,0.38288960612583156,-0.6745930411692458,-0.013916210109706005,-0.6764624886784858,-0.24890032252764002,0.3246213375318132,0.18485705326867014,0.40026813485734847,0.27311350462064643,-0.34314413767242435,0.05461071267182466,0.0343714411260026,0.644914487815204,-0.022941015650582486,0.2482571803581532,-0.735537443175507,-0.4392740015651743,-0.8117114392444724,-0.3969341159141376,0.4707897658465868,-0.08864126129201277,-0.035201380564848186,-0.10540904873511932,0.37527623433557117,-0.704117836366168,-0.29197259409525117,-0.14726304774092658,0.43690046729594134,-0.6938665819626109,0.11871575736865397,-0.09232357102612672,0.35952566139191927,0.16350381675729794,-0.5365709807491325,0.27283446656502947,-0.04104230187738805,0.20805765205584167,-0.27860005796902637,0.029294031217023182,-0.7486381954346828,-0.024851346278427788,-0.02280456555628517,0.38606489251248255,-0.7899575124917382,-0.25687632293595053,-0.20341183766171367,0.2680410911712822,0.04924692015644362,0.14427804485736337,0.16737745853681976,-0.3232520055947818,-0.7765594022606261,-0.34040188721806075,0.6140507299124008,-0.607058202260848,0.23635532062326012,-0.2217081220538701,0.5246608602395495,-0.08223772839859066,0.2663763076892947,-0.08027720999610828,0.30871559941118076,0.47790157242007775,-0.4335623891161146,-0.2477537969146154,0.16822849959961966,0.04056351917271008,0.6350594687548986,0.34580567080252794,-0.4389544945928374,-0.23433464339717633,-0.002631434178331114,0.18712281672986006
OFCant_L,0.608015185321777,0.6954774801133029,-0.15634273638041774,0.7429038879139835,0.3464867468672392,1.0,-0.6362801376234727,-0.17712889822878022,0.05901553396945193,-0.587000376052632,0.1844717981290041,0.05272362408197417,0.07553357287766543,-0.4350246159197612,0.3738393278784998,-0.49679545290914495,-0.23667218074564586,-0.4741869006030175,-0.1516142153453953,0.3172632261574719,0.6127879045328626,-0.6263558839221491,-0.27960242933105595,0.6577858957597453,-0.09990457810869313,0.09633223077021112,-0.5779721821888661,0.00024639008546727603,-0.4672364945512427,-0.3811805326268239,-0.38975830450621807,-0.46328042775613687,0.8530435183713803,0.3832790783845942,-0.4775523390457797,0.7876213057182946,0.6385753437623884,-0.2764709274609168,-0.12195081256188273,-0.4654139716349459,-0.1441460994361894,-0.2348984842930458,-0.21038415338405628,-0.25059270472431455,0.1665231528274778,-0.576117251881821,0.0375394096492993,0.6572421219630404,0.5351577854349991,0.8752762646048634,0.5470005530366037,-0.5636671193691627,0.5481710140800399,0.18997729412250458,0.356359947711643,0.3525056462345765,-0.13265541628572486,-0.3483435662259774,-0.6828592878374207,-0.44499275774988617,-0.13209564296881113,0.7253045441350131,0.3922907206487359,0.3026900759352214,0.16997207514433785,-0.2826036585247698,-0.5699465125821134,-0.5357746056224774,0.6149252602042861,0.15219059262082255,-0.18222208561070652,-0.2981861579131571,-0.10834302431479434,0.5486190284933655,-0.3123653144898353,-0.45565803429902185,0.5555184597964185,0.5223566238904891,0.769258756321161,-0.6426360296788295,-0.021962979092592413,-0.3148652204891854,0.08655017024633743,-0.16154488378044898,0.2876575464538071,-0.5117013435272062,-0.31482877088075384,-0.06182946595726416,0.6411512533087128,-0.05229076281251076,0.6224866109976375,0.6991560269063652,0.06562717783373455,-0.48314684141240816,-0.6402579658472887,0.6145611259283595,-0.14567436530680888,0.194530629398376,0.11133754132609851,0.43907172155474494,-0.48435076813712835,0.6441132406328721,0.5216001054408067,-0.2448946787835866,0.6705308343455885,-0.3002606415773348,0.01952635629196815,0.4402683617890221,0.3943517825675013,0.7235229464217654,0.37070083226087075,0.23356712386399786,-0.5839677070048763,0.1734179139408471,0.13334339110670404
Calcarine_L,-0.4281866435254442,-0.6348826437542382,0.13480065039596564,-0.4656482085129811,-0.6664033918779411,-0.6362801376234727,1.0,0.16071539364914228,0.29587964919659676,0.6211061725962574,0.08892571448972819,-0.02238491519169974,0.1392909531387417,0.48221093053774594,0.10989266547207938,0.65289081551955,0.16731119251820856,0.7360285524180565,0.38502535395363763,-0.05353659522735887,-0.48681596562075896,0.8836034409120554,0.3884618637365011,-0.7053130931785331,0.4413683094319653,0.21820748001547172,0.8508216559435038,-0.015865908883266125,0.8183251472909254,0.6627602989674382,0.5401077465608909,0.5154200601956498,-0.768907979967487,-0.2373817957743422,0.8240692781741459,-0.7275262811202207,-0.3252502475477618,0.6184016298536733,0.11181017792189027,0.6726309304869627,0.45272958262749585,0.6131218153349347,0.08029557447254292,0.4813526561342406,0.1566614790387559,0.8657384307533281,0.38546205851273435,-0.5557942835439704,-0.1852907424916894,-0.7470224483667847,-0.4681964374519146,0.7108414050312776,-0.08491956226090897,0.1974915791947389,-0.4591801405276007,-0.15466376473059384,0.16527925142882452,0.7374706242303516,0.7753582330997674,0.7756819425787078,0.3850085901848629,-0.6348625302146653,-0.24056715995191089,-0.13039623021377317,0.1680066011497854,0.18000624284260466,0.7326323882217963,0.641885837945048,-0.13481642539134392,-0.12020510556239426,0.48538056095820403,0.3389445426812175,0.12777158570443858,-0.5149265732840027,0.3479294731045082,0.749092030182616,-0.4854343813506787,-0.02385398695831935,-0.48359370494933607,0.7208854400751165,0.024839793600943145,0.5639723604066511,0.1409947618762197,0.24298480522076144,-0.23548078987942922,0.7704165732058619,0.5258586826138937,0.041303456493735465,-0.34430843999730876,0.2570196859637049,-0.2574884678985487,-0.3603826000295661,0.33188917118400824,0.7913632535042,0.556189185185385,-0.7277614218553016,0.37806240658313983,-0.022833845202757892,0.2004415740801375,-0.5211794538173308,0.5535432908013551,-0.6011334698118896,-0.1804119321080616,0.16993964944362086,-0.5283989660686766,0.7053461318692753,0.2760769202922171,-0.13903828866898899,0.058787097149772434,-0.8143198234639095,-0.48085437441866724,0.06372655164853082,0.7063746878938044,0.1864118059241071,-0.18549603545309534
Parietal_Sup_L,-0.3528280601730504,-0.15549387329303194,0.17016431974953766,-0.38189023410771983,0.19118527590407652,-0.17712889822878022,0.16071539364914228,1.0,0.1937243915732014,-0.029116945907044417,-0.1897789211861467,0.09601369636752116,-0.19692851778469062,0.8105637722529422,-0.25986865065202014,0.27365881361094024,-0.04374953609875122,-0.11172402412918633,-0.15167977264171278,-0.15265116635814616,-0.4597005696318818,0.0035170468392448943,-0.18827423282030464,-0.45669871190384487,-0.0509910194399463,-0.30642750622875015,-0.07185108463413653,0.8187259677498584,0.14037592404066823,0.2380766275335469,0.5704338138664006,0.830208265776086,-0.14628524231259168,-0.28158004842694434,-0.20617148741654068,-0.14550731726818494,-0.4039689977893257,0.16660662718385472,0.3039458483026506,-0.42081678252599153,0.16616793445542583,-0.06427976171699648,0.33920399308573546,-0.18059147890894967,-0.23162553953607373,0.09725933360624173,-0.2722757124055177,-0.44060826380027723,-0.09483513866445313,-0.1995135219594581,-0.40459067602561527,0.22233448743211418,-0.12642434397370642,-0.03275792803650858,0.2275423128783107,-0.5751561884936673,0.3352268475428533,0.22014832272912807,-0.007821641612816333,-0.2971829071170255,-0.23768479123244515,-0.28838724295698376,-0.2768023503253352,-0.6788811935511512,-0.3797282491704253,0.5462945148683187,-0.19611580803575418,0.1333569775534205,-0.10171397349519082,0.09626010008199501,-0.23040650656004905,0.36229140590078074,0.6639152427514599,-0.33307712854840527,0.4136676022954799,0.5048553263256352,-0.22077855596093604,0.12125336486663522,-0.19879341501019476,0.4545836045601743,-0.44115896087021983,-0.4387067986220176,0.0058093121440948225,-0.12933944706869258,-0.01922453689349425,-0.22233281431698756,0.8045007001836864,-0.6919076598251356,0.009483497211668945,0.005907244044161421,-0.1696493276053077,-0.4084742580622324,-0.29487193851308696,-0.019753414032902938,0.17566947520269638,-0.02993009280425814,-0.3640234904200713,0.04228054350583035,-0.0904707796456121,-0.21008156840404,0.5043783686741432,-0.4248136395855731,-0.42869312056708275,0.42666617621686975,-0.332193807085885,0.27868408248938237,-0.3614379976112758,-0.0637457780381419,0.10572833124447335,-0.20254439155286236,-0.49130999783389556,-0.7264870534912544,0.6346413481729354,0.06194718366438489,0.04226237873354205
Frontal_Sup_2_L,0.25426180800622533,-0.020170351877421232,0.2218251533208716,0.0834468825573563,-0.08188650963837109,0.05901553396945193,0.29587964919659676,0.1937243915732014,1.0,0.14946901286616562,0.6535016573386141,0.5163993531114631,0.5547802525582649,0.19308712462268013,0.26032202535877796,0.3838148452679676,0.1176041293526558,0.20117406899386517,0.449761034415248,-0.0006045660177715431,0.027425574921942017,0.28279555164931086,0.5348494663984186,-0.19424899761173725,0.25055277585351676,0.4397310026670063,0.20388519987408324,0.056636995311152113,0.3062552042622837,0.3806394193732438,0.6679100275601645,0.12309849465907062,0.005714992907429704,0.43145673323234346,0.2593558175583172,0.014934603882221224,0.09085122586273,0.30486523212913635,0.4789162369748698,0.13644830800032262,0.8619712433097497,0.23348612499141932,0.3210247810772656,0.2804425244634941,0.45844027586240715,0.19878910450677287,0.5748855881758504,0.1478682731784421,0.24399066204525105,-0.07801890980355453,0.26511955739143245,0.26256399501068645,0.3818767262825666,0.7160204941453484,0.13003135250241374,0.2836426139288562,0.3894331237804052,0.23412245543477497,0.12203516197863414,0.30362795501212786,0.41006395593654826,0.09072517625257918,0.27417135235100715,0.09441103166382481,0.46189770250439505,0.2663767749752741,0.23112944140219646,0.3520121145523536,0.3054428421798524,0.32687906859473626,0.10393038301139046,0.5764629439705752,-0.005897702937843373,-0.029141680278081,0.48009191045585725,0.24838376717757402,0.11931550865437658,0.31019784352238833,0.18047179922284032,0.45374203039479616,-0.05995910149942879,0.06027507357415691,0.4880761539949491,0.42370061562958766,0.4816930868278724,0.15266306759051976,0.1930061991149034,-0.08393146094473941,0.40826888328647504,0.7192606276915258,0.3670229734155284,0.368830256906696,0.26875919818089844,0.2528912181406994,0.2179961262329154,-0.031370109122012116,0.16582920881893687,0.27167638454761855,0.48246876397409677,0.09712392938527607,0.6130621645352688,0.04562903535679776,0.2931177856995325,0.1779586907299731,0.17294058458192507,0.4811592491938177,0.39280310478901165,0.3269992194663107,0.5105596803477863,0.0009262201961488806,-0.059570258248712274,0.021525048260687137,0.3906325528570625,0.8519564897499511,0.0937614438967577
Thal_VL_R,-0.09986781685692092,-0.6294203473197113,0.22154883071011972,-0.33474642181554887,-0.32060417895022597,-0.587000376052632,0.6211061725962574,-0.029116945907044417,0.14946901286616562,1.0,0.2577664319011528,-0.01652892653869606,0.2970091513952199,0.3614172322504276,0.07120685258245855,0.48634108745696175,0.3383703218393053,0.5005832863197623,0.5486558787175535,-0.0801308560212764,-0.3362816679503255,0.5053206012074412,0.6355531606007763,-0.2766869631297868,0.15519679832333305,0.1832590767818836,0.5520756829032265,-0.17279278114219349,0.36514849156272583,0.3210209570221286,0.2113893484892264,0.25021961189126146,-0.48989877162329676,0.15500132015446114,0.6298134489222349,-0.3938397740205918,-0.3435626296385707,0.2585785707733482,0.12516082581166066,0.6568449733526319,0.19294463418464133,0.25017695539592394,0.10114527826895842,0.2763317499772225,0.16276893733217587,0.5355777017268905,0.2692827125711493,-0.19328105438391988,-0.23362956291075432,-0.49202286590853567,-0.2840821586606822,0.570034186308551,-0.3848020407753605,0.0031699873676879512,-0.41686415457834847,0.11406505700234815,0.14532696729286793,0.3224789868585227,0.7117181493542442,0.49331494705171375,0.3722634293743238,-0.410273579501979,-0.10868181071166652,0.23456078992166138,0.16380438562059546,0.2641443524672431,0.5914752887579025,0.8668112803006359,-0.35111212117414453,-0.05187681431864793,0.18726534054445637,0.14864241556225086,0.01367433156061531,-0.16509347821468914,0.28467328353086446,0.3103808768061605,-0.12343894229222858,-0.3833023474593838,-0.5559893990176064,0.6102815495289224,0.19627552443016802,0.44326569427481993,-0.12530594951918478,0.18340613186079158,-0.05192210112855172,0.5078406426931427,0.15806628714767756,0.49003564346373024,-0.40991994068722304,0.1986464361782928,-0.25095471078017634,-0.32811825997434985,0.19216540265906876,0.43278944570793637,0.5959631825409593,-0.2875856671600113,0.39114791416862055,0.10099305106684438,0.10606784473527898,-0.062313304886979705,0.3288766917941357,-0.3381259121221557,-0.054077805117576906,0.09332525056429297,-0.2067476572169547,0.3020957349605652,0.38760573728353875,0.051709401744415934,-0.32011434075464934,-0.46112513160332436,-0.0023907736368937406,0.15018090568852446,0.41840425411117027,0.0932948481638163,0.06109106868609873
