,Vermis_7,Cerebellum_4_5_R,Temporal_Sup_R,Hippocampus_R,Cerebellum_Crus2_R,Insula_R,Olfactory_L,Thal_PuL_L,Thal_PuA_L,Cerebellum_7b_L,Caudate_R,Frontal_Inf_Oper_L,Cerebellum_6_R,Thal_PuA_R,Calcarine_L,Parietal_Sup_R,Rolandic_Oper_L,ACC_pre_R,Temporal_Mid_L,Rolandic_Oper_R,Frontal_Inf_Tri_L,Caudate_L,Paracentral_Lobule_L,Cerebellum_4_5_L,Cerebellum_6_L,Thal_MGN_L,Postcentral_R,Temporal_Pole_Mid_L,Postcentral_L,Occipital_Mid_R,Thal_PuM_R,Supp_Motor_Area_L,Occipital_Sup_R,ParaHippocampal_L,Frontal_Inf_Tri_R,Thal_VPL_L,Precuneus_L,Frontal_Inf_Oper_R,Vermis_9,Temporal_Pole_Mid_R,Thal_MDm_L,Heschl_L,Thal_LP_L,Pallidum_L,Putamen_L,Cerebellum_Crus1_L,Amygdala_L,Cerebellum_Crus1_R,Thal_MDl_L,OFCant_L,Olfactory_R,Frontal_Sup_2_L,Angular_R,Cerebellum_10_R,Frontal_Inf_Orb_2_R,Thal_VL_R,Temporal_Inf_L,Red_N_L,Pallidum_R,Thal_IL_R
Vermis_7,1.0,-0.04686552016681093,-0.02713951946491505,0.07819046452582028,0.20071378287185823,-0.09245427412299075,0.21990387567201156,0.006972866761764011,0.27268925821656853,-0.02356342829461864,0.20038452139000792,0.02439102752301523,-0.07907649997789967,-0.010640024304990225,-0.13005754506533862,-0.1623664236957236,0.048687848608762845,-0.062255653540192316,-0.005240838108710556,0.03502586126520317,0.0682715484743703,0.15681894621654877,0.12419568714887015,0.26176406749891346,0.11838223265763723,0.04344434399999383,0.08720658482144769,0.07871391959091606,0.04520891003526959,0.15029340949438658,-0.014238306064332563,0.2311691293831529,0.0348791922750088,0.12365389768416309,0.0538134691603101,0.15218478793255066,-0.055369686614258576,-0.1326836754020292,-0.0005395351382546465,-0.15167658512545015,0.11464084979255718,0.2755106482859607,-0.057837174287493874,0.1652739030331507,0.019268039679612596,-0.03084502711485928,0.16884446471894374,0.16904792759431336,0.1977500777206237,-0.0176622883427638,0.21716092490223102,0.05848158922323044,-0.2046500518568232,-0.09374162153619284,0.012049586702513597,-0.07425899501639491,0.0747889838593124,-0.02550813145458637,0.16818516084615476,-0.011679375104263555
Cerebellum_4_5_R,-0.04686552016681093,1.0,0.0024338073312514434,0.27273790150460325,0.025491418708163734,0.16295122343210558,-0.10492457802083029,0.334867688273244,0.5822415704036611,0.12007700885973183,0.002142981102664672,0.13437897165970866,0.22101215529689733,0.002304026211184203,0.6973782010662414,0.33819245172195106,0.3457931632759169,-0.3249849971448069,0.19343887035974822,0.2261729979375795,-0.23217351803258626,0.08856604673016374,0.3498269485927382,0.677096178876089,0.03152781200131738,0.27596340131228875,0.4465927198560797,-0.011184518856583975,0.4831794423280507,-0.17558726536757568,0.729433270046001,0.10052975722797698,0.05954525213483619,0.34608933542226766,-0.2619451478953375,0.19421523422177053,0.7412941815592649,0.1770539503311387,0.12300834131021625,0.22671754522849108,0.6035292165775873,0.33272942709610187,0.43663490528505144,0.3412830638018753,0.17738902601923515,0.0962182556007023,-0.390965395216125,0.3578265757186803,0.29371160534905255,-0.14931650919206943,-0.041771103924944764,-0.043629387938632094,0.42964700079997864,0.30600557540119616,0.06190041976697813,0.4610217340628106,0.39604403290411083,0.16719013505890604,0.037182497651187425,-0.1916462152206675
Temporal_Sup_R,-0.02713951946491505,0.0024338073312514434,1.0,0.3098178676066329,-0.3418854339794824,0.48583821842475,-0.37960260896354925,0.1408105113870002,0.04954311724124119,-0.12281329785554886,0.030382891406527415,-0.028216001821904802,0.730928121988736,0.4050205828956252,0.15463773361619892,0.006652697018997985,-0.012845354436314753,-0.06773540290955395,0.035383028063045774,0.6162119183550658,0.13215486752920086,0.06372334345037715,-0.06742823872629962,0.07238840138898149,0.05920663584011322,-0.21723521630939777,-0.23904400177577922,0.023434474685258007,0.15017135688541167,-0.3437652344634305,0.32813083103353036,0.24575516485791324,0.007486972299368133,-0.10084413566548617,0.3098499872881827,0.1148165953597204,0.07140815715920501,0.6106448826794696,0.39806465345904873,0.19701921404800102,-0.128875914544314,0.19043862908668313,0.08580305047948006,-0.07135537884808135,-0.23169561560701815,-0.05662903319043116,-0.2568293946683603,-0.09968139116183534,-0.10206885544063653,-0.23398447303464584,-0.2613740532313346,-0.04607685127189664,0.21608097099631515,-0.1797343300434272,0.05219384131860075,0.3837459093812582,-0.4088816717743455,0.19723049724498723,-0.014786740746750748,0.5460220182903607
Hippocampus_R,0.07819046452582028,0.27273790150460325,0.3098178676066329,1.0,0.204484305718299,0.7267876034370678,0.4150663091365465,0.3578627025519346,0.33828469279454554,0.0585681118177027,0.6860360538455127,0.5994034019129177,-0.05618884722579335,0.22485079094397734,-0.05618737328131687,0.22660023558620024,0.7791272828541087,0.43962483614323117,0.33370757288325276,0.6878761601938719,0.49920049695702,0.6969384067572961,0.3077389194405805,0.16461514668929475,-0.07623136493524173,0.3862231824285457,0.327322643744314,0.3349081298759913,0.26005193708421465,0.03949679804052487,0.42443193013291575,0.6748427503579882,-0.011745339579281715,0.6464711491169113,0.6471410700068536,0.603648478210197,0.10736211956457473,0.6137305243435923,0.1009176129347634,0.1649626621544448,0.5520685567164391,0.637600215026407,0.32247699683926206,0.6652342502258047,0.6644747088335251,0.13303053081192245,0.42453333372720375,0.11491520300888501,0.6604059438228739,0.48275760383557753,0.4114962361977002,0.7229987741201667,-0.0756319414699051,0.33424187950720025,0.7480352511243775,0.6030358486517537,0.19568674748906398,0.6954274356515283,0.6376735197142679,0.4129895390854654
Cerebellum_Crus2_R,0.20071378287185823,0.025491418708163734,-0.3418854339794824,0.204484305718299,1.0,0.10631047120477351,0.4365429539822913,0.13391500741401774,0.2518849547365363,0.0780084916517159,0.3742602496597795,0.11677546040812609,-0.4738266530947982,-0.014778141292735695,-0.2605984408341202,-0.020189052905785165,0.22167626564015525,0.2842822621679645,-0.04050487241868071,-0.03223658810021051,0.09254171702942617,0.28976200183168127,0.26292071078257395,0.012192951494263348,-0.2629313927665385,0.38023968033292577,0.30436231217703114,0.25143844201570453,-0.03250792095306451,0.15843250580168314,0.07849854803842973,0.16019091847328984,-0.02261737830205425,0.2711871618847135,0.1574343990598404,0.24855924136273683,-0.019657915451215036,-0.1112178345920824,-0.28726427495238266,-0.05675823340562207,0.331187970784916,0.25676229343299983,0.14345265779126276,0.3327844803744409,0.3165540086424028,0.11204959347235588,0.4220243335257409,0.27212265878347924,0.3994124488373365,0.36180268298037127,0.36855035714164097,0.4194307390350545,-0.15899642763624983,0.04747117000575626,0.3809000326278647,0.08259316109530342,0.11817967504449171,0.08047000659245652,0.29399095295935396,-0.13870033518823144
Insula_R,-0.09245427412299075,0.16295122343210558,0.48583821842475,0.7267876034370678,0.10631047120477351,1.0,0.1331969371876152,0.17173492499541393,0.10859176143436951,0.012156829866457261,0.5424980957003864,0.3028074143979396,0.18065578497891033,0.36547170071781715,-0.08490303239376619,0.2251357237541763,0.5353250401430937,0.3672396297936473,0.1441827023332088,0.6319830294463884,0.35928219233659364,0.6110139398779316,0.09268178051349286,-0.04783313820119784,-0.01822329024561698,0.1548961946059803,0.04500293356995012,0.1590631879383006,0.10365947413752091,-0.13450758403012292,0.3296839022767258,0.44733172707401897,-0.05916380483544506,0.2888338072841005,0.5229931770424232,0.411818512690141,0.03542247503446894,0.621918446368688,0.19247907364801253,0.3067748389508762,0.3390143976155399,0.378576081418941,0.22425933435214776,0.5073716537089278,0.5119917538912839,0.23743763870646736,0.19445291319146482,0.014052779803938738,0.38012857029536273,0.3857694669623182,0.20121789055894293,0.5265726584347341,-0.05535060499935073,0.17460587238924175,0.6618194954043705,0.46575193248462177,-0.04158909650738171,0.5582458467639267,0.554574724712227,0.4893138976452247
Olfactory_L,0.21990387567201156,-0.10492457802083029,-0.37960260896354925,0.4150663091365465,0.4365429539822913,0.1331969371876152,1.0,-0.019840573733591133,0.08024014332823041,0.13154976036776558,0.7055492913279275,0.36198602645099326,-0.7563137198243384,-0.06606841539258593,-0.4071151237456895,0.10980912507105862,0.5125861554284403,0.4405651513853366,0.29624495680939683,0.10794804384468346,0.3276725245307331,0.5824308761528257,0.47819219779538064,0.0006124672604117434,-0.030083532223100277,0.5318096276596658,0.5086860895017372,0.13938818065437278,0.18507884886965636,0.3215037442137649,-0.12833545062032353,0.5409029592834209,-0.12639112058262872,0.5493594812292842,0.33609415316466096,0.25066871046767025,-0.049825800456524315,-0.08021967068832915,-0.3480006951801967,-0.2719188397697046,0.3290051690411302,0.3440023629406584,0.09586014737274229,0.6055019338333515,0.5611056987337887,0.05388105800260136,0.8421478324846181,0.009706528925362341,0.6234523076496357,0.5554961639977014,0.7940717963882091,0.6391681636835163,-0.36136019118983115,0.380556940542766,0.5712958388662694,0.054498435418189106,0.27704933243274454,0.22681310114555586,0.6712625465613508,-0.14213635933607047
Thal_PuL_L,0.006972866761764011,0.334867688273244,0.1408105113870002,0.3578627025519346,0.13391500741401774,0.17173492499541393,-0.019840573733591133,1.0,0.6165741239357898,-0.3063966102851032,0.09247481026173557,0.5320771366077234,0.06472520972724839,0.09672341311348821,0.2078357003444698,0.13662221261773294,0.4381402742083968,0.021187751031494846,-0.03877547708847176,0.3374255759383311,0.1996680198691021,0.08647039970944248,0.1627975330164487,0.14435145753005413,-0.03485748972842051,0.32163990311928226,0.26689436637122427,0.23890007185052164,0.24801328551652643,0.028227958262770064,0.3874234672785719,0.06231602921889479,-0.04727885360013574,0.3266335156351006,0.22601572976486953,0.43075234523423006,0.24084641533439055,0.48239561269860254,0.26169734112766746,-0.15995845215512136,0.4171750222139556,0.5005154701958552,0.3789452305143203,0.12009080379583456,0.19414643864250172,0.18064291077689307,-0.07317498821302236,0.07212494744850723,0.3359794498742762,-0.09350821772932331,-0.05516296011310372,0.09062593276438227,0.16241013433275256,0.21026724143283318,0.2033764705782134,0.4350202281341096,0.1161940811042225,0.3970859900969412,-0.07819233225830564,0.2907213962362081
Thal_PuA_L,0.27268925821656853,0.5822415704036611,0.04954311724124119,0.33828469279454554,0.2518849547365363,0.10859176143436951,0.08024014332823041,0.6165741239357898,1.0,-0.14626353735610262,0.2079645411069481,0.29715286769782007,0.018320787398587644,0.14366135425278634,0.2893017573955995,0.16338870000854996,0.3991312356282787,-0.16358051482532693,0.0176744458863719,0.31445650443409245,0.05156252300104657,0.16171266772701468,0.3873101901282505,0.4469998464570863,-0.03519543174848092,0.44748767068670875,0.42942461771286805,0.12708191743799718,0.4122000720278579,0.020887725542497043,0.5844021223541698,0.16796970113553814,-0.030849020699824693,0.33056500181799137,0.03795792619423373,0.4850896497960604,0.4738409637963602,0.2765235770546133,0.0918473596646536,-0.1204524979930304,0.6211623460792677,0.578054552318717,0.4710143513868734,0.35251950018344447,0.17588577379371328,0.1590319213821073,-0.07547181519296002,0.3226076019527476,0.47972860685173274,-0.11752330442822677,0.03883775001967399,0.07501298375004577,0.09550323741034282,0.22997989453031983,0.18287021815976606,0.4837997707665124,0.18153005619604168,0.25093332680604896,0.028747483413348648,0.0026195242676974426
Cerebellum_7b_L,-0.02356342829461864,0.12007700885973183,-0.12281329785554886,0.0585681118177027,0.0780084916517159,0.012156829866457261,0.13154976036776558,-0.3063966102851032,-0.14626353735610262,1.0,0.15530426494996377,-0.06623821763787174,-0.006342059581001761,-0.17097329921691987,0.12781377904556798,0.05990579915784609,-0.017890173965357376,0.0927599166030674,0.33277686553489844,-0.15389216948125747,-0.057622531180293014,0.09806688012330679,-0.011768947329460912,0.19175476235300068,-0.09707970583286704,-0.04059803963581352,0.014430361745768927,-0.24088757787169476,-0.06898994531643009,0.07371492740195705,0.10446754292952058,0.1811807819956365,0.08711053837631105,0.09469284476705346,-0.06499594653864532,-0.06555005007816458,0.055880164582990235,-0.16901348950600759,-0.1029782179515011,0.40436893782377875,0.0626373185733892,0.017482588518326975,-0.08938370110415429,0.18900844845496861,0.20642935904847734,-0.20689538752006173,-0.03207407785088874,0.024428476412046735,0.050131183480856455,0.2243385417384741,0.15824012945024984,0.14629080529624872,0.007268063581939015,0.13799970997676614,0.014455830133502937,-0.00089792182033952,0.18882553449221748,-0.05195085837813869,0.20881177569031317,-0.24636961206212252
