,Thal_MGN_L,OFCpost_R,Thal_VA_L,OFClat_R,Hippocampus_L,Frontal_Med_Orb_R,Vermis_4_5,SN_pr_L,Occipital_Mid_R,Vermis_7,Thal_VPL_L,Calcarine_R,Red_N_L,Parietal_Sup_R,Thal_MGN_R,Red_N_R,Occipital_Sup_L,ParaHippocampal_R,OFCant_R,SN_pc_L
Thal_MGN_L,1.0,-0.08666148959009862,0.5436251170104794,-0.2403148431018125,0.37812448831642115,0.5317819378962966,0.15227172759748492,0.18473024493387002,0.02400273469139573,0.04344434399999383,0.4389909332712239,-0.02813402403764534,0.13559223614158136,0.28705947357906497,0.5661990519546511,0.3976218989883121,-0.15727363814303788,0.0931150000777736,0.18342800847576265,0.25484109035666797
OFCpost_R,-0.08666148959009862,1.0,-0.1662035294566734,0.4538090650070662,0.19396018923098837,-0.27616402427423115,-0.1024677537193947,0.24400594961310373,-0.048996627048957776,-0.1292025473103676,0.019334204013401884,-0.13161355792105592,0.17912167346784805,0.0599360693957637,0.007796137387853161,0.017534405930151282,0.002144285399698528,0.1872027038240141,0.61881472387149,0.23110562276340413
Thal_VA_L,0.5436251170104794,-0.1662035294566734,1.0,-0.2561551761007981,0.5228429006670117,0.3032829314542334,0.2600866002553894,0.35165151495925046,-0.03018174904318596,0.040309305801162196,0.5403790927912734,0.2966531256965832,0.3539901038130653,0.2815508816563695,0.3433704239117591,0.4743875641290061,-0.02608395233991453,0.3279583426536319,-0.08904172504482603,0.2691867681432314
OFClat_R,-0.2403148431018125,0.4538090650070662,-0.2561551761007981,1.0,-0.22119625962797837,-0.20752377041050746,-0.20179922150494153,0.09704196917483404,-0.1029252788410389,-0.1179174877629065,0.14692151476973647,-0.413663644184836,0.20456441727865968,-0.1406639208630743,-0.11174104754790008,0.15625171772602614,0.3237455015589376,0.43756790656838307,0.4625517164513654,0.10707354138787578
Hippocampus_L,0.37812448831642115,0.19396018923098837,0.5228429006670117,-0.22119625962797837,1.0,0.12980487917845365,0.495037222380436,0.5947879907261096,0.09341734605734517,0.09431593552219471,0.4616015533650297,0.24675987683440082,0.5387695152674766,0.327586812694696,0.3058006603335828,0.37183637991320645,0.014408739220856835,0.46450464633309596,0.2890397649858189,0.5669950119561824
Frontal_Med_Orb_R,0.5317819378962966,-0.27616402427423115,0.3032829314542334,-0.20752377041050746,0.12980487917845365,1.0,0.1702134698706482,0.03314715949846241,0.28613692933051055,0.08659169266743678,0.3614540635616597,-0.26432174715030965,0.026719544662684728,0.11469113081308675,0.2957514460092852,0.122722934351525,-0.0547307535768785,-0.10878727830255389,0.16211193059020682,0.1724661873635797
Vermis_4_5,0.15227172759748492,-0.1024677537193947,0.2600866002553894,-0.20179922150494153,0.495037222380436,0.1702134698706482,1.0,0.11478015515705979,-0.11161840394647529,-0.11425035508816198,0.2868870298189663,0.5419184354390935,0.14482476156018664,0.2810466614997357,0.011300010929237504,-0.042037275754994184,-0.129812102435739,0.15634237280535299,-0.09765227107032798,0.19629860168929253
SN_pr_L,0.18473024493387002,0.24400594961310373,0.35165151495925046,0.09704196917483404,0.5947879907261096,0.03314715949846241,0.11478015515705979,1.0,0.14294466733193775,-0.029526625416703593,0.41765770931425106,-0.08242998802403567,0.6173646302568536,0.19718780276796022,0.25805799020232695,0.4928918284512386,0.2075354615641041,0.5799456948220957,0.3315187057599986,0.607026746535726
Occipital_Mid_R,0.02400273469139573,-0.048996627048957776,-0.03018174904318596,-0.1029252788410389,0.09341734605734517,0.28613692933051055,-0.11161840394647529,0.14294466733193775,1.0,0.15029340949438658,0.08632479406960629,-0.33429781984270296,-0.02488924036151554,0.05209293105422649,0.10663833377687426,-0.054340751230998977,0.015205280973154342,-0.05440681163597069,0.2587252674418143,0.1515953941574887
Vermis_7,0.04344434399999383,-0.1292025473103676,0.040309305801162196,-0.1179174877629065,0.09431593552219471,0.08659169266743678,-0.11425035508816198,-0.029526625416703593,0.15029340949438658,1.0,0.15218478793255066,-0.2208971649256457,-0.02550813145458637,-0.1623664236957236,-0.07236763705515677,-0.05083110777506684,0.024842543113144246,0.05182504273819429,0.041535060324956644,0.22940135566864717
