,Cuneus_L,Pallidum_L,Insula_R,Thal_PuL_R,OFCmed_L,Cerebellum_7b_R,ParaHippocampal_R,Rectus_L,Thal_PuM_L,OFCmed_R,Thal_LP_R,Cerebellum_4_5_L,SupraMarginal_L,Frontal_Sup_2_R,Cerebellum_10_L,Occipital_Mid_L,LC_L,Fusiform_L,Cerebellum_8_L,Frontal_Sup_2_L,Hippocampus_L,ACC_pre_L,Vermis_7,ParaHippocampal_L,ACC_sup_R,Parietal_Sup_R,Cerebellum_Crus1_R,Angular_R,Rolandic_Oper_R,Thal_MDl_L,Precentral_R,Thal_PuA_L,Occipital_Mid_R,Paracentral_Lobule_L,Frontal_Inf_Oper_R,Frontal_Inf_Orb_2_R,Vermis_9,Cerebellum_10_R,Thal_MDl_R,Thal_AV_L,Putamen_R,Frontal_Sup_Medial_R,Putamen_L,Angular_L,Cerebellum_Crus1_L,Cingulate_Mid_L,ACC_sub_L,OFClat_R,Rolandic_Oper_L,Vermis_4_5,Calcarine_L,Caudate_L,Frontal_Med_Orb_R,Temporal_Mid_L,Frontal_Med_Orb_L,Occipital_Sup_L,Amygdala_R,VTA_L,Cerebellum_Crus2_L,Rectus_R,Frontal_Inf_Tri_L,Temporal_Inf_L,ACC_sup_L,Red_N_L,Temporal_Sup_L,Temporal_Pole_Mid_L,Thal_MDm_L,Thal_VA_L,Parietal_Sup_L,Temporal_Pole_Mid_R,OFCant_L,Olfactory_R,VTA_R,Lingual_R,Cerebellum_7b_L,Postcentral_L,Thal_PuI_R,Thal_VL_L,Thal_IL_L,Calcarine_R,Vermis_10,Thal_MGN_R,Fusiform_R,Cerebellum_8_R,Thal_MGN_L,Heschl_R,Thal_PuM_R,N_Acc_L,Temporal_Pole_Sup_R,Heschl_L,OFCant_R,Cerebellum_6_L,Temporal_Sup_R,Thal_MDm_R,Cuneus_R,Temporal_Pole_Sup_L,Supp_Motor_Area_L,SN_pr_L,Vermis_6,Cerebellum_3_L
Cuneus_L,1.0,0.14363651520031512,0.02858091305364465,-0.18520193797176024,-0.13957186175894631,-0.2504902263989598,-0.15671667702281775,0.009370470666599745,-0.037297987317521306,-0.16517014348358872,-0.006679141900118038,0.49823932966649626,0.4694493155925387,-0.04200163294273954,-0.029986968339971876,0.01082886701476265,-0.479999902824731,0.41281629740476977,0.4294408570646259,-0.06492430938458335,0.37275731708615445,-0.16097182077461047,-0.06320039209553027,0.23580273871257443,0.22393835404831572,0.22796656881041885,0.21512290716522695,0.22121490126594096,0.028155037384524937,0.11012603172687851,0.10604391970773111,0.3975259922163486,-0.11019231202084451,0.20036647958223097,0.01736064516543017,-0.041460459812746396,-0.1323628857563334,0.30915714318307724,0.05233433192210423,0.3945456659782779,-0.061234957148488436,0.07822230746294724,0.12678562290414735,-0.013495726025388887,0.017916919636057776,0.08421444282470768,-0.21753138363923552,-0.2279090827224688,0.0646951705618666,0.2570002430801054,0.4835423955459548,-0.06806058413161382,-0.027456686835556493,0.08993543565258373,-0.14213828915438317,-0.20177844432664693,-0.26280923597780353,0.26556881747874134,-0.3060429013490896,-0.21870879760242018,-0.17817386937407245,0.37461514811793967,-0.004281871873142192,0.03201784754062074,0.3438034451677641,0.01944489399333969,0.3621264780451481,0.24654140495446783,0.303792809829249,0.12406625160461246,-0.046153633563371044,-0.1018311662886353,0.10051502229227556,0.18526498647497522,0.10215613438049122,0.2148142038505542,0.22982300708775483,0.10552200262930159,0.3199784242603851,0.4047907915040957,-0.15986918335653147,0.0799654319873092,0.08324097450799346,0.23243347567601066,0.238749699669913,0.05487448810820582,0.42236836873530176,-0.005352661227508561,0.2477650665109426,0.17359569018713392,-0.033181830819292074,-0.08866940080681933,-0.09361687428480439,-0.0466184365788463,-0.04111296934997204,0.17805478606986563,-0.031032101191953217,0.06439881820990649,-0.053710183794247864,0.32849461687785847
Pallidum_L,0.14363651520031512,1.0,0.5073716537089278,-0.14071332782876933,-0.14832661433904207,-0.05401012872418968,0.4847764339330833,0.06288113589652873,0.43050952604414455,-0.010208435868766465,0.17239206335181623,0.26794774414744377,0.18879659684206704,0.5272391288255011,0.45326803544833993,-0.22430281964386264,-0.09524770230188614,0.3482735445335685,0.3703625522465619,0.5365760218423438,0.550491659394997,0.261067216938865,0.1652739030331507,0.49902478091577124,0.4643686161082954,0.24976608601668648,0.2024541018204551,-0.14109916408578072,0.3728020126720673,0.7375388462229983,0.4887229637615329,0.35251950018344447,0.06818174302591751,0.4237538442489638,0.17413059747695753,0.6168918021647468,-0.00471165039145455,0.421652037884779,0.08177444628146525,0.20796212629828564,0.7066380799506198,0.24463990831215804,0.6914593241677641,-0.16193047481762904,0.09980779193843818,0.5315115356513882,0.2087279894431511,-0.0423521333158567,0.7002265347072657,0.10870774802882717,-0.031235543646611238,0.7636307660583446,0.3794548911907694,0.3937146156083999,-0.041142008835413205,-0.010660197590269808,0.364008126596136,0.4601963687022145,0.016859463752235886,0.479876096236094,0.2874708000412999,0.2939877118679395,0.2720611278469515,0.43111460106410643,0.24830344136512872,0.08613001760132487,0.6516708518580062,0.49162974143682875,-0.03229950709823273,0.1239012194501128,0.36822774134480596,0.5792142436221972,0.16355391754420498,0.0031870239947998967,0.18900844845496861,0.30702930528576744,0.5817912920672197,0.4229908173021001,0.40361175162210283,-0.1337456763043076,0.2962246969843492,0.4167580289857709,0.47093611309788447,0.4199322513314112,0.5153308533449412,0.5805230414010658,0.42708354264613413,0.5700911574861698,-0.15124862839571962,0.4854664301453119,0.32910359938332506,-0.006280278454783571,-0.07135537884808135,0.2691336477765004,-0.06419827715850311,0.097793292642936,0.5774091667365858,0.5526429992266471,0.03880064966798794,0.06801394724877612
Insula_R,0.02858091305364465,0.5073716537089278,1.0,0.19024361918820876,0.20156524356741012,0.2568761364576172,0.7332066023744587,0.10297425127284456,0.420132650802234,-0.048376488636461726,0.21758203140174917,-0.04783313820119784,-0.08582432672235125,0.5561798125184684,0.005163696513424166,-0.13665646317451632,0.22894565852346516,0.029035230410662242,-0.1872404927709448,0.5265726584347341,0.40950369812498705,0.411967024520372,-0.09245427412299075,0.2888338072841005,0.4823128047313715,0.2251357237541763,0.014052779803938738,-0.05535060499935073,0.6319830294463884,0.38012857029536273,0.23952384367351887,0.10859176143436951,-0.13450758403012292,0.09268178051349286,0.621918446368688,0.6618194954043705,0.19247907364801253,0.17460587238924175,0.17311408749625415,0.00227844787948417,0.6593628536049568,0.3429985474019544,0.5119917538912839,0.171936546231496,0.23743763870646736,0.22033299201421003,0.2803330120578288,0.4370124180666836,0.5353250401430937,0.19837908286212863,-0.08490303239376619,0.6110139398779316,0.040642369760230494,0.1441827023332088,0.13478478167852595,0.36434862662301315,0.6415217078597419,-0.02759465663365181,0.08500616606157126,0.0993072340704344,0.35928219233659364,-0.04158909650738171,0.4064294889637037,0.5582458467639267,0.04614076897887944,0.1590631879383006,0.3390143976155399,0.37843816863304036,-0.1264962932799684,0.3067748389508762,0.3857694669623182,0.20121789055894293,0.35503642117924566,0.269815379197202,0.012156829866457261,0.10365947413752091,0.3104414073147944,0.3545485221777084,0.34060800637544925,0.011254332745573813,0.17302994162916716,0.215032500745281,0.6133006450403171,0.08930205762866439,0.1548961946059803,0.3740257250386777,0.3296839022767258,0.32395222953163627,0.41860112958187295,0.378576081418941,0.2113562096847329,-0.01822329024561698,0.48583821842475,0.7122344621947829,0.05622889989801065,0.11663452462760426,0.44733172707401897,0.5644248971293977,-0.017508329587139885,-0.039246082096802644
Thal_PuL_R,-0.18520193797176024,-0.14071332782876933,0.19024361918820876,1.0,0.5446957523503714,0.28353096773194675,0.30772023237623347,0.36654226928212885,0.557193530454633,0.25830864140352805,0.48720206540000977,-0.1884991111232561,-0.22092963010497826,0.2788703999131089,0.014018817465221198,-0.004172183725925871,0.1524999728390078,0.017772987272106282,-0.0755598146590856,0.24579725104151925,0.2206535809426672,0.15286381874118382,-0.07976039361168122,0.22292724332820196,0.04582515372524994,0.03033767723107928,-0.1412873238109713,-0.015006252605055488,0.28756131409945024,0.07474015747297619,0.11123620290236419,0.14850170423003886,0.10101715218804971,-0.0820885918718745,0.47082594225887475,0.24274650072684498,0.13419741896091306,-0.09845644816538794,0.5846043126092991,-0.5085270960697809,0.13492285531967574,0.3015426736702374,0.07935299206715671,0.07856948845591709,0.10922417628916925,0.09099666423898031,0.004912457765315991,0.160383621619648,0.31201578612208347,-0.08094423380664803,-0.1436564654136304,0.039214376895989035,-0.13095368399569846,-0.11707700588771125,0.45380188560434037,0.23470700188109148,0.23912387630734924,-0.12244270893150153,0.1316828159459805,-0.03743576858097619,0.29238739428676375,-0.039726215875226956,0.14728959894250476,0.33808723350386016,0.04136306672610811,0.2637207350694715,0.06306485500780555,0.2353857741972923,-0.08037822048999975,-0.06342804892351682,0.09637833130140663,-0.008585352923427374,0.09764612499000341,0.10035526041039033,-0.23889643326941093,-0.01428287579036934,-0.015190275087390336,0.3555569505265241,0.17130566164295757,-0.06484025183227171,0.025608862753517155,0.053786888548397534,-0.08495195960089506,0.1384623986009877,-0.015305197620055777,0.25698643027288776,-0.03453529826097293,-0.2701201719759885,0.009121386349075507,0.23018368005844395,0.07500802504969152,-0.09878794265477668,0.1906842045043755,0.2207772868274717,-0.015574578274748369,0.1247959754664458,0.06841548368759126,0.2696779281401089,0.19931856211125282,0.012170146197252825
OFCmed_L,-0.13957186175894631,-0.14832661433904207,0.20156524356741012,0.5446957523503714,1.0,0.18566393843870901,0.2863986077395237,0.20406741306688364,0.48295669442426803,0.1515588160147834,0.31860807104084354,-0.22455516456240848,-0.13952392721411097,0.24218040344297515,-0.1137408992345137,-0.08243185479605371,0.10646454377244773,0.06912984901846506,-0.2094596887205312,0.3059052197186746,0.1834057212356017,0.2677825553649433,-0.1689287576424838,0.24909322344270476,0.15975029839079674,0.0722037367068235,-0.17386308597768407,0.018656376035564595,0.4035780697929724,0.10323967613981899,0.02241625850361397,0.08956432097134402,0.03964667711035994,-0.058055380097378186,0.635698566134475,0.3101569709246011,0.10045456739491282,-0.02312980934143764,0.3106163321811428,-0.38365665875988436,0.2400686459680351,0.22781670615486713,0.20559288677744234,0.008576440566164733,-0.02616213020039921,0.03569848953735843,0.16690310478916545,0.24165742459531966,0.26472213168875913,0.37073556874911706,-0.05586150342812658,0.06155484485372453,0.19253663922629358,-0.22775384537466956,0.6405151538889509,0.07812617934668789,0.3224989133076766,-0.11092355102664764,0.0347256611447642,-0.15239409534627393,0.6379400741336417,-0.08872175617726026,0.19947545194980887,0.31760214571926787,0.10671118148353194,0.43701785624959427,0.06798072859779508,0.2962826962595119,-0.055460628313791886,-0.17830047635959206,0.22230566918973127,-0.23375477761383467,0.19461997649253363,0.12854573055237487,-0.19523174638284815,-0.008322798599871553,0.08126464492421495,0.4746702168914302,0.2808186208957062,0.044542314261508606,-0.08268993299134296,-0.0012349065838443032,-0.045637905113352105,-0.04791223549627541,0.11546692354293236,0.19398403829304575,0.03916996022723694,-0.09296496077151832,0.22959746465975225,0.16760441150540167,0.11021017373066996,-0.3611474782385813,0.22466365809818772,0.19786960074214724,-0.04059120119644216,0.20698923285757545,-0.03473842725923063,0.14534002807084243,-0.0004598958364362806,-0.10232687874830229
Cerebellum_7b_R,-0.2504902263989598,-0.05401012872418968,0.2568761364576172,0.28353096773194675,0.18566393843870901,1.0,0.3598866239339838,0.017243111366630356,0.05689520676734229,0.15121597243003,0.2100301341661864,-0.16045439499831363,-0.20167338263856482,0.06956073901157091,-0.23313953409789537,0.15241079155899645,0.42153323189821523,-0.2524597877580507,-0.29734987695593085,0.06616590891416294,-0.10736794185873703,0.1976520154251492,-0.024093825322270574,-0.1190729575158102,0.013233103157204995,-0.05754339631823828,0.07874431446024174,0.08119403108333689,0.20221892031311994,-0.036827495348182124,-0.20754061207551824,-0.07666926831650596,-0.004434652987859763,-0.2617363960063148,0.27125924987837574,0.1052640263578904,0.30616276336777737,-0.3804956402209233,0.14078077431259156,-0.09653610751337696,0.10635437160118928,-0.016182780405766574,-0.07613183926366276,0.22409028351862256,-0.1371187943588114,-0.0801153034943091,0.1286682355504247,0.3406308900193025,-0.006627098292992764,-0.050239085675582724,-0.1357895437751651,0.1394692612979394,-0.25743896733975224,-0.11828119027173321,0.055202071979617795,0.17002967940266014,0.24898460504177206,-0.26026503070939494,0.11469774409907998,-0.061222551035204985,0.06894285851964238,-0.31312347832371135,0.025026754052923192,0.14476290165092603,-0.20988006119023933,0.05204172634167577,-0.08913873983458342,0.0033415453991620086,-0.12238833051674866,0.25833981264243083,0.023806885583031196,-0.05310456020020929,0.21461463262779779,0.23222956037097697,-0.09400221574657346,-0.127761761647709,-0.05743824241475806,0.07730774146021338,-0.11699490020282907,-0.014443856981524613,-0.08507029037779289,-0.046217464467425806,0.27159530772453916,0.16271907534654487,-0.2233145231980585,-0.13141852034351906,0.03043509127510351,-0.020569765711733894,0.17577152213697791,0.014946064846828332,-0.08364921957769221,-0.10531308848227612,0.4070843502552452,0.39898358005705076,-0.05006732121445215,-0.09255911044387392,0.06985537062093042,0.12802045117834462,0.008530631749159934,0.009041282613450056
ParaHippocampal_R,-0.15671667702281775,0.4847764339330833,0.7332066023744587,0.30772023237623347,0.2863986077395237,0.3598866239339838,1.0,0.2428208327694306,0.504205274120142,0.12905785667330408,0.42006886852572517,0.03785566008482249,-0.07888077442838362,0.6219615308235585,0.05172571542136474,-0.11875965886840227,0.28138556172474904,0.07248272489594222,-0.10424506636070965,0.570079204803289,0.46450464633309596,0.38606643706069915,0.05182504273819429,0.40248096552927587,0.49373531255730346,0.11217664647774431,-0.025442306665580647,-0.06071323153615109,0.7601432315244815,0.4298455004502303,0.33641533215305774,0.18920814533137106,-0.05440681163597069,0.14375249390962486,0.6070635750672545,0.6747785230010731,0.2525723023359935,0.1578395431379675,0.33895684096002837,-0.10592632375031935,0.657273876614359,0.37993784040469186,0.43032957636326624,0.14211843727104848,0.1515352893523737,0.3855064803002344,0.3428951540505896,0.43756790656838307,0.5622905399830612,0.15634237280535299,-0.11859282912417274,0.6071354585683424,-0.10878727830255389,0.26474662169027957,0.09672742263295606,0.2962087042141434,0.6848037794649225,0.11367884413686744,0.2654191464915571,0.2642463441847694,0.3886720518766679,-0.09100012507082349,0.39445766781480596,0.5680583071786292,0.022571678999533024,0.2644564043478925,0.295783413841328,0.3279583426536319,-0.07783932258937416,0.22803098043414322,0.3458678429740874,0.3105843200877801,0.3978871163391144,0.34260557712531337,0.0640138249797662,0.1964113030058924,0.37132582738443054,0.37038179342876665,0.3183679635200526,-0.039736678705648544,0.23513418812532927,0.25024600544556475,0.730993016206457,0.23738508554648752,0.0931150000777736,0.36182378745315164,0.29150941288004795,0.27880952010450305,0.24563516472431088,0.4390828767690292,0.2388374399523563,0.03767863863890124,0.5588133343862415,0.6075518656939881,0.005655500729990831,0.037929586922266785,0.6079557266384951,0.5799456948220957,0.12187400588683153,0.02386416108856826
Rectus_L,0.009370470666599745,0.06288113589652873,0.10297425127284456,0.36654226928212885,0.20406741306688364,0.017243111366630356,0.2428208327694306,1.0,0.29964885208964515,0.3912436624983426,0.3169588772228143,-0.036098871620732075,-0.08370309828009648,0.42167312636158305,0.14331519963732892,-0.3026724287741278,-0.05027556175009503,0.16553126453632505,0.2577034764167142,0.36581201678225117,0.3708931959910956,0.08690366389396084,0.10332184606156904,0.457615774535761,0.15447748224557548,-0.10131107866117177,0.022430404434428855,-0.11209566220201342,0.15653810748195673,0.27414342458258917,0.3146633973737428,0.269807059846379,0.1735325434327408,0.03983618620699198,0.12846455439041155,0.32231795771522453,-0.08053136343618396,0.18940852366228814,0.4136001962459586,-0.2042209837163722,0.13353940920395013,0.5750640949149883,0.2927756089660041,-0.0905205646666231,0.31631533185225924,0.12956136126751705,0.163474834524765,0.08199497070997885,0.2728311850080684,-0.11069642310357906,-0.18719203995631575,0.0009746193540306021,-0.12917059709196854,0.13574380951401807,0.22626027775592084,0.0064245800575886336,0.1913470042677409,0.2859247363279803,0.2343019169003123,0.3109066425464137,-0.00699292012536583,0.3191818101777994,0.230342044667847,0.3495276072801911,0.27477732114507686,0.28123730286045767,0.24982379675169214,0.09673612319172133,-0.01936514501501349,-0.06242398286677472,0.3432829358774368,0.2558702767057241,-0.0426529861115655,-0.08326292021330191,-0.10854305443031098,0.04511678475220661,0.17414731539494482,0.08736796578371393,0.19526706007913036,-0.25910472546784175,0.2602328557746251,0.07074949521525921,0.05650766117253102,0.22892313282155463,0.0013101871559903203,0.19465174901339213,-0.10757399262582541,0.0032087180683779025,-0.12700253805120618,0.38237174543299335,0.44654400599070165,0.1025394609515196,-0.17172599341667252,0.054338974721702786,0.03561419223698421,0.36562629433301874,0.23366906204715648,0.23398440659804665,0.16995024274642256,0.018606974429162256
Thal_PuM_L,-0.037297987317521306,0.43050952604414455,0.420132650802234,0.557193530454633,0.48295669442426803,0.05689520676734229,0.504205274120142,0.29964885208964515,1.0,0.25169476860210055,0.49290599976933375,-0.09459172921609982,0.009660843908651615,0.558899123619598,0.394624348288808,-0.17537341029676037,-0.10573007753213602,0.2546891398169996,0.12884038711986304,0.5674951256806843,0.5351012380818239,0.24101492735990365,-0.03795298656782154,0.5089814386852263,0.26297236075315555,0.24823802731581707,-0.03147536947617487,-0.0333841902007265,0.5077810026475861,0.6172844787137769,0.540989432399967,0.3734184273692844,0.08438820796227017,0.3419773471507114,0.5565033972160818,0.5873382362472191,0.044270923488865715,0.2691665355189902,0.43626834738303144,-0.4186687370429875,0.5233952758305711,0.41301399848949355,0.48746043359791674,-0.1488705011213246,0.20518911414384405,0.5018628996872668,0.02489108127201843,-0.0022014969663038952,0.7453529546897673,0.07996208202615884,-0.09952387603632043,0.5139742590577628,0.24656478396373482,0.1491359251490387,0.40296930492683625,0.11608205656737756,0.39886986817491454,0.16144800060271083,0.0882542582865364,0.28811346414895955,0.5391418672511757,0.138789075685631,0.23581042139228028,0.5488771387046715,0.1788539216469919,0.3404803741081098,0.46946756011718865,0.5699942319710214,-0.08714420161440341,-0.16002374651199028,0.2840228714964193,0.35032930614162666,0.13864508585180185,-0.023297582294876863,-0.14130620393908203,0.30003537656829776,0.4455729495390483,0.6234467283164817,0.49803552340580626,-0.06653571400663191,0.22139491876860368,0.4210254530850935,0.13965858156092692,0.2739499353655538,0.4778135641070742,0.6892538981911979,0.28297162204195586,0.061877458103239,-0.13681573353411958,0.5012265791743366,0.2200130920134125,-0.09678469397060742,0.04434290916098384,0.2161009051702659,-0.016725375672125783,0.10712863176740253,0.4561247352233552,0.5185344778746485,0.13749996838794315,-0.1533221743189851
OFCmed_R,-0.16517014348358872,-0.010208435868766465,-0.048376488636461726,0.25830864140352805,0.1515588160147834,0.15121597243003,0.12905785667330408,0.3912436624983426,0.25169476860210055,1.0,0.21608414705924303,-0.19133560714195164,-0.2409182170267209,0.1800209804128616,0.37106159648202025,-0.10914108534335096,0.11846987988387761,0.01554332518851068,0.05618508609822689,0.21417266378987768,0.01864866468197444,0.09495556928814634,0.11736252930397009,0.19408113623789333,-0.018555685470652956,-0.06605315371580647,0.09165016810050775,-0.21034657556478645,0.019607607192059704,0.11957590141717492,0.2335434522703144,0.08409561740928381,0.22938382695979834,0.1447887188229549,-0.053330248015593024,0.16481941786672885,-0.1372626621155408,0.008957573450232764,0.2316119719433048,-0.510657422473032,0.14574182871373687,0.24144952301700046,0.04091183200702358,-0.18323977207527203,-0.02282042140851336,0.18667481883113005,0.11292151009641467,0.08625235388870181,0.06221658291277769,-0.2886933219407724,-0.3712086155056258,0.07907111366397629,0.02535867528574599,-0.002083088929913537,0.18563294214453283,-0.06318933206781838,0.19990955888664855,0.165767043362622,0.060948791954273586,0.4490445773527745,0.03833127341844018,-0.05754317841950042,-0.05838760180557315,0.08619047624907424,-0.12702104646617635,0.0525404507194069,-0.03846724190766514,0.006164588155477076,0.09116749089081187,-0.28689838227164,0.17096044696627324,0.3111355375435285,-0.10552717306381192,-0.2961003106022637,-0.20463825306623995,-0.02237446466379851,0.12766516455044785,0.021759247472297003,-0.09204780474067274,-0.3689098489694172,0.20673229987677302,0.09094781548752236,-0.0609516678638661,0.16953362682894108,0.1309040802701102,0.14103168182157347,-0.29469934756213473,0.012485748470069231,-0.310975962654148,0.17651116425581273,0.25486906077975885,-0.09200466555868748,-0.10107522369440582,-0.13576343377725422,0.024088530427527014,-0.028418393799744923,0.1610550201772963,0.05792467096576147,0.10003991224875068,-0.1742112262211705
