,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_MDm_L,Precentral_L,LC_L,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7
SN_pr_L,1.0,0.34533845303249144,0.24400594961310373,0.027965949985737593,0.3739944625544672,0.5196334082503745,0.06439881820990649,0.23275056664060081,-0.057575180072116074,-0.0013321346292059675,-0.1926743917403848,0.06770738421077341,0.18473024493387002,0.13650386034565856,0.23366626584918196,0.4844147222389176,0.4212456170475046,0.46020993211596917,0.4671153604315277,-0.06194584959231632,0.09146250829657131,0.6055366343260635,0.728086691294614,0.016230068697001096,-0.029526625416703593
Thal_MDl_R,0.34533845303249144,1.0,-0.01530079257065313,0.1821013394479249,0.001719549243379195,0.2239318404245622,0.05233433192210423,0.060616360927466396,-0.036685231222151816,0.18629109124336896,0.1550250544556297,-0.23755629911487633,0.14548882366263957,0.11293159120984016,0.21668261677202502,0.07984007405091369,0.07989209854244388,-0.04162098622876301,0.3544558389361461,0.13492467777678482,0.006411671667679207,0.20085072486492814,0.2048048880814033,0.10690353172393254,0.09603659832707842
OFCpost_R,0.24400594961310373,-0.01530079257065313,1.0,-0.07148898795076732,0.5483673920022745,-0.09772300147930266,0.18275635834994303,0.15244135339376128,0.02909991999668845,-0.1377403445282844,-0.03577708439407956,0.30468136076022245,-0.08666148959009862,-0.2589388144212532,-0.17578354608607918,0.363483896866502,0.26613965975951676,0.6584835204533233,0.1438760939463696,-0.3174268591201053,-0.027925451098420897,0.33134397880957533,0.4207524560359543,-0.15306872200911073,-0.1292025473103676
Temporal_Sup_R,0.027965949985737593,0.1821013394479249,-0.07148898795076732,1.0,-0.4977279200980007,-0.14755783503297099,-0.09361687428480439,-0.33082025048851577,0.7225548530394649,0.20879258594608793,0.08051939760100993,0.00837782995723962,-0.21723521630939777,0.09519638445813135,0.39806465345904873,0.2490693881021181,-0.24343969601130513,-0.0469969052839233,-0.128875914544314,0.46105186460171665,0.3614827901765685,0.05219384131860075,-0.1382024313432718,0.15017135688541167,-0.02713951946491505
OFClat_L,0.3739944625544672,0.001719549243379195,0.5483673920022745,-0.4977279200980007,1.0,0.1859084161640864,0.05561245360585312,0.32412579853954177,-0.44765215676719655,-0.5170159824095432,-0.19866698079640993,0.17272377440928066,0.05787761468209643,0.003274557540277972,-0.2537547735837071,0.4309462688284376,0.5296891760227477,0.682786453056444,0.3028809689965063,-0.4396548503141194,0.05431134713182488,0.4407548308950413,0.6806007289877973,-0.27352752988612294,0.11340065178400507
Heschl_R,0.5196334082503745,0.2239318404245622,-0.09772300147930266,-0.14755783503297099,0.1859084161640864,1.0,0.05487448810820582,0.2781040613354082,-0.40701375305681525,-0.020040192175037934,-0.24412277278761668,-0.24066485412557828,0.5534431957274158,0.5393472523013187,-0.02045447316376283,0.2946160524717532,0.2664545770024631,0.1601541645129072,0.4982234391887445,0.23565924642762032,-0.21768889740372552,0.5721217427655346,0.5179197815868724,0.28618390680714506,0.04573803312858189
Cuneus_L,0.06439881820990649,0.05233433192210423,0.18275635834994303,-0.09361687428480439,0.05561245360585312,0.05487448810820582,1.0,0.18101951521551515,-0.18412308952155929,0.25260549396553983,0.24693958214792058,0.3945456659782779,0.238749699669913,0.21841706904196123,-0.1323628857563334,-0.26280923597780353,0.3438034451677641,-0.004281871873142192,0.3621264780451481,-0.06327393559425248,-0.479999902824731,-0.041460459812746396,0.219256303418509,0.2148142038505542,-0.06320039209553027
Occipital_Inf_R,0.23275056664060081,0.060616360927466396,0.15244135339376128,-0.33082025048851577,0.32412579853954177,0.2781040613354082,0.18101951521551515,1.0,-0.28097252352195967,-0.11447909361418887,-0.10658198429653394,0.10946186983091093,0.2322262446162945,0.12186717116068296,-0.1197436547344861,0.06766144397254707,0.3061519676584298,0.1759049010786899,0.25438765954196535,-0.171552202590602,-0.16747951106507614,0.2053171888491592,0.36064865306628213,-0.0018669147552987275,0.09542187085739073
Temporal_Inf_R,-0.057575180072116074,-0.036685231222151816,0.02909991999668845,0.7225548530394649,-0.44765215676719655,-0.40701375305681525,-0.18412308952155929,-0.28097252352195967,1.0,0.2658367409879331,0.18706845930243263,0.16074341519493035,-0.47791038779056966,-0.2585613072772269,0.39744628553094313,0.03752162911213884,-0.29904910512586985,-0.07155987743466868,-0.28387616965019574,0.2529178151060781,0.3867894582814792,-0.2010830979657595,-0.2974812437252644,0.04945304882010185,-0.11023946278319398
SN_pr_R,-0.0013321346292059675,0.18629109124336896,-0.1377403445282844,0.20879258594608793,-0.5170159824095432,-0.020040192175037934,0.25260549396553983,-0.11447909361418887,0.2658367409879331,1.0,0.37494013932124953,0.09508153224878378,0.10544237376075632,0.04187983944324623,0.18392536249622954,-0.38724485376775175,-0.20530562367824032,-0.46225701474601594,0.20675475343473115,0.25980522170803216,-0.2929398022184249,-0.2295660165940236,-0.17571173006200785,0.3950609274550608,-0.02600421570320209
