,Hippocampus_R,Thal_PuA_R,Postcentral_L,Thal_VPL_R,Cuneus_R,Lingual_L,Red_N_L,Olfactory_R,OFCpost_R,Thal_PuM_L,Vermis_7,SN_pr_L,Temporal_Pole_Sup_R,Caudate_R,Insula_L,Thal_PuL_R,Thal_MDl_L,Cerebellum_7b_R,ACC_sup_R,Temporal_Mid_L,Amygdala_L,SN_pc_R,Caudate_L,Thal_AV_R,Vermis_9,Cingulate_Post_R,Frontal_Mid_2_L,Occipital_Inf_R,Thal_IL_R,Cerebellum_Crus2_L,Frontal_Inf_Oper_L,OFClat_R,Heschl_R,Angular_L,Thal_VPL_L,Thal_VL_R,VTA_R,Thal_MGN_R,Cerebellum_4_5_L,Paracentral_Lobule_L,Cingulate_Mid_R,Frontal_Inf_Orb_2_R,Vermis_10,ACC_sub_R,Temporal_Inf_L,Rolandic_Oper_R,SupraMarginal_L,Temporal_Mid_R,ACC_pre_L,SN_pc_L,Supp_Motor_Area_L,OFClat_L,Cuneus_L,Thal_AV_L,Occipital_Sup_L
Hippocampus_R,1.0,0.22485079094397734,0.26005193708421465,0.6434124645478511,0.005405495779811387,0.22956698823813626,0.6954274356515283,0.4114962361977002,0.23537667918938315,0.6881121395753158,0.07819046452582028,0.7018817380268145,0.18247888332730033,0.6860360538455127,0.7038307991758425,0.3019809873101944,0.6604059438228739,0.15007061938580707,0.5978698199250098,0.33370757288325276,0.42453333372720375,0.3454452293564764,0.6969384067572961,-0.03021651480724878,0.1009176129347634,0.7541380448813481,0.7273867101964276,0.15647200512319104,0.4129895390854654,0.15320534771740607,0.5994034019129177,0.2654478472263556,0.6209809889851514,0.006400286862976508,0.603648478210197,0.6030358486517537,0.3212526625576158,0.36812634923775994,0.16461514668929475,0.3077389194405805,0.5211505165358002,0.7480352511243775,0.2786788779651013,0.21817716867717968,0.19568674748906398,0.6878761601938719,0.05342460040768511,0.058482707362279146,0.4253986378431574,0.6292461982839636,0.6748427503579882,0.2958039453207824,0.0938682324354198,-0.06122231905931498,0.17332778298098217
Thal_PuA_R,0.22485079094397734,1.0,0.10904458769638395,0.4558165463979094,0.08011820328117877,-0.2100044368867426,0.11680975329290211,-0.11764500441044365,-0.20090406043459008,0.23328499461200702,-0.010640024304990225,0.05011184709742225,0.06707709962967999,0.2950664148092527,-0.12687528141009366,0.0036143407481106166,0.24647505960042093,0.24155151410628792,0.008262569558730837,-0.0018699036810588853,0.13956081444510857,0.21991062023100738,0.29841897303033943,-0.005870281855859933,0.189495110330192,0.2695124763688625,0.007115767234276755,-0.17741096030134654,0.4035133252965896,0.04706169892698313,-0.09709249623120363,0.1922930492892331,0.11052574581628045,0.2300958116542964,0.2626987559772897,0.353781363238458,0.12345270017136646,0.27628977011632255,-0.2471518072182976,0.15574507381431968,0.21850577665137721,0.15287477844794947,0.027324084240556663,-0.0931574702613446,-0.5188795560601381,0.29742244598904477,-0.10610659314977014,0.3267998612417165,0.007209129805981665,0.025988988378837414,0.20516364801007683,-0.36506605596335406,-0.09462855801954634,-0.13306809247741483,0.13911609284035256
Postcentral_L,0.26005193708421465,0.10904458769638395,1.0,0.46095643670997005,-0.11061751227304382,0.3717038241718667,0.11788389585699223,0.1247403618106929,-0.15306872200911073,0.30003537656829776,0.04520891003526959,0.016230068697001096,-0.12716276280714137,0.20830881560803138,0.05052786198790336,-0.01428287579036934,0.30536129287949887,-0.127761761647709,0.07586901623471708,0.29799534611861084,-0.017715165161703624,0.40564427935361186,0.09348081777900642,-0.23293756036131558,0.09168443402518595,0.24560300607386445,0.09517584907653168,-0.0018669147552987275,-0.09197087899573504,-0.10301235066904418,0.20045522760040307,-0.4139690095190929,0.28618390680714506,-0.151599993303292,0.015163237779618083,0.554589436512727,0.039410377062337396,0.2614192259782642,0.3809070776314777,0.7688428336829154,0.582027726658893,0.06915634414207417,-0.1005766887343601,-0.3341916567352916,0.18199947723275392,0.4234586453360615,0.7741478726013757,0.22921069402250635,-0.43669748606284514,0.09627233659369473,0.3950440504758701,-0.27352752988612294,0.2148142038505542,0.03129504357485953,-0.2501612077973347
Thal_VPL_R,0.6434124645478511,0.4558165463979094,0.46095643670997005,1.0,-0.01601291976420166,0.36689380035315355,0.46056672352962086,0.12281539143004604,-0.0884866416804568,0.5786542089161139,0.0365554123706889,0.36878967591562467,0.07758316078720223,0.5073573794412678,0.40514497459253423,0.16147512333506375,0.6272357685363518,0.1086101821069671,0.4128686264817862,0.2948049901063328,0.12454885839320412,0.5288912179533015,0.47974120082760874,0.10286078347923507,0.2420639632031388,0.6241785982896721,0.36474540431766733,0.028248830280900368,0.2463032686366654,-0.06769226518389738,0.3978427346815709,-0.12381580220199047,0.47438936549880695,0.049807417557916914,0.5731890123964556,0.8266746842117592,0.36499325964745916,0.35355221257198943,0.35907367135629364,0.42364385450462916,0.6536316955025954,0.3309264573671968,0.06369085566440251,-0.12387574393501843,0.08362815948051172,0.5960405054886803,0.39292105118562376,0.2674257620865612,-0.0163208160523415,0.38363312986152537,0.529144714534783,-0.08883035870444503,0.20773678104424628,0.12497146903227421,-0.006287601497636593
Cuneus_R,0.005405495779811387,0.08011820328117877,-0.11061751227304382,-0.01601291976420166,1.0,-0.203546090249731,-0.09002112312879083,-0.0065187211754315876,0.015458275161056441,-0.016725375672125783,0.06415454025485376,-0.17155732743425336,-0.003202498317069959,0.1135781981818183,-0.12037424353622878,-0.015574578274748369,0.07250492356527911,-0.05006732121445215,0.01597193201587655,-0.10672323316581475,0.15099099580678138,-0.10894810559030708,0.07112709780914889,0.07510890081301011,-0.11898592174069535,-0.057741431001418424,0.015057314581792726,-0.043532113924675986,0.0056748216037083975,0.010097628497054421,-0.11581818023675898,0.17699482333765804,-0.07624468447126245,-0.05574024235307628,0.09033219164713478,-0.10976301155256221,-0.09803095241927355,0.027462601831666694,-0.12185479316668543,-0.002463334831477328,-0.11670339993230437,0.03512656890437318,0.16675904836319408,0.11884890498725478,-0.1988630071940958,-0.06701866867662588,-0.1955130948790307,-0.004080015255633937,0.1338928065311189,-0.18923049633336714,0.06319148779657315,0.017153544346094396,-0.04111296934997204,-0.04902017413344369,0.13839773057665344
Lingual_L,0.22956698823813626,-0.2100044368867426,0.3717038241718667,0.36689380035315355,-0.203546090249731,1.0,0.21377574485937725,-0.06691211406511417,-0.03656575193412242,0.030464697940157836,0.033292294781903084,0.2379748956169383,0.13048953904847235,-0.03138814556507741,0.33990140292336235,-0.04481330892327589,0.09244573503563601,-0.03551803242706781,0.278941208639798,0.4328538698679387,-0.3326893660473052,0.25901375336782023,-0.050602838676081646,0.2562007572454431,0.3317376385557427,0.21984166645465122,0.026095706305514846,0.04506904209566425,-0.11347776679568879,-0.09579828960041276,0.2757080854658983,-0.4592879087874708,0.05305795184619136,-0.06946819418554885,0.07458161709531178,0.4702973493245936,0.4132368213016065,-0.05097418381783611,0.6907723867326643,0.14999198893983065,0.3062731245304969,-0.17313776323163668,-0.12370377873852714,-0.29013401826583074,0.5365316514478834,0.21265912511571036,0.6186000347279222,0.33937791404513584,-0.34255829647754277,0.23968811889690594,0.26815863976088783,-0.04076076709418929,0.2962662088577279,0.4697449944101641,-0.061533187931325124
Red_N_L,0.6954274356515283,0.11680975329290211,0.11788389585699223,0.46056672352962086,-0.09002112312879083,0.21377574485937725,1.0,0.28916196910750874,0.17912167346784805,0.5488771387046715,-0.02550813145458637,0.6173646302568536,0.17377185529492303,0.442239352406541,0.5972969602826539,0.33808723350386016,0.454120807535127,0.14476290165092603,0.412581860790354,0.22366055221181003,0.23899615890723266,0.27552978394687455,0.470181723338788,0.017758718538656217,0.17514963349414872,0.6083347264244858,0.6072326004617464,0.07959792445416933,0.430598334628452,0.05709336022728608,0.5593666882188588,0.20456441727865968,0.41785021069920286,0.13691348220651448,0.465304964628384,0.44064477428548543,0.34646508363880313,0.2969711813855998,0.03192932978321892,0.0522321793782068,0.39600333117588066,0.5219165674193469,0.21398902722951835,0.08442083117829033,0.18856537619304015,0.5405713210597547,-0.019770503281275907,0.00019161726429443434,0.31464895856019504,0.5357976197917796,0.4554476261307052,0.26802837898069504,0.03201784754062074,-0.02399131849418366,0.228589738525401
Olfactory_R,0.4114962361977002,-0.11764500441044365,0.1247403618106929,0.12281539143004604,-0.0065187211754315876,-0.06691211406511417,0.28916196910750874,1.0,0.1939266732120128,0.35032930614162666,0.21716092490223102,0.29047969818339486,-0.3731444419306278,0.5485611038448416,0.45736960982090785,-0.008585352923427374,0.536460229367756,-0.05310456020020929,0.32992955820049263,0.32011521622007716,0.6502426584816533,0.028602792714527363,0.5342181952924637,-0.2801057022145306,-0.22335860709230201,0.29485980171868936,0.6198376271383806,0.32759691426412985,-0.08184362516957183,0.2234041582902034,0.2440872413559569,0.07904083887842422,0.43846596224545126,-0.1755524785934532,0.10903608681263059,0.03170121990393418,-0.2388985506576323,0.30817207437042504,-0.015945292329840904,0.268825701738833,0.36978937493652264,0.4972298358434229,0.3661055269453785,0.6509608585055231,0.23568574553453558,0.14710824184709714,-0.08167384457213542,-0.338357593446831,0.3690014793734501,0.3580650406677857,0.5965941813465611,0.4309964903259085,-0.1018311662886353,-0.16553255423676336,0.07451643973263145
OFCpost_R,0.23537667918938315,-0.20090406043459008,-0.15306872200911073,-0.0884866416804568,0.015458275161056441,-0.03656575193412242,0.17912167346784805,0.1939266732120128,1.0,-0.08107687561570122,-0.1292025473103676,0.24400594961310373,0.47790015133169056,0.05684643950266381,0.4207524560359543,-0.11275887201956873,0.1364785041018956,-0.10952738029862624,0.5065384113482856,0.2518386731359127,-0.016936804140672706,0.052438144199096044,0.09666737519687656,0.2358474648605573,-0.17578354608607918,-0.09162681733252387,0.3044812273377004,0.15244135339376128,-0.030831093407386972,0.06336804329287656,0.07290301229724755,0.4538090650070662,-0.09772300147930266,0.020751069321151124,0.019334204013401884,-0.21450938732704153,0.08799490988378288,0.007796137387853161,0.14993427609439453,-0.2039522228252457,-0.28792879293060364,0.33134397880957533,0.10320495722520398,0.36294178874556365,0.2763209805553213,0.1002215046529225,-0.04433158013191666,-0.187393458463723,0.39975536486505775,0.23110562276340413,0.14820051326560196,0.5483673920022745,0.18275635834994303,0.30468136076022245,0.002144285399698528
Thal_PuM_L,0.6881121395753158,0.23328499461200702,0.30003537656829776,0.5786542089161139,-0.016725375672125783,0.030464697940157836,0.5488771387046715,0.35032930614162666,-0.08107687561570122,1.0,-0.03795298656782154,0.5185344778746485,-0.13681573353411958,0.5317199524473578,0.4956149415433911,0.557193530454633,0.6172844787137769,0.05689520676734229,0.26297236075315555,0.1491359251490387,0.4331998773192401,0.169212365898763,0.5139742590577628,-0.37072061481318147,0.044270923488865715,0.8028143092584572,0.6547583938932237,0.20416553251695418,0.3523334794121085,0.0882542582865364,0.6718508810478659,-0.0022014969663038952,0.6892538981911979,-0.1488705011213246,0.5518294799029423,0.5283317569128276,0.13864508585180185,0.4210254530850935,-0.09459172921609982,0.3419773471507114,0.5642447628626277,0.5873382362472191,0.22139491876860368,-0.01885905255589138,0.138789075685631,0.5077810026475861,0.009660843908651615,-0.12341125680976062,0.24101492735990365,0.4187194532290425,0.4561247352233552,0.12463949206404369,-0.037297987317521306,-0.4186687370429875,0.11608205656737756
