,Temporal_Pole_Mid_L,Thal_VA_L,ACC_sup_R,Temporal_Mid_L,Frontal_Inf_Oper_R,Cerebellum_Crus2_L,Vermis_4_5,Putamen_L,Thal_PuL_R,Cerebellum_7b_L,Rolandic_Oper_R,Thal_PuA_R,Cerebellum_8_R,LC_L,Thal_VL_L,Thal_AV_L,Cerebellum_10_R,Thal_PuI_L,Heschl_L,Thal_MDm_L,ACC_sub_R,Cerebellum_Crus2_R,Thal_AV_R,Lingual_L,Occipital_Mid_L,Cingulate_Post_L,Insula_R,Thal_PuM_L,Cerebellum_7b_R,Paracentral_Lobule_R,Paracentral_Lobule_L,OFCmed_R,Frontal_Inf_Orb_2_R,Thal_LP_L,ACC_sub_L,Calcarine_R,Heschl_R,OFCmed_L,Frontal_Inf_Tri_R,SN_pc_R
Temporal_Pole_Mid_L,1.0,0.22310353661502735,0.09243367814357775,-0.007733512862686945,0.2751302314353041,0.01424788193062657,0.26853997128446594,0.18449854161732004,0.2637207350694715,-0.24088757787169476,0.24866855821446912,0.029538593947905683,0.08807720732579884,-0.08893929541865228,0.2957560379226007,-0.22254616081951012,-0.015189814784484125,0.24099196336474787,0.21643030815261358,0.20539466350709426,-0.1035817959580287,0.25143844201570453,-0.12065533326344552,0.024646167679902575,-0.12620833544065746,0.20395452569189043,0.1590631879383006,0.3404803741081098,0.05204172634167577,0.434075236556898,0.2776996301657198,0.0525404507194069,0.3238361645960215,0.3462012599166802,0.07673383150945139,-0.06559002317361015,0.3286425552784173,0.43701785624959427,0.33540129064305607,-0.03031021224998757
Thal_VA_L,0.22310353661502735,1.0,0.24288319154787658,0.0673832316601421,0.490428739030702,-0.16994318572104122,0.2600866002553894,0.36231169814932623,0.2353857741972923,-0.08713889821874692,0.46025479292854415,0.2493184661854054,0.4050805138724998,-0.22967649203136586,0.735941528140863,0.017151539668968405,0.27380915537637485,0.4866680847660686,0.5062055564984178,0.6377765711145216,-0.2197476000276932,0.17001593966119713,-0.020158426947925506,0.24937218297454658,-0.05773012036475787,0.48306306711799224,0.37843816863304036,0.5699942319710214,0.0033415453991620086,0.5513283205384508,0.4835080629456164,0.006164588155477076,0.31972770640170106,0.5996234181658564,-0.25012659545976385,0.2966531256965832,0.537958955097415,0.2962826962595119,0.1847256821160582,0.4715796753839811
ACC_sup_R,0.09243367814357775,0.24288319154787658,1.0,0.23450883380445248,0.369657411957126,0.044790507906543424,0.3525414616226505,0.5817949077922993,0.04582515372524994,0.34735077344549853,0.4873827174318659,0.008262569558730837,0.19233007797027976,-0.05520355197001219,0.2277829782079141,0.29572435968769817,0.33734125469635506,0.3054452148457938,0.29041604372624946,0.40699566724641184,0.30241781385954514,0.20541255775136233,0.2739936370412613,0.278941208639798,-0.2355953495162849,0.45392601951702155,0.4823128047313715,0.26297236075315555,0.013233103157204995,0.3101733593539676,0.1611898851604007,-0.018555685470652956,0.5267644396737432,0.1481880977716957,0.48286646462381294,0.003143313334435232,0.1913815947676251,0.15975029839079674,0.4586011005125051,0.20114265727044145
Temporal_Mid_L,-0.007733512862686945,0.0673832316601421,0.23450883380445248,1.0,-0.00021700549105667694,0.14646938366012754,0.23241311897380804,0.2491786835812155,-0.11707700588771125,0.33277686553489844,0.129285035555083,-0.0018699036810588853,0.18673822109229038,-0.10822581414504473,0.00995354864848557,0.16931764110982,0.3428901771577006,0.058669278497957576,0.3694934434364657,0.2861794961394499,0.10304063361555495,-0.04050487241868071,-0.13837617114609754,0.4328538698679387,-0.09032935354208867,0.3684218062607406,0.1441827023332088,0.1491359251490387,-0.11828119027173321,0.2808505784993673,0.2807070541678519,-0.002083088929913537,0.09621861442787999,0.03986812053156205,-0.07524398317461138,0.12255473372349933,0.3133436068384785,-0.22775384537466956,0.011109563366622643,0.21367760938230643
Frontal_Inf_Oper_R,0.2751302314353041,0.490428739030702,0.369657411957126,-0.00021700549105667694,1.0,0.08712254278489115,0.4267366836024222,0.2911337009640757,0.47082594225887475,-0.16901348950600759,0.7891522351750976,0.25136759705889705,0.055656720382420095,0.16508231383330113,0.547726082450161,-0.11831180079321185,0.11799519311942928,0.3944280744603636,0.35138119444868343,0.28460094506225936,-0.2332211239912185,-0.1112178345920824,0.06397109932217045,0.25135857180391835,-0.09161673635672558,0.343886880257848,0.621918446368688,0.5565033972160818,0.27125924987837574,0.3772603544204697,0.07597367379747684,-0.053330248015593024,0.44789334648444756,0.4188999023629451,0.14000189360304413,0.27314028656065353,0.250667532627751,0.635698566134475,0.6267927889998082,0.1473180360116389
Cerebellum_Crus2_L,0.01424788193062657,-0.16994318572104122,0.044790507906543424,0.14646938366012754,0.08712254278489115,1.0,-0.11814575424570964,0.10996299655643739,0.1316828159459805,0.045742010096768884,0.09835756153353543,0.04706169892698313,-0.04849016556809084,0.2547036033022965,-0.15606895930465603,-0.18610370110516428,-0.15372648786845797,-0.027510977737261248,0.12210500515182411,-0.2019140272874983,0.3426721121095456,0.022773886801834845,-0.1531368770824612,-0.09579828960041276,-0.09860712015271735,0.15906449063888448,0.08500616606157126,0.0882542582865364,0.11469774409907998,-0.039993112121088525,-0.07837199860932245,0.060948791954273586,0.23824774627737827,-0.23862158200109965,0.2863766242364709,-0.29771536117292235,0.04496826058609487,0.0347256611447642,0.29954682411626354,-0.30896770640439297
Vermis_4_5,0.26853997128446594,0.2600866002553894,0.3525414616226505,0.23241311897380804,0.4267366836024222,-0.11814575424570964,1.0,0.212229966153317,-0.08094423380664803,0.043675349339461086,0.28170400628555237,-0.05041620882570953,0.03100823816621251,-0.19728135473648292,0.2623708145602306,0.33091361811515335,0.20719633524675585,0.37110505031429375,0.254621873813517,0.27486768730767464,-0.3947404335007378,-0.12709464130441905,0.2732093430098968,0.6325303421233368,-0.100181625332567,0.0567167647074418,0.19837908286212863,0.07996208202615884,-0.050239085675582724,0.44589296161773845,0.18394843944969183,-0.2886933219407724,0.012363472461435411,0.4127049879713313,-0.030796827244616656,0.5419184354390935,0.07108812864237327,0.37073556874911706,0.1329242340355027,0.21261481591838363
Putamen_L,0.18449854161732004,0.36231169814932623,0.5817949077922993,0.2491786835812155,0.2911337009640757,0.10996299655643739,0.212229966153317,1.0,0.07935299206715671,0.20642935904847734,0.2885330422063509,-0.09769687369649449,0.2214842014202152,-0.006721976068869673,0.45812286935812135,0.13939237578635746,0.5159840296249623,0.4481901622113361,0.4440662074722619,0.5364882756282692,0.36065966253157133,0.3165540086424028,0.10533089250706786,0.13775498650909676,-0.25325684624414263,0.4336816456162045,0.5119917538912839,0.48746043359791674,-0.07613183926366276,0.2683180623351577,0.08279688991240945,0.04091183200702358,0.7341690832955882,0.1674989306461327,0.5031043757534415,-0.2849481913704032,0.5684812731188938,0.20559288677744234,0.5143124072107377,0.1690626925319824
Thal_PuL_R,0.2637207350694715,0.2353857741972923,0.04582515372524994,-0.11707700588771125,0.47082594225887475,0.1316828159459805,-0.08094423380664803,0.07935299206715671,1.0,-0.23889643326941093,0.28756131409945024,0.0036143407481106166,0.1384623986009877,0.1524999728390078,0.3555569505265241,-0.5085270960697809,-0.09845644816538794,-0.06410863002653859,0.23018368005844395,0.06306485500780555,-0.1161940173923991,-0.022553455315240757,-0.36624047103556995,-0.04481330892327589,-0.004172183725925871,0.06266054443028785,0.19024361918820876,0.557193530454633,0.28353096773194675,0.09784118370304265,-0.0820885918718745,0.25830864140352805,0.24274650072684498,0.06506946058208557,0.004912457765315991,-0.06484025183227171,0.25698643027288776,0.5446957523503714,0.36900834408765376,-0.2777419913148339
Cerebellum_7b_L,-0.24088757787169476,-0.08713889821874692,0.34735077344549853,0.33277686553489844,-0.16901348950600759,0.045742010096768884,0.043675349339461086,0.20642935904847734,-0.23889643326941093,1.0,-0.15389216948125747,-0.17097329921691987,0.004510754967675559,-0.01768304919735632,-0.08694703809336692,0.36779176971283634,0.13799970997676614,-0.029824480527968187,0.017482588518326975,0.0626373185733892,0.1746369393142231,0.0780084916517159,0.23218828001935224,0.1667219277371035,0.030600665785118896,0.0931496645196314,0.012156829866457261,-0.14130620393908203,-0.09400221574657346,-0.07009893196551761,-0.011768947329460912,-0.20463825306623995,0.014455830133502937,-0.08938370110415429,0.17924201578089277,-0.005925263685506958,0.005489366576073324,-0.19523174638284815,-0.06499594653864532,-0.024963163571240784
