,Cingulate_Post_R,Cingulate_Post_L,Cerebellum_7b_L,Hippocampus_L,Parietal_Inf_R,Cerebellum_10_R,Temporal_Pole_Mid_L,Temporal_Inf_L,Occipital_Sup_R,Vermis_7,OFCmed_R,Amygdala_L,Vermis_1_2,Heschl_L,Temporal_Mid_L,Insula_L,Thal_MDm_R,Frontal_Inf_Oper_L,Thal_VA_L,Thal_LGN_L,Thal_PuI_R,N_Acc_R,Vermis_10,Caudate_R,Vermis_4_5,Fusiform_R,Calcarine_L,Paracentral_Lobule_L,OFCmed_L,Frontal_Med_Orb_R,LC_L,Temporal_Sup_L,Precuneus_R,Olfactory_R,VTA_L,Red_N_L,Cerebellum_9_L,Thal_PuL_R,Occipital_Inf_L,ACC_sub_R,Temporal_Mid_R,SN_pr_L,Frontal_Inf_Tri_R,Vermis_8,Cerebellum_6_R
Cingulate_Post_R,1.0,0.6553803560934038,-0.07803906739978934,0.6124052809801614,0.08474485706046823,0.20633163117377304,0.33866117891713393,0.13995085608236704,0.002164299495006126,-0.012903192942677834,0.09734646642839745,0.4122019657732889,-0.21723759417714442,0.5294045215404846,0.24623957522803686,0.5383455498388258,0.3301806053894114,0.6588358071026497,0.4980004791230952,0.5762197131195261,0.530465753441148,0.5236957126643356,0.23954194108129942,0.5553933733123357,0.2514763591524613,0.25179222665420165,-0.053438590992075666,0.3061884169169032,0.5061827925313922,0.2527874312733643,0.0305469564084502,0.29163458401374165,0.27223740389946804,0.29485980171868936,0.2244805515330712,0.6083347264244858,0.43289019185821836,0.4918975659034733,-0.14877897515747843,0.024127780949249594,0.01189897607010735,0.5359103778355716,0.608869268740326,-0.22192392831031948,-0.14899233248562227
Cingulate_Post_L,0.6553803560934038,1.0,0.0931496645196314,0.5103366355534688,0.27911738233562644,0.23211562358623442,0.20395452569189043,0.09366733743121067,-0.1163759615464906,0.04820799258225912,0.03371209771333469,0.41215871193161796,-0.19547210419124655,0.44544528558980273,0.3684218062607406,0.4569362713166759,0.23606659418427114,0.32525210945292315,0.48306306711799224,0.5847855665427373,0.6713214531906336,0.468481075276259,0.23478123140417922,0.6458657142209733,0.0567167647074418,0.5435682682038377,-0.0727520594595638,0.5333870468130755,0.041228677056781356,0.10837276191048953,-0.09184480778341905,0.09125216012573317,0.4580461040314461,0.4394720577902702,0.3124273908847225,0.44570796568021276,0.4355295485023663,0.06266054443028785,-0.14883374194638202,0.17601673138029847,0.03205494196954898,0.4545029768086014,0.3755097788201694,-0.07429115326197934,-0.21864825519398956
Cerebellum_7b_L,-0.07803906739978934,0.0931496645196314,1.0,0.10524346138278778,0.04360400603393184,0.13799970997676614,-0.24088757787169476,0.18882553449221748,0.08711053837631105,-0.02356342829461864,-0.20463825306623995,-0.03207407785088874,0.0569917500496388,0.017482588518326975,0.33277686553489844,0.22518812497957683,0.05430107682735817,-0.06623821763787174,-0.08713889821874692,0.15475779344373808,0.023980232156364818,0.14443196237882647,0.04359062580310402,0.15530426494996377,0.043675349339461086,0.03621200285400256,0.12781377904556798,-0.011768947329460912,-0.19523174638284815,0.05061367159018911,-0.01768304919735632,0.2845533135362185,0.08371231109310821,0.15824012945024984,0.049540946740827235,-0.05195085837813869,0.06255420260256812,-0.23889643326941093,0.2027908580550202,0.1746369393142231,-0.05141004016095954,0.09442822195031515,-0.06499594653864532,0.03574150182124502,-0.006342059581001761
Hippocampus_L,0.6124052809801614,0.5103366355534688,0.10524346138278778,1.0,0.4311661563391776,0.49791203013660784,0.32588095924436583,0.6899920665467153,0.09353709258135035,0.09431593552219471,0.01864866468197444,0.15337989282141526,0.2827551448303651,0.6424764700901135,0.45978207740272625,0.7624719848458166,0.2909607387341701,0.6533402111268803,0.5228429006670117,0.6643987211242703,0.46941084381458326,0.6095822143980821,0.15735281120328143,0.40676063528469125,0.495037222380436,0.3590545143012907,0.3548369377020788,0.4279398206031261,0.1834057212356017,0.12980487917845365,-0.2731598966216684,0.7313706507340997,0.5336031660577151,0.2948689118846181,0.4814602342127473,0.5387695152674766,0.3670780913103386,0.2206535809426672,-0.11598896018547586,-0.045119063374469734,-0.053823264452124965,0.5947879907261096,0.35553918010909613,0.028277808865052653,-0.09074108757538951
Parietal_Inf_R,0.08474485706046823,0.27911738233562644,0.04360400603393184,0.4311661563391776,1.0,0.37884321234557383,0.11562726097840736,0.3695062573979873,-0.07030466947670092,-0.05351193210314675,0.001490534198364076,-0.06124405778708503,0.4134144006504475,0.23533374166008925,0.24742546713010896,0.16121904367896872,-0.2964186301954198,0.1260134338184306,0.46292499676241455,0.2593612050663735,0.26286804873871583,0.17593726371701732,-0.19588226519382257,0.0745859035956475,0.2675527790000397,0.059528370815032185,0.5169531845669124,0.7564931173999868,-0.07156180988769623,0.13225072696985743,-0.6771369485258332,0.31236550391493517,0.8563262329503538,0.10117484442182935,0.2916466256145851,-0.009517471410024323,0.10977648252164711,-0.12146721417208892,-0.10956868352246249,-0.3566115215253112,-0.09615656945696804,-0.004351914504537206,-0.30567690542086956,0.3434045115932664,-0.2477960091224532
Cerebellum_10_R,0.20633163117377304,0.23211562358623442,0.13799970997676614,0.49791203013660784,0.37884321234557383,1.0,-0.015189814784484125,0.46351773894968346,-0.07580013618746043,-0.09374162153619284,0.008957573450232764,0.1767520474306128,0.0288018754056534,0.34721550492330433,0.3428901771577006,0.511959661428656,0.12506801581799873,0.3379244911828263,0.27380915537637485,0.26721300389930847,0.16029248579613306,0.3577163260402894,0.11060595553010129,0.2577523231320784,0.20719633524675585,0.1087135310596966,0.2583331438038559,0.2517075284655745,-0.02312980934143764,0.14848685696282496,-0.2836297862543323,0.4520881989973774,0.3341678116247118,0.2518268896877233,0.33574309890279164,0.31706665358590935,0.3229311755818322,-0.09845644816538794,-0.1987079067935708,0.02458839224317836,-0.23647299099403907,0.32080940243748474,0.10810688539678819,-0.11531689508838264,-0.2725796370208525
Temporal_Pole_Mid_L,0.33866117891713393,0.20395452569189043,-0.24088757787169476,0.32588095924436583,0.11562726097840736,-0.015189814784484125,1.0,0.11830827753046476,-0.06186153397727208,0.07871391959091606,0.0525404507194069,0.2900764874232616,-0.11405425501833466,0.21643030815261358,-0.007733512862686945,0.16762360365220513,0.004286589950974076,0.32497892943678913,0.22310353661502735,0.32611298143921835,0.22358086590800402,0.250798942838169,0.13821498875046484,0.25118843607026403,0.26853997128446594,0.14027208759171697,-0.14004797521596682,0.2776996301657198,0.43701785624959427,0.2057712905231846,-0.08893929541865228,0.0862968871619491,0.1445601109694113,0.048131477824551044,0.16094102882701,0.2388283322926193,0.2451460822593173,0.2637207350694715,0.030687324787752372,-0.1035817959580287,-0.06590778477555953,0.17153022208783703,0.33540129064305607,-0.039432977124887844,-0.17275986173104269
Temporal_Inf_L,0.13995085608236704,0.09366733743121067,0.18882553449221748,0.6899920665467153,0.3695062573979873,0.46351773894968346,0.11830827753046476,1.0,0.16607062227646294,0.0747889838593124,-0.05754317841950042,0.036776390944548654,0.347016331367173,0.28638894726302794,0.38035378813266857,0.5960110890063987,0.015198061967561197,0.39302175908201614,0.1789295202827045,0.36433618840073534,0.1495611450472355,0.42578648077217957,0.08426869884940574,0.08152291930093114,0.3526831308425859,-0.05122933812562055,0.34960827595219374,0.176745039342603,-0.08872175617726026,0.1470200101038678,-0.3215144518671336,0.8182135836964827,0.31456614447928327,0.23568574553453558,0.4453148719585132,0.18856537619304015,0.18775005471339598,-0.039726215875226956,-0.023578271244972023,0.019583347163968583,-0.3758899625447314,0.3180546362816646,0.01878349242927002,-0.004841349831968737,-0.26553656060213787
Occipital_Sup_R,0.002164299495006126,-0.1163759615464906,0.08711053837631105,0.09353709258135035,-0.07030466947670092,-0.07580013618746043,-0.06186153397727208,0.16607062227646294,1.0,0.0348791922750088,-0.17482408612383174,-0.1427361040854241,0.13653933157182224,0.004619960211441729,0.10483894733582963,0.043808722847313665,-0.01531393075558435,0.042784278298441135,-0.027553912280313345,0.019590131565748323,-0.002731723948262647,-0.0012971376315008161,-0.06454978328353554,-0.08982452593828937,0.1119206505950025,-0.05442731965040813,0.14575416560576543,-0.1346837119281703,-0.017964945729566584,-0.00645270394257645,0.06199105621534204,0.23206255768601572,0.011702076330810121,-0.06335167817036218,-0.05387278000976787,-0.12033631403763716,0.039793910541025865,0.026279556446950597,0.02888991593147761,-0.10013706328941253,0.04533153099151097,-0.028917774914056123,-0.07511566368942499,0.028908287157413913,0.10726584288534938
Vermis_7,-0.012903192942677834,0.04820799258225912,-0.02356342829461864,0.09431593552219471,-0.05351193210314675,-0.09374162153619284,0.07871391959091606,0.0747889838593124,0.0348791922750088,1.0,0.11736252930397009,0.16884446471894374,0.019967612808525437,0.2755106482859607,-0.005240838108710556,0.04469952799489189,-0.2438315448507213,0.02439102752301523,0.040309305801162196,-0.05309130268063117,0.2558361899045572,0.21294433755547557,0.27488848768056034,0.20038452139000792,-0.11425035508816198,0.1598596218247203,-0.13005754506533862,0.12419568714887015,-0.1689287576424838,0.08659169266743678,0.09784060731348053,-0.02891191416927858,-0.05859620548808483,0.21716092490223102,0.417938779881857,-0.02550813145458637,-0.12987429595113176,-0.07976039361168122,0.044434016127778586,0.27137571873924204,-0.11817455496139959,-0.029526625416703593,0.0538134691603101,0.1463128482390546,-0.07907649997789967
