,Frontal_Med_Orb_L,OFCant_R,N_Acc_L,Vermis_7,Cerebellum_10_L,Red_N_L,Precentral_R,Temporal_Pole_Sup_R,Thal_VA_R,Thal_LP_L,Rolandic_Oper_R,Cerebellum_Crus2_R,SN_pr_R,Cerebellum_Crus1_R,Supp_Motor_Area_R,Pallidum_R,Vermis_9,Thal_PuL_R,Cerebellum_Crus1_L,ParaHippocampal_R,Temporal_Inf_L,Cingulate_Post_R,Thal_VA_L,Raphe_D,Cerebellum_7b_L,Thal_VL_R,Putamen_R,Cuneus_L,Thal_MGN_L,Insula_L,N_Acc_R,Postcentral_L,LC_L,Temporal_Mid_R,Vermis_3,Vermis_8,Parietal_Sup_L,Paracentral_Lobule_R,Frontal_Sup_2_R,Vermis_6,VTA_R,Precuneus_R,Caudate_L,Calcarine_R,Putamen_L,Hippocampus_L,ACC_sup_R,Parietal_Inf_R,ParaHippocampal_L,Vermis_10,Frontal_Inf_Tri_L,Occipital_Sup_L,Thal_MDl_R,OFCpost_R,Thal_LP_R,Postcentral_R,ACC_pre_R,Cerebellum_Crus2_L,Temporal_Inf_R,Thal_PuM_L,Fusiform_R,Calcarine_L,Lingual_L,Lingual_R,Thal_AV_R,Temporal_Sup_R,Heschl_L,Frontal_Sup_Medial_R,Cingulate_Mid_R,Cerebellum_6_R
Frontal_Med_Orb_L,1.0,0.2762808388290732,0.11248646356865227,0.011963756118378518,0.07719646342855807,0.2519791917113983,0.08001957211611611,-0.01682966094044666,0.5914448874477312,0.1610266444168696,0.19414687501784553,0.10636360686622987,-0.4676640633686569,-0.2275132718464987,0.030173123258445754,0.014109995432943615,0.006403575229341001,0.45380188560434037,0.05663713088784694,0.09672742263295606,0.02579269094702631,0.3862125087464662,0.14543911468337492,0.20439201367308096,-0.34816934116868387,0.04944278205564836,0.33007347276604204,-0.14213828915438317,0.14879360996942487,0.19351312169458362,0.23003666839346235,-0.11677927904041024,0.08810181343561474,-0.22174945379756675,-0.18209851841959807,-0.24743007675420584,-0.13886625441807698,0.2135830039787599,0.2940848859876224,-0.004123382205446985,0.07944276754670802,-0.1830535557190795,0.130399523393146,-0.26700373369519015,0.3257861864938124,0.11136736101642887,0.07747803631029948,-0.15606960369235623,0.25925541718000167,0.07111662054671009,0.6364712767892092,0.1599174485651739,0.14191630163974248,-0.21071983330625654,0.19902977667610824,-0.017616137543822644,0.488443894017701,0.13379112946295024,-0.3190478884185161,0.40296930492683625,-0.12562993004529455,-0.300656768088192,-0.140502439799864,-0.1703120673916188,-0.15339217800119553,-0.06303870751833339,0.11254715342399829,0.25616561196239224,0.09840387730380708,-0.21611962857031936
OFCant_R,0.2762808388290732,1.0,0.6741537094859813,0.041535060324956644,0.22335294777904616,0.31105207680675967,0.21539143886385886,0.03573956894319909,0.3082865295093387,-0.17365505943483134,0.09800559842304721,0.3617415312989763,-0.5275494822537335,0.03364497733115296,0.13927193742615396,0.43088099837131083,-0.2791845737958527,0.07500802504969152,0.02167852917199133,0.2388374399523563,0.3239744090458992,0.23697569301441337,-0.08904172504482603,0.03780697494331533,0.17709500058072458,-0.1761018499378415,0.5786916577951053,-0.033181830819292074,0.18342800847576265,0.6185571934347813,0.5856737449701577,-0.24684936149493203,0.03229523831385249,-0.5325554407668048,-0.34267568150040745,-0.25070888823299636,-0.13086324305694438,0.046564452027927826,0.7297521073838795,0.1073450962100634,-0.04100063453399116,-0.18476166680437234,0.3728532389168325,-0.5786124725606158,0.6762091530643727,0.2890397649858189,0.5406856387723467,-0.14505183505359784,0.4582325399932405,0.3378495512958223,0.2983396755879623,0.08151196491738502,0.040885304888408545,0.61881472387149,-0.04054306490858918,0.05473979672320211,0.7949089413094563,0.2069341302140762,-0.38587395817933956,0.2200130920134125,0.14541840213072824,-0.4111085067857856,-0.2204533213715915,-0.40875640738819585,-0.02089600216567125,-0.34503062843732585,0.149404185072508,0.6871163637536591,-0.04001636853758149,-0.4718529926559904
N_Acc_L,0.11248646356865227,0.6741537094859813,1.0,0.20849505641782284,0.11625437998602689,0.2530037061267642,0.14484708240924185,0.08839585835637245,0.21674599257709626,-0.0910280518097082,0.1275101795382244,0.25908805515668354,-0.4167647110155017,0.17936729558778453,0.1477080865049691,0.6529854390627648,-0.1150229270554717,-0.2701201719759885,-0.10491759709336633,0.27880952010450305,0.24322781356208653,0.17393648972102765,0.012679859144960188,0.004621392409729231,0.3272092916669784,-0.045215674642001054,0.7025192224710841,-0.005352661227508561,0.1794741525726412,0.6039723326376727,0.4991361089161439,-0.2333058456019101,0.16392580982569244,-0.3536098987316041,-0.30956205697682015,-0.23197086095513095,-0.120174274147913,0.06651347627120037,0.5500412511879903,0.034576195591902045,0.11952160618523577,-0.08091093450752833,0.5763345742514612,-0.44596280711033476,0.7034751543965833,0.24548416404792917,0.5814756179421662,-0.17206055913830245,0.32768206294166075,0.32925922339455854,0.3573225820569793,0.12904299097852265,-0.20842333549390346,0.43099273945257066,-0.11557825680435267,-0.02666441384332395,0.5444062270273768,0.144718662776296,-0.21853634919432208,0.061877458103239,0.33258389766746893,-0.2788888091772177,-0.0335867305980423,-0.14769990841487138,0.27263556006096734,-0.1724772008681993,0.1599094545803418,0.36054760563441574,0.03578010518940039,-0.2847724861979943
Vermis_7,0.011963756118378518,0.041535060324956644,0.20849505641782284,1.0,0.21668824699084055,-0.02550813145458637,0.2266700950395822,-0.2805185835775493,-0.09110935003982917,-0.057837174287493874,0.03502586126520317,0.20071378287185823,-0.02600421570320209,0.16904792759431336,0.272144695203799,0.16818516084615476,-0.0005395351382546465,-0.07976039361168122,-0.03084502711485928,0.05182504273819429,0.0747889838593124,-0.012903192942677834,0.040309305801162196,-0.285922102270846,-0.02356342829461864,-0.07425899501639491,0.09041315572738101,-0.06320039209553027,0.04344434399999383,0.04469952799489189,0.21294433755547557,0.04520891003526959,0.09784060731348053,-0.11817455496139959,0.022144483514343206,0.1463128482390546,0.1287449615689797,0.16617764739968843,0.05063365742426412,0.1718859557797276,-0.028067524410333663,-0.05859620548808483,0.15681894621654877,-0.2208971649256457,0.019268039679612596,0.09431593552219471,0.0019016373320226959,-0.05351193210314675,0.12365389768416309,0.27488848768056034,0.0682715484743703,0.024842543113144246,0.09603659832707842,-0.1292025473103676,0.027306819881236694,0.08720658482144769,-0.062255653540192316,0.24290792101689002,-0.11023946278319398,-0.03795298656782154,0.1598596218247203,-0.13005754506533862,0.033292294781903084,0.05962063395142464,0.0341525721089317,-0.02713951946491505,0.2755106482859607,-0.02261531735549699,0.18961325526779507,-0.07907649997789967
Cerebellum_10_L,0.07719646342855807,0.22335294777904616,0.11625437998602689,0.21668824699084055,1.0,0.039030629892208804,0.46430003340634274,-0.5687812609859938,0.002647502059379489,0.24532908368645606,0.0215708241036629,0.454855342996189,0.10889570131134763,0.13740973631032258,0.5183646785955723,0.38373866394650197,-0.23328465404583318,0.014018817465221198,0.18366518260768688,0.05172571542136474,-0.02731871906620072,0.22986224371502412,0.32201642078457954,0.226591129431594,-0.19711008700613875,0.11994390516669456,0.3030749198694779,-0.029986968339971876,0.6584811214032945,0.09605710010594219,0.38256851909560147,0.2848116735382704,-0.3177425918212768,-0.42972421508114755,-0.25244292284281405,0.018236041912077318,0.09980965200220741,0.40727291962500384,0.2910177238652074,0.05949935242903727,-0.26093684957883995,0.23733441009631692,0.3723466407745725,-0.31825315163026685,0.18342025654642352,0.11047291229538198,-0.027569231728884876,0.3758462240409263,0.23439951360552094,0.2654933661360714,0.0924349182139921,-0.16801638819379355,0.13356895786295955,-0.15263148153433892,0.14847898453803302,0.5275711828631072,0.04279781471896988,0.0564104531460686,-0.45207488033150683,0.394624348288808,0.018945715248272942,-0.3154304070227626,-0.32367982252478505,-0.492661539036348,-0.4463820910505914,-0.3133307718841113,0.31175667400831614,0.17712815454350522,0.4050085085769964,-0.6508017951475803
Red_N_L,0.2519791917113983,0.31105207680675967,0.2530037061267642,-0.02550813145458637,0.039030629892208804,1.0,0.346871054177505,0.17377185529492303,0.38217486886038116,0.16976824963329046,0.5405713210597547,0.08047000659245652,0.023997463568371735,0.048343931486335256,0.3410746037072564,0.39674257072510044,0.17514963349414872,0.33808723350386016,0.1285139685000245,0.5680583071786292,0.18856537619304015,0.6083347264244858,0.3539901038130653,0.5170776281260476,-0.05195085837813869,0.44064477428548543,0.5338602908976393,0.03201784754062074,0.13559223614158136,0.5972969602826539,0.46896784335630476,0.11788389585699223,0.12719876095862198,0.00019161726429443434,-0.06563645728623062,-0.21882394186036985,-0.060645701455417325,0.2760224843234971,0.5385450843433511,0.0014610291839953098,0.34646508363880313,0.10450016832016747,0.470181723338788,-0.025534215717558283,0.5613400883747967,0.5387695152674766,0.412581860790354,-0.009517471410024323,0.4542074487258527,0.21398902722951835,0.3618086727991895,0.228589738525401,0.3619499211597388,0.17912167346784805,0.3580699230271403,0.15922903144131442,0.3721364099195075,0.05709336022728608,0.0066017018179346755,0.5488771387046715,0.3524970849563747,0.011623978041917804,0.21377574485937725,0.24248912650012555,0.017758718538656217,0.19723049724498723,0.49684206703389433,0.46621886525143746,0.39600333117588066,0.003552219031005715
Precentral_R,0.08001957211611611,0.21539143886385886,0.14484708240924185,0.2266700950395822,0.46430003340634274,0.346871054177505,1.0,-0.38615546918931526,0.04783384255238917,0.3166245388831905,0.3612146430737383,0.2225348549843181,-0.014221135509575532,-0.03742732668144114,0.9196831640191182,0.4899557086198918,-0.11795603419080417,0.11123620290236419,0.18195479432017267,0.33641533215305774,0.3652595986793788,0.5736636521836278,0.39477931494280094,0.30637128728865076,0.0238610355967371,0.48602892720683,0.37823472020837945,0.10604391970773111,0.500218851484517,0.3915593470588949,0.4916577835249432,0.5643950122132302,-0.23582154792095136,-0.06790378216384729,0.03464558926780888,-0.08094473884714701,0.025764306275546874,0.8075987220345748,0.4754341120751867,0.043234544428779366,-0.07854491778255328,0.4699065718765573,0.420000143697847,-0.05694700381336432,0.327177546276623,0.6466991596250737,0.32637114326619276,0.4457001059985177,0.6638156383539926,0.2993970589445165,0.23702482048721052,0.041434462189275864,0.15261731415682592,-0.07460916764562664,0.42975422494404997,0.7814320012168186,0.1129036722419117,0.13111877487938434,-0.26477256071655936,0.540989432399967,0.22804386795521212,-0.03811394029794906,0.2625762855025189,-0.03605219165314614,-0.31970268055091905,-0.014830904659184603,0.5312130744553195,0.38416171355111667,0.6542935708924689,-0.4366137450415061
Temporal_Pole_Sup_R,-0.01682966094044666,0.03573956894319909,0.08839585835637245,-0.2805185835775493,-0.5687812609859938,0.17377185529492303,-0.38615546918931526,1.0,0.11882538542990093,0.0017225202590325324,0.4205402904219207,-0.2559257926851875,0.08328119163818176,0.11114881419358555,-0.3538133333839886,-0.1654183825317192,0.13559812992013984,0.009121386349075507,-0.05850777502656148,0.24563516472431088,-0.08934653571405123,-0.0643900269688834,-0.030193517095134664,0.07617988676658545,0.06955799214696896,0.07438059701852427,0.0682520859751101,0.2477650665109426,-0.258636852546693,0.09803514892773299,-0.20741699591289964,-0.12716276280714137,0.13620853552533474,0.4459101228971322,0.19667010623953177,-0.01220114814239495,-0.060675080149785274,-0.2197586239204887,0.10075082795292616,-0.09188723048153098,0.4005071135884306,0.008077972348981761,-0.0830919399488436,0.3584145949480929,0.04597969098067097,0.0587207605132102,0.3714683868499813,-0.23955458242222794,-0.11274814195560605,-0.21401809681751502,0.07923876391048038,0.09498824398525933,0.02547434720302035,0.47790015133169056,-0.0635850256421065,-0.39313336605847904,0.1817256078147178,-0.07836763324444387,0.44643339954390704,-0.13681573353411958,0.36005635587488494,0.2691806600079696,0.13048953904847235,0.4587076284892112,0.5194670808333008,0.5407722520397886,-0.07602928744952911,0.157947846737516,-0.24411856903040033,0.6343504653538414
Thal_VA_R,0.5914448874477312,0.3082865295093387,0.21674599257709626,-0.09110935003982917,0.002647502059379489,0.38217486886038116,0.04783384255238917,0.11882538542990093,1.0,0.09747748311240777,0.349185826803713,0.08743332689353338,-0.48711821452271825,-0.2598889285263323,0.02053472946235125,0.2800955693151666,0.056699967309597255,0.4313128231704005,0.03209496326202193,0.42237957402486154,-0.11241058988786823,0.46949863015009924,0.23646506931952363,0.2920104630865558,-0.11963461731596099,0.19123047830228773,0.568436278544911,-0.2545245509082435,0.14378554629334162,0.26151799156570876,0.2331207321929625,-0.2483669150420509,0.3574920963715237,-0.1388771675722659,-0.3982832061232305,-0.4257844254041528,-0.24109183126376038,0.09205900110137429,0.4398197191087207,0.0014889969409999375,0.1873707020698135,-0.3331672140679662,0.382142407860274,-0.3659052149630749,0.4520680913249972,0.12606269932648714,0.2029886583758638,-0.3692439387176379,0.21795029640158994,0.2969457947941657,0.725013809494976,0.33587947463701756,0.2220936027500283,-0.04668522651368607,0.1986049604269976,-0.16108952300696044,0.6119869991214655,0.15066134940380926,-0.15818178417276615,0.4223621376563711,0.11016245579724163,-0.43868003190866406,-0.17742730129978282,-0.07324773772735661,-0.04069039018765493,0.17662944117484589,0.16672677835986074,0.29929771085148854,0.093825364980578,-0.09441882598043565
Thal_LP_L,0.1610266444168696,-0.17365505943483134,-0.0910280518097082,-0.057837174287493874,0.24532908368645606,0.16976824963329046,0.3166245388831905,0.0017225202590325324,0.09747748311240777,1.0,0.35082751893362346,0.14345265779126276,0.32254208571550075,0.06645466275046391,0.36100098560515376,0.142198680870253,0.08855550367215947,0.06506946058208557,0.07205105107532829,0.1816171538833098,0.09787281067227889,0.3060251477921679,0.5996234181658564,0.36761338591464804,-0.08938370110415429,0.6888512535984329,0.21749174616774153,0.2953453061591305,0.5296773024716963,0.1560529825853131,0.1188931688039548,0.56569491100772,-0.3467946209340345,0.09740896572775143,0.3186996606978088,0.1737915104830457,0.06374313858809401,0.6029990144476405,0.07070318520972896,-0.04748270407778059,0.21034292544451533,0.6003735475906872,0.2631190782191109,0.36061728294259726,0.1674989306461327,0.38738952009468014,0.1481880977716957,0.5291829981252564,0.32719397971353753,-0.017018505029506678,0.2882907662485209,-0.15330628781363936,0.1726989287081718,-0.2710967377253407,0.4400821628526118,0.4904127747369947,-0.15850778117226103,-0.23862158200109965,-0.16352014534503448,0.41660944807820727,0.2321053481484358,0.31037269237467296,0.20689218967991185,0.15258268339192949,-0.016006082333672362,0.08580305047948006,0.25459226221762,-0.08104007829235368,0.5042207480327321,-0.0538667819793959
