,Vermis_6,OFClat_R,Olfactory_R,OFCant_R,Vermis_7,Thal_VL_L,Thal_LP_L,Cuneus_R,Occipital_Mid_L,OFCmed_L,Thal_LGN_R,SupraMarginal_L,Frontal_Sup_2_L,Putamen_R,Temporal_Pole_Sup_R,SupraMarginal_R,Temporal_Pole_Sup_L,Thal_PuM_L,OFCpost_L,Thal_VPL_R,Thal_LGN_L,Cerebellum_7b_L,OFCant_L,Cerebellum_3_R,Thal_VA_R,Cerebellum_6_R,SN_pr_L,Hippocampus_L,Thal_PuM_R,OFCpost_R,Vermis_4_5,Cerebellum_4_5_L,Temporal_Pole_Mid_R,Rectus_R,Red_N_R
Vermis_6,1.0,-0.003945452356834188,0.22538518128067117,0.1073450962100634,0.1718859557797276,0.052075759545969505,-0.04748270407778059,0.04006598929582227,0.11667172383750149,-0.0004598958364362806,-0.0144095401801884,-0.004566833861121137,0.09582210762981869,0.1002001244365933,-0.09188723048153098,0.05497626765636,0.11263493312828818,0.13749996838794315,-0.011881951718847253,0.02641885798034888,0.05557887336712902,0.0029252146586109156,0.13161903870364672,-0.0006880510029328555,0.0014889969409999375,-0.0019164903112367333,0.08911213488325097,0.1410245765290955,0.019124075467956216,0.03406714119600743,-0.10795627633506642,0.07723971233651754,-0.039984682509389254,0.13547101218187635,-0.07341055042080509
OFClat_R,-0.003945452356834188,1.0,0.07904083887842422,0.4625517164513654,-0.1179174877629065,-0.12764339060597343,-0.26570603086063777,0.17699482333765804,-0.09966143099099864,0.24165742459531966,-0.19127579677637946,-0.6005565240076768,0.4991581606772038,0.41791635248641434,0.5361617253852722,-0.5536203913555169,0.13688433805182218,-0.0022014969663038952,0.2796890206928826,-0.12381580220199047,-0.13922882940191186,0.013828817016514332,0.606586856694878,-0.22006126710272392,0.4537391136515896,0.16956960844620655,0.09704196917483404,-0.22119625962797837,-0.2573118736142555,0.4538090650070662,-0.20179922150494153,-0.3811832082689874,0.3091023143246427,0.09246010692442008,0.15625171772602614
Olfactory_R,0.22538518128067117,0.07904083887842422,1.0,0.5085961717591708,0.21716092490223102,0.01159136763660463,-0.10021698943051802,-0.0065187211754315876,-0.30755981331453797,-0.23375477761383467,0.1966612856682687,-0.08167384457213542,0.5982309588188366,0.5127180702185467,-0.3731444419306278,0.14508504132165373,0.15507912626174836,0.35032930614162666,0.12247936088246283,0.12281539143004604,0.3601608676859916,0.15824012945024984,0.4943993235315849,0.37375854784983026,-0.05442676122550333,-0.5062942540914442,0.29047969818339486,0.2948689118846181,-0.08663433733332776,0.1939266732120128,-0.29737533969206753,-0.015945292329840904,-0.04682888890639816,0.8274019028193226,0.2823569832963849
OFCant_R,0.1073450962100634,0.4625517164513654,0.5085961717591708,1.0,0.041535060324956644,0.04732469690556079,-0.17365505943483134,0.05406500692260692,-0.35308812646958115,0.11021017373066996,-0.05103883826707142,-0.3234612557569593,0.730807022059552,0.5786916577951053,0.03573956894319909,-0.191590904680824,0.6176760507318209,0.2200130920134125,0.5579717700429621,-0.05958430539287671,0.1704128593753187,0.17709500058072458,0.8542069790617587,0.3689276980613503,0.3082865295093387,-0.4718529926559904,0.3315187057599986,0.2890397649858189,-0.2323201765822715,0.61881472387149,-0.09765227107032798,-0.055028850056088895,0.11054198959757007,0.59143917050607,0.1511398659239973
Vermis_7,0.1718859557797276,-0.1179174877629065,0.21716092490223102,0.041535060324956644,1.0,0.030718557216737212,-0.057837174287493874,0.06415454025485376,0.162932397787027,-0.1689287576424838,-0.1057868257591654,0.0852535978318896,0.05848158922323044,0.09041315572738101,-0.2805185835775493,0.026200459190126205,-0.11838662580254537,-0.03795298656782154,-0.3269995758734484,0.0365554123706889,-0.05309130268063117,-0.02356342829461864,-0.0176622883427638,0.11159827930928394,-0.09110935003982917,-0.07907649997789967,-0.029526625416703593,0.09431593552219471,-0.014238306064332563,-0.1292025473103676,-0.11425035508816198,0.26176406749891346,-0.15167658512545015,0.18783763718081892,-0.05083110777506684
Thal_VL_L,0.052075759545969505,-0.12764339060597343,0.01159136763660463,0.04732469690556079,0.030718557216737212,1.0,0.5230234299073457,-0.015960889211028638,0.05874227434336207,0.4746702168914302,0.4470334535789611,0.1885703756055985,0.2936296291337394,0.4580637823552906,-0.035504941058792955,0.2271751597161073,0.04485185603587311,0.6234467283164817,0.014106487128057949,0.6764107324267776,0.38330819442904085,-0.08694703809336692,0.07353640802201113,0.24452638296077306,0.44944470759210237,-0.07199882448237255,0.39375103287098756,0.4805742952275599,0.49315990586067654,-0.23437104935548944,0.2623708145602306,0.14281429390746722,-0.1473839660775156,0.04152952242663287,0.4311567369626286
Thal_LP_L,-0.04748270407778059,-0.26570603086063777,-0.10021698943051802,-0.17365505943483134,-0.057837174287493874,0.5230234299073457,1.0,-0.0681955122696449,-0.1354488463606004,0.3154305980634229,0.5873697759977952,0.4820709508150804,0.0538413393469878,0.21749174616774153,0.0017225202590325324,0.5183122093569247,-0.17397294066749097,0.41660944807820727,0.0286552940130952,0.5538805060936732,0.3376453977671235,-0.08938370110415429,-0.14897144333228837,0.3830660275685542,0.09747748311240777,-0.0538667819793959,0.16620723656601075,0.38738952009468014,0.4700671980931764,-0.2710967377253407,0.4127049879713313,0.2736574100617664,-0.12794523725504936,-0.08565470657657898,0.3153846169713158
Cuneus_R,0.04006598929582227,0.17699482333765804,-0.0065187211754315876,0.05406500692260692,0.06415454025485376,-0.015960889211028638,-0.0681955122696449,1.0,0.0012780458787707508,-0.04059120119644216,-0.12299808645509243,-0.1955130948790307,0.08041282455930877,0.06893998599786241,-0.003202498317069959,-0.20724734104915105,-0.12554105727520817,-0.016725375672125783,-0.10696029933970927,-0.01601291976420166,-0.03558204674122706,-0.13461474075570598,0.062196831214873995,-0.1472363658194928,0.15059950868111835,-0.0918381796841225,-0.17155732743425336,-0.1599280762064112,-0.12588399558813979,0.015458275161056441,-0.1457967481906035,-0.12185479316668543,0.0012202952164000584,0.07575283884040464,0.002455109403581899
Occipital_Mid_L,0.11667172383750149,-0.09966143099099864,-0.30755981331453797,-0.35308812646958115,0.162932397787027,0.05874227434336207,-0.1354488463606004,0.0012780458787707508,1.0,-0.08243185479605371,-0.1481979646393907,-0.06570880689416707,-0.3290983206189963,-0.2148712478978724,0.06722068878892386,-0.222132539368977,-0.15738066018367242,-0.17537341029676037,-0.2317541716587224,0.056347169037406095,-0.19778400967919907,0.030600665785118896,-0.32787522536606056,-0.28796001443736463,-0.1511781833288474,0.37765200409283833,-0.1441497366787216,-0.21491932326166682,0.1451979895424908,-0.17414929886652228,-0.100181625332567,0.07470616175530917,0.14843815517365444,-0.31686240714683955,-0.144894201653139
OFCmed_L,-0.0004598958364362806,0.24165742459531966,-0.23375477761383467,0.11021017373066996,-0.1689287576424838,0.4746702168914302,0.3154305980634229,-0.04059120119644216,-0.08243185479605371,1.0,0.12793617775366428,-0.13952392721411097,0.3059052197186746,0.2400686459680351,0.22959746465975225,-0.017471305896708346,0.20698923285757545,0.48295669442426803,0.16031374243890392,0.21810807155827783,0.18713809784624916,-0.19523174638284815,0.22230566918973127,-0.06296434008070824,0.6367677209453461,0.06263918166450208,0.14534002807084243,0.1834057212356017,0.03916996022723694,-0.20466594445953654,0.37073556874911706,-0.22455516456240848,-0.17830047635959206,-0.15239409534627393,0.1781752139076491
Thal_LGN_R,-0.0144095401801884,-0.19127579677637946,0.1966612856682687,-0.05103883826707142,-0.1057868257591654,0.4470334535789611,0.5873697759977952,-0.12299808645509243,-0.1481979646393907,0.12793617775366428,1.0,0.34117428586910326,0.24055853179783776,0.37189704083179925,-0.10895436930112976,0.5456928482417668,-0.2076843483371506,0.5958288221845953,0.06587624325539425,0.6462784889651663,0.48018609423665,-0.06453108403839919,-0.0417331075557536,0.3526553624559686,0.11792643953843278,-0.12152823862525856,0.3672982188010816,0.4885482099487199,0.49590051840269994,-0.09758975383282183,0.19023744802131687,0.09304753920628593,-0.017648516397207714,0.15012459536260878,0.578961856767821
