,Fusiform_R,Rolandic_Oper_L,OFCant_R,Thal_LGN_L,ACC_pre_R,Thal_PuM_R,Occipital_Sup_R,Parietal_Sup_L,N_Acc_R,Lingual_L,Parietal_Inf_R,Thal_LP_L,Olfactory_L,Temporal_Mid_R,Red_N_R,Cingulate_Mid_R,Red_N_L,Calcarine_L,Temporal_Pole_Mid_L,Insula_R,Precuneus_R,Cerebellum_6_L,Paracentral_Lobule_L,Frontal_Med_Orb_L,Thal_IL_R,ACC_sup_L,ACC_sup_R,Precentral_L,Precuneus_L,Thal_LP_R,Temporal_Sup_L,Cerebellum_7b_L,Thal_VL_R,Thal_MDm_L,Heschl_R,Cerebellum_8_R,Cerebellum_10_L,Frontal_Inf_Tri_L,Vermis_3,SupraMarginal_R,OFCant_L,Parietal_Sup_R,OFCmed_R,Frontal_Mid_2_R,Amygdala_L,OFCpost_L,Thal_PuL_R,Cerebellum_9_R,ACC_pre_L,Thal_VA_L,Frontal_Inf_Orb_2_L,Putamen_L,VTA_R,Occipital_Inf_L,Frontal_Inf_Oper_R,Postcentral_R,Temporal_Sup_R,Fusiform_L,SupraMarginal_L,Occipital_Mid_L,Rectus_R,Thal_MDl_L,Cerebellum_Crus2_L,SN_pr_L,Cingulate_Mid_L,OFCpost_R,Thal_LGN_R,Cerebellum_3_L,Thal_VPL_R,Parietal_Inf_L,ParaHippocampal_L,Cuneus_L,Vermis_4_5,Occipital_Sup_L,Cerebellum_4_5_L,Occipital_Inf_R,Cingulate_Post_R,Pallidum_R,SN_pc_L,Cuneus_R,Cerebellum_Crus2_R,VTA_L,Thal_VL_L,Vermis_1_2,Thal_PuL_L,Heschl_L,Vermis_6,Cerebellum_7b_R,Frontal_Inf_Oper_L,Vermis_8,ACC_sub_R,SN_pc_R,Amygdala_R,Thal_MDl_R,Thal_PuA_R,Thal_VA_R,Thal_MGN_R,Temporal_Pole_Sup_L,Thal_PuI_L,Cerebellum_9_L,Frontal_Mid_2_L,Occipital_Mid_R,Olfactory_R,Vermis_10,Supp_Motor_Area_L,Raphe_D,Cerebellum_8_L,Cerebellum_Crus1_L,Temporal_Pole_Sup_R,Precentral_R,OFClat_R,Cerebellum_3_R,Rectus_L,Temporal_Pole_Mid_R,Thal_MGN_L
Fusiform_R,1.0,0.3383403956947766,0.14541840213072824,0.2765823827841328,0.1539774129449844,0.42063402014943496,-0.05442731965040813,-0.03871315112658222,0.2534977281698586,0.19767357281966,0.059528370815032185,0.2321053481484358,0.11880824779996885,0.3478913268473406,0.3575377564840609,0.3304354823344499,0.3524970849563747,0.05785700720620421,0.14027208759171697,0.6133006450403171,0.24291509257387967,0.08823604388425547,0.2571289125169716,-0.12562993004529455,0.3446380487950992,0.28447476927356313,0.557432065634448,0.2851687129560325,0.2639616260411411,0.2876506454005548,-0.06262779502440954,0.03621200285400256,0.4282881437360724,0.3106468887551681,0.07911471342985733,0.2672882713512521,0.018945715248272942,0.09010601861434293,0.05578575854083793,0.14978202687806902,0.2017861250967075,0.08199160454443301,-0.0609516678638661,0.35417158536351473,0.08373863507993211,0.06499303997100113,-0.08495195960089506,0.0664024353094898,0.22481544086911942,0.26151292307307794,0.1662155574753775,0.24565302273922884,0.3643055948082478,-0.05709538934280942,0.4089837556213631,0.11276988963775465,0.5371811988432665,0.10592348141975672,0.1577290033856437,-0.0805032522584656,0.09419523121041817,0.3452352597608989,0.1562116472822878,0.34133091613295796,0.3317801448312594,0.2706746473363248,0.37244302165559495,0.2130449051904935,0.5037052828659118,0.17371891901928557,0.2697904089544757,0.08324097450799346,0.1798108007285748,0.15126061681226627,0.3407153986288647,-0.07941644599961184,0.25179222665420165,0.4547794727959356,0.3293825109276756,-0.007877682993631029,0.040165364553826965,0.1447054544829674,0.17805610759867319,0.12102252970119806,0.014116435925777025,0.30435592636779557,0.03598491349121295,0.27159530772453916,0.09365072311711731,0.15218677593180335,0.2169239166492363,0.3701624440675002,0.4296703036202881,0.14927214876196995,0.3284824905926467,0.11016245579724163,0.1613945402127688,-0.10441913834811097,0.31176992744784354,0.12967470763207653,0.2713707022262784,-0.1646591550912635,0.18705649525452253,0.07861884554578723,0.5071879580486723,0.1827542056447765,0.03573015761741154,0.08426631293390688,0.36005635587488494,0.22804386795521212,0.41216215636240083,0.27710418988224433,0.05650766117253102,0.3168227722211426,0.06737080982423715
Rolandic_Oper_L,0.3383403956947766,1.0,0.37463948742753733,0.560180585390273,0.32080392475427844,0.3704288432106215,0.002567958053816402,-0.05792375253773113,0.6533665896949112,0.16351633762091017,0.23047587738195985,0.41507506328056926,0.5125861554284403,-0.19352886162715427,0.5763539100634774,0.5716940191828883,0.5605026209374021,-0.007266081517911642,0.2988935416095128,0.5353250401430937,0.3177452815781129,-0.041169225656644645,0.34842300706517226,0.2701364882343443,0.23480288851299938,0.3612449906281224,0.4056232393675729,0.20430872253955112,0.14295754526695295,0.35774832719441363,0.37363187560739375,-0.017890173965357376,0.5509046700201289,0.6317336080431015,0.7232939466130309,0.42049486258652163,0.35498307118065214,0.5193973719444857,-0.04603741643387654,0.29450275219759803,0.3955501471230839,0.2721709201674771,0.06221658291277769,0.6041907288759372,0.42634137452576343,0.31498287957087634,0.31201578612208347,0.5598990793570027,0.3094774654545875,0.5697683003719738,0.5812418824295239,0.7019188964133092,0.21061319113777638,-0.18105333994409914,0.5030143704923815,0.435857074869053,-0.012845354436314753,0.42127167660040443,0.16194756608430494,-0.22260629969884432,0.371284509754038,0.7144017191768516,0.1063352616571281,0.665713654344635,0.5158282641980315,0.12851557298596242,0.6090532228311247,0.022313990956028425,0.5893288923779627,0.13088217510078015,0.6477362517251255,0.0646951705618666,0.19561457132681664,0.05745176300949791,0.1601246861658086,0.3026240783892104,0.733283454050157,0.5839925809446265,0.5493041546365597,-0.07967423834559577,0.22167626564015525,0.3772555562916695,0.6009491605051133,-0.18046842099185229,0.4381402742083968,0.593005717141864,0.08879674055538954,-0.006627098292992764,0.700329275410925,-0.15141311503146468,0.12426710917622183,0.3336718481549288,0.4388261043075403,0.3115892003991025,0.13131028177228862,0.34317529378146694,0.43517758749399027,0.2738274320663606,0.5783462363709982,0.5705258647673609,0.7091281693941694,0.12536294471229784,0.4443851361421395,0.26273655080148445,0.5490472181696805,0.5083841207051101,0.3266999095946357,0.19256132912665574,-0.05281035129535728,0.5385397797157351,-0.02935863024174272,0.47172715021827544,0.2728311850080684,0.024006765950535056,0.5145959423481831
OFCant_R,0.14541840213072824,0.37463948742753733,1.0,0.1704128593753187,0.7949089413094563,-0.2323201765822715,-0.08220133034689389,-0.13086324305694438,0.5856737449701577,-0.2204533213715915,-0.14505183505359784,-0.17365505943483134,0.596919653828791,-0.5325554407668048,0.1511398659239973,-0.04001636853758149,0.31105207680675967,-0.4111085067857856,0.13118985615072482,0.2113562096847329,-0.18476166680437234,-0.09829922163868855,-0.04139896757806516,0.2762808388290732,0.10662244101987087,0.6874787354573751,0.5406856387723467,-0.28412977084979274,-0.3296873960821404,-0.04054306490858918,0.3091675054798187,0.17709500058072458,-0.1761018499378415,0.22041533897513582,0.22409856292332261,0.11761223524616186,0.22335294777904616,0.2983396755879623,-0.34267568150040745,-0.191590904680824,0.8542069790617587,0.020173643996737208,0.25486906077975885,0.5824405840448823,0.5497538787585728,0.5579717700429621,0.07500802504969152,0.31676034554616034,0.685165503137485,-0.08904172504482603,0.7336231523636247,0.6762091530643727,-0.04100063453399116,0.09127646661687193,0.038341557126591874,0.05473979672320211,-0.34503062843732585,0.2718917894009761,-0.3234612557569593,-0.35308812646958115,0.59143917050607,0.42373906329730765,0.2069341302140762,0.3315187057599986,-0.051786873234816656,0.61881472387149,-0.05103883826707142,-0.05130898433542953,-0.05958430539287671,-0.3613482785789905,0.4582325399932405,-0.033181830819292074,-0.09765227107032798,0.08151196491738502,-0.055028850056088895,0.2664894462392173,0.23697569301441337,0.43088099837131083,0.4520595363874435,0.05406500692260692,0.3617415312989763,0.3613034017986976,0.04732469690556079,-0.3703646018871496,-0.021596451053676583,0.149404185072508,0.1073450962100634,-0.08364921957769221,0.4742111285994355,-0.25070888823299636,0.6320978466631568,-0.12216415168743205,0.6006852132857345,0.040885304888408545,-0.20709643859663762,0.3082865295093387,0.24024027150563118,0.6176760507318209,0.12697891233710554,0.32295381379096033,0.6947922413714762,0.2587252674418143,0.5085961717591708,0.3378495512958223,0.29394929940928616,0.03780697494331533,0.2405636072681362,0.02167852917199133,0.03573956894319909,0.21539143886385886,0.4625517164513654,0.3689276980613503,0.44654400599070165,0.11054198959757007,0.18342800847576265
Thal_LGN_L,0.2765823827841328,0.560180585390273,0.1704128593753187,1.0,0.19949742894557793,0.29641624299684305,0.019590131565748323,-0.01852343162614328,0.4166943463863819,0.421831300674131,0.2593612050663735,0.3376453977671235,0.42076505708791906,0.028068810345071943,0.4767430499415727,0.47500723217528085,0.34523205838720356,0.05200884856799853,0.32611298143921835,0.42260644472142633,0.3558675002417595,0.05232240861421364,0.4637097770728167,0.12511157853527194,0.03173433464554493,0.2612507949518347,0.3954503514430617,0.36011487192288577,0.17753697556347595,0.3094796811022374,0.4030914170649564,0.15475779344373808,0.5373451831144043,0.45458426338170005,0.5541369018487514,0.0718093742271546,0.16474735638011417,0.35843808910241615,0.012067030821035324,0.37418076158526303,0.26122774496991885,0.2634388763131179,0.04618084956078206,0.41211158389719665,0.40299274142459784,0.2777543507468718,0.04949726264587592,0.26769773852291096,0.15019883650923235,0.4072082495613491,0.3439144026873395,0.46727428985670627,-0.00033558016400805495,-0.19064926596798548,0.340258036343961,0.5002685133966775,0.09566825384715681,0.48383473138249633,0.20806343280194853,-0.19778400967919907,0.38212654412214664,0.45568683283551736,0.02729488523156019,0.44346123436359164,0.505754005696966,-0.010351877371909117,0.48018609423665,0.05991657116177851,0.454098516960249,0.14312395039001566,0.6610875485295384,0.1200624721140938,0.3591535196657122,0.06090791836536982,0.20797483349337761,0.2177712264222278,0.5762197131195261,0.4714198472867108,0.3152170264939426,-0.03558204674122706,0.12893086581563742,0.20966097938028197,0.38330819442904085,-0.0788237762009632,0.11453082959539314,0.44109832143742755,0.05557887336712902,-0.1211228912063335,0.3607212146841868,-0.23845946465454446,0.05412130566430938,0.13820274176655362,0.3415927285637906,0.10204580097801623,0.049448060090614615,0.24891156968995815,0.38367647518990167,0.21384749908484618,0.4044433893378341,0.35511747781129066,0.5011843580929403,0.04211981609826052,0.3601608676859916,0.25298108129980995,0.6196175230826452,0.43485926075513776,0.13253534464991534,0.07850858842792044,-0.07664671623562823,0.6273389015882713,-0.13922882940191186,0.33804983610726824,0.09431062666782308,-0.0412554517903592,0.4271854196470702
ACC_pre_R,0.1539774129449844,0.32080392475427844,0.7949089413094563,0.19949742894557793,1.0,-0.32441882177319353,-0.09941818508022165,-0.22629318398372536,0.4436350544284053,-0.260680892279336,-0.34880376865454615,-0.15850778117226103,0.4405651513853366,-0.36332125195190873,0.27842569597264577,-0.042065408626329966,0.3721364099195075,-0.5262538323943708,0.19598521020272305,0.3672396297936473,-0.36997435378347937,-0.1843468444613388,-0.18878892689750926,0.488443894017701,0.3638364199536041,0.7215939707998699,0.5480707250320535,-0.20236679864905355,-0.5300328568872749,0.08764803833317515,0.16454181162530876,0.0927599166030674,-0.09883318811997575,0.01564492653490195,0.2202580927643945,-0.12019432301532462,0.04279781471896988,0.5093451829042117,-0.4357233108211236,-0.33496563887527625,0.8750174774706204,-0.04940334086954859,0.24962449937711076,0.6776628372467051,0.5390323043014971,0.530480840806383,0.31397666454135487,0.23484647080618026,0.8466776871580206,-0.06478662453750016,0.6544119761418308,0.6085725896593402,0.06733655730055695,0.07857707346421856,0.28957175057478657,-0.11459285559296341,-0.06773540290955395,0.08986535786722331,-0.5686042180240644,-0.29799034999216983,0.44256458428145207,0.28328604786120537,0.24528108568768522,0.3233506687890032,-0.11650668418802551,0.42522431936026606,-0.07533431913417528,-0.16153667133675859,-0.044365267380844405,-0.5502574650046811,0.3807253006548414,-0.21426729789718263,-0.02231698336129717,0.3099870833569627,-0.25591120159605496,0.14457161424170892,0.35570622519416834,0.3771096409943912,0.35862168824605517,0.11247433188745201,0.2842822621679645,0.08050419167837909,0.122027822839397,-0.4722934007852392,0.021187751031494846,0.10056154638231316,0.08500783949196422,0.09795261890351639,0.4709342297847486,-0.3712993329410134,0.526669300841757,-0.3461491369961167,0.7620880438976878,0.10281055828999244,-0.09623332314917038,0.6119869991214655,0.11444612187191822,0.5670573196714959,0.07064453883862977,0.24901859013396352,0.6840356609668278,0.15805745221271728,0.35692061498442323,0.2958972695676564,0.25616931807268134,0.13725039402260641,-0.09054775611846312,-0.039997093535434444,0.1817256078147178,0.1129036722419117,0.6813336519813212,0.11937053490039126,0.38628761930679534,0.04658756597002612,0.053338790670697606
Thal_PuM_R,0.42063402014943496,0.3704288432106215,-0.2323201765822715,0.29641624299684305,-0.32441882177319353,1.0,0.11130653687986991,0.20674988294016938,0.1846771869488626,0.5060833781394015,0.4300360790747985,0.4700671980931764,-0.12833545062032353,0.3787110115282076,0.17011853949505407,0.3635263000512723,0.3009167424641606,0.6136505294612091,0.022310701946826408,0.3296839022767258,0.7121560703703005,-0.0415774075845781,0.2949505025007329,-0.1755891274226355,0.024804093139655755,-0.013364469492524792,0.35496177949053065,0.2517835105739506,0.6124432232107024,0.31432334195082995,0.2709031500389273,0.10446754292952058,0.6785382924425511,0.6273964045580063,0.2276375602335712,0.44875913229479863,-0.001681378355326199,0.004921632616110333,0.5447258642321395,0.47127765569693403,-0.21247642253826166,0.3317983844252506,-0.29469934756213473,-0.050619032771166944,-0.27976735036163103,0.04679268144545539,-0.03453529826097293,0.046811838339863805,-0.25357981125970525,0.5628578944307172,0.037917985884094056,0.18222926519027285,0.3900316878838578,-0.02848001093066689,0.38855154106876005,0.3194380600448371,0.32813083103353036,0.31608004155877223,0.6011370283682299,0.1451979895424908,-0.21935898127746606,0.4403892760854571,-0.19960693444129893,0.28753933621355476,0.44341164111477804,0.006844006655339777,0.49590051840269994,0.3731237438303848,0.7687036285334375,0.4910017768588957,0.2607406996311071,0.42236836873530176,0.39078047033327784,-0.12026470623803698,0.521992315740645,0.06493357670158474,0.3659207435446251,0.09734656986273552,0.24912554334612555,-0.12588399558813979,0.07849854803842973,0.2255092354692757,0.49315990586067654,0.4887804249587921,0.3874234672785719,0.4719956319384833,0.019124075467956216,0.03043509127510351,0.18110896110486682,0.3307755938486187,-0.3587193008762758,0.6654992927862888,-0.14783299616596415,0.2492002301218356,0.3001652012939809,-0.1962089963489114,0.16013013212052749,-0.11654729799971879,0.40504699418112644,0.12609014794791945,0.06322051903892965,-0.21653249871289795,-0.08663433733332776,-0.2147024025998014,0.2658541176592979,0.2983559876934737,0.30621905356597795,0.10142513497227941,0.2547209662428976,0.24617197204897187,-0.2573118736142555,0.4077239108094818,-0.10757399262582541,0.2352488560283803,0.2964171537952546
Occipital_Sup_R,-0.05442731965040813,0.002567958053816402,-0.08220133034689389,0.019590131565748323,-0.09941818508022165,0.11130653687986991,1.0,-0.08252385398529968,-0.0012971376315008161,0.22651955963931525,-0.07030466947670092,-0.002457788894527405,-0.12639112058262872,0.04533153099151097,-0.22002296118217565,-0.07762988683895859,-0.12033631403763716,0.14575416560576543,-0.06186153397727208,-0.05916380483544506,0.011702076330810121,0.08716110083298924,-0.1346837119281703,0.0032983932863763785,-0.143709451481586,0.045015232272896374,0.0034524942848205772,-0.028244349985917943,-0.009713148869711712,0.05532918571815198,0.23206255768601572,0.08711053837631105,0.023274148938053116,0.031386066738967024,-0.08841946848871554,-0.03809409012065354,-0.24350455887467787,-0.01780335972173999,0.1389912019997898,-0.06273158546065685,-0.10236972317916947,0.19830910509494878,-0.17482408612383174,-0.09682030297659823,-0.1427361040854241,0.014265750618764127,0.026279556446950597,-0.07742554137862354,-0.11166337776862822,-0.027553912280313345,0.023616397908331355,-0.009488145789147908,-0.028114370384572155,0.02888991593147761,0.040794443971579365,-0.06971221427316587,0.007486972299368133,0.05281694015689632,0.12386348357112563,-0.012603419811894067,-0.06520779523969251,-0.01558849012289068,0.15890864908297853,-0.028917774914056123,-0.07033440538784605,0.06283688311059844,-0.09317920206596593,0.16346216014503245,0.045601751762176734,-0.007839098378934917,0.023014209812639817,0.009474986570259476,0.1119206505950025,-0.05298311443482775,0.13792415882380346,0.035878912437510756,0.002164299495006126,-0.13921717196200137,-0.1497407525213199,0.15619084668726121,-0.02261737830205425,-0.05387278000976787,-0.06932178523358141,0.13653933157182224,-0.04727885360013574,0.004619960211441729,0.00696883584540719,-0.07669589968623595,0.042784278298441135,0.028908287157413913,-0.10013706328941253,-0.07235588393561829,-0.1500860558336834,-0.019712307894575613,-0.10019871231776784,-0.10547693491788081,-0.12951998504238674,0.12332174534511113,-0.09219977203188169,0.039793910541025865,-0.04444333201645146,0.2297565787432971,-0.06335167817036218,-0.06454978328353554,-0.00401273387886801,-0.15961206306427583,0.04881505513518178,0.038740686600324266,0.05674420986917414,-0.043826335695023165,-0.14620400260287217,-0.044881641115462924,0.08316780853205591,0.15089338844853084,-0.1631087915187324
Parietal_Sup_L,-0.03871315112658222,-0.05792375253773113,-0.13086324305694438,-0.01852343162614328,-0.22629318398372536,0.20674988294016938,-0.08252385398529968,1.0,-0.004602083704563081,0.10497907249190229,0.14508952486705662,0.06374313858809401,-0.09190194886264631,0.1289918078739461,-0.0642763601724962,0.03463866737616282,-0.060645701455417325,0.2755080648999734,-0.09328044709641992,-0.1264962932799684,0.17014838608415964,-0.006428042077456855,0.05291259794028129,-0.13886625441807698,-0.18013304285679063,-0.13251386884052704,-0.0414529027025686,-0.06536335303452921,0.24118818646813694,-0.030526728603715286,0.022250256261184733,0.008201069863677728,0.061062448139258874,0.057162251553350404,-0.015314207998518738,0.17646592459273241,0.09980965200220741,-0.19805869041957952,0.270745218802068,0.17545899374131965,-0.2293932092222877,0.09425423756901896,0.09116749089081187,-0.17007461077347644,-0.19297361825242038,-0.057932021088635106,-0.08037822048999975,-0.07710301333108598,-0.30038901664743517,0.09098294168363422,-0.0765848666890546,-0.0890322502355789,0.0990820765367743,0.11347940199110629,-0.11848253786666645,0.0920103286772456,-0.047243016641228625,0.057382933405807295,0.18744000869630717,0.2931722885530456,-0.09580317863711861,-0.004824875069304002,-0.06043755976009125,-0.04190803657949708,0.11566616993099726,-0.07518668966070083,0.09299036680430162,0.03192433121396735,0.1269977449790458,0.2038700014867755,-0.008857443201480058,0.303792809829249,-0.03529662548687807,-0.037732227903823495,0.18240530586853104,0.010692466236862564,-0.0645173690109648,-0.12478251926494813,-0.05203150517753088,-0.07790550808070525,0.04890369500639398,0.1837420988301465,0.08754009327564347,0.20567497773055593,0.12158424886917985,0.04909919124455268,0.08497045738302521,-0.12238833051674866,-0.09600060889505838,0.2955676140152334,-0.21954657390863777,0.17364267398330874,-0.24638903214887203,0.10191278643658959,0.04678180095131012,-0.24109183126376038,0.10102852724140778,-0.05975749602666703,0.02943187910516743,-0.17591911703760502,-0.13867688912485884,-0.037544269069172166,-0.0758113185108356,-0.10230618704991673,-0.11833527141686706,-0.11324160242818672,0.19706410004027308,0.05384082720576072,-0.060675080149785274,0.025764306275546874,-0.23661512513045593,0.09338401598733784,-0.01936514501501349,0.008021825392240795,0.08521982519309611
N_Acc_R,0.2534977281698586,0.6533665896949112,0.5856737449701577,0.4166943463863819,0.4436350544284053,0.1846771869488626,-0.0012971376315008161,-0.004602083704563081,1.0,0.11579124598244514,0.17593726371701732,0.1188931688039548,0.6068844525656178,-0.3878419918338878,0.29218016137283165,0.3831849153750393,0.46896784335630476,-0.1661745519906933,0.250798942838169,0.3185238336442854,0.14702847062127616,0.0028852435414097113,0.21826636681549294,0.23003666839346235,0.09003953782335052,0.429345497598427,0.4479311289854548,0.007287802836939069,0.0026372787942433675,0.35774697375127174,0.42625313287448124,0.14443196237882647,0.2573679408691415,0.5874565859595436,0.56092793245761,0.4416694338075552,0.38256851909560147,0.2999366171738121,-0.07995024490183408,0.21992807444682827,0.5427401295102224,0.11876016420005917,0.2346584055950425,0.5445563081160817,0.48100363248267775,0.3013368444089994,0.2556282947227578,0.43436244644417954,0.3491554805511485,0.3306051249992624,0.6518969476272127,0.7026340739834802,0.03171700128607906,-0.07435009550592643,0.20270680114163808,0.3893009282869606,-0.23440697496243723,0.41407265095137097,-0.003766538842804741,-0.2093905257774947,0.5649051459658582,0.7105733744551536,0.22660682192189482,0.5433341111007431,0.3730762638710674,0.22481883439566563,0.29445836671839665,0.0421085243317692,0.3624495439574181,-0.014510796485062986,0.6778078389489166,0.05134545511823098,-0.03811265623730655,0.0224695476011899,0.15541922468247096,0.3182885550808553,0.5236957126643356,0.4879623439948299,0.5386207864503952,-0.004101662465760734,0.43787105192702946,0.49912490420123096,0.4274048606564672,-0.16430743730972963,0.3328606210453918,0.5131956591999485,0.24953400714927818,0.04927529498581672,0.6121441827638705,-0.10977914718337055,0.38675973833604993,0.0788993531894704,0.3768350200598052,0.3305914759860926,-0.0946902886268146,0.2331207321929625,0.34076981604516315,0.4159058762665799,0.24023156410724192,0.5267644487304893,0.7465046386031761,0.34716197728549036,0.5980430290093632,0.307804725511494,0.5176998982208102,0.22213180653364792,0.4163775724740638,0.14824743098448548,-0.20741699591289964,0.4916577835249432,0.034326782032754376,0.5064436577604462,0.4905346718381174,0.03704996074061537,0.340232910708509
Lingual_L,0.19767357281966,0.16351633762091017,-0.2204533213715915,0.421831300674131,-0.260680892279336,0.5060833781394015,0.22651955963931525,0.10497907249190229,0.11579124598244514,1.0,0.3164407723436838,0.20689218967991185,-0.1324988190952515,0.33937791404513584,-0.02539979733364675,0.3062731245304969,0.21377574485937725,0.719414491846771,0.024646167679902575,0.09362070352896823,0.44395454113203214,0.2609321633709086,0.14999198893983065,-0.140502439799864,-0.11347776679568879,0.10605180376672126,0.278941208639798,0.13456923207300003,0.4301021903392393,0.35022091815389284,0.6893982805834594,0.1667219277371035,0.4702973493245936,0.36434546987851685,0.05305795184619136,0.19410254527039397,-0.32367982252478505,-0.06224434749829977,0.6987608549264448,0.4936588907771351,-0.2482227369167554,0.20579061358464562,-0.20912417200683686,-0.1487141860147211,-0.3326893660473052,0.06959069298327165,-0.04481330892327589,-0.34883156272426596,-0.34255829647754277,0.24937218297454658,0.07106764899054833,0.13775498650909676,0.4132368213016065,-0.1140244129486044,0.25135857180391835,0.27163392091366306,0.2828183358938415,0.6424265318297223,0.6186000347279222,0.07413148096086349,-0.16998480155281281,0.09244573503563601,-0.09579828960041276,0.2379748956169383,0.39227463679816105,-0.03656575193412242,0.16379499703758787,0.5216925425853338,0.36689380035315355,0.38025848968202,0.5224731702349871,0.2962662088577279,0.6325303421233368,-0.061533187931325124,0.6907723867326643,0.04506904209566425,0.21984166645465122,-0.03300407362009223,0.23968811889690594,-0.203546090249731,-0.23796728022206456,0.17956969552988808,0.19997370914267237,0.6497840391455767,0.16321940166371451,0.3553702473701261,0.12550929241457598,-0.03551803242706781,0.2757080854658983,0.2616563356800216,-0.29013401826583074,0.25901375336782023,-0.15364489279045376,0.1211298234313431,-0.2100044368867426,-0.17742730129978282,-0.05097418381783611,0.249513011588241,0.09173826355580124,-0.07522680691615617,0.026095706305514846,-0.09506645049147774,-0.06691211406511417,-0.12370377873852714,0.26815863976088783,0.044326278601424116,0.323129163714398,-0.08844597310268151,0.13048953904847235,0.2625762855025189,-0.4592879087874708,0.2800190143103541,-0.006231979158446644,0.028181694495869228,-0.07255377013995444
