,Caudate_R,Frontal_Inf_Tri_R,ACC_sub_L,Temporal_Pole_Sup_R,Rectus_L,Fusiform_R,Frontal_Inf_Tri_L,Frontal_Sup_Medial_R,Cerebellum_Crus2_L,N_Acc_L,OFClat_R,Thal_VL_L,Cerebellum_10_R,Supp_Motor_Area_L,SN_pc_L,Postcentral_R,Thal_PuA_R,LC_L,Putamen_L,SupraMarginal_R,Temporal_Sup_R,Temporal_Pole_Sup_L,Cerebellum_3_R,Parietal_Inf_L,Vermis_4_5,Fusiform_L,ACC_pre_L,Frontal_Med_Orb_R,Thal_VA_L,Amygdala_L,Precuneus_L,Vermis_7,SN_pr_R,Calcarine_R,ParaHippocampal_L,Occipital_Mid_L,Cerebellum_Crus1_L,Cerebellum_6_L,Cerebellum_4_5_L,OFCant_R,Cerebellum_7b_L,Vermis_3,Thal_PuI_R,SupraMarginal_L,OFCmed_L,Thal_IL_R,Hippocampus_R,Thal_IL_L,Angular_L,Heschl_R,ACC_sub_R,Cerebellum_8_R,Precuneus_R,Occipital_Sup_R,Cerebellum_Crus1_R,Cingulate_Post_L,Cerebellum_Crus2_R,ACC_sup_R,Cerebellum_7b_R,Cerebellum_3_L,VTA_R,Cuneus_L,Temporal_Mid_R,Vermis_10,SN_pc_R
Caudate_R,1.0,0.5207586818097621,0.35969832645810096,-0.1766770243107678,0.10156147915818721,0.43605266266549364,0.5557762753823751,0.3007705906762469,0.12605158413179385,0.5728823530975048,0.16570193733629707,0.48179194309069606,0.2577523231320784,0.6490159210502928,0.4721769442567528,0.3578780737623874,0.2950664148092527,0.07997445279430114,0.6291324013316362,0.0941405355357819,0.030382891406527415,-0.005292812911675126,0.31695839158804,-0.07026012683101202,0.03683477631560786,0.18556195766294237,0.42402612250362154,0.5069446812024784,0.4344030527023237,0.7097971365715928,-0.025764045118859727,0.20038452139000792,-0.13806873832061067,-0.35801014970889067,0.4694108041096342,-0.24385019303166697,0.11124783018504293,-0.11079858767711039,0.00030059829788347685,0.374564659157829,0.15530426494996377,-0.3697883765025054,0.5757108228820923,-0.07295084570810778,0.1299794300826717,0.16548762130713468,0.6860360538455127,0.2891431769622735,-0.1356140884080812,0.6021632106011452,0.43667379207777135,0.19013738012838421,0.1510342657809257,-0.08982452593828937,0.06109657698534613,0.6458657142209733,0.3742602496597795,0.4525560925822587,0.004784649045922469,-0.10054891938660941,0.04822374203590045,-0.08581096863177906,-0.22034726200491414,0.42711142363605814,0.22651994865844757
Frontal_Inf_Tri_R,0.5207586818097621,1.0,0.5805119988042513,0.21176660109071208,0.31340904983435564,0.29607425032828094,0.6971377505403779,0.6250550138176161,0.29954682411626354,0.39288279426634765,0.5216504298975847,0.3952299330275157,0.10810688539678819,0.5207813144047971,0.44956572906030134,0.02983053015068752,0.1716996775114685,0.34362341573489197,0.5143124072107377,-0.12590892559735473,0.3098499872881827,0.2976321213471048,0.024843364194700186,-0.3604906751331467,0.1329242340355027,0.09414137639375379,0.6097344130763966,0.20984763884373697,0.1847256821160582,0.5184520408356397,-0.4075104079433028,0.0538134691603101,-0.3604872612340869,-0.36878538395683275,0.41440211034606783,-0.2066880134062573,0.0035050831327166714,-0.12267253628377069,-0.19742058599183387,0.46734053138959747,-0.06499594653864532,-0.3419605329833614,0.3733139658226863,-0.32794783895668195,0.5201886811962435,0.5151892047324244,0.6471410700068536,0.2862869582587961,0.033786719836874285,0.31061897347673095,0.31764399714013336,-0.14912164408991466,-0.18717773801276397,-0.07511566368942499,-0.12736282675495122,0.3755097788201694,0.1574343990598404,0.4586011005125051,0.1778288266279413,-0.10508121876543998,0.1596672973120966,-0.2102752683442567,0.0016280713891953168,0.3396546470866763,-0.14683872909807802
ACC_sub_L,0.35969832645810096,0.5805119988042513,1.0,0.274170498999633,0.163474834524765,0.28592208026595806,0.44062559248247235,0.5260352389088455,0.2863766242364709,0.7198632405073084,0.7267678017316003,-0.022862477476116028,0.03825563991296786,0.22522613398616625,0.36510402060303354,-0.3350960265305296,-0.02421492062132268,0.3857101867612021,0.5031043757534415,-0.5199745569079794,0.03731445028289504,0.3983184430345648,0.006794802474182931,-0.6298421175753673,-0.030796827244616656,-0.044775223731369974,0.8033543385824543,0.1293195322206166,-0.25012659545976385,0.47005054954187875,-0.6159983747282736,0.13377389539720033,-0.5756702334083074,-0.5863879124068141,0.15659756988109882,-0.17445935388696276,-0.120074565278067,-0.16769264317777,-0.16110709437865225,0.7103333148021691,0.17924201578089277,-0.47561066427048054,0.1472573017696301,-0.5346612589806033,0.16690310478916545,0.306057056479702,0.3292130512599188,0.03465809437814098,0.04528215507675546,-0.0030769091127135022,0.6923610972181852,-0.1615719365826326,-0.44927794529399834,-0.0498924136447553,-0.01618256578974932,0.12190318190377261,0.18159879018244732,0.48286646462381294,0.1286682355504247,-0.11570252744401952,0.09540166804054896,-0.21753138363923552,-0.2732568493592811,0.32019872360906587,-0.24266837140128458
Temporal_Pole_Sup_R,-0.1766770243107678,0.21176660109071208,0.274170498999633,1.0,-0.12700253805120618,0.36005635587488494,0.07923876391048038,0.157947846737516,-0.07836763324444387,0.08839585835637245,0.5361617253852722,-0.035504941058792955,0.025463721716743076,-0.10971927952932313,0.036701782421726524,-0.39313336605847904,0.06707709962967999,0.13620853552533474,0.04597969098067097,-0.20325631679511882,0.5407722520397886,0.2177810340025262,-0.11316222533349173,-0.0905005573232287,0.28047619929753065,-0.06877011816598141,0.27265992574086545,-0.3386011114763206,-0.030193517095134664,-0.4460782054295368,-0.036924797305592984,-0.2805185835775493,0.08328119163818176,0.3584145949480929,-0.11274814195560605,0.06722068878892386,-0.05850777502656148,-0.17699102901501196,0.1052478212738938,0.03573956894319909,0.06955799214696896,0.19667010623953177,-0.1344838825141045,0.05650087402630773,0.22959746465975225,0.30184394434223794,0.18247888332730033,0.2478375517241154,0.3052009427177435,-0.31010034063849884,-0.16889785776336497,-0.19642765934084497,0.008077972348981761,0.05674420986917414,0.11114881419358555,-0.0788644148207302,-0.2559257926851875,0.3714683868499813,0.17577152213697791,0.16962614309573298,0.4005071135884306,0.2477650665109426,0.4459101228971322,-0.21401809681751502,0.10915288756515835
Rectus_L,0.10156147915818721,0.31340904983435564,0.163474834524765,-0.12700253805120618,1.0,0.05650766117253102,-0.00699292012536583,0.5750640949149883,0.2343019169003123,0.0032087180683779025,0.08199497070997885,0.08736796578371393,0.18940852366228814,0.23366906204715648,0.17544366248649515,0.2723343305127235,-0.16769181822029056,-0.05027556175009503,0.2927756089660041,0.16388829028380955,-0.17172599341667252,0.36562629433301874,0.2697233163747849,-0.012962895105489161,-0.11069642310357906,0.16553126453632505,0.08690366389396084,-0.12917059709196854,0.09673612319172133,0.20581062072818654,-0.06583489994256814,0.10332184606156904,-0.24005130424504115,-0.25910472546784175,0.457615774535761,-0.3026724287741278,0.31631533185225924,0.1025394609515196,-0.036098871620732075,0.44654400599070165,-0.10854305443031098,-0.024767731661917605,0.17414731539494482,-0.08370309828009648,0.20406741306688364,0.1473308016761399,0.2810541049030384,0.19526706007913036,-0.0905205646666231,0.19465174901339213,0.14575718077630107,0.22892313282155463,-0.06301808221566879,0.08316780853205591,0.022430404434428855,0.16791528778751913,0.2357945025745427,0.15447748224557548,0.017243111366630356,0.018606974429162256,-0.0426529861115655,0.009370470666599745,-0.32677071818717995,0.2602328557746251,-0.20624855498383338
Fusiform_R,0.43605266266549364,0.29607425032828094,0.28592208026595806,0.36005635587488494,0.05650766117253102,1.0,0.09010601861434293,0.26274084598997477,0.1562116472822878,0.33258389766746893,0.41216215636240083,0.17805610759867319,0.1087135310596966,0.5071879580486723,0.3293825109276756,0.11276988963775465,0.3284824905926467,0.10486748153624541,0.24565302273922884,0.14978202687806902,0.5371811988432665,-0.10441913834811097,0.27710418988224433,0.17371891901928557,0.1798108007285748,0.10592348141975672,0.22481544086911942,-0.2203525912026558,0.26151292307307794,0.08373863507993211,0.2639616260411411,0.1598596218247203,0.16795381759487774,0.11192143460516531,0.2697904089544757,-0.0805032522584656,0.08426631293390688,0.08823604388425547,0.3407153986288647,0.14541840213072824,0.03621200285400256,0.05578575854083793,0.3747971568398963,0.1577290033856437,-0.045637905113352105,0.3446380487950992,0.5830052710787659,0.27417517923953566,0.22097192875331972,0.07911471342985733,0.2169239166492363,0.2672882713512521,0.24291509257387967,-0.05442731965040813,0.11853196348795281,0.5435682682038377,0.040165364553826965,0.557432065634448,0.27159530772453916,0.2130449051904935,0.3643055948082478,0.08324097450799346,0.3478913268473406,0.07861884554578723,0.3701624440675002
Frontal_Inf_Tri_L,0.5557762753823751,0.6971377505403779,0.44062559248247235,0.07923876391048038,-0.00699292012536583,0.09010601861434293,1.0,0.19268657996278696,0.1855998660193955,0.3573225820569793,0.27394821174524053,0.5996408476526435,0.06703317617426323,0.3001454113150987,0.37150907074008604,-0.01612246772458652,0.17505738242589405,0.260663876682918,0.520962881736815,-0.20657899702462346,0.13215486752920086,0.2185541862468335,0.014802096922746436,-0.2523031310393553,0.291855324750989,0.12089848335792172,0.5316403543569149,0.5330985977762058,0.3556860956746754,0.49496131868814097,-0.373835103745362,0.0682715484743703,-0.40714893603393215,-0.27385975314865496,0.32183274840245263,-0.08529877131227653,-0.08396026149260197,-0.30138169009950627,-0.18036143187902529,0.2983396755879623,-0.057622531180293014,-0.28695198996536675,0.33181618083574577,-0.18695201047180351,0.6379400741336417,0.41627588274717886,0.49920049695702,0.3414766150651205,-0.0615896115190987,0.4097597281101698,0.13404829041598287,-0.1379896255865786,-0.09243013414313057,-0.01780335972173999,-0.16063249265689236,0.28047430181444255,0.09254171702942617,0.26048184392415397,0.06894285851964238,-0.1122158612518351,0.20428620512081358,-0.17817386937407245,-0.08199231168024759,0.2696430499347266,-0.05975893165221589
Frontal_Sup_Medial_R,0.3007705906762469,0.6250550138176161,0.5260352389088455,0.157947846737516,0.5750640949149883,0.26274084598997477,0.19268657996278696,1.0,0.2627721570811744,0.36054760563441574,0.48181590927974693,0.057520929021409525,0.3297155797238864,0.3935456308336901,0.4290316965496577,0.2671564510598915,-0.10171492203026343,-0.0496122903952417,0.5170992832442408,0.1178667139945141,-0.04311939881889836,0.47507617330761825,0.41718924359237036,-0.18479338926650815,-0.03454274156402562,0.27409714485591413,0.5509366563888253,-0.07103170389723128,0.0400524456135152,0.40909226052364817,-0.11576615859314952,-0.02261531735549699,-0.296571706076669,-0.3235949716778833,0.5277052040463209,-0.39349622429283504,0.12965120388693244,0.03773756838342478,-0.02132610425980839,0.6871163637536591,0.034719991767923626,-0.1488838374435383,0.31481471461010235,-0.2435490438055556,0.22781670615486713,0.21600280999448904,0.5317011291789333,0.2760532111564678,-0.011168903225225282,0.24910483285620372,0.3841841574554188,0.13293824545635904,0.01761148394799487,-0.09701455501462831,-0.007679056975131564,0.3780863926824075,0.27936737684186175,0.5890334894173583,-0.016182780405766574,-0.013467655036614862,0.02254480089404851,0.07822230746294724,-0.26991112065029293,0.20175617715613894,-0.07596254313442104
Cerebellum_Crus2_L,0.12605158413179385,0.29954682411626354,0.2863766242364709,-0.07836763324444387,0.2343019169003123,0.1562116472822878,0.1855998660193955,0.2627721570811744,1.0,0.144718662776296,0.25069885827603544,-0.15606895930465603,-0.15372648786845797,0.22588090827928128,0.15763140086992142,-0.08538782262651762,0.04706169892698313,0.2547036033022965,0.10996299655643739,-0.1686363940580507,0.11457396265615569,0.052355540429921646,-0.09234781571745226,-0.21251825234318222,-0.11814575424570964,-0.11899880878748169,0.2039786926124629,-0.08713360319794085,-0.16994318572104122,0.22118882630416653,-0.22885944318923004,0.24290792101689002,-0.21224466551325719,-0.29771536117292235,0.07786654157264898,-0.09860712015271735,0.10351908549013858,0.03323794218834928,-0.18152006519330258,0.2069341302140762,0.045742010096768884,-0.2484920851650488,0.09514499012987088,-0.21073403420576495,0.0347256611447642,0.14833756834613462,0.15320534771740607,-0.1269773645121905,0.09855697393160112,0.04496826058609487,0.3426721121095456,-0.04849016556809084,-0.2374480671927445,0.15890864908297853,-0.06533373292823758,0.15906449063888448,0.022773886801834845,0.044790507906543424,0.11469774409907998,-0.07111619079253288,-0.0942803145768244,-0.3060429013490896,-0.044893877150602626,0.15900977735930724,-0.30896770640439297
N_Acc_L,0.5728823530975048,0.39288279426634765,0.7198632405073084,0.08839585835637245,0.0032087180683779025,0.33258389766746893,0.3573225820569793,0.36054760563441574,0.144718662776296,1.0,0.3606043150286945,0.11740374712264953,0.2590534174678725,0.36070811490992266,0.5409555572738071,-0.02666441384332395,-0.006528793122330487,0.16392580982569244,0.7034751543965833,-0.22497153562269737,-0.1724772008681993,0.44031620692123397,0.34175678195584824,-0.36053381413855906,0.0217961928295089,0.230717307389365,0.6702165753903201,0.3727025304442999,0.012679859144960188,0.5012710475643396,-0.267364916544198,0.20849505641782284,-0.4167647110155017,-0.44596280711033476,0.32768206294166075,-0.17525862886101506,-0.10491759709336633,-0.12511912696200664,0.12775447341162355,0.6741537094859813,0.3272092916669784,-0.30956205697682015,0.32172769967137504,-0.20349709535152857,-0.09296496077151832,0.012794151933557901,0.41005795379289167,0.14576348550969895,-0.0927044708503002,0.20038546407621982,0.692184254163371,0.0774898737272973,-0.08091093450752833,-0.044608174299609823,0.17936729558778453,0.2919725649907748,0.25908805515668354,0.5814756179421662,-0.020569765711733894,0.068104170864844,0.11952160618523577,-0.005352661227508561,-0.3536098987316041,0.32925922339455854,0.09098119461936187
