,ACC_sup_R,Fusiform_R,Cerebellum_7b_L,Thal_PuM_L,Thal_PuA_R,Vermis_3,Cerebellum_10_L,Vermis_1_2,Temporal_Pole_Mid_L,Thal_PuI_L,Raphe_D,Cerebellum_4_5_L,Temporal_Pole_Sup_R,LC_L,Frontal_Inf_Tri_R
ACC_sup_R,1.0,0.557432065634448,0.34735077344549853,0.26297236075315555,0.008262569558730837,0.14590216619313792,-0.027569231728884876,0.09311002807762819,0.09243367814357775,0.3054452148457938,0.19930934056717317,0.38077090636929256,0.3714683868499813,-0.05520355197001219,0.4586011005125051
Fusiform_R,0.557432065634448,1.0,0.03621200285400256,0.13965858156092692,0.3284824905926467,0.05578575854083793,0.018945715248272942,0.12102252970119806,0.14027208759171697,0.31176992744784354,0.1827542056447765,0.3407153986288647,0.36005635587488494,0.10486748153624541,0.29607425032828094
Cerebellum_7b_L,0.34735077344549853,0.03621200285400256,1.0,-0.14130620393908203,-0.17097329921691987,0.07470136414351843,-0.19711008700613875,0.0569917500496388,-0.24088757787169476,-0.029824480527968187,-0.09920766508874673,0.19175476235300068,0.06955799214696896,-0.01768304919735632,-0.06499594653864532
Thal_PuM_L,0.26297236075315555,0.13965858156092692,-0.14130620393908203,1.0,0.23328499461200702,-0.10594749436127437,0.394624348288808,-0.2773120181725248,0.3404803741081098,0.4514136030666893,0.5960798462054611,-0.09459172921609982,-0.13681573353411958,-0.10573007753213602,0.5152914485465974
Thal_PuA_R,0.008262569558730837,0.3284824905926467,-0.17097329921691987,0.23328499461200702,1.0,-0.24841473079552334,0.17277741647780123,-0.27259457263416237,0.029538593947905683,0.1868145813003317,0.35692386545815025,-0.2471518072182976,0.06707709962967999,0.12735773361495392,0.1716996775114685
Vermis_3,0.14590216619313792,0.05578575854083793,0.07470136414351843,-0.10594749436127437,-0.24841473079552334,1.0,-0.25244292284281405,0.9080917873364923,-0.04961764812477509,0.09562581288175492,-0.16263586217309947,0.7538783647628875,0.19667010623953177,-0.4626036743662976,-0.3419605329833614
Cerebellum_10_L,-0.027569231728884876,0.018945715248272942,-0.19711008700613875,0.394624348288808,0.17277741647780123,-0.25244292284281405,1.0,-0.34212095408035703,0.13639234037814033,0.16536565698931094,0.226591129431594,-0.04884324397009795,-0.5687812609859938,-0.3177425918212768,0.04037146997700667
Vermis_1_2,0.09311002807762819,0.12102252970119806,0.0569917500496388,-0.2773120181725248,-0.27259457263416237,0.9080917873364923,-0.34212095408035703,1.0,-0.11405425501833466,-0.043256156915672174,-0.2877212413744438,0.7540103496665195,0.2587793574059458,-0.3643782533496064,-0.41466643805769265
Temporal_Pole_Mid_L,0.09243367814357775,0.14027208759171697,-0.24088757787169476,0.3404803741081098,0.029538593947905683,-0.04961764812477509,0.13639234037814033,-0.11405425501833466,1.0,0.24099196336474787,0.1983679312890601,-0.00744516512924808,-0.08060822053067081,-0.08893929541865228,0.33540129064305607
Thal_PuI_L,0.3054452148457938,0.31176992744784354,-0.029824480527968187,0.4514136030666893,0.1868145813003317,0.09562581288175492,0.16536565698931094,-0.043256156915672174,0.24099196336474787,1.0,0.33385907210745,0.2031706061544852,0.15253407557557863,-0.21257043426894878,0.2212254824259701
Raphe_D,0.19930934056717317,0.1827542056447765,-0.09920766508874673,0.5960798462054611,0.35692386545815025,-0.16263586217309947,0.226591129431594,-0.2877212413744438,0.1983679312890601,0.33385907210745,1.0,-0.17661488736933004,0.07617988676658545,-0.0703763114894974,0.27300290499643604
Cerebellum_4_5_L,0.38077090636929256,0.3407153986288647,0.19175476235300068,-0.09459172921609982,-0.2471518072182976,0.7538783647628875,-0.04884324397009795,0.7540103496665195,-0.00744516512924808,0.2031706061544852,-0.17661488736933004,1.0,0.1052478212738938,-0.3811514541408045,-0.19742058599183387
Temporal_Pole_Sup_R,0.3714683868499813,0.36005635587488494,0.06955799214696896,-0.13681573353411958,0.06707709962967999,0.19667010623953177,-0.5687812609859938,0.2587793574059458,-0.08060822053067081,0.15253407557557863,0.07617988676658545,0.1052478212738938,1.0,0.13620853552533474,0.21176660109071208
LC_L,-0.05520355197001219,0.10486748153624541,-0.01768304919735632,-0.10573007753213602,0.12735773361495392,-0.4626036743662976,-0.3177425918212768,-0.3643782533496064,-0.08893929541865228,-0.21257043426894878,-0.0703763114894974,-0.3811514541408045,0.13620853552533474,1.0,0.34362341573489197
Frontal_Inf_Tri_R,0.4586011005125051,0.29607425032828094,-0.06499594653864532,0.5152914485465974,0.1716996775114685,-0.3419605329833614,0.04037146997700667,-0.41466643805769265,0.33540129064305607,0.2212254824259701,0.27300290499643604,-0.19742058599183387,0.21176660109071208,0.34362341573489197,1.0
