,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_MDm_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7
SN_pr_L,1.0,0.10298456834185812,0.13495552898576488,0.12575723987333684,-0.11645277246021178,0.009069777183697843,0.07475678366889454,0.1533136916181228,0.03935739872405639,0.4059066699986418,0.32007957768891804,0.12202855035577236,0.4130077475814988,0.3856292482378259,0.44144345547137764,0.10715515312942557,0.06751717034594046,0.40397815808376075,0.208696295911856,0.35673742162623445,-0.03631018793826308,0.14786583815866097,0.13293054983575364,0.37096367598676033,0.0844689572453951
Thal_MDl_R,0.10298456834185812,1.0,0.07139840446507517,0.26433038518137675,0.23662099331158157,0.4168236595671701,0.06759356109966207,0.19908864434953658,0.12439685283890951,0.3962631999132657,-0.043406287586302814,0.49044479881128394,0.36190476458088194,0.37470709651197404,0.03491311182529413,-0.06706799993708246,0.11696488945704844,0.3105183282820045,0.7281954311003181,0.33311329002400486,0.17980111541439694,0.28785773482463184,0.17132407531457589,0.3544383277388433,-0.09597141982478927
OFCpost_R,0.13495552898576488,0.07139840446507517,1.0,0.1147112788966611,0.0015892338567490784,0.08633417516490027,0.05509291702098163,0.15646550146466773,-0.0925548811223032,0.03221293420188865,0.2809708542443981,0.03355180769034733,0.08187132877445388,0.27490760043741996,0.18285558442220784,0.011881190049184158,0.10225482378361153,0.41518991091357255,0.0156572201154038,0.23874896344288224,0.28999443329816404,-0.049639966122164814,0.24434597601768673,0.2780075101119555,0.1616586145665921
Temporal_Sup_R,0.12575723987333684,0.26433038518137675,0.1147112788966611,1.0,-0.04858917739207216,0.7251712379828547,0.4025694972110705,0.39903288967286993,0.40240582367641436,0.576092687810005,-0.3381403890896927,0.30283106420817824,0.3652022463602957,0.5021149466998825,-0.2854353809105906,0.09844216119419813,-0.3543897795415661,0.20132186820723133,0.3751947290716234,0.3134232728587876,0.43092056377816784,0.24101635926280207,-0.39400927937305674,0.21647944070777006,-0.42912328019774515
OFClat_L,-0.11645277246021178,0.23662099331158157,0.0015892338567490784,-0.04858917739207216,1.0,-0.05689658354865576,0.09077472722774861,0.006080607098762973,0.11203641750964678,0.19575998820505913,-0.12095780363223356,0.30013274068687906,-0.027284760753906716,-0.07360425520822268,-0.23093154938833202,-0.3528211340082595,-0.06607462270850406,0.01172026869964884,0.32424667059226064,-0.046548483830835666,0.06654763067864153,0.37555496752148687,-0.02402786718287673,-0.094435456962012,-0.25896853539079673
Heschl_R,0.009069777183697843,0.4168236595671701,0.08633417516490027,0.7251712379828547,-0.05689658354865576,1.0,0.06008212680471892,0.13381691607116317,0.009637517738574873,0.35339634216504817,-0.23255228712146858,0.3795208317410504,0.3811897683896185,0.319782002925748,-0.24061974100405475,0.0011747378969009154,-0.17312420584852634,0.25669006967586006,0.45282723099958194,0.1803522506381565,0.15544797943541752,0.05670952378198266,-0.11150648391528578,0.1841792447231933,-0.07963755624002507
Cuneus_L,0.07475678366889454,0.06759356109966207,0.05509291702098163,0.4025694972110705,0.09077472722774861,0.06008212680471892,1.0,0.4671712316429457,0.4832021857111025,0.34536127669539973,-0.22773779384206805,0.19133683543188756,-0.03857376149269588,0.3326066807781987,-0.25617088849469266,0.1391071192969642,-0.1955782005036715,0.057419259804036796,0.16052984784790242,0.31598998185324606,0.5927750532299213,0.44019045293160913,-0.23224345031788615,0.18220516700881675,-0.5478919900913192
Occipital_Inf_R,0.1533136916181228,0.19908864434953658,0.15646550146466773,0.39903288967286993,0.006080607098762973,0.13381691607116317,0.4671712316429457,1.0,0.4283450547351208,0.2692570894825845,0.021452882994714626,0.11880385354487417,-0.01493516700470516,0.4664641124481754,0.03831184517747689,0.08727115545352698,-0.026494682807086906,0.16688144549996947,0.1266546977172338,0.4062451193402897,0.3754970458251959,0.3325762183164275,-0.04984780117995273,0.3026728549723673,-0.2941656581292539
Temporal_Inf_R,0.03935739872405639,0.12439685283890951,-0.0925548811223032,0.40240582367641436,0.11203641750964678,0.009637517738574873,0.4832021857111025,0.4283450547351208,1.0,0.31901114483151327,-0.20223562711689425,-0.024408787149081092,-0.017129291155349936,0.23987692173533245,-0.0747520923430093,-0.027251069271434857,-0.1881676187205145,-0.2196746868440879,0.20638746022330887,0.22662833346457084,0.32686084604744126,0.47984360393449327,-0.37455539241948865,0.12147583581557217,-0.517828615432174
SN_pr_R,0.4059066699986418,0.3962631999132657,0.03221293420188865,0.576092687810005,0.19575998820505913,0.35339634216504817,0.34536127669539973,0.2692570894825845,0.31901114483151327,1.0,-0.215453553527689,0.6417986626610959,0.5995624012624989,0.47979199782715004,-0.025895733908229024,-0.11415858793861307,-0.18650400139588597,0.43430220387042767,0.686135299767975,0.4066476312757686,0.33654949253309524,0.4170856016365844,-0.19820262657319113,0.32395274776850413,-0.4777408657638713
