,SN_pc_R,Temporal_Pole_Sup_R,Amygdala_L,Cerebellum_9_L,N_Acc_R,Thal_PuI_L,Postcentral_R,Cerebellum_4_5_L,Cerebellum_4_5_R,Pallidum_R
SN_pc_R,1.0,-0.0024080180659878303,0.0524470192874087,0.21210916158252963,0.08764258979197598,0.18979768151765725,0.4861015000307138,0.3089463525155454,0.2801105655276365,0.21250536024367997
Temporal_Pole_Sup_R,-0.0024080180659878303,1.0,-0.06022077726287198,0.12818859069130836,0.24876432227109946,0.2987422353235839,0.17027251609327104,0.23493053288979374,-0.07583716685114045,0.0636250841333422
Amygdala_L,0.0524470192874087,-0.06022077726287198,1.0,-0.017058681512211446,0.04048071880152046,-0.03905209701258562,0.04143772758263848,-0.020991577003820455,0.10734748377787069,0.012789680228347705
Cerebellum_9_L,0.21210916158252963,0.12818859069130836,-0.017058681512211446,1.0,0.30803229845094515,0.6474489705498838,0.6441151900337687,0.25036889504742876,0.38342564114837996,-0.05043661550340777
N_Acc_R,0.08764258979197598,0.24876432227109946,0.04048071880152046,0.30803229845094515,1.0,0.2324699598477387,0.21842482621106912,0.12663358985535134,0.13641720361384801,-0.029296880658341712
Thal_PuI_L,0.18979768151765725,0.2987422353235839,-0.03905209701258562,0.6474489705498838,0.2324699598477387,1.0,0.7211785999879617,0.6217684072545422,0.6099827706438199,0.08335854644735258
Postcentral_R,0.4861015000307138,0.17027251609327104,0.04143772758263848,0.6441151900337687,0.21842482621106912,0.7211785999879617,1.0,0.6806781890336073,0.7167482583452103,0.23836690124097265
Cerebellum_4_5_L,0.3089463525155454,0.23493053288979374,-0.020991577003820455,0.25036889504742876,0.12663358985535134,0.6217684072545422,0.6806781890336073,1.0,0.7728398681193407,0.02727601401207016
Cerebellum_4_5_R,0.2801105655276365,-0.07583716685114045,0.10734748377787069,0.38342564114837996,0.13641720361384801,0.6099827706438199,0.7167482583452103,0.7728398681193407,1.0,0.12093583497887393
Pallidum_R,0.21250536024367997,0.0636250841333422,0.012789680228347705,-0.05043661550340777,-0.029296880658341712,0.08335854644735258,0.23836690124097265,0.02727601401207016,0.12093583497887393,1.0
