,Putamen_L,Insula_L,Precuneus_L,Cerebellum_4_5_R,Thal_PuA_L,ACC_sup_L,Frontal_Sup_Medial_L,Red_N_L,N_Acc_R,Cingulate_Mid_L,Precuneus_R,SupraMarginal_L,Thal_MDm_R,Thal_VA_L,Cerebellum_Crus1_L,Cerebellum_10_R,Thal_IL_L,Occipital_Inf_L,Thal_VA_R,Heschl_R,Temporal_Pole_Sup_L,ParaHippocampal_R,Angular_R,Olfactory_L,Lingual_L,Cerebellum_3_L,Frontal_Inf_Tri_R,Thal_VL_R,Rolandic_Oper_R,Thal_VL_L,Thal_VPL_R,Thal_MGN_R,Thal_LP_L,Cerebellum_9_L,Cuneus_R,Putamen_R,Hippocampus_L,OFCpost_L,SN_pr_R,Amygdala_L,VTA_L,Parietal_Sup_R,Cerebellum_9_R,Thal_MDl_R,Caudate_R,Hippocampus_R,Insula_R,Calcarine_R,Rectus_R,OFCant_R,Cerebellum_8_L,Temporal_Sup_L,Olfactory_R,Rolandic_Oper_L,Frontal_Med_Orb_R,Temporal_Sup_R,SN_pr_L,ParaHippocampal_L,Vermis_6,Rectus_L,Thal_PuM_L,Supp_Motor_Area_R,Frontal_Inf_Oper_R,Parietal_Inf_L,Cerebellum_8_R,Cerebellum_Crus1_R,OFClat_R,Cerebellum_3_R,VTA_R,Parietal_Inf_R,OFCant_L,Raphe_M,Cuneus_L,Temporal_Inf_L,Temporal_Mid_L,Cerebellum_6_R,Frontal_Inf_Orb_2_L,SN_pc_R,Frontal_Sup_2_R,Cerebellum_6_L,Precentral_L,Temporal_Pole_Sup_R,Cingulate_Mid_R,Cerebellum_4_5_L,Vermis_1_2,Vermis_4_5,Cerebellum_7b_L,Occipital_Inf_R,Red_N_R,OFCpost_R,Thal_AV_L,Heschl_L,Frontal_Sup_Medial_R,Frontal_Inf_Orb_2_R,Temporal_Pole_Mid_R,Occipital_Sup_L,Thal_PuL_L,SN_pc_L,Vermis_10,Pallidum_L,Frontal_Inf_Oper_L,Raphe_D,Postcentral_L,ACC_pre_L,Thal_PuI_L
Putamen_L,1.0,0.6742201104449401,0.2350157518967273,0.3598644761340754,0.08000583053761774,0.5063496280810239,0.4191935071652895,0.2605267848206968,-0.05250678514088771,0.30308344282008337,0.17838038884879995,0.31186634021719034,0.3226874012569076,0.427904628586681,-0.0185945685938361,0.1818416656801241,0.6600835962188242,-0.0582116085705866,0.35564748910433713,0.21420572244676925,0.07502982538831303,0.15245998330714453,-0.0006779627220807421,0.12210685041174418,0.5200237879089071,0.4583895784248412,0.024034485359978448,0.35933019204320027,0.058887515529754506,0.5902360357524885,0.2589370289333834,0.00904514092193349,-0.024721907616608123,-0.007539612035854348,-0.012858403501614999,0.38691924834139807,0.3959657054624451,-0.22760917821233145,0.19152258789757337,-0.052404422385021014,0.23201215401145195,0.1186870398847533,0.273875463554525,0.4275831618106362,0.4613504188574244,0.2859409786007832,0.022096143329625017,0.2849252592035363,0.04697100827909669,0.014436845930846418,0.18008939602692473,0.596693532967704,0.15946709835106695,0.6006624072798564,0.03982330358158312,-0.03896516434070707,-0.06240877674335724,0.49225586878427796,-0.11601121602390987,0.16061519826097562,0.30029466987628384,0.24672304772753847,0.045478698313386974,0.19469238797748467,0.2537288966509711,-0.10619448716986503,0.17959837236292628,0.2902852603165234,-0.055341185072406214,0.04543624718879385,-0.18758876846016906,0.2697254352018534,-0.13066979059446812,-0.20755218776592446,0.3902297280240541,0.10937545283976816,0.3358007909851685,0.04965311084753901,0.370176522680857,0.43524764932630533,0.43310747124693943,0.14384491371392058,0.28713156613099255,0.4841096684716816,0.27399703046395535,0.32156452708129035,-0.13788937084862976,-0.0297988791105127,0.1414055259760549,0.12127176299074323,0.4632046390553978,0.6809399219962805,0.2646627722093592,0.11065007010303805,0.08816746936299694,0.037778080784746176,0.16862727083130266,-0.09159261101778847,0.09843529433229281,0.5517862470655257,0.5120456169765959,0.05595570740702632,0.48672285356483413,-0.109928981014409,0.4371982047923873
Insula_L,0.6742201104449401,1.0,0.1619955916964913,0.19948876545967004,0.35327846330150176,0.5072141471547782,0.5341325522563014,0.2953456324037426,0.023311198294615094,0.24319720403293127,0.08558363929416456,0.6043610624124033,-0.16292969298178092,-0.06171180620406789,-0.015861592724742364,0.3221409923011808,0.4542498708059747,0.11126263187480101,0.2963251806066623,-0.11150648391528578,0.11386943003960538,-0.2007904957421054,-0.1053679624284454,-0.0470279599036989,0.4019834618688017,0.5072777251498043,-0.1879715038879409,0.12610344879620125,-0.17522566591211827,0.37892874883148764,-0.09358577592334498,-0.23799048445567977,0.11561126022048508,0.23849141364056656,-0.14563127240733037,0.2714677927067878,0.5420552413285786,-0.23271781185931048,-0.19820262657319113,-0.10570345743898749,0.4392169473537346,0.19128544195495356,0.33440021584876817,0.17132407531457589,0.4768789926506267,0.04336788208256131,-0.3796105905321067,0.17451460801236965,0.21167152549255483,0.33563099989907036,0.28424435897100536,0.8132724787888809,0.11306930923909625,0.8479459355819515,-0.2605935384352734,-0.39400927937305674,0.13293054983575364,0.7367785376162583,0.33006498278792185,0.3872010526562729,0.38372340559594087,0.2287522840626844,-0.22533358517676827,0.2145427268046456,0.2071343999877829,-0.11592496936187029,0.6454738997126703,0.05913029487615146,-0.288916235131155,-0.0038708428377837237,-0.14985686632889,0.23641943247672015,-0.23224345031788615,0.10164122992784629,0.7607681215787386,-0.2904398105405466,0.4909791421186401,-0.0685955594294666,0.3918750371131113,0.5705603643013498,0.481498431899536,-0.01650154233296742,0.23265752996499228,0.36872690901988614,0.1947570060428377,0.18957164067389587,0.3459183580432641,-0.04984780117995273,-0.1509703258624955,0.24434597601768673,0.01762681166622273,0.6853191991614536,0.3273480951111828,-0.1836263523999105,0.25151262606327296,0.17924913101263265,0.2534763064587826,-0.04644726626962127,0.3379813183663835,0.6777968473281334,0.8713206136823162,-0.09418277664368384,0.5998729628530657,0.10797201629085375,0.42617860743359337
Precuneus_L,0.2350157518967273,0.1619955916964913,1.0,0.6765214984719634,0.472720119062205,0.5171160909336763,0.6805745671541062,0.39122547707011657,0.172997279923322,0.7761079634351691,0.9510240381563756,0.6462570487470367,0.27080193077254777,0.3424049548256425,0.2780883420681157,-0.11340725839007774,0.23528649847304842,-0.05047560105335349,0.11191542774161806,0.3483137726278205,0.21333168047996728,0.6934186298039864,0.7546533504972964,-0.04922782528077292,0.39872185307131075,0.7898610844401242,0.5175419835110147,0.47774412201339017,0.2088088851877514,0.6055380852985067,0.6888535469744621,0.46081035143849797,0.40741206275938396,0.5672149360639591,0.5089928374822971,0.14416932805812557,0.7981048872334947,0.25053235870990326,0.5110000675576668,-0.046428539901250586,0.15012436279109206,0.8390850058775884,0.620010480922119,0.36963225982087927,0.46439162444579307,0.8023013200540946,0.2586105418884785,0.6191415019398622,0.3015463124652024,0.08368121531934285,0.6505209539592448,0.15882543337152877,-0.040278670306555533,0.1579674321866254,0.1059659025194896,0.5850938865354931,0.3677455490050963,0.5884910478133433,-0.049833148506854795,0.5389978648538587,0.7800499155590301,0.812479359515555,0.503547003668441,0.612370886877263,0.6010395774575558,0.5604319489794384,-0.02650113393652714,0.8059147476980152,0.35217348009169297,0.49699890174270595,0.13436935723530793,0.49440363697203316,0.5178160592601213,0.2968934420645291,0.21293767754254775,0.19038536688207955,0.12933314668562298,0.43470335488692974,0.7083258653701373,0.1753249376945355,0.8406643471772431,0.2638297110897775,0.8515025158112473,0.7348790662814088,0.686282399467479,0.7983146298372279,-0.09019192857447143,0.4635232422527393,0.5039362147773662,0.17832372956700407,0.21359268048754088,0.4642681885190404,0.6370289236349274,0.35140489346806725,0.018674501086313935,0.5284143998584389,0.6243686974587997,0.500643706029987,0.43615485027739426,0.22971675738524994,0.039871293850975806,0.4298085039555219,0.8043996482452738,-0.06764060351899913,0.6926046169445399
Cerebellum_4_5_R,0.3598644761340754,0.19948876545967004,0.6765214984719634,1.0,0.39057003575251636,0.46287055714094794,0.5608126670340882,0.23148305455120075,0.13641720361384801,0.6412248841723924,0.6345670521794489,0.4672650491302217,0.29055977637601477,0.4586585264027792,0.10850761718676664,-0.18155536219745458,0.32269363524064915,0.10028056206536698,0.0752582209124657,0.651615445009721,0.04669596555332828,0.6373424990474713,0.49949187575059356,-0.046934877549289274,0.5465787943161755,0.7105576645333742,0.6570601830998016,0.5277633088517554,0.49541310402708977,0.5667709410642934,0.6432332701534973,0.4250881628865987,0.37008308571955484,0.38342564114837996,0.3520515169358493,0.5045944414881051,0.5713204829752557,0.30351901059962355,0.31262984605408384,0.10734748377787069,0.09957342288688231,0.6641112293236011,0.4882052629436648,0.384382547272633,0.3989557146107928,0.6349711021186283,0.5464605548779257,0.6977920516046895,0.37009772177889505,0.1827939676887154,0.33266459430045797,0.1756971952913287,-0.06618407512799293,0.15237921324423315,0.3197227233752423,0.6915921209124903,0.10451144770121336,0.47879312496373966,-0.29769344954468874,0.47784366455928345,0.7280035802388863,0.6450460789939224,0.6464033009632274,0.5685300162066211,0.3104460662425994,0.5258639155838251,-0.06510634853253593,0.768843914967262,0.35886085652229255,0.5372322486194523,0.24214097603529347,0.4802531997233533,0.3101348680735597,0.2117304380243064,0.10140734376366733,0.6030275007962156,0.13577665960484875,0.2801105655276365,0.6648928141280428,0.14181818368401655,0.5978132069900883,-0.07583716685114045,0.673546232089271,0.7728398681193407,0.346991443308511,0.7864855535420656,-0.21457192489721144,0.3577209125080875,0.42799385326613004,0.2823229955336804,0.2568064250866429,0.42766780621840683,0.6315796844426885,0.07936363562958312,-0.036627566923899915,0.347870884345948,0.5003451406804208,0.3233436129868573,0.20827154516762406,0.10285290337050512,-0.03499670177640289,0.39847386199546847,0.6052418416047566,0.08325049077615913,0.6099827706438199
Thal_PuA_L,0.08000583053761774,0.35327846330150176,0.472720119062205,0.39057003575251636,1.0,0.4870185950620555,0.49176029864982435,0.1630221370561788,0.2198857348171543,0.45640889602417395,0.4290555776741509,0.5907568064870083,-0.1585358397426627,-0.13534972740363563,0.07741221510937109,0.0546369815057769,0.0374997773397744,0.09460552149749236,0.10572228737852066,0.05134261196687889,0.19503381010512605,0.25915616243463296,0.29090887682695626,-0.22515671493942696,0.1762303280968774,0.5754923866293439,0.25476724656148675,0.13954183666175318,-0.021179077644035166,0.29170822730508955,0.21256293197834825,0.0932097574197762,0.37772718154645835,0.48897674695742926,0.19644818318303778,0.099011333514793,0.5522278039898834,0.27520731368609636,0.06653888982520192,-0.10797394886658972,0.3613607579400222,0.46831925507323047,0.3999899624294186,0.042162004736956554,0.2834418550453685,0.29259725568677303,0.028630307881998704,0.28041275102243673,0.29753745127114417,0.26319822333972315,0.32805039825479604,0.2168616355532579,-0.10730388736717048,0.2328531448167555,-0.051995793919375415,0.16336107571341196,0.3136908984281323,0.5558625551901663,0.17757293837021498,0.4786150669534309,0.6619565359541695,0.4347413176931743,0.18079446275741845,0.43026250703751384,0.2802787767615909,0.25822213214438194,0.1831628922524809,0.3867623053078468,0.15729038642057955,0.28344471214865646,0.04404735525076408,0.2814272434869215,0.20282286864445243,0.27181312627768706,0.3709740452939539,-0.04090951101605603,0.10179138777372529,0.2353483403194142,0.46058018118322863,0.16956734535686957,0.5442576121812515,-0.04906848142114891,0.4885573798675394,0.3689430305118796,0.34749205408909534,0.4163237408575845,0.1572394275997283,0.2927174322657228,0.02830548211731247,0.21223768261182333,-0.01251607013615574,0.30808350634025894,0.4587210761209348,0.09409245709594627,-0.08162933584737835,0.30263864227481174,0.4969492241800566,0.27952619551365965,0.41156740249500184,0.16519342982026142,0.22975966063885186,0.17747574322522794,0.5096761024743423,0.016098521417319434,0.508044785932625
ACC_sup_L,0.5063496280810239,0.5072141471547782,0.5171160909336763,0.46287055714094794,0.4870185950620555,1.0,0.6920191025029979,0.31341365177908437,0.24801526906718072,0.5104200575644735,0.41031904059151414,0.5641353092109314,0.23571494192053655,0.13915681472329952,0.1175701445466386,-0.11332069232303986,0.4908439514933627,-0.1887809423607988,0.30608746391861236,0.25669006967586006,0.29641773292551127,0.36382749236844153,0.23074929309221445,-0.15292756636513016,0.24196097062294847,0.5735258249183511,0.38492513620607927,0.37926468945937375,0.29798269576597125,0.5843011690394262,0.4057679296854352,0.17654973451293726,0.17915857160933168,0.46110643474433927,0.06915487213799902,0.39660557827822657,0.647721892612093,0.11911464564067487,0.43430220387042767,0.038168468453099715,0.6199474687682153,0.4621120255220612,0.45090090269354016,0.3105183282820045,0.5268126398119607,0.5466487299559715,0.11240212978274254,0.2872994323908689,0.3250116510483573,0.17954564981962673,0.4913035947900466,0.2626750742485816,0.017025154646732574,0.4377207047669437,0.0473247180512841,0.20132186820723133,0.40397815808376075,0.5959863362111678,0.06287357726068446,0.5527503121930993,0.5776046098161295,0.5549765301500892,0.35404375018112244,0.4886347016426948,0.4302688102433521,0.16964418493485553,0.23227571323181936,0.4506753227776922,0.25169408761429984,0.28253346200606405,-0.22650347860523978,0.48310903832990876,0.057419259804036796,-0.09118461409379629,0.26186892812716317,0.003371897389285935,0.296647023383487,0.45055372697472396,0.6829005284642418,0.1687283887933147,0.6239999621757049,-0.011769757971832915,0.5698619780727282,0.4461798104032128,0.3931432249813683,0.39444855680377167,0.1067510807701209,0.16688144549996947,0.1994367911930409,0.41518991091357255,0.4506393735834246,0.49427753123275164,0.6793656422966554,0.08142272306817053,-0.18063654637633456,0.14750413311002702,0.6209892763856981,0.12152685381941516,0.38706376183369096,0.5179766864547338,0.298353418646245,0.23314522636603133,0.6588882384809761,-0.2715138252694045,0.5337590968170941
Frontal_Sup_Medial_L,0.4191935071652895,0.5341325522563014,0.6805745671541062,0.5608126670340882,0.49176029864982435,0.6920191025029979,1.0,0.5325345788381084,0.1756129830305619,0.7104943954937334,0.5546946699481647,0.6458881744621032,0.20982691868701758,0.30956322599605507,0.12300695352202788,-0.042169395279349556,0.42980992162343956,-0.024978493025367074,0.3537399259137299,0.24610652023000062,0.10940875206552586,0.4175735525823247,0.3936765677574143,-0.1707105619412607,0.25474211426817206,0.7165278184408505,0.4790704127634672,0.5601911006850897,0.2565726705108792,0.6224947182430606,0.5390646745193985,0.30843815736288155,0.48584369279898093,0.6290609870395028,0.193834167502855,0.45376968847797733,0.788221001520441,-0.008201639258546972,0.29532795511172105,-0.04588685129265887,0.32025326393239023,0.6897546806688667,0.5978129509224162,0.4008369140508943,0.691713913871936,0.6718601384134546,0.1610016758253455,0.38901559016962106,0.44420287533393216,0.16687844565566717,0.6650358905122142,0.3118785524658485,-0.02360195976401412,0.4584024334769894,-0.010853962716608783,0.2686664473126605,0.37307395637854296,0.7279696728477577,0.09449522178205734,0.6482226491445194,0.7540139181031742,0.7988941375598767,0.4111615240783144,0.5540590899713276,0.5949139932250231,0.4502387674565561,0.20176708226496845,0.6241269855177447,0.1589441171894525,0.36709104148539196,-0.011557502380022691,0.6468750227756542,0.1713690028635686,0.4130286327482624,0.348139228466861,-0.0487791459790862,0.32107450385410174,0.3437879105604475,0.8353441250363828,0.32230184234817405,0.7705891476450694,-0.01617833626734448,0.7837466885068357,0.5575966646243637,0.6516942926567426,0.5340760043738707,0.13518868428523248,0.35904724933767074,0.41643609632339945,0.3512934358173166,0.20075897907504975,0.579912335247954,0.8384745059408608,0.25766917049331806,0.11399686724636715,0.3266858467320381,0.5906656990191599,0.40113000766051604,0.5442482386385257,0.4086450599499639,0.3690068216109692,0.2989868417469213,0.7855778131306238,0.07055946980591497,0.6717008582980607
Red_N_L,0.2605267848206968,0.2953456324037426,0.39122547707011657,0.23148305455120075,0.1630221370561788,0.31341365177908437,0.5325345788381084,1.0,0.1752370787805123,0.36094984511814554,0.3065172195067859,0.4223188153737428,0.43307276722151705,0.2522804348932984,0.20441300841397214,0.2624537619267496,0.5036394536361722,-0.07008666326325184,0.336023556661053,0.11783993818950417,0.24849415504466513,0.3334557643245073,0.22703902704246318,-0.011527079499165174,0.12015338169865643,0.3606987668893947,0.09980538159542916,0.4367008500515113,0.07711956795244237,0.42566349321196056,0.44118904521072866,0.09675307223526095,0.24316911898376134,0.4308268512080274,0.030637509920618193,0.22030917193812485,0.5369440704129312,-0.09794098886473122,0.2945492142540721,-0.03717289423073401,0.15875273328180525,0.4010799276825839,0.4318120581587704,0.6733087084747008,0.5156072474898772,0.4945745106599215,-0.029252411603076345,0.14286860804739768,0.24304954204811996,0.159343086452729,0.47165235047020665,0.2893261566690899,-0.03474744217145932,0.4068345313009062,-0.16934365327776862,0.05687769510795698,0.4696039853799139,0.4752314282646426,0.07897441721360778,0.3393842351574652,0.3446940999259219,0.4543331958723971,0.07730201573776684,0.28839806407969715,0.4011481836660998,0.1432137021795672,0.30368083053678224,0.25776040266944766,0.057804325410657775,0.11998442676825037,-0.09494313804353609,0.33762309774783444,0.00012392425086230456,0.262286223962032,0.2768342337731337,-0.11638713039357404,0.2223889231770492,0.2845444284522927,0.4307207421251948,0.18061020129003552,0.4603051050816894,0.22034466275507458,0.43177814911992457,0.2727897406606183,0.516291768199677,0.18890348884563066,0.15597084539432124,0.1818565618392517,0.6590370527459232,0.10302370970593101,0.21025543941125882,0.519344306192725,0.35292532253658887,0.27744017762172135,0.17792151795095223,0.16582131149051754,0.25709817005014884,0.4293099621269638,0.44086494349926786,0.3620762056744781,0.21264287364948486,0.00648006931822876,0.500768088240409,-0.002307238174225571,0.35668756911418337
N_Acc_R,-0.05250678514088771,0.023311198294615094,0.172997279923322,0.13641720361384801,0.2198857348171543,0.24801526906718072,0.1756129830305619,0.1752370787805123,1.0,0.18283457021834218,0.15650081218319067,0.24947159559636134,-0.060952449268439554,-0.07981372380030782,0.31657907793755885,0.050863621211026736,-0.12123939938721635,-0.06468162471789958,0.018558490395744847,-0.016811526083877606,0.4855217926978685,0.20819920520795968,0.2547620684292643,0.2155215340379294,0.028898263169471694,0.13824402802234192,0.10882422825185106,-0.061391305748256124,-0.02958758036314659,0.1651910959167165,0.10238119208526195,-0.05493258930343792,0.048145450326246,0.30803229845094515,0.1189282227121955,-0.0021423183706187694,0.20679076695193402,0.134228755645078,0.05985019652678904,0.04048071880152046,0.2715582096274581,0.2794078451625307,0.24743276371486048,0.06024377448055319,0.2234802930940298,0.1391243915129699,-0.048193604462122376,0.09024870602623263,0.0027236088479653687,0.08326651540515756,0.2464794488550833,0.04026808116199854,0.10526793225500643,0.017412363461044498,-0.10199632301811551,0.09027636680628429,0.12079516827264868,0.21398926442357744,0.07864101151230077,0.11864394494132327,0.20432687403237623,0.20623552860437275,0.06545584648629482,0.26827049184200197,0.180729656947274,0.06975281351744571,0.09251263462584647,0.07085308793367265,0.013001886142329467,0.1943379474357747,-0.010567557453264948,0.13543269066920294,0.1798147665243119,-0.020197434271002408,0.14466211217994895,-0.0018412429777962824,0.11113436223657631,0.08764258979197598,0.17239776486560718,0.03972321992781026,0.22002033781061123,0.24876432227109946,0.23500034234641198,0.12663358985535134,0.23767871368935362,0.18468611613767738,0.08109191977065237,0.20026981848126513,0.04853493128855269,0.18532372503303932,0.029295789295821523,0.07768871572887966,0.14662258510859782,0.029333537572276715,-0.026714098910024835,0.1760511701859357,0.18111190255217213,0.020886435846537137,0.2064115947258717,0.1512454494539421,0.003499100381282718,0.18813851237800747,0.20598261717154398,-0.13413259163921623,0.2324699598477387
Cingulate_Mid_L,0.30308344282008337,0.24319720403293127,0.7761079634351691,0.6412248841723924,0.45640889602417395,0.5104200575644735,0.7104943954937334,0.36094984511814554,0.18283457021834218,1.0,0.7332396817804475,0.5170920069399936,0.21957954801231624,0.37448627510043636,0.22341338831589022,-0.13528257029857038,0.23714342314426398,-0.07550397147605654,0.09983917936113645,0.2684720258313004,0.1366099809136595,0.5774093137245997,0.5903017785344319,-0.07402159071461539,0.46315320414425215,0.7716638011044632,0.476290084560076,0.4985160365202614,0.1569007428181698,0.6498434416067931,0.6289776031151869,0.4493575921665105,0.5040625600884797,0.47643122259672926,0.3628410933844986,0.19894537382257108,0.7364775538578696,0.1471130516348757,0.4582166693075081,-0.0431569155589355,0.16808586018513386,0.6879747384620902,0.5132831371685445,0.3482331811263617,0.5611234998378544,0.7286972410620018,0.19835076873495824,0.6042752688271465,0.3391173059442581,0.03300286258615973,0.6060286482450148,0.23074063501939246,0.05215609250309453,0.24116348000556823,0.16113131738046813,0.485445534333819,0.3234227575597341,0.6051736280112988,-0.09790615912421505,0.5647650326156829,0.7902798059079649,0.8310162081019284,0.4494893386293804,0.75005054998541,0.6144121459759905,0.589118757272634,0.043532836024421824,0.7381878140045374,0.2261169672463092,0.6666314942947732,0.06636494453800713,0.6805201097870213,0.3124922515453405,0.2779525776990774,0.20198842667498978,0.2531704048538219,0.12099378585193374,0.42522969596439064,0.6826720346599503,0.3032459925764647,0.8136055130873145,0.19238018645003993,0.9436877566363853,0.7111623157252034,0.6641417715327197,0.743823354524994,-0.07062514435294563,0.4322602220835134,0.48114007084735894,0.20331412474686406,0.2072358776033542,0.5189350092871001,0.6626655060546193,0.2275815474193569,0.05792658673884858,0.33549969051014283,0.5287263433021229,0.5121109486403395,0.3824871188019139,0.23904787017416593,0.1310189320606281,0.4136033667838374,0.7310872313192526,0.0073104125779031425,0.6894017836171251
