,Amygdala_L,Thal_PuA_R,Frontal_Med_Orb_L,Thal_VA_L,Cerebellum_6_L,Thal_VA_R,Frontal_Inf_Oper_R,Frontal_Inf_Tri_R,Cerebellum_Crus1_R,Thal_PuM_L,OFCmed_L,Vermis_7,Cerebellum_7b_L,Cerebellum_10_L,Cerebellum_8_L,Cerebellum_9_R,Fusiform_R,Pallidum_R,Vermis_8,Vermis_10,Postcentral_L,ParaHippocampal_R,Cerebellum_Crus2_R,ACC_sup_R,Temporal_Sup_R,Vermis_6,Hippocampus_L,Parietal_Inf_L,Cuneus_L,SupraMarginal_R,Insula_L,VTA_R,OFCant_L,Thal_AV_L,Amygdala_R
Amygdala_L,1.0,-0.19362592043690763,-0.02597121931033656,0.13910638266497247,-0.1259512312208643,0.10575759665091196,0.18588305834536697,0.20049238372907324,0.04246550323246105,0.0018337575073334572,0.0758214593263162,-0.16407380812345732,-0.13364128899682332,0.07028217134655353,0.05889812470947405,-0.1402566938885927,0.11424650608162831,0.012789680228347705,-0.019245387144463465,-0.25405117557803375,-0.0963578898288903,0.002305803382880183,0.1862953021363483,-0.10746087492611071,0.12348061823239453,-0.15322022180232675,-0.17191526525977258,0.15960738009958716,0.09986148806939844,0.022721714264499152,-0.10570345743898749,0.2657191076075593,-0.07169719611673939,0.1320063258303546,0.05171507965744136
Thal_PuA_R,-0.19362592043690763,1.0,0.16359528460970318,0.29502144721956347,0.16503097736823272,0.07073236112472557,0.3303792709245092,0.3174651246302077,0.3266059168420811,0.629285312607488,0.25712048951005906,0.10846541932362135,0.05716239050436855,0.00038673131901413723,0.22687272978826586,0.41155845620160114,0.2584840111627994,0.19741665191191515,0.10563046015400766,0.38407372744421425,0.5313785539883398,0.449459579623282,-0.08116428095586181,0.4803361358346305,0.3238511937685925,-0.08993376028781683,0.5635483147929944,0.3388886863059518,-0.005723751898035001,0.4287046324856136,0.2883762403320091,0.11599893958398128,0.25567365912063444,-0.03903340055947497,0.13533879709649743
Frontal_Med_Orb_L,-0.02597121931033656,0.16359528460970318,1.0,-0.07808964848041137,0.07456815709069316,0.14591230227478222,-0.1701804602885142,-0.22749067823956606,-0.19677759010728085,0.005254717964218766,-0.3878987496155104,0.298833425473541,0.3400142929821748,-0.28689883351843004,-0.06939038763338444,-0.21411880319808485,-0.29701538287609264,-0.0731800922794374,0.2655722864826264,-0.07581156209376856,0.05364839330375604,-0.23625543769541751,-0.07037487806349049,-0.0638161022062651,-0.3449275087962718,0.1510087866291244,0.03843646083932037,-0.02170811080880698,-0.2910685272722368,-0.18002945526495187,0.27599414487000423,0.003610644179757143,-0.23618348582195828,-0.021160711462056368,0.04464872459107585
Thal_VA_L,0.13910638266497247,0.29502144721956347,-0.07808964848041137,1.0,0.005967918716812381,0.31164158576983697,0.5248096424373512,0.493001346085305,0.22571822858829937,0.24815919919374782,0.230858026018676,-0.45631512119978473,-0.5137193089330863,0.27925588429261144,0.1526651644726421,0.09677254359043813,0.5988087143395668,0.4405795429787436,-0.3700617682614501,-0.058643680589098884,0.17716205019543185,0.48659687234081234,0.49241560086549785,0.3566828720832044,0.5209987288063324,-0.4997084030318665,0.1695572068934961,0.2299119633165983,0.2679968693190383,0.386792272948262,-0.06171180620406789,0.20560365489815013,0.0028680364178069653,0.5165494339333715,-0.12132905552965507
Cerebellum_6_L,-0.1259512312208643,0.16503097736823272,0.07456815709069316,0.005967918716812381,1.0,0.17098658253320279,-0.3267215316793534,-0.3194794420880736,0.1236795025631725,0.2815865928952556,-0.1419646144066844,0.03301256422462638,0.01577173907145261,-0.029612544219009346,0.3991732733752831,0.31051594610515515,-0.03972199930860517,0.0018316077507977246,0.2828328165187875,0.11094914410944276,0.45910726659559703,-0.046928189002962396,-0.11006049962405928,0.23227031443232674,-0.2097569125318702,0.0637045408780901,0.3991894855658848,0.2984458853920122,0.02203191521600895,0.008550158189935328,0.5705603643013498,-0.41391451992503087,-0.1494796237809923,-0.05991849089999825,-0.18672937963939149
Thal_VA_R,0.10575759665091196,0.07073236112472557,0.14591230227478222,0.31164158576983697,0.17098658253320279,1.0,0.11888083650111561,0.09242926846405816,-0.08324803493083445,0.10259740204741205,-0.16475459638192377,-0.1122716914018077,-0.11808977296019696,0.01924586601677191,0.1612165871613501,0.10885056859841694,-0.09235945631582064,0.11153866156139383,-0.07071834230932725,0.08236336288157155,0.20134684311123796,0.06947484459195796,0.024801625832682486,0.04774117001818145,-0.0020989427060887295,-0.03430982455534393,0.18954526913052974,0.08652206550199455,0.04156657416497779,0.0004375654707206801,0.2963251806066623,-0.12670867928612992,-0.38463703001714156,0.5195844363484863,-0.15710783112320678
Frontal_Inf_Oper_R,0.18588305834536697,0.3303792709245092,-0.1701804602885142,0.5248096424373512,-0.3267215316793534,0.11888083650111561,1.0,0.9398945317891133,0.5551289138903929,0.5033780666936872,0.459337324811851,-0.2830984960912633,-0.27312024159043874,0.3365506617125151,0.14234951059397702,0.18462420421738948,0.5776802504466441,0.4290247039744769,-0.26805806459761683,0.10674463454753431,0.23268992299361035,0.5746656140967562,0.3628918187108349,0.442078416557578,0.7991595965035807,-0.3365919764572618,0.24229357172352392,0.2966000366592601,0.313361290841085,0.6454253292261534,-0.22533358517676827,0.45779699547573155,0.22794808013505607,0.39969211142635447,0.02859610415655178
Frontal_Inf_Tri_R,0.20049238372907324,0.3174651246302077,-0.22749067823956606,0.493001346085305,-0.3194794420880736,0.09242926846405816,0.9398945317891133,1.0,0.574251477720413,0.5243527810055949,0.5091764429179146,-0.21805695230683764,-0.18452816348764833,0.3911511949356713,0.22104626125508445,0.24983442418687604,0.5618639501751932,0.2996545633637246,-0.14678120708976453,0.1834169123608302,0.24591264528323414,0.5482027763802786,0.2815713786627057,0.4512407799304098,0.7604303531825753,-0.2515110970500425,0.27410752066731164,0.3594716416693425,0.34024627866690244,0.6828851665220124,-0.1879715038879409,0.45195154910112767,0.18543776675667045,0.32486319367245464,0.02789594810285639
Cerebellum_Crus1_R,0.04246550323246105,0.3266059168420811,-0.19677759010728085,0.22571822858829937,0.1236795025631725,-0.08324803493083445,0.5551289138903929,0.574251477720413,1.0,0.5711468304224512,0.44939889667360317,-0.11889983581778557,-0.0645446121151847,0.4031952427754622,0.5278163710642887,0.3463713937797973,0.540661647192953,0.37810011742958954,0.15515809135136804,0.24911156530139686,0.3880345949262101,0.4547711255657773,0.1308426586236199,0.5493981449268556,0.5979706712797176,-0.16168012009279967,0.4189473549128825,0.43336677845553107,0.36166829727071687,0.6391804251383749,-0.11592496936187029,0.1748150164963163,0.3077187640902502,-0.019138439102396456,0.06657677644850012
Thal_PuM_L,0.0018337575073334572,0.629285312607488,0.005254717964218766,0.24815919919374782,0.2815865928952556,0.10259740204741205,0.5033780666936872,0.5243527810055949,0.5711468304224512,1.0,0.4702066687975039,-0.035001299744581625,0.02920649081486965,0.21461679066489442,0.5745081971555915,0.6280056833107451,0.4891819877153254,0.15865519677473802,0.1718669460773413,0.4784313394459729,0.793509220208593,0.5338455726950264,0.07731012653589553,0.531215043354003,0.4662430211363114,-0.01330233519472026,0.7953373929967428,0.6290052127681588,0.3163042384772011,0.6516891846057108,0.38372340559594087,0.26280345448564846,0.2569100815215037,0.11227336622761461,0.22775821171128688
