,Frontal_Inf_Oper_R,Amygdala_R,Temporal_Pole_Sup_R,Cerebellum_Crus2_L,Thal_PuL_L,Paracentral_Lobule_R,Pallidum_L,Thal_LP_L,Vermis_3,Occipital_Mid_R,Vermis_8,Precentral_R,Thal_VL_L,Vermis_4_5,Cerebellum_6_R,Angular_R,Cerebellum_Crus2_R,OFCant_R,VTA_L,Cuneus_R,Thal_PuI_R,Frontal_Sup_Medial_R,Thal_PuM_L,Thal_VL_R,Vermis_10,Cerebellum_3_R,Thal_MDl_L,Cerebellum_Crus1_R,Thal_MDm_L,Thal_MDl_R
Frontal_Inf_Oper_R,1.0,0.02859610415655178,-0.2424179865286683,0.2452728672215988,0.3560117020003947,0.532721080174057,-0.08362692722820154,0.3498453548990036,0.4361393372744668,0.2486028730602089,-0.26805806459761683,0.7113169744705914,0.4627920918036469,0.4558073519435358,0.5582365891597655,0.3793574066800869,0.3628918187108349,-0.03974645252243514,0.010831589562324037,0.3091714642555391,0.56058807277964,0.6673304022060426,0.5033780666936872,0.635861834800663,0.10674463454753431,0.7154366809006378,0.5027879662497788,0.5551289138903929,0.45473438880448347,0.30296118724408383
Amygdala_R,0.02859610415655178,1.0,-0.0020928608610962574,0.25832865631506596,0.19144122136246722,0.15942852173632285,-0.19856154578845836,0.040349737375801935,0.05391348797684967,0.20795120439683057,0.015245344082252065,0.18115413152850804,-0.08330651698128448,0.15177170349081062,-0.08630324785845918,0.20693595185479233,-0.022034132654440083,0.2076285797200171,0.07719075614755475,0.200630746910777,-0.013877881291810742,0.0847667699492591,0.22775821171128688,-0.14528496433527222,0.04118309655784028,0.11874475651767961,-0.11700534560154348,0.06657677644850012,-0.22678530460951563,-0.06706799993708246
Temporal_Pole_Sup_R,-0.2424179865286683,-0.0020928608610962574,1.0,-0.1662877693446789,0.13882736822395209,0.23161909943551118,0.2554577096529684,-0.10892779052809631,0.38052613774081967,0.24328308230682247,-0.031337599152060865,0.16254608027685716,0.20715474790658467,0.2543147822407439,-0.13639736656574802,0.3396877374789008,0.22082056142979037,-0.1550407109501486,-0.1547780011829719,0.2677085893334057,0.09625129577897286,-0.12406193797789473,0.09963385269112271,-0.0771808718588369,0.13755805134041776,0.1608108276748544,-0.05137600881461706,0.04864011214661078,0.07867554569430221,0.07590246779734096
Cerebellum_Crus2_L,0.2452728672215988,0.25832865631506596,-0.1662877693446789,1.0,-0.15414523249195022,-0.1075581386015627,-0.3216613244602471,0.18058599563654054,-0.17155564883898733,-0.048884436065722146,-0.33847112216682884,0.03777902380261522,0.004119908361619286,-0.025923121434041227,0.25065656726690033,-0.12272060464308317,0.32367057113804515,0.023882378644632638,-0.10811249218046522,-0.06413700602634699,0.10055322805661004,0.033431841385775644,-0.04765702164248562,0.1715497845692002,-0.16985340901778956,0.10250684052527695,0.11978850498603358,0.07585087751955474,0.07847880949741855,0.09151909521949038
Thal_PuL_L,0.3560117020003947,0.19144122136246722,0.13882736822395209,-0.15414523249195022,1.0,0.6491132168713573,0.299243213124282,0.06313720764009643,0.6287656864329326,0.26397505176807756,0.22754762918307694,0.6497120047729256,0.32798796943824277,0.5655132534168336,0.0030673835191217316,0.48882306602545195,0.10813360441127637,0.19143394330973895,0.10177425202766836,0.37096515820490666,0.4593071872656418,0.5788258236761487,0.6901595684482877,0.14336223531429917,0.30688513616481117,0.5672187690837486,0.05441549447132888,0.28746756126878925,0.1999473835871082,0.18378045149899325
Paracentral_Lobule_R,0.532721080174057,0.15942852173632285,0.23161909943551118,-0.1075581386015627,0.6491132168713573,1.0,0.3163688951771252,0.4041324855621634,0.752838676164303,0.29071437386833027,0.22796782950618727,0.8960829049746287,0.6409817982871283,0.6979565899808597,0.12908847739890497,0.6890311837772871,0.11292388273198524,0.13064024196364724,0.2415751219414509,0.36996073718081685,0.6197749875624209,0.7386938562492793,0.8143652725437889,0.49543484144967126,0.487741981731814,0.7714357419945896,0.3639529007054993,0.57738947509209,0.37626093045489256,0.37470709651197404
Pallidum_L,-0.08362692722820154,-0.19856154578845836,0.2554577096529684,-0.3216613244602471,0.299243213124282,0.3163688951771252,1.0,-0.03461711137147325,0.3658043985826172,-0.22372590034702972,0.35253642229234894,0.19417731999445395,0.4648481087430441,0.21928904125788096,-0.26508245072758413,-0.020755553177759664,-0.18498985408789667,0.13821624464145305,0.4037392885454005,-0.09813796211592414,0.4492408630472547,0.24477905702299654,0.3064005401206249,0.1966462046583365,0.4347580325655299,0.12991301075858222,0.011594714347958108,-0.0720124535917324,0.24959393510816977,0.13615848863238386
Thal_LP_L,0.3498453548990036,0.040349737375801935,-0.10892779052809631,0.18058599563654054,0.06313720764009643,0.4041324855621634,-0.03461711137147325,1.0,0.3265770291702171,0.13796073193384406,0.040370016819162,0.4420312962154676,0.5013274651280722,0.38627638081202664,0.23295894263584663,0.2849714294390042,0.09034411689562068,0.04813028142988869,0.09152709609222064,0.03619480624124149,0.2942048053763639,0.5023881523052003,0.5249202316465473,0.5951302312569169,0.3001704432121179,0.45755843777027244,0.35062997542498353,0.6100562098518174,0.17652553050282058,0.16369988840667762
Vermis_3,0.4361393372744668,0.05391348797684967,0.38052613774081967,-0.17155564883898733,0.6287656864329326,0.752838676164303,0.3658043985826172,0.3265770291702171,1.0,0.46280236227811894,-0.030314542639034006,0.7759338136389404,0.6680683150617077,0.851353464625362,0.21302674953317363,0.6607232649250824,0.3702416486649045,-0.07614271296454252,-0.02624628602173868,0.5721835924275217,0.6036557978867474,0.536297366191626,0.7653961218951034,0.4567254423994742,0.35506643271189436,0.799985297431473,0.3747562040898392,0.45207350912648475,0.43291112952675426,0.32603324796546407
Occipital_Mid_R,0.2486028730602089,0.20795120439683057,0.24328308230682247,-0.048884436065722146,0.26397505176807756,0.29071437386833027,-0.22372590034702972,0.13796073193384406,0.46280236227811894,1.0,-0.21651594853257972,0.3506847034489798,0.11685573316364901,0.5257012450676896,0.2680500923452178,0.7229921053676663,0.4462961149430688,-0.2543923332631087,-0.235478263057587,0.7144967853498306,0.03045391568317344,0.02089656224757794,0.2235845438560932,0.057514339176795534,-0.17946096691984845,0.3875956334477248,0.1269727386897439,0.36324967336985964,0.00822294388852011,-0.06859077998729561
