,Cerebellum_9_R,Frontal_Sup_Medial_L,Caudate_R,OFCpost_R,Pallidum_L,Lingual_L,Cerebellum_Crus2_R,Thal_AV_L,ACC_sup_R,Thal_VL_L,Thal_VPL_R,Temporal_Inf_R,SupraMarginal_L,Precuneus_L,Cerebellum_8_R,ACC_pre_L,SupraMarginal_R,Olfactory_R,Precuneus_R,Cerebellum_10_L,Frontal_Sup_2_L,Cerebellum_7b_L,Supp_Motor_Area_R,VTA_L,Precentral_L,Thal_PuL_R,Frontal_Inf_Oper_L,Cerebellum_6_R,ACC_sup_L,Frontal_Inf_Orb_2_R,Olfactory_L,Thal_IL_L,Parietal_Sup_R,Thal_MDm_R,OFCant_R,N_Acc_R,OFCmed_R,ParaHippocampal_R,Vermis_4_5,Occipital_Sup_R
Cerebellum_9_R,1.0,0.5978129509224162,0.43992539110611756,0.3126133892223928,0.37457839236278156,0.32959319970730216,-0.21425063179867151,0.057522327236820825,0.2691798451010806,0.45516930147928497,0.41319111423648336,0.17820660855994927,0.5846772017689369,0.620010480922119,0.4722130884708831,-0.014384791781209775,0.4265246212525144,-0.025876135792467506,0.5224799443029696,0.2812524409567394,0.5109542181580702,0.10812267998431087,0.6310451631127283,0.24165245297187862,0.6449926593252413,0.38980623261982245,0.18341476567940765,-0.08806650114874806,0.45090090269354016,0.2826138922172233,-0.04918775969134899,0.2756102239374341,0.6758274576295433,0.02377423073466369,0.2719596770102982,0.24743276371486048,0.4130052606325293,0.5137307050953923,0.4837713179940337,0.31220355819758244
Frontal_Sup_Medial_L,0.5978129509224162,1.0,0.691713913871936,0.3512934358173166,0.4086450599499639,0.25474211426817206,-0.022231855140097727,0.20075897907504975,0.4975843917543704,0.6224947182430606,0.5390646745193985,0.15838256062468759,0.6458881744621032,0.6805745671541062,0.5949139932250231,0.07055946980591497,0.5051931502089004,-0.02360195976401412,0.5546946699481647,0.22199331043402037,0.8180630679866102,0.13518868428523248,0.7988941375598767,0.32025326393239023,0.7705891476450694,0.49214148138373315,0.3690068216109692,-0.0487791459790862,0.6920191025029979,0.25766917049331806,-0.1707105619412607,0.42980992162343956,0.6897546806688667,0.20982691868701758,0.16687844565566717,0.1756129830305619,0.499304930015746,0.4175735525823247,0.5340760043738707,0.2609623492136265
Caudate_R,0.43992539110611756,0.691713913871936,1.0,0.2971372906263712,0.533551620640785,0.25499691032371413,-0.016816731551666048,0.26965237860236607,0.38684094057930674,0.7110687560957751,0.45682892104372397,-0.005473461097927757,0.5751571582314252,0.46439162444579307,0.526283647414452,0.021834845797365183,0.29515507097733995,0.052300606120015296,0.42610322146054874,0.10740801762006019,0.5841777791279669,0.09265364562245432,0.5601621233151659,0.3206353723387777,0.5726006732200468,0.24777734591260558,0.39514572711598467,0.10327495208350038,0.5268126398119607,0.30772275247723213,0.05340964478390269,0.45092961352654387,0.42180951430214314,0.3068270495476763,0.011595552995440265,0.2234802930940298,0.32433463545100777,0.24961294193804925,0.44594830062209734,0.19867346075813327
OFCpost_R,0.3126133892223928,0.3512934358173166,0.2971372906263712,1.0,0.2430606589321956,0.04398330603750021,-0.309675330237907,0.03355180769034733,0.10959434840774038,0.10836039985674774,0.08526767894622264,-0.0925548811223032,0.33466175037713225,0.17832372956700407,0.1625428713444913,-0.021555666788805865,0.26769086734838304,-0.15325190438966688,0.1327099699741842,0.1397995882887243,0.1406243961884713,0.20068036255106064,0.3165803176411033,0.1981314083131861,0.23874896344288224,0.17124842242718602,0.10055885465390713,-0.05253998343491415,0.41518991091357255,-0.049639966122164814,-0.06072522416165839,-0.00099628960344634,0.3098890590774016,0.005342932179443906,0.262546990490475,0.18532372503303932,0.4314267309089449,0.02798998458121889,0.18957412489443692,0.19390659769795418
Pallidum_L,0.37457839236278156,0.4086450599499639,0.533551620640785,0.2430606589321956,1.0,0.25308135894043615,-0.18498985408789667,0.14857983923592483,0.006039859555856323,0.4648481087430441,0.08138106526295194,-0.26714298266105097,0.5472680697200244,0.22971675738524994,0.3617550461521485,-0.25395136450311717,-0.050504965954124036,0.17781444283795753,0.16175171171109465,-0.09756152050530074,0.303034863033045,0.2835354952835946,0.3099039048448314,0.4037392885454005,0.4825775304803084,0.0810435583836585,0.622474491972393,-0.26508245072758413,0.5179766864547338,0.009529626672062044,0.25022843810061374,0.47459167732180113,0.17907346334380203,0.044883014861930054,0.13821624464145305,0.1512454494539421,0.11900760942635785,-0.07049694089069272,0.21928904125788096,-0.05028490538907468
Lingual_L,0.32959319970730216,0.25474211426817206,0.25499691032371413,0.04398330603750021,0.25308135894043615,1.0,0.12533591770310096,0.12655743970244207,0.180489105758553,0.4770016762416673,0.17527700315725056,0.09748209870891782,0.36271544462041116,0.39872185307131075,0.27203215173562045,0.0449629043121479,0.21072738058116866,0.020869187557895436,0.44725755448563337,-0.1580398803730466,0.3294488388316231,-0.24206890790421254,0.26221288360135003,0.10453946310618997,0.5193180953409606,0.16797323545864734,0.38627476727403065,0.35192291316489893,0.24196097062294847,-0.172765985520277,-0.02488855069197692,0.23451405822164284,0.3462885611695295,0.06954232478121201,0.03655914918850995,0.028898263169471694,0.19721932356613453,0.32447703424444957,0.6642276132018138,0.3596731276342417
Cerebellum_Crus2_R,-0.21425063179867151,-0.022231855140097727,-0.016816731551666048,-0.309675330237907,-0.18498985408789667,0.12533591770310096,1.0,0.3918745868198233,0.1869572517216656,0.27281134955177333,0.3955026002810056,0.4481029754926151,-0.2108852015366488,0.2145505489082328,0.358499802274852,-0.1853987266208656,0.20719969720606396,0.09587245567404636,0.26661821135510405,0.36151591484228274,0.3757724978179554,-0.7420691512747429,0.12943531553353002,-0.3698046562949068,0.0920194839641769,0.14528404863367345,-0.32013208637378976,0.4093578210063762,-0.022616865465187586,0.4124170725736335,0.06512734447674746,0.045583294622294344,-0.04692227001883148,0.4758153813981216,-0.6060262137494977,-0.12052651564037617,0.10762858190772609,0.31087574234829324,0.3249462508713649,0.1988085747014259
Thal_AV_L,0.057522327236820825,0.20075897907504975,0.26965237860236607,0.03355180769034733,0.14857983923592483,0.12655743970244207,0.3918745868198233,1.0,-0.05458261847739288,0.4973545306547167,0.4873636358333963,-0.024408787149081092,0.01664560737083561,0.21359268048754088,0.23652662491041962,-0.4383150488615996,0.21944332102136588,0.08175957292235791,0.19510946487335737,0.2552905027210115,0.34772851259032395,-0.42270734879952027,0.127360568545234,0.18693148387589717,0.20210994872087726,0.005626907680312232,-0.09240202686683774,0.3357556428919135,0.4506393735834246,0.36026794525746497,0.06434752048468097,0.5952658415470272,0.02123530272766453,0.7463146005213106,-0.2965892765542642,0.029295789295821523,0.058339963983378214,0.3562863586469201,0.18985134848351004,0.01460395738068067
ACC_sup_R,0.2691798451010806,0.4975843917543704,0.38684094057930674,0.10959434840774038,0.006039859555856323,0.180489105758553,0.1869572517216656,-0.05458261847739288,1.0,0.4312620588968086,0.4581489765286427,0.3394483768694304,0.1610630422413359,0.36655446581032586,0.30144301158032333,0.4189340067028394,0.3614268936976611,0.016183568739663846,0.3286161844133886,0.1567476360435417,0.502518811807945,-0.14466849909884,0.5636233745717437,-0.28978780925220693,0.3654311119746364,0.5643492926397015,0.0429953010669513,0.2955495542319064,0.11888538318545568,0.18271120397975055,-0.10721989688581347,0.1379685226460853,0.3944388937800233,0.14679144900703164,0.02401193651880269,-0.050288357867275695,0.39844438674538846,0.35409854271534313,0.38410474764059954,0.1546533987486901
Thal_VL_L,0.45516930147928497,0.6224947182430606,0.7110687560957751,0.10836039985674774,0.4648481087430441,0.4770016762416673,0.27281134955177333,0.4973545306547167,0.4312620588968086,1.0,0.6670282164070248,0.07868680280947038,0.44997918053358077,0.6055380852985067,0.5159264474173746,-0.06635743627405837,0.46005552556828133,0.10669797631885157,0.5507811086675827,0.16600366738712202,0.7330920040558826,-0.2223194189669036,0.6164798071176154,0.2540121676981629,0.6763950070248415,0.34033887420374453,0.26286489827881654,0.3143260985612604,0.5843011690394262,0.27322360645815863,0.059982229013480215,0.6023194613347438,0.46664610592214756,0.4702940948955861,-0.078928704068738,0.1651910959167165,0.3330947965489803,0.5018255513070025,0.6128899534559488,0.25703660682343515
