,Frontal_Sup_2_R,Putamen_R,ACC_sub_L,Occipital_Mid_R,Cerebellum_4_5_L,Angular_L,Frontal_Sup_Medial_R,Thal_VPL_R,Precentral_L,Thal_PuI_R,Occipital_Inf_R,OFCant_L,Cerebellum_3_L,Frontal_Inf_Oper_R,ACC_sup_L,Occipital_Sup_R,Heschl_R,Pallidum_L,Raphe_D,Paracentral_Lobule_R,Vermis_1_2,ParaHippocampal_R,Frontal_Sup_Medial_L,Parietal_Sup_L,OFClat_R,Cerebellum_8_L,Cerebellum_10_L,Precuneus_R,Temporal_Mid_R,VTA_L,Frontal_Inf_Orb_2_R,Postcentral_R,Thal_VA_R,Temporal_Pole_Mid_R,Thal_PuM_L,Cerebellum_Crus2_R,Thal_PuA_R,Thal_PuL_L,N_Acc_R,Rolandic_Oper_L,SN_pr_L,Temporal_Pole_Mid_L,Parietal_Inf_L,Cingulate_Post_L,ACC_sub_R,Cingulate_Post_R,SN_pc_L,Frontal_Mid_2_R,Cerebellum_9_R,Frontal_Sup_2_L,OFCmed_R,Cerebellum_Crus1_L,Vermis_10,Postcentral_L,Paracentral_Lobule_L,Cerebellum_Crus1_R,ACC_pre_L,Thal_PuL_R,Temporal_Pole_Sup_L,Thal_LGN_L
Frontal_Sup_2_R,1.0,0.5483010865386737,0.1442274485214818,0.0063239937261524585,0.5642112367535583,0.2579104883737251,0.8403037581254553,0.6289082813763693,0.712729032982873,0.6389746657115184,0.26423946826244515,0.06136307846241393,0.6880357562652014,0.6055257154422297,0.6829005284642418,0.23300280380153063,0.4859484164649558,0.33486442408754225,0.26384248123084836,0.7551783303072513,0.498091066741512,0.5313289938735275,0.8353441250363828,0.5922794671104958,0.12622365662843457,0.5062581186114903,0.23821571536854405,0.5766793614847833,0.2893923898834969,0.3782084677985331,0.21973734108255388,0.8068439438337986,0.3052731667248651,0.008507101584230028,0.7391305560170237,-0.053459836404261316,0.5332208122372103,0.492047982771291,0.17239776486560718,0.3313492365149424,0.3444178345521705,-0.04288602883636826,0.5315464577582014,0.6589618017531984,0.08041768680031693,0.7022270671921191,0.3910926324380378,0.81423999846605,0.5378759017903545,0.792815145630751,0.46702413524509245,0.14347304400883593,0.46747927193719585,0.7377109038534103,0.7278461891801701,0.4829338228073291,-0.013076933606172125,0.401142126731551,0.09080969854907683,0.4964231079599033
Putamen_R,0.5483010865386737,1.0,0.24703994959617637,-0.22007126263807134,0.12910308753425184,0.02020562101891148,0.5044372540512321,0.3961031739102262,0.12698686270670978,0.47425442502268506,0.027489002396616037,-0.03646915164531238,0.20131333793157796,0.5551928451248879,0.39660557827822657,-0.18200050560597145,0.6349766465037294,0.18090822641249552,0.15083336708995795,0.24436457423504027,-0.01530279493428201,0.23569238316215843,0.45376968847797733,0.08591534893443536,-0.0012526518462259552,-0.04114242608297233,-0.09982604826194835,0.07288282410169446,0.14387580660011134,0.18329492323809912,0.016886870300056925,0.31275515586412617,0.3929017972656752,-0.08139495653131862,0.2768780305786317,-0.1294461822667172,0.3407692234049571,0.1346475756633781,-0.0021423183706187694,0.1428216435967243,-0.022834857991491368,-0.19305763595486897,0.14825363419984716,0.1818458841999476,0.08291360533394979,0.16287197052500454,0.0429505028436624,0.22964255253316063,0.14390135684001049,0.29351988662846373,0.14202038170298037,-0.14245394955899277,0.17379453382168294,0.1752869952798231,0.18272505312703263,0.17193733131178335,0.04304512162823104,0.0052136847855590585,-0.013878282915890319,0.19582419619563232
ACC_sub_L,0.1442274485214818,0.24703994959617637,1.0,-0.017622054124446524,0.10397814717261049,-0.1245112496336372,0.12735350805718312,0.24886780852630355,0.12321159367987303,0.11396060093279836,0.19177505249797927,0.0034873910593043837,0.10174510399299548,0.17624319673046382,0.13306638504811952,0.10991807236193434,0.31643541478219883,-0.09492072442939767,-0.09660566703464828,0.1818380148819795,0.010839434032046338,0.2984284324500084,0.15762182248037762,0.10154402424951642,-0.09298744225133493,0.005952163509217553,0.13582231463929065,0.13605655463486271,0.29179539790566617,0.09662182994195043,0.06400316327445894,0.2386284457293329,0.22504681371460028,-0.15226639584469107,0.08757961484567175,-0.13924733026966063,0.1586068985014809,0.029792580252422596,0.03508353369230387,0.030438828170187497,0.1365610905589766,-0.13467852802600416,0.0408931481000323,0.17531398633959833,0.012756169803894346,0.12450061459920665,0.16362156762599936,0.13801492087896183,0.22859872082422641,0.05642934692656904,-0.007627330545048645,-0.06650658600628027,0.2139892307568835,0.1338752522576792,0.13452018921308856,0.1094405309342062,0.03703694732118085,-0.012466182858090548,0.05770058832840883,0.1805535853545836
Occipital_Mid_R,0.0063239937261524585,-0.22007126263807134,-0.017622054124446524,1.0,0.2748509575709457,0.37383756884062863,0.02089656224757794,0.26225286192967284,0.21518893565188366,0.03045391568317344,0.48288783290447485,0.060003724512064836,0.1922140633342154,0.2486028730602089,-0.051884528334883544,0.7192991783566345,-0.03485175584730475,-0.22372590034702972,0.548600826898322,0.29071437386833027,0.33130005459904754,0.22947088078307967,0.03747888202890109,0.3649314221628837,-0.3885143077622689,0.29075005147254873,0.47284654710658547,0.38061964946285753,0.542981961377765,-0.235478263057587,0.3512933562874917,0.27553481890964243,-0.10521537194390722,0.03833638371362734,0.2235845438560932,0.4462961149430688,-0.08643335885289238,0.26397505176807756,0.17296307650658582,-0.408693853561564,0.03022686259143483,0.26085852033163953,0.2796917319611331,0.29104268030978253,-0.0740615506820141,0.31337598063011374,0.16250715428476772,0.12221645270369795,0.041612888951951726,0.2767541451166682,0.22611487447351566,0.29245398350931107,-0.17946096691984845,0.04305243814086758,0.29251670604400537,0.36324967336985964,-0.10894031413625718,0.19416600724993505,0.16721021633227273,0.09836816810420775
Cerebellum_4_5_L,0.5642112367535583,0.12910308753425184,0.10397814717261049,0.2748509575709457,1.0,0.32338702843492695,0.5039526867715095,0.4709495652069255,0.7375314853178596,0.51603142622931,0.3474785988044335,0.11417941351770737,0.8079003142633108,0.2843270575436878,0.4461798104032128,0.5578060828240984,0.3223927785678351,0.22178324006955996,0.3397099821204746,0.6131686606998856,0.5126540671554678,0.5487174940303673,0.5575966646243637,0.6835236386398368,0.0962223165859122,0.512489355020812,0.10931344839889,0.7417610025354432,0.36783015666994695,0.1490469349883562,0.05126306348922218,0.6806781890336073,0.0242368286390209,0.09346658366122745,0.6779193296678723,0.23262201593838056,0.47094138842672506,0.46262975216613467,0.12663358985535134,0.3784856451317172,0.13569614475670916,0.10037941520586796,0.5940420167986022,0.6588885012993476,0.08822579489574224,0.6709967048740524,0.36286850016307265,0.6397843191431732,0.48280134717451173,0.6780348864655045,0.431363632631788,0.17538577652207143,0.18287575955331833,0.7531685917200708,0.6853527292125832,0.4018047899002732,0.0681668926061932,0.3745407855381844,0.032302457066371956,0.3561245990748274
Angular_L,0.2579104883737251,0.02020562101891148,-0.1245112496336372,0.37383756884062863,0.32338702843492695,1.0,0.12876312341517254,0.06697639324799243,0.4145362188912048,0.1005217624945325,0.328257549169247,-0.12967049739622696,0.37080892790814396,-0.03320367652923227,0.23743038517603293,0.4964014214544665,-0.12284944228928989,0.2377217379277385,0.2929573012749157,0.4147061162978762,0.41516314194540754,0.05251901568523948,0.3723431411794516,0.492980558585745,0.11490793466437611,0.4103992965399838,0.10246850395899568,0.4441701306351673,-0.0255513264372985,0.1787730286419482,0.2535377852125399,0.23186360113903323,0.19700949161937267,0.02990354689791448,0.36301970270368733,-0.0024585029509960814,0.18064468426583924,0.42781205682045487,0.2869065001840266,0.1305235849577935,0.175739921961324,0.08891166859079248,0.5099556644693901,0.2140472124392512,-0.13662349018793937,0.36210917045804986,0.16800601867079298,0.3683137817108133,0.3287564922801708,0.322686179459869,0.14009669268903152,0.25517145013238857,0.1873988347680961,0.3599032209451398,0.4247142730500047,0.13189255099042657,0.05945749699107094,0.17448189329084907,0.379898039846749,-0.14280661689283308
Frontal_Sup_Medial_R,0.8403037581254553,0.5044372540512321,0.12735350805718312,0.02089656224757794,0.5039526867715095,0.12876312341517254,1.0,0.590738778316644,0.6271806687429015,0.64306797221916,0.24991253841024616,0.20277764371365367,0.6514974811611688,0.6673304022060426,0.6793656422966554,0.1586366803429423,0.4069834104631891,0.24477905702299654,0.33358903608806273,0.7386938562492793,0.46646523239301,0.45969552594238133,0.8384745059408608,0.5508511172277039,0.0854077141812094,0.5221140957012442,0.2014001765605012,0.49895042847866317,0.30425003111881765,0.2945146350513776,0.0947132575175084,0.774856888954589,0.1647059020948089,0.05416371269776093,0.7567740460652849,0.057417953506217465,0.48204243162742016,0.5788258236761487,0.14662258510859782,0.2500306541302529,0.33606035249409294,-0.03192323132691759,0.49471668721772266,0.6658255253435765,0.1605574596471524,0.7243339552541731,0.37838539743689253,0.7059738173679027,0.46045306668590197,0.7578501187424881,0.5009735820121688,0.14399690920634736,0.4264425278417068,0.6594674250847742,0.7293511800797924,0.5711546384477921,0.02003305798783513,0.47033674900771355,-0.02087840459198909,0.5434777513753937
Thal_VPL_R,0.6289082813763693,0.3961031739102262,0.24886780852630355,0.26225286192967284,0.4709495652069255,0.06697639324799243,0.590738778316644,1.0,0.536058582280711,0.6997059139216097,0.3373845071664355,0.14687693295351562,0.5105329771161871,0.7315259526383789,0.4057679296854352,0.32651587539909277,0.6032915776461695,0.08138106526295194,0.4345164888581978,0.687839189263789,0.5879514263147371,0.7813605990828679,0.5390646745193985,0.4371069315849582,-0.3038908405172152,0.37148707677432186,0.48450506574781804,0.6171062860056779,0.545753185230149,-0.06915312005378431,0.49431685127374,0.7723003380711606,0.22927969487902072,-0.057432847130747054,0.6234497223838206,0.3955026002810056,0.5274731147729255,0.4366263101051721,0.10238119208526195,-0.08956370513421374,0.21859146062221804,0.23541910735021773,0.4335774811386046,0.7210008037770607,0.0633353996559131,0.6184494516808301,0.4528513365688335,0.6100393492010249,0.41319111423648336,0.6813099155845771,0.39219933005823254,0.2163343139579595,0.2848083357174973,0.46487215219969774,0.7068225614708917,0.47332549552248043,-0.1358872889749651,0.44938125943015933,0.09630279444838576,0.7020620956914091
Precentral_L,0.712729032982873,0.12698686270670978,0.12321159367987303,0.21518893565188366,0.7375314853178596,0.4145362188912048,0.6271806687429015,0.536058582280711,1.0,0.5925765645763379,0.4062451193402897,-0.0005613436112653723,0.8648290372090847,0.300599111427902,0.6239999621757049,0.5091827643973815,0.1803522506381565,0.4825775304803084,0.3578883269443967,0.8460316598049608,0.7168521331104463,0.5219860783702054,0.7705891476450694,0.6713826626442803,0.2165602014485307,0.700115551894622,0.30111060584400434,0.7678687987422845,0.19526643053812398,0.28211791297262656,0.22987364858327008,0.8033388917164235,0.21974189608804715,0.0977236456748275,0.8245905994259629,0.0920194839641769,0.487659003968291,0.5907496741264655,0.22002033781061123,0.47372521694509795,0.35673742162623445,0.12033765443475128,0.643120649600253,0.7412022276631792,-0.015966270721820372,0.8322078921353173,0.4359423245597646,0.8930920138296464,0.6449926593252413,0.785537588564249,0.48138850363667507,0.2668923246208004,0.4654896132574643,0.9402809734525786,0.8784316949663625,0.4584921431057231,-0.07278173666181012,0.5343108233249851,0.29761850287818076,0.39012711223404656
Thal_PuI_R,0.6389746657115184,0.47425442502268506,0.11396060093279836,0.03045391568317344,0.51603142622931,0.1005217624945325,0.64306797221916,0.6997059139216097,0.5925765645763379,1.0,0.21581128884321907,0.211263068701898,0.5850286909312573,0.56058807277964,0.5014280352824851,0.13616321898683573,0.4966600782577218,0.4492408630472547,0.3938779366161854,0.6197749875624209,0.4371625460099146,0.4766193800497835,0.6158304651017054,0.3898031442167247,0.016245632862670153,0.4021554164014387,0.0960273490304413,0.47469574756572197,0.2353696919240497,0.054780342075315916,0.20330302117545182,0.6662268822343508,0.20174862380954356,0.19464972215856424,0.6686297204315905,0.16873682990324276,0.5354864389464626,0.4593071872656418,0.09870031684621632,0.2880304600351685,0.20812036542405524,0.22302295038921857,0.3698534329256014,0.6142674317322033,0.12913331052714572,0.6090786855130997,0.2505229055094926,0.61625294184417,0.47649439293412144,0.6408005237808745,0.3226373911077804,0.19996543844055978,0.4328408888569261,0.6152571276650706,0.6300624413584704,0.36499521524689993,-0.08919935258324511,0.3911366383306268,0.10208605346796551,0.550564989010339
