,Temporal_Inf_L,Occipital_Inf_R,Temporal_Mid_R,Thal_VL_R,Frontal_Med_Orb_R,ACC_pre_R,ACC_sup_L,Cerebellum_9_L,OFClat_L,OFCmed_L,OFCant_L,Thal_AV_R,Cingulate_Post_R,Precuneus_L,Thal_VA_L,Thal_MGN_R,Olfactory_R,N_Acc_R,N_Acc_L,Vermis_7
Temporal_Inf_L,1.0,0.2847556248685896,0.0711823621863422,0.16470141785505868,-0.18668816524161316,-0.4159168648335467,-0.09118461409379629,0.46790686854563435,-0.18812294776216273,0.2338425960558342,0.35673031334837885,-0.07879690351588375,0.40277951559903086,0.2968934420645291,0.008596950417793136,0.08804984286919809,-0.1890438531513879,-0.020197434271002408,0.0018265605975086576,0.13424799904172313
Occipital_Inf_R,0.2847556248685896,1.0,0.4326092623592499,0.20299858814668742,-0.02606443240011078,-0.04189861699259923,0.16688144549996947,0.33040390059733576,0.006080607098762973,0.1810367002426366,0.09508442979577135,0.26599074615216967,0.469091530234266,0.4635232422527393,0.09236423266471214,0.2113895138853814,-0.09259684980620844,0.20026981848126513,0.1026311569243854,-0.2941656581292539
Temporal_Mid_R,0.0711823621863422,0.4326092623592499,1.0,0.3185694562318066,0.39128026767150864,0.14389452022601074,0.07658703986174678,0.19302171105234378,-0.1277878722456352,0.3428861922022201,0.35154499524765703,0.22907315882408877,0.3649119089994484,0.45522101661022657,0.33406889292264313,0.5645536832346564,-0.22500822242430438,0.14976563038820484,-0.012306729105687551,-0.3510216457164799
Thal_VL_R,0.16470141785505868,0.20299858814668742,0.3185694562318066,1.0,0.3289676641575935,0.17243092324513073,0.37926468945937375,0.19807178283670848,0.2017865411441367,0.2506268661848892,-0.007948801071237773,0.2734573835621456,0.43782183441137484,0.47774412201339017,0.6637950631196213,0.51302314885817,0.010053972229094727,-0.061391305748256124,0.1555027347431872,-0.2676067473886424
Frontal_Med_Orb_R,-0.18668816524161316,-0.02606443240011078,0.39128026767150864,0.3289676641575935,1.0,0.27179420934346854,0.0473247180512841,-0.24991136409774098,-0.09631756139765643,0.2414531464369776,0.17389460751501098,0.06399857218667623,0.04647895351228347,0.1059659025194896,0.415727328764506,0.47340032302501317,0.08747395059420639,-0.10199632301811551,-0.05817753373342188,-0.3520706187450856
ACC_pre_R,-0.4159168648335467,-0.04189861699259923,0.14389452022601074,0.17243092324513073,0.27179420934346854,1.0,0.3915846892934818,-0.04474138751099956,0.0401295698300606,-0.0164130526060035,-0.30260106546436094,0.1621652876126217,-0.10489216034825699,-0.039587677610224,0.059380209283269814,0.04133697455779373,0.015152551890557845,0.02785710461872464,0.016707346904362975,-0.06137933580975666
ACC_sup_L,-0.09118461409379629,0.16688144549996947,0.07658703986174678,0.37926468945937375,0.0473247180512841,0.3915846892934818,1.0,0.46110643474433927,0.01172026869964884,0.27302405823162323,-0.22650347860523978,0.10342540398732465,0.613070544443904,0.5171160909336763,0.13915681472329952,0.17654973451293726,0.017025154646732574,0.24801526906718072,0.10591218333814947,0.09908754911755537
Cerebellum_9_L,0.46790686854563435,0.33040390059733576,0.19302171105234378,0.19807178283670848,-0.24991136409774098,-0.04474138751099956,0.46110643474433927,1.0,-0.34357885069197586,0.33385796891968855,0.21248706625338873,-0.0919770857152132,0.6965060863820441,0.5672149360639591,-0.050533245910280536,0.17305232239153195,-0.11074429557711689,0.30803229845094515,0.03973565120327665,0.21761519993240688
OFClat_L,-0.18812294776216273,0.006080607098762973,-0.1277878722456352,0.2017865411441367,-0.09631756139765643,0.0401295698300606,0.01172026869964884,-0.34357885069197586,1.0,-0.14452632761368864,-0.4455295109893866,0.19716500217301003,-0.16206386945677625,-0.05766749747396923,0.22297306939837883,-0.03293448502920198,0.00944063767325751,-0.054522948171387066,0.1310245943896178,-0.25896853539079673
OFCmed_L,0.2338425960558342,0.1810367002426366,0.3428861922022201,0.2506268661848892,0.2414531464369776,-0.0164130526060035,0.27302405823162323,0.33385796891968855,-0.14452632761368864,1.0,0.22427817616768847,-0.08854397010754593,0.4858047024823574,0.4066986974221652,0.230858026018676,0.5251239319738116,-0.0825636327471468,-0.05329787195877319,-0.0196241782145028,-0.13065899231176306
