,Precentral_L,Heschl_L,Thal_LP_L,Thal_LGN_R,VTA_L,ACC_sup_R,Temporal_Pole_Sup_R,Thal_IL_R,Cingulate_Mid_L,Temporal_Sup_R,Cerebellum_3_L,Olfactory_L,Cuneus_R,Precuneus_R,Hippocampus_L
Precentral_L,1.0,0.6836143384376426,0.41682858278983803,0.4434232350301897,0.28211791297262656,0.3654311119746364,0.3056405417916516,0.18419254823839382,0.8136055130873145,0.3134232728587876,0.8648290372090847,-0.043989996954309996,0.3835804219706415,0.7678687987422845,0.8820119786565556
Heschl_L,0.6836143384376426,1.0,0.24132253516656585,0.27663344751144553,0.2760057772774453,0.24164735605131696,0.28866889263997947,0.09303461814995792,0.5189350092871001,-0.02288864771150393,0.6594065914223967,-0.016173180216606353,0.031437549029256814,0.3929831353372266,0.7342555434211924
Thal_LP_L,0.41682858278983803,0.24132253516656585,1.0,0.23510187966710333,0.09152709609222064,0.6968282893022997,-0.10892779052809631,0.1399593356696926,0.5040625600884797,0.3661801505511982,0.463133800502108,-0.2992687389860891,0.03619480624124149,0.38157767959105304,0.4905016849593286
Thal_LGN_R,0.4434232350301897,0.27663344751144553,0.23510187966710333,1.0,-0.29736795389943876,0.33118286616948234,0.3585823340629705,0.4782499740789099,0.37924535233181345,0.255023750924903,0.29006075906708234,-0.03247857485666393,0.41023884523511767,0.46814598104548244,0.30151531412675914
VTA_L,0.28211791297262656,0.2760057772774453,0.09152709609222064,-0.29736795389943876,1.0,-0.28978780925220693,-0.1547780011829719,-0.10280832658647843,0.16808586018513386,-0.0963733605871373,0.267781252441739,-0.19131442670774973,-0.1787956032364645,0.11155955630229347,0.4174613685088945
ACC_sup_R,0.3654311119746364,0.24164735605131696,0.6968282893022997,0.33118286616948234,-0.28978780925220693,1.0,-0.06243288424570079,0.22327569919212642,0.48079337021487506,0.3783854331218125,0.39409467805154025,-0.10721989688581347,0.08629587872564483,0.3286161844133886,0.38149255082617495
Temporal_Pole_Sup_R,0.3056405417916516,0.28866889263997947,-0.10892779052809631,0.3585823340629705,-0.1547780011829719,-0.06243288424570079,1.0,0.05245906921406227,0.19238018645003993,-0.06952528463103104,0.18326371758237292,0.3080136195852286,0.2677085893334057,0.24495476316202666,0.20174380276618806
Thal_IL_R,0.18419254823839382,0.09303461814995792,0.1399593356696926,0.4782499740789099,-0.10280832658647843,0.22327569919212642,0.05245906921406227,1.0,0.2577254631458726,0.5043847862008067,0.09464943453659408,0.0847508700948278,0.21634286902444638,0.26574380469220404,0.09135755474640646
Cingulate_Mid_L,0.8136055130873145,0.5189350092871001,0.5040625600884797,0.37924535233181345,0.16808586018513386,0.48079337021487506,0.19238018645003993,0.2577254631458726,1.0,0.485445534333819,0.7716638011044632,-0.07402159071461539,0.3628410933844986,0.7332396817804475,0.7364775538578696
Temporal_Sup_R,0.3134232728587876,-0.02288864771150393,0.3661801505511982,0.255023750924903,-0.0963733605871373,0.3783854331218125,-0.06952528463103104,0.5043847862008067,0.485445534333819,1.0,0.3558908338624235,-0.05891501831749319,0.30370756842263436,0.5696160104255689,0.25456571960619945
Cerebellum_3_L,0.8648290372090847,0.6594065914223967,0.463133800502108,0.29006075906708234,0.267781252441739,0.39409467805154025,0.18326371758237292,0.09464943453659408,0.7716638011044632,0.3558908338624235,1.0,-0.08954648485704471,0.3565222733957045,0.7369107726651095,0.835554237048394
Olfactory_L,-0.043989996954309996,-0.016173180216606353,-0.2992687389860891,-0.03247857485666393,-0.19131442670774973,-0.10721989688581347,0.3080136195852286,0.0847508700948278,-0.07402159071461539,-0.05891501831749319,-0.08954648485704471,1.0,0.043790029350585284,-0.02862086089472663,-0.10465877086047527
Cuneus_R,0.3835804219706415,0.031437549029256814,0.03619480624124149,0.41023884523511767,-0.1787956032364645,0.08629587872564483,0.2677085893334057,0.21634286902444638,0.3628410933844986,0.30370756842263436,0.3565222733957045,0.043790029350585284,1.0,0.5722246802140774,0.1686547727399597
Precuneus_R,0.7678687987422845,0.3929831353372266,0.38157767959105304,0.46814598104548244,0.11155955630229347,0.3286161844133886,0.24495476316202666,0.26574380469220404,0.7332396817804475,0.5696160104255689,0.7369107726651095,-0.02862086089472663,0.5722246802140774,1.0,0.7264249817924708
Hippocampus_L,0.8820119786565556,0.7342555434211924,0.4905016849593286,0.30151531412675914,0.4174613685088945,0.38149255082617495,0.20174380276618806,0.09135755474640646,0.7364775538578696,0.25456571960619945,0.835554237048394,-0.10465877086047527,0.1686547727399597,0.7264249817924708,1.0
