,Parietal_Sup_L,Thal_MDl_L,Postcentral_R,Vermis_7,Thal_VL_R,Thal_PuI_R,Thal_AV_L,Cerebellum_8_L,Angular_R,Temporal_Mid_R,Raphe_M,Thal_VPL_R,Thal_VA_R,Thal_AV_R,Heschl_R,VTA_R,Vermis_9,ACC_pre_R,Temporal_Sup_L,Rolandic_Oper_R,Thal_MGN_L,Amygdala_R,OFCant_R,Hippocampus_L,Thal_MDm_L,Red_N_L,Frontal_Sup_2_L,Frontal_Inf_Oper_L,Pallidum_R,Paracentral_Lobule_L,Raphe_D,Cerebellum_6_L,Vermis_3,Thal_PuA_L,Temporal_Inf_R,Thal_VPL_L,Frontal_Mid_2_R,Heschl_L,Frontal_Sup_Medial_L,Cerebellum_8_R,Cerebellum_Crus2_R,SN_pr_R,Vermis_8,Angular_L,Thal_PuL_L,ACC_pre_L,ACC_sub_L,SN_pr_L,Calcarine_R,Cerebellum_9_R
Raphe_M,0.553351365942109,0.3893294253791392,0.5610401996838713,-0.08982256321804832,0.47580989890856923,0.4924085431105137,0.2769471787754217,0.5218084737881304,0.4282864748546749,0.19800117074049708,1.0,0.49631453343408766,0.16704172532551434,0.14005362806121685,0.20963357790302972,0.15431244741569017,0.2021125311405105,0.02752633760754704,0.15570870712144047,0.202508008644955,0.3891568607523048,-0.062336084021904256,-0.16216445509577637,0.5221110028907513,0.3920455927266421,0.33762309774783444,0.6167150819575972,0.12972374893607125,0.24251897506116368,0.6575562260836137,0.44250384477309535,0.2510354819368171,0.5804469210854667,0.2814272434869215,0.1588159574046927,0.5280498049320562,0.4986122807799857,0.36444489773885386,0.6468750227756542,0.5513282498022699,0.22061526621731561,0.3263439730342324,0.13697346228866192,0.34735119098850314,0.43170009482240085,-0.08792441366785352,0.0006411104730951644,0.17656106255835008,0.38733142856705854,0.3041956241516654
Thal_VPL_R,0.4371069315849582,0.6710459680400147,0.7723003380711606,-0.37086800781542306,0.7081315347131397,0.6997059139216097,0.4873636358333963,0.37148707677432186,0.5451437199563148,0.545753185230149,0.49631453343408766,1.0,0.22927969487902072,0.32503905093848906,0.6032915776461695,0.438866034890454,-0.05118103249117409,0.11746394689689776,-0.17667214721045063,0.5291299603836978,0.5830803766485579,0.010336034660576771,-0.06740849978672189,0.4982069505259058,0.7320463425900475,0.44118904521072866,0.6813099155845771,-0.2834561927519009,0.4359784156042775,0.7068225614708917,0.4345164888581978,-0.10889358234695164,0.6525457111488345,0.21256293197834825,0.3767091471157057,0.7715580944855766,0.6100393492010249,0.3147817519500575,0.5390646745193985,0.43376164930383854,0.3955026002810056,0.7076229102533941,-0.19413522942439435,0.06697639324799243,0.4366263101051721,-0.1358872889749651,0.24886780852630355,0.21859146062221804,0.4171867166624683,0.41319111423648336
Thal_VA_R,-0.031133159958310175,0.49308260713790264,0.13734771913244603,-0.1122716914018077,0.4964053534497577,0.20174862380954356,0.5195844363484863,0.1612165871613501,-0.05203285983922512,-0.13729833234027086,0.16704172532551434,0.22927969487902072,1.0,0.3115254232851342,0.20052722559194694,-0.12670867928612992,0.015107541363280545,0.35425603346269446,0.10658833908845369,0.1506752103599894,0.18422806275222667,-0.15710783112320678,-0.12111173683888131,0.18954526913052974,0.5520608775111168,0.336023556661053,0.27982186205105675,0.25259293835171426,0.11153866156139383,0.17452940777710083,0.026526265285705224,0.17098658253320279,0.10372360526738435,0.10572228737852066,-0.06542475753697999,0.2554022357632968,0.22272929625021978,0.27710830005516507,0.3537399259137299,0.2121421901538297,0.024801625832682486,0.19399538401442293,-0.07071834230932725,0.19700949161937267,-0.058467313450452925,-0.06297810816082283,0.22504681371460028,0.2259762431906129,-0.0476700544308819,0.10885056859841694
Thal_AV_R,0.08261098946243485,0.4617939545526805,0.1801923510088922,-0.23676971564065624,0.2734573835621456,0.10120307735932527,0.34157375666710643,0.05310435453081804,0.1740880759328703,0.22907315882408877,0.14005362806121685,0.32503905093848906,0.3115254232851342,1.0,0.2770907209489881,0.1416505798877794,-0.17458771814043106,0.1621652876126217,-0.05473975290383275,0.07089766857451361,-0.014813445349741926,-0.00332605133210136,-0.11031754261914083,0.077199225971921,0.38876196302261323,0.4133355009084646,0.15888865994248863,-0.12075144262568688,0.14840745595786864,0.15345097968445098,0.13804239883139793,0.027408349069490273,0.2030311853893347,0.057578138849601564,0.10611788330566177,0.17419153939716125,0.14677720367763042,0.11399517012687718,0.10453961653149846,0.12368898900782967,0.13313530852534144,0.22255268179479135,-0.16324058932475377,0.1718897931497554,0.0812430666731259,-0.049172234446261474,0.20741114950266357,0.011267838035005822,0.14009719147722827,0.01707688095891688
Heschl_R,0.21421599510421338,0.5485733016427424,0.49733818027125704,-0.07963755624002507,0.5513993544469143,0.4966600782577218,0.3795208317410504,-0.0408565014258913,0.1976281332301455,0.581192696550865,0.20963357790302972,0.6032915776461695,0.20052722559194694,0.2770907209489881,1.0,0.28334657051925244,-0.24061974100405475,0.3775844155140776,-0.17312420584852634,0.7868522591216828,0.3811897683896185,0.0011747378969009154,0.12320514595969405,0.21237535669592122,0.45282723099958194,0.11783993818950417,0.27155768943043657,-0.3062927371170619,0.27669639551722397,0.25192139444726463,0.15544797943541752,-0.1919316167155727,0.23110165364942553,0.05134261196687889,0.009637517738574873,0.4000158997557253,0.30227600716375996,0.13317900391736456,0.24610652023000062,-0.08113284569867699,0.07341003139212726,0.35339634216504817,-0.23255228712146858,-0.12284944228928989,0.12657500589728266,-0.0803662046325297,0.31643541478219883,0.009069777183697843,0.36512298420311196,0.247060763803743
VTA_R,0.2536340908498479,0.16007904458269773,0.3756739830434643,-0.26144545113407214,0.0739248833609892,0.13660009378594531,0.2788625396353901,0.14158361742697656,0.3207614024877653,0.4932379522912125,0.15431244741569017,0.438866034890454,-0.12670867928612992,0.1416505798877794,0.28334657051925244,1.0,-0.0991115032703269,0.284845384385151,-0.37183492545186914,0.27955274634821986,0.24492429479384448,0.3135044437427263,-0.08445698341007582,0.058739246051391615,0.23278980023398685,0.057804325410657775,0.2990536662932713,-0.45052249570968816,-0.02656069823410892,0.34009501940287384,0.13273951301365763,-0.41391451992503087,0.18550543200355615,0.15729038642057955,0.23197142580767996,0.29978686832711915,0.22286499280430813,-0.055804803612924746,0.1589441171894525,0.07412644024057236,0.35331967003871356,0.3588742748087721,-0.17938537122588874,-0.036048542043477516,0.42217474760448315,-0.11943533930752705,0.1689964262310606,0.12323633770443533,0.16346797240063843,0.06615661222417467
Vermis_9,0.36794102390779876,-0.13221499627568256,0.2662262991927257,0.422661213619533,-0.015376604584444831,0.18736069838972316,-0.16290655118530686,0.5164573015178135,0.10143398833905402,-0.3108686827665965,0.2021125311405105,-0.05118103249117409,0.015107541363280545,-0.17458771814043106,-0.24061974100405475,-0.0991115032703269,1.0,-0.20881526302759276,0.5374344567881829,-0.17384887961509482,0.20736299550401457,0.00245204274357537,0.3361222280586341,0.5789255131561138,-0.06708936638602325,0.4518089442308965,0.2784948007660468,0.47890829684508796,-0.24046993019767815,0.33485381263044833,-0.19365097794254435,0.36040491855033746,0.12071035621736433,0.2592006570014135,-0.0747520923430093,0.36862620966699683,0.4301098742312703,0.5883228846780848,0.49347247642582537,0.2780230517726437,-0.44597620332257215,-0.025895733908229024,0.549756277958746,0.17530145485919912,0.22899256020983333,0.06343341571387025,0.04576083394619066,0.44144345547137764,0.014646553249100155,0.5597793015517236
ACC_pre_R,-0.05163084457928234,0.22238318866498638,0.07370971342902134,-0.06137933580975666,0.17243092324513073,0.0011288055806029707,0.49373121371871215,-0.22835643161307045,-0.129228858520766,0.14389452022601074,0.02752633760754704,0.11746394689689776,0.35425603346269446,0.1621652876126217,0.3775844155140776,0.284845384385151,-0.20881526302759276,1.0,-0.2999684883347286,0.40188683713290785,0.11716510374463703,0.023032244477498253,-0.03449199671044499,-0.07662610908952729,0.17082246491335154,-0.14567338871316257,0.08085788422794273,-0.1867320208613204,-0.17091452260715723,0.005615693508533553,-0.045485091427154116,-0.2971326607722784,-0.12915602813650243,0.15496934091309789,-0.2934598086370201,0.02299243601031411,0.037389988185111,-0.08808303052981634,0.065643589956812,-0.173181195334637,0.05342695507344469,0.1831847181241004,-0.16497048909732662,-0.03090310201942644,-0.003650041959290221,-0.30262389686477803,0.25140879290017754,0.03759332682118983,-0.10483094146425122,-0.0514445955437898
Temporal_Sup_L,0.2892716162135429,-0.016703124885931685,0.06333520169860245,0.30724194176888764,0.010400502620404522,0.21729270816078142,-0.10400813665921278,0.32403450303471865,-0.029293284090726273,-0.3744643771019729,0.15570870712144047,-0.17667214721045063,0.10658833908845369,-0.05473975290383275,-0.17312420584852634,-0.37183492545186914,0.5374344567881829,-0.2999684883347286,1.0,-0.345769147873201,0.04409641829430507,-0.0005737060364745071,0.25103098379518024,0.5199571259099541,-0.004651833018972788,0.2893261566690899,0.17065504949455793,0.8088281874109052,-0.21387673125409354,0.17076828443228406,-0.15156377333969406,0.7312854481951478,0.22195710904914934,0.2168616355532579,-0.1881676187205145,0.301954638418234,0.31366204858673435,0.7456702132495432,0.3118785524658485,0.21507503205861445,-0.3230967022079218,-0.18650400139588597,0.34937798091943345,0.2512225579251311,0.09474095692316363,0.140826943114275,-0.025468673968169524,0.06751717034594046,0.29214665562530256,0.3710642746856442
Rolandic_Oper_R,0.11846114727371153,0.46412415750090363,0.457932450935814,-0.011137693656829208,0.5571999676204507,0.41173470949241575,0.34976003392669863,-0.040500383414827715,0.07441405610834605,0.49282258844213606,0.202508008644955,0.5291299603836978,0.1506752103599894,0.07089766857451361,0.7868522591216828,0.27955274634821986,-0.17384887961509482,0.40188683713290785,-0.345769147873201,1.0,0.4564840227826298,-0.12820986056136754,0.09756746559712655,0.1233768861583215,0.4224041581856405,0.07711956795244237,0.2146396743556465,-0.38683343557995215,0.3327212774523797,0.16108259190435736,0.13961494102084268,-0.2947500938210354,0.037750311735424535,-0.021179077644035166,-0.018484946735618974,0.30982328648616253,0.23428220724742524,-0.031710526860292014,0.2565726705108792,-0.10810035746711605,-0.020901686574311282,0.40042575992544627,-0.10474507622207871,-0.2803765014435331,0.07370755286632558,-0.10025569726019813,0.2705395503521332,0.09558796084789636,0.13553407363889272,0.13391095106783205
