,Amygdala_L,Frontal_Med_Orb_L,Angular_L,Cerebellum_8_L,Thal_MDm_L,Thal_VL_R,Paracentral_Lobule_L,Thal_AV_R,Cerebellum_3_L,Thal_MGN_R,Parietal_Sup_L,Raphe_D,Temporal_Mid_R,OFCant_L,Cingulate_Mid_R,Heschl_R,ParaHippocampal_L,Paracentral_Lobule_R,Thal_LP_L,Red_N_L,Precuneus_R,Precuneus_L,Thal_VPL_L,Frontal_Sup_2_L,Thal_PuL_R,SupraMarginal_R,OFCpost_R,Thal_PuA_L,Vermis_4_5,Cerebellum_Crus1_L,Frontal_Sup_Medial_R,Hippocampus_L,Calcarine_R,Occipital_Sup_R,Frontal_Med_Orb_R,Cerebellum_7b_R,Frontal_Inf_Orb_2_L,Rectus_L,Occipital_Mid_R,Temporal_Pole_Sup_R,Thal_MDm_R,Frontal_Sup_Medial_L,Temporal_Sup_L,Amygdala_R,Fusiform_L,ParaHippocampal_R,Caudate_R,VTA_R,Olfactory_L,Lingual_L,Red_N_R,Cerebellum_Crus2_L,Insula_R,Cingulate_Post_L,Parietal_Inf_R,ACC_sup_L,Thal_IL_L,N_Acc_R,Thal_LGN_L,Postcentral_R,Thal_MDl_L,Vermis_6,Cerebellum_6_R,Cuneus_L,ACC_pre_R
Amygdala_L,1.0,-0.02597121931033656,0.0111919745732367,0.05889812470947405,0.0511821094785085,0.022748682975855822,0.027285203300817584,-0.09794105839241003,-0.07218051685049363,0.08869842716181782,-0.015845827841347918,0.17366514140524159,0.1897884058702026,-0.07169719611673939,-0.02109465273851014,0.04396385356753188,-0.18557041215509879,0.0058809289609666315,-0.15262270754524068,-0.03717289423073401,-0.08322132951950512,-0.046428539901250586,-0.010155734402279227,0.035325010288049255,-0.10526996128789821,0.022721714264499152,0.0005701935527640745,-0.10797394886658972,0.07583569020068633,0.11647268877581135,0.09248517335596104,-0.17191526525977258,0.011247005291236501,-0.035934275428638626,0.2146130794347931,0.1174838372496883,-0.12273183788626142,-0.07339217232741384,0.25135467442486564,-0.06022077726287198,0.12596601324436627,-0.04588685129265887,-0.20015549399513483,0.05171507965744136,-0.1445047945739397,0.002305803382880183,-0.06973441209343505,0.2657191076075593,0.03176269434811675,-0.08058889700296215,0.07696875220084991,0.01412757892058722,0.17572483043895498,-0.03713342552925901,0.12845621580370425,0.038168468453099715,0.06998123317184864,0.04048071880152046,-0.07914304606430264,0.04143772758263848,0.037479793448634446,-0.15322022180232675,0.1609359947961435,0.09986148806939844,0.13153884234444738
Frontal_Med_Orb_L,-0.02597121931033656,1.0,0.1106410242594925,-0.06939038763338444,0.012960115162651473,-0.011811694400928543,-0.028482332529290205,-0.03654530981209303,0.003644408723903968,-0.14380230523978974,-0.15131359976802344,-0.18153603778476343,-0.3944253095533648,-0.23618348582195828,-0.06373448644329475,-0.17931831284261177,0.14165153371510694,0.025568497698826326,-0.010435493044695585,0.06369968145386327,-0.1475397143650873,-0.0821722223797073,0.021146515490777833,-0.0017311200840717986,-0.08262579205452839,-0.18002945526495187,-0.3143081536378419,0.008482554280503648,-0.2077686523824119,-0.05625947549704173,-0.027029198873519098,0.03843646083932037,-0.32670187253533456,-0.35240850565467363,0.10575222514959282,0.2757665860652489,-0.014219966355213262,-0.022873264366203454,-0.2858813857017363,-0.06370915084351701,-0.09745844001591665,0.07031306309033702,0.1447209900259594,0.04464872459107585,0.06380048698836834,-0.23625543769541751,0.059156931027887334,0.003610644179757143,-0.006436218444919417,-0.14623069779710182,-0.15550917417047055,0.19637508632334844,-0.2330552176934298,-0.10753630959823439,-0.04806260765679429,0.029429604406500484,0.11684727996140136,-0.08378346677397133,-0.1098173210875826,-0.11096260569177417,-0.11608185715868452,0.1510087866291244,-0.25325700165335374,-0.2910685272722368,0.01679388027185981
Angular_L,0.0111919745732367,0.1106410242594925,1.0,0.4103992965399838,-0.022405385033371084,0.049779097549659035,0.4247142730500047,0.1718897931497554,0.37080892790814396,-0.21479398385331042,0.492980558585745,0.2929573012749157,-0.0255513264372985,-0.12967049739622696,0.41791421232298787,-0.12284944228928989,0.368328665140158,0.4147061162978762,0.10842029676090201,0.20339632283147807,0.4441701306351673,0.4404659634403063,0.17280047948787922,0.322686179459869,0.17448189329084907,0.21908686324177248,0.14171359266846423,0.4544143615596398,0.4098272284534741,0.25517145013238857,0.12876312341517254,0.3751214641389889,0.24703398720624645,0.4964014214544665,-0.234968011131242,-0.19505587551045944,0.1919600040711514,0.17690028463073118,0.37383756884062863,0.17884708285192896,-0.09177768293248427,0.3723431411794516,0.2512225579251311,0.16516913190822838,0.43730565175342573,0.05251901568523948,0.41399867606505825,-0.036048542043477516,0.014688878205940356,0.14800839143990932,-0.04211789188640697,-0.21729998469451495,-0.16965634240550162,0.2140472124392512,0.21214383700768874,0.23743038517603293,-0.044018023333261276,0.2869065001840266,-0.14280661689283308,0.23186360113903323,0.039920138473946015,0.2081286719375543,-0.018934276466630477,0.5165006265627095,-0.03090310201942644
Cerebellum_8_L,0.05889812470947405,-0.06939038763338444,0.4103992965399838,1.0,0.27120194450350305,0.3211650055185986,0.7185159497647122,0.05310435453081804,0.5494742674207778,0.2524567469829414,0.6142003401068679,0.37003589538992293,0.1598530311038967,-0.048580192624694166,0.6990902711445116,-0.0408565014258913,0.5165811401700139,0.6555545051073547,0.3399450323547914,0.47165235047020665,0.5562550030755455,0.6505209539592448,0.533147586894423,0.6554484687338734,0.5051781997683277,0.4418271406255315,0.17994301286914466,0.32805039825479604,0.541884001171406,0.529345360082571,0.5221140957012442,0.6377280384512803,0.38214789413027184,0.45838659573877255,-0.13571012876278635,-0.2958847375605804,0.36416844300983864,0.5204088692726377,0.29075005147254873,0.4476229577023938,0.11197879759590154,0.6650358905122142,0.32403450303471865,-0.04262886999446751,0.5914951514991053,0.3937484564767381,0.4709473728315621,0.14158361742697656,-0.05694946814412161,0.2790055290064368,0.42712112470029096,-0.2452376799658063,-0.14597991613139147,0.543594271796919,0.3071068035924629,0.4913035947900466,0.15944376259521603,0.2464794488550833,0.28493549648707117,0.6360685208577594,0.17375068496643983,0.09167516816099515,-0.10814243255234765,0.39270050441168597,-0.22835643161307045
Thal_MDm_L,0.0511821094785085,0.012960115162651473,-0.022405385033371084,0.27120194450350305,1.0,0.7708980362069736,0.452502391824961,0.38876196302261323,0.3007347093929948,0.34934674164787255,0.09263971740451468,0.3059223704055924,0.17479039725965312,-0.2097427728458675,0.40903169025119535,0.45282723099958194,0.15013406645667215,0.37626093045489256,0.17652553050282058,0.5602337588519178,0.3387914144829777,0.37946070754543365,0.6498396502925261,0.5187318200038937,0.25945152402449906,0.3023035175748888,0.0156572201154038,0.028498052337775658,0.27765243305990583,0.017656916552792806,0.3514412377918074,0.314096596336817,0.27919308890147043,0.05542973247742769,0.29736844899821446,0.18931716099604237,-0.017523571999461827,0.07877743806919493,0.00822294388852011,0.07867554569430221,0.9003474389700844,0.4295699722502052,-0.004651833018972788,-0.22678530460951563,0.05138733942564553,0.49423910142993666,0.4941251222174199,0.23278980023398685,0.06694646437282717,0.1682358733956473,0.686387251519551,0.07847880949741855,0.413074282295476,0.4282745713708233,0.05673319009366593,0.39928106267158137,0.7518286768694252,-0.06546829421061996,0.4454612123709991,0.44295778765061894,0.8345245330845098,-0.36026548094747163,0.2792166913779062,0.16052984784790242,0.17082246491335154
Thal_VL_R,0.022748682975855822,-0.011811694400928543,0.049779097549659035,0.3211650055185986,0.7708980362069736,1.0,0.5138091082085569,0.2734573835621456,0.4529164237333198,0.51302314885817,0.2584031346288593,0.349714907475976,0.3185694562318066,-0.007948801071237773,0.5049404123410687,0.5513993544469143,0.27027235938603084,0.49543484144967126,0.5951302312569169,0.4367008500515113,0.43037807432049163,0.47774412201339017,0.6119577472518342,0.599044597981528,0.3189721144490026,0.4487126093333987,0.05398522456093618,0.13954183666175318,0.4250166124596367,-0.023581810043840794,0.5648519375899221,0.4521498296886221,0.3891716744021462,0.13531299467726327,0.3289676641575935,0.09591642327329174,-0.011481214827954972,0.22317283285218864,0.057514339176795534,-0.0771808718588369,0.6501879895782064,0.5601911006850897,0.010400502620404522,-0.14528496433527222,0.21287214890195857,0.49950027632608607,0.609488082025435,0.0739248833609892,-0.018165585650880105,0.24044221967965973,0.5653363612486847,0.1715497845692002,0.5295327285829617,0.49859942579865385,0.23541212074854367,0.37926468945937375,0.6169748415641079,-0.061391305748256124,0.5428326770692897,0.5727165169118159,0.7866619695369982,-0.4204756611862452,0.44232032980088215,0.19293875869598723,0.17243092324513073
Paracentral_Lobule_L,0.027285203300817584,-0.028482332529290205,0.4247142730500047,0.7185159497647122,0.452502391824961,0.5138091082085569,1.0,0.15345097968445098,0.7901980091557367,0.43687265943014375,0.6821371305130495,0.4904477357823997,0.3231632414857252,0.03929307366768679,0.9286941816204822,0.25192139444726463,0.6247677399565488,0.9187075217900156,0.42209936328313546,0.4238805464937292,0.7854219252236821,0.8608812662265584,0.7716960721836511,0.8627597919751433,0.551488962802345,0.6920387619087078,0.22384696123059866,0.4967154702899023,0.7507336873047622,0.33848329676167027,0.7293511800797924,0.7813058962685081,0.564451007477875,0.5111659649543966,0.13751061357064484,-0.18410873985330076,0.13175327583494387,0.5713035336214468,0.29251670604400537,0.2984455825002683,0.2973626982648955,0.7900956388485608,0.17076828443228406,0.1127276260743168,0.5587980475150295,0.6324204559406218,0.5866187989309256,0.34009501940287384,-0.015339290224517715,0.34624212197747933,0.5238072996344164,-0.12932538236464025,0.19828746856215865,0.7945716598499902,0.5358356480749578,0.6181414835466537,0.3056037298143301,0.25189678202299837,0.5471514560249355,0.87382271649993,0.4068570774452879,0.0003070357667664076,0.14362878446382574,0.43266262529235944,0.005615693508533553
Thal_AV_R,-0.09794105839241003,-0.03654530981209303,0.1718897931497554,0.05310435453081804,0.38876196302261323,0.2734573835621456,0.15345097968445098,1.0,0.1514389871781843,0.0159558213099619,0.08261098946243485,0.13804239883139793,0.22907315882408877,-0.10866554955957727,0.15420830806782876,0.2770907209489881,-0.003902016517051747,0.19214686652283708,-0.020693286243827342,0.4133355009084646,0.2494452420057099,0.2242372067820383,0.17419153939716125,0.15888865994248863,-0.029236486543999136,0.21524685404738927,-0.04227114305061053,0.057578138849601564,0.19180018362464893,0.05686862506123706,0.009785972872287696,0.077199225971921,0.14009719147722827,0.20495448942226657,0.06399857218667623,0.21844114140242074,-0.08805057451013544,-0.11307070279363719,0.09006231733347353,0.14939144694932835,0.4750869735064259,0.10453961653149846,-0.05473975290383275,-0.00332605133210136,-0.06703208091155052,0.2646772610222407,0.2510495162460067,0.1416505798877794,0.048546805671092354,0.06091802906779601,0.3516438930781614,0.09315940676542189,0.26202262490216516,0.1759400719935713,0.05057012457246679,0.10342540398732465,0.16062829591704336,0.13105953170939422,-0.030147156559229206,0.1801923510088922,0.4617939545526805,-0.14485147523332617,0.26150873749351117,0.19815876732775767,0.1621652876126217
Cerebellum_3_L,-0.07218051685049363,0.003644408723903968,0.37080892790814396,0.5494742674207778,0.3007347093929948,0.4529164237333198,0.7901980091557367,0.1514389871781843,1.0,0.28656059634771774,0.6764293164453693,0.35665974172864595,0.27422165024957024,0.19071444119774889,0.7871714144383142,0.3022005379975308,0.7702513440648527,0.7687007436098949,0.463133800502108,0.3606987668893947,0.7369107726651095,0.7898610844401242,0.7077498431310282,0.7154952802667489,0.48951967652250616,0.5729396545562838,0.2455653243927614,0.5754923866293439,0.8198124775300626,0.15376886419894173,0.6514974811611688,0.835554237048394,0.6874945459460806,0.496084830613104,0.07029830725889653,-0.35953007247505353,0.2671669528469748,0.5272534109195632,0.1922140633342154,0.18326371758237292,0.10183034191946076,0.7165278184408505,0.49133051666115557,0.21197369444928416,0.727163212414843,0.431020082545896,0.5764294255335995,0.13659295563063217,-0.08954648485704471,0.6157680713096103,0.30448214508696975,-0.0951636225744226,0.10156548467921642,0.7260758463026732,0.4618957291949154,0.5735258249183511,0.30813383835797514,0.13824402802234192,0.38095038031331513,0.7540602495087659,0.32867425975225634,0.015606486320589594,0.18065647504820004,0.30547010869949254,-0.05794277314323674
Thal_MGN_R,0.08869842716181782,-0.14380230523978974,-0.21479398385331042,0.2524567469829414,0.34934674164787255,0.51302314885817,0.43687265943014375,0.0159558213099619,0.28656059634771774,1.0,0.2677388922860725,0.30086367904600486,0.5645536832346564,0.25546498497892717,0.46040961457073093,0.4280340301237405,0.02485830921447072,0.41127316371584977,0.4930708135611261,0.09675307223526095,0.4132322407361494,0.46081035143849797,0.3774513007733077,0.49079623123677385,0.2901630863488629,0.537019054679136,-0.07267239204084706,0.0932097574197762,0.3675648164556765,0.0005794226867155294,0.5153430439721491,0.25398105450518116,0.4159840254343776,0.18237703322396212,0.47340032302501317,0.17174280006379472,-0.3061547815718801,0.39469665245260516,0.19715656026377365,-0.06779353476438336,0.30734943959646016,0.30843815736288155,-0.26759740818298855,0.042665017674523596,-0.018463809638767214,0.5974981745439606,0.06030504334652475,0.437562175368412,-0.11618012841407757,0.16215585826513304,0.5441791726842754,0.431776524142526,0.5352248028073714,0.5350027958425423,0.31521386890962594,0.17654973451293726,0.14912206536048586,-0.05493258930343792,0.6765120599631586,0.5626540540422067,0.37506288483396666,-0.36339797312821404,0.3836230276097868,0.2233839879269195,0.04133697455779373
