,Caudate_R,Rectus_R,ParaHippocampal_L,Frontal_Inf_Oper_L,Insula_L,Thal_MDl_L,Cingulate_Mid_L,SN_pr_L,SN_pc_R,Thal_PuI_L,Putamen_L,Thal_PuI_R,Thal_VA_R,Thal_LP_L,Cuneus_R
Caudate_R,1.0,0.18114443844353326,0.15165273469333826,0.036372152582423684,0.2037139458371449,0.44729888286114927,0.198914201242857,0.24664770484717066,0.4071716308883148,0.31431877566168664,0.5583901088394355,0.008787749130124084,0.28758136429050435,0.15845969938157528,0.17976964924224886
Rectus_R,0.18114443844353326,1.0,0.8288237309602293,-0.1204738840436424,-0.04641781785001582,-0.5146678638774278,0.05407710436870596,-0.5940238272271642,-0.38234133753665106,-0.40762333468530865,0.34783155213810923,-0.7524208098146905,0.8136989134405865,-0.7096557950121695,-0.16239765388937605
ParaHippocampal_L,0.15165273469333826,0.8288237309602293,1.0,-0.1538401057281572,-0.1931421744137882,-0.5057334364482156,0.0340837169631085,-0.6039660191585622,-0.570434326849252,-0.38829558442954587,0.235566918328203,-0.750531526051382,0.8090407496433506,-0.7970979941006507,-0.1085097417905199
Frontal_Inf_Oper_L,0.036372152582423684,-0.1204738840436424,-0.1538401057281572,1.0,0.634841097462521,0.16480073207505125,0.7765018104783085,0.3945868916261462,0.2542044485974592,0.15247616857630855,0.32742429931470407,0.06071264527485959,-0.08523817297077162,0.24909020974690488,0.27961382886882136
Insula_L,0.2037139458371449,-0.04641781785001582,-0.1931421744137882,0.634841097462521,1.0,0.15549646707874615,0.6834526247449952,0.4727291929366289,0.5081503081090324,0.35223619379134863,0.6655892427271011,0.08850825142770996,-0.052113766516231806,0.2259385809848655,0.483011425641337
Thal_MDl_L,0.44729888286114927,-0.5146678638774278,-0.5057334364482156,0.16480073207505125,0.15549646707874615,1.0,0.14191566588121213,0.49100059045405586,0.6148463528721348,0.6584722003513962,-0.011306598704660793,0.6759979363253201,-0.5365076032550797,0.786454335858894,0.21516701960163478
Cingulate_Mid_L,0.198914201242857,0.05407710436870596,0.0340837169631085,0.7765018104783085,0.6834526247449952,0.14191566588121213,1.0,0.3305410185367083,0.30742623809505804,0.19004680161843343,0.5372122846667117,-0.020755298791053332,0.0749075585747087,0.10920786516728817,0.49608868526292976
SN_pr_L,0.24664770484717066,-0.5940238272271642,-0.6039660191585622,0.3945868916261462,0.4727291929366289,0.49100059045405586,0.3305410185367083,1.0,0.6877754161793338,0.4224175173996983,0.2753115537869272,0.5813873923779962,-0.4622078578869098,0.6215206198092407,0.38820439441382665
SN_pc_R,0.4071716308883148,-0.38234133753665106,-0.570434326849252,0.2542044485974592,0.5081503081090324,0.6148463528721348,0.30742623809505804,0.6877754161793338,1.0,0.6306805254332585,0.3532886248314895,0.5687927051621388,-0.35578510627114474,0.5930447834688947,0.35218903702450416
Thal_PuI_L,0.31431877566168664,-0.40762333468530865,-0.38829558442954587,0.15247616857630855,0.35223619379134863,0.6584722003513962,0.19004680161843343,0.4224175173996983,0.6306805254332585,1.0,0.09166871891624989,0.586088881030057,-0.37699875875435496,0.4397887317406085,0.21445801314695623
Putamen_L,0.5583901088394355,0.34783155213810923,0.235566918328203,0.32742429931470407,0.6655892427271011,-0.011306598704660793,0.5372122846667117,0.2753115537869272,0.3532886248314895,0.09166871891624989,1.0,-0.2396633223725055,0.4434213376945356,-0.17040462182231547,0.36649227582963195
Thal_PuI_R,0.008787749130124084,-0.7524208098146905,-0.750531526051382,0.06071264527485959,0.08850825142770996,0.6759979363253201,-0.020755298791053332,0.5813873923779962,0.5687927051621388,0.586088881030057,-0.2396633223725055,1.0,-0.8229431748172684,0.7655182840656464,0.2101290832977148
Thal_VA_R,0.28758136429050435,0.8136989134405865,0.8090407496433506,-0.08523817297077162,-0.052113766516231806,-0.5365076032550797,0.0749075585747087,-0.4622078578869098,-0.35578510627114474,-0.37699875875435496,0.4434213376945356,-0.8229431748172684,1.0,-0.8000319844190461,-0.14550745915637148
Thal_LP_L,0.15845969938157528,-0.7096557950121695,-0.7970979941006507,0.24909020974690488,0.2259385809848655,0.786454335858894,0.10920786516728817,0.6215206198092407,0.5930447834688947,0.4397887317406085,-0.17040462182231547,0.7655182840656464,-0.8000319844190461,1.0,0.2414725674081163
Cuneus_R,0.17976964924224886,-0.16239765388937605,-0.1085097417905199,0.27961382886882136,0.483011425641337,0.21516701960163478,0.49608868526292976,0.38820439441382665,0.35218903702450416,0.21445801314695623,0.36649227582963195,0.2101290832977148,-0.14550745915637148,0.2414725674081163,1.0
