,Thal_VA_L,Thal_VA_R,VTA_R,Parietal_Sup_L,Cerebellum_7b_L,Frontal_Sup_Medial_R,ACC_sup_R,Temporal_Inf_R,Parietal_Sup_R,Parietal_Inf_R,Cerebellum_Crus1_R,Thal_MDm_L,Cerebellum_4_5_L,Cerebellum_6_R,Occipital_Mid_L,Heschl_R,Red_N_R,Cerebellum_Crus1_L,SN_pc_L,ACC_sub_L,OFClat_L,SupraMarginal_L,Frontal_Inf_Orb_2_L,OFCmed_R,Thal_MDm_R,Pallidum_L,SupraMarginal_R,Cerebellum_9_L,OFCant_R,Vermis_3,Temporal_Inf_L,Hippocampus_L,Vermis_9,Thal_PuL_L,Thal_PuM_R,Frontal_Sup_2_L,Paracentral_Lobule_R,Vermis_8,Vermis_10,Raphe_D,ACC_sub_R,Temporal_Sup_L,Lingual_L,Frontal_Inf_Orb_2_R,Frontal_Mid_2_R,Fusiform_L,Vermis_7,Thal_AV_R,Thal_PuI_L,Cingulate_Mid_L,Supp_Motor_Area_L,Occipital_Sup_R,N_Acc_L,Frontal_Inf_Oper_R,Cingulate_Post_L,Cuneus_R,LC_L,Temporal_Pole_Sup_L,Cingulate_Post_R,Amygdala_L,Frontal_Inf_Tri_R,Thal_VPL_R,Occipital_Inf_L,Precuneus_L,Hippocampus_R
Thal_VA_L,1.0,0.8720366223134819,0.05485698514494926,-0.6186728746816806,-0.03576789417367087,-0.05197873600772716,-0.8050953991556922,0.39427392221802016,-0.5312206377765604,-0.4885219573628099,-0.10217807702927789,0.09964752226541262,0.5366431918961458,0.22501716829621232,-0.6292889443344095,0.31151208878240316,-0.5774046578457105,0.39217620088055793,0.26340192407364943,0.7657402654369656,0.7842656990283057,-0.5461123341793748,0.6232790845286436,0.8077651045626855,-0.6555019926781779,0.6006530443728225,-0.5821937373506274,0.23409898238226054,0.801287369072997,-0.3848682814090313,0.6574969398191487,0.4934384206814401,-0.14269505611559,-0.8614974993931851,0.6472291576785494,-0.06277732557537782,-0.11430778529795797,0.6324029427545161,0.3255652413612842,-0.2582183348437879,0.7386888636547453,0.06722697085880855,-0.6753416819568762,0.19592828020875694,-0.22833268973333715,0.5184466677852185,0.22379807158803683,-0.6215023072026761,-0.3391349402488436,0.0031505835092454004,-0.17734663017912147,-0.7242686370648107,0.8684484116759676,-0.08502635901545923,-0.07984430451248258,-0.22326764212960468,0.5134163812591167,0.8377619428791115,-0.14351054347813585,-0.3172036284312645,-0.09342787059510883,-0.6729168638896602,-0.32139446268171995,-0.48954079173996085,0.6376736310715571
Thal_VA_R,0.8720366223134819,1.0,-0.13472791669450856,-0.44636224090403287,-0.25787532918643286,0.11962924015018887,-0.6732481579959816,0.627017825551467,-0.4923672940587228,-0.4497955714705884,0.0808232698190939,0.3093097184929442,0.575699065280122,0.36104164916806186,-0.5729161075527149,0.3096175523813421,-0.4610112962088954,0.2002360777680652,0.24975295795906283,0.7590133723719015,0.5583345172066945,-0.5716548117481101,0.47199875347358133,0.8153423870364902,-0.5567534709843559,0.6388793673136809,-0.5221459478298599,0.34006676439172784,0.6786592135850938,-0.2993462614845307,0.4104075472391636,0.4890699125506584,-0.0970616824571621,-0.8661405393731736,0.7371051329878433,0.10956466779030978,-0.007405844971907128,0.6192075052039521,0.36354611582966234,-0.1416851127183652,0.8479665594415537,-0.04169161125871074,-0.6674033948228769,0.3430797090100599,-0.20871685459978867,0.3555351614527367,0.3454820445849621,-0.7509496125896893,-0.37699875875435496,0.0749075585747087,-0.012148242186438094,-0.614589026508374,0.766712013644172,0.11281819507260332,0.014071859023059989,-0.14550745915637148,0.5398498156602786,0.676914141564889,-0.011965196029021154,-0.14551776820260592,0.10639620491056777,-0.8143034033455688,-0.5109137418260149,-0.37174268933411875,0.7943739524239266
VTA_R,0.05485698514494926,-0.13472791669450856,1.0,-0.06782187749472948,0.35721726047242586,0.11135172075181883,-0.12353095894526912,0.10512850022030075,-0.02166720363343596,-0.09698341146485101,0.271287054104499,-0.13410347580204793,0.05746608218166241,0.08827830652414217,-0.1090010433619265,0.40712749784678237,-0.2366040597218295,0.08117760713018736,0.1899347689863456,-0.017950493402639656,0.16324194945906154,-0.05754049591512821,0.12417088849857007,-0.1995498661252497,-0.15589622363662614,0.023214967443000018,-0.09094883248038357,0.21564708829928042,0.2648762425695584,0.026685551940981128,0.035483511286267956,-0.2576209186296537,0.2745405482853418,-0.06871474422302025,-0.07950365925406351,0.12330180536426938,-0.03211426085717514,0.20370525570280684,0.16666833791902258,-0.288098787081897,-0.1446748391567673,0.16629736143760676,0.10794155839431974,0.2203917220814641,0.016748386335627204,0.12287916564167387,0.09587507247753904,-0.04472126206845899,0.2645241226123329,0.06781607558716775,0.014662874726331309,-0.08527694344515573,0.03564022550556356,-0.07908916457446545,-0.1442159041427465,0.03483528543077542,0.24323815952806618,0.03128144342007866,-0.10927573768761928,0.05285978173927266,0.07570296587019291,0.1476965712181499,0.04841385891850403,0.008202320094869415,0.062108504698480844
Parietal_Sup_L,-0.6186728746816806,-0.44636224090403287,-0.06782187749472948,1.0,-0.10982313135071423,0.32902274638760204,0.6058419997896897,-0.11124200689628899,0.8086512325245481,0.7283024098823132,0.00422096271306924,0.029247326108661553,-0.2567623243279451,-0.14772358867832208,0.7081098937044108,-0.31066593045466323,0.3463699876433127,-0.5265691819890599,-0.17888245641016426,-0.4522887107885801,-0.4024901857732483,0.6630521633647343,-0.32683388086422077,-0.285351069176505,0.3628803368241438,-0.2750977328682802,0.6707606366616895,0.013455307982792016,-0.38543602670588756,0.17390516814475798,-0.5209109541683435,-0.16523933678338132,-0.0875975518001465,0.5642949759276695,-0.46597333680007424,0.41614948402483964,0.5377652881893237,-0.30205452600240956,-0.12186212928736226,0.21095896428621963,-0.3421261442388328,0.01742464582913005,0.2569113347085113,-0.013105010959547626,0.4139152577548519,-0.40700987418446527,-0.1578767046773884,0.4092110621282576,0.180454065963502,0.21698314571127608,0.5082460369328743,0.7809792283371139,-0.5111649470794172,0.18956057222849898,0.12884443253959416,0.22496565552396444,-0.2596923719697346,-0.48709404311355026,0.28687661117480423,0.36864720425090286,0.1881123526830699,0.32075519465425445,-0.07993622210262938,0.8365907790258793,-0.20888753525566534
Cerebellum_7b_L,-0.03576789417367087,-0.25787532918643286,0.35721726047242586,-0.10982313135071423,1.0,0.14593283114474498,0.09215005668842806,-0.3718912246885714,0.11930338338061368,0.0934513817063986,-0.004259167229098604,-0.062205026557275354,-0.057773846110155236,0.04115507148543603,-0.1995106501148123,0.33664031133509476,0.233963608410604,0.22336359504994197,0.40567508835269867,0.03155616782700121,0.06934385456430978,-0.041846708321201465,0.2229994873399293,-0.29093087288558445,0.1391056360398412,0.21917498232259075,0.18655755460651044,0.33219135153708035,-0.011413763831991493,0.4752927197373693,0.09064245636925787,0.14510584952304134,0.500994507975091,0.23605363655151781,0.04186185176352548,-0.03185005703268664,0.043984308229676215,-0.21785976196214069,0.40643472024235006,0.028542138442190057,-0.09161116016099916,0.2780637832752297,0.41098426014241096,0.1334036660515977,0.21520253464734868,0.22550388580365732,0.043414301111869835,0.23867535449064486,0.3364735391759741,-0.002499122938433314,-0.043609360418793805,-0.06161361654181173,0.057423520108919164,-0.09000533342822785,0.14944800189373197,-0.007878323310513606,0.02721141999500313,0.02997562653471156,0.15638318260975528,0.3956006704857293,0.16096044124811706,0.4482630808204447,0.20460270949741133,0.03898274565397259,-0.18098535849692926
Frontal_Sup_Medial_R,-0.05197873600772716,0.11962924015018887,0.11135172075181883,0.32902274638760204,0.14593283114474498,1.0,0.2602879080525483,0.29187263369033717,0.27028672468828063,0.24885436328707228,0.15401729525842014,0.2402136543000327,0.39209894829425174,0.3632413342652167,0.00044440199458069805,0.3830525859112102,0.3284046653514189,-0.2907259890181124,0.40954274221208115,0.18127419442840859,-0.05517336085845792,0.039061605208716724,0.2896842424474936,0.026876304216476105,-0.010345484510078535,0.371396796157333,0.41558244119775506,0.499086113668607,0.07605011113515057,0.44918258080369905,-0.30989210106124526,0.12739766094275604,0.10419013945714423,0.012939884546731862,0.2938759274901582,0.7786972304886469,0.6404509554733564,-0.010352710103852164,0.46639262632330647,0.33886360624557366,0.23042063994039133,0.2787989583019843,0.06293459225571495,0.7453969623726895,0.5620876379772096,-0.10498627569970591,0.2641291433468735,-0.09446713495639414,0.20008490351211292,0.620341780069701,0.7143876377476498,0.2370283350840639,0.038348845031564036,0.6378800986870513,0.46446008877759903,0.3764999378502337,0.18939497167617103,-0.011690315910261956,0.581948037748799,0.4749458206389216,0.7631938195711662,-0.07957812500500604,-0.35691695571630244,0.44432914127386786,0.31517303181849365
ACC_sup_R,-0.8050953991556922,-0.6732481579959816,-0.12353095894526912,0.6058419997896897,0.09215005668842806,0.2602879080525483,1.0,-0.3255779326510916,0.5045296902057452,0.4727894742654366,0.048491515956339486,0.08221379598575188,-0.28905048635227726,-0.03877442937528302,0.5367261925415383,-0.21105593853045576,0.6266614340890906,-0.33629380730680897,-0.117118525592985,-0.6410681128737472,-0.6532804448843351,0.5860265352364052,-0.4186448639459698,-0.6147502627623856,0.6856840975592472,-0.32868681288989005,0.6518191879523542,0.006495583071438637,-0.7242735017190228,0.4803230031072779,-0.5276896544230677,-0.08228240872925008,0.10660133922219489,0.8105160502727442,-0.45044252749113756,0.27321104439418914,0.26682155693113535,-0.5671404282332014,-0.08088353377448784,0.3270608109850569,-0.5613874562994522,0.17961399243463416,0.640268831585359,-0.056760524843007316,0.409923275370309,-0.2978518967642667,-0.10760738742954802,0.7114120505733843,0.5331773247103736,0.2557598323953562,0.3305663409516451,0.7040593539253639,-0.7270980964887752,0.212282302038524,0.36104126396943875,0.3168225812845635,-0.34038557667772523,-0.6699479112052432,0.3708249762554297,0.485498006315449,0.2895697220413101,0.7036844934526839,0.14531548728285357,0.5720761846036667,-0.37933393951357786
Temporal_Inf_R,0.39427392221802016,0.627017825551467,0.10512850022030075,-0.11124200689628899,-0.3718912246885714,0.29187263369033717,-0.3255779326510916,1.0,-0.41072042204482995,-0.38547827311053917,0.671433902282406,0.39177079666969106,0.5593554168167443,0.6870998648207448,-0.2217774162844388,0.4376032804232258,-0.24864646921200823,0.02153904155683334,0.1777945483004765,0.46952450041580485,0.07241962196792659,-0.2758068638713931,0.1743924923036766,0.43082007001405803,-0.20516595674245688,0.3426404431620585,-0.3644578698563823,0.514225438357249,0.3943875356563771,-0.07096406258863751,0.057484156510862194,0.06725945829602999,0.1977792719646923,-0.6250524837672896,0.4883367100770841,0.42465984583177613,0.15729378225935797,0.6716161348391643,0.4279259977718951,-0.032247888198476696,0.5393275703487406,-0.059842965996927004,-0.29155675691185723,0.5136358301102385,-0.15836664725585817,0.2367672967117789,0.697506166267648,-0.640242175161501,-0.13088995075956927,0.2223437398687339,0.23604452264858772,-0.15344068696138075,0.31083223930377823,0.25042130206786073,0.09018910806037443,0.3526698433829573,0.5857084210025985,0.22035310675039588,0.11438484141507672,0.03591743293454343,0.22048642511537997,-0.583939933194538,-0.3481358070242526,-0.022296592238891813,0.8069284315118772
Parietal_Sup_R,-0.5312206377765604,-0.4923672940587228,-0.02166720363343596,0.8086512325245481,0.11930338338061368,0.27028672468828063,0.5045296902057452,-0.41072042204482995,1.0,0.8794713757877266,-0.29946674168941034,-0.049339369727997934,-0.3366435632150996,-0.31864220571039964,0.54392338295383,-0.35379343190568757,0.26211038627322236,-0.2809579247909235,-0.10269672028480022,-0.41826517962825915,-0.19498762678442416,0.47489206878803014,-0.215387904259907,-0.2960567853875382,0.2392893549821587,-0.1995827753894663,0.7891549217610877,-0.12905658953482085,-0.29011879475069247,0.11832201840282333,-0.2785723152926353,-0.08992147069873734,-0.14524799414228476,0.5561597358803976,-0.44308560252375667,0.17541152693711812,0.46195885821963123,-0.35961833707536284,-0.1497254109021185,0.1284017183141003,-0.3839438569929615,0.03135249454868275,0.21089055790257485,-0.13255644115998758,0.5507587852885005,-0.2787057452242758,-0.332783883646069,0.4313825543815481,0.10879401270927079,0.07320993480143738,0.4011666848839031,0.6721033944932829,-0.36409008276542426,0.04851305776556593,0.012487551724887318,0.04953791557443925,-0.3241117879860455,-0.3016842359485973,0.21929860616206287,0.26079919829954606,0.16546120913992685,0.34916490059095806,0.0397553935976302,0.7386100196053531,-0.404565264359917
Parietal_Inf_R,-0.4885219573628099,-0.4497955714705884,-0.09698341146485101,0.7283024098823132,0.0934513817063986,0.24885436328707228,0.4727894742654366,-0.38547827311053917,0.8794713757877266,1.0,-0.33925460296249316,0.0672667943593877,-0.31847237736349493,-0.2605242449426811,0.5024385195466768,-0.3975515097538211,0.26401103581812063,-0.12598495455773362,-0.1138855756508578,-0.3785765759524912,-0.15840318331102507,0.3729911343620294,-0.19774867744841415,-0.259651255173295,0.23643076448083694,-0.20200708453566998,0.8799848909977371,-0.12133443949644102,-0.30438867630160676,0.07351799968287641,-0.1508803007970172,-0.0318431410859899,-0.14762199922270322,0.49017367959339647,-0.4060827976408129,0.09500459626587705,0.410969311498282,-0.2849098764726857,-0.11846736789375656,0.15588948871622704,-0.333024985535299,-0.06472629638457522,0.19100808620229376,-0.19974474088775188,0.7284096777593904,-0.12855479474204884,-0.2743869779512097,0.4324879834810108,0.07661560376557514,0.017569456041123897,0.3975714351091242,0.6986711858101331,-0.324166369464096,0.03673453333366727,-0.026223782914951015,0.09549455822672355,-0.2705193483483365,-0.23988676505744277,0.1783871484989976,0.1702504856348104,0.20370371346299088,0.31394132645183775,0.14085770196428696,0.7499575036575482,-0.41602638850136325
