,SN_pr_L,Postcentral_L,Thal_PuA_L,Insula_L,Cerebellum_10_R,Vermis_7,ACC_sub_R,Cerebellum_4_5_L,Cerebellum_6_R,Thal_VA_R,Cingulate_Post_R,Paracentral_Lobule_L,Insula_R,Occipital_Inf_R,Vermis_1_2,Amygdala_R,OFClat_L,Parietal_Inf_R,Temporal_Pole_Mid_R,Cuneus_L,Fusiform_L,Occipital_Sup_L,Frontal_Inf_Oper_R,Thal_IL_L,Frontal_Inf_Tri_L,Frontal_Sup_2_R,ACC_pre_L,Pallidum_L,Thal_AV_R,Putamen_L,Thal_PuM_L,Thal_VL_L,Thal_PuM_R,Calcarine_L,Raphe_D,Thal_IL_R,Frontal_Med_Orb_R,OFCant_R,Frontal_Inf_Orb_2_L,Cerebellum_8_R,Thal_MDm_R,Putamen_R,Frontal_Sup_Medial_R,Thal_LP_R,Cerebellum_3_L
SN_pr_L,1.0,0.32328297265170064,0.6328042685518394,0.4727291929366289,-0.3005786697449844,0.04851864650868916,-0.27464569010761514,-0.03829699144362735,0.16872190228355324,-0.4622078578869098,0.519480444215746,0.3618696386152501,0.4132466853146839,0.5405761901742008,-0.11262664901304277,0.545197728949895,-0.47931383206604306,0.2586932333225529,0.04789406166101684,0.5200127701059782,-0.22890164977878671,0.3656745188432802,0.3183643436512417,-0.32841696996362874,0.028897568280924085,0.2593581074523006,0.23962891346175955,-0.014177802743870972,0.3780644046351754,0.2753115537869272,0.6316925783833568,-0.26877197884859333,-0.1032473652286995,0.5860125557136047,0.5671382375629501,-0.21790958290013995,-0.35175540402338373,-0.5299765879161212,-0.03434411838537597,0.38684576638230017,0.4763495491640344,-0.01992415721033905,0.4365402667637978,-0.13562707352721046,0.46471544280233884
Postcentral_L,0.32328297265170064,1.0,0.39177163732463166,0.48178936553182267,-0.06418263500785142,0.019941835855389087,-0.22368701315874756,0.09257128309911324,0.09236118304564953,-0.26381011369105645,0.21835105991380552,0.7543612334302154,0.13004624251659225,0.19586820947853353,-0.11365179066420168,0.28113691189438633,-0.23443160177584668,0.41349918160800103,0.07680872360195878,0.5808318693396424,-0.2631314588391711,0.5093285009680645,0.39485771168725775,-0.4327363067747525,0.22475942795399345,0.44605778296514675,0.25731971357414535,-0.23295631798303468,0.3279984072844072,0.037667249610220006,0.3131786574848949,-0.1902981419995651,-0.4123127694885651,0.3248642040619442,0.3453043593919376,-0.28104386936568704,-0.2318741804342657,-0.2109668600529288,-0.040447079642898696,-0.05190142475718794,0.21732023531700076,-0.18029866477539172,0.329546608903134,-0.4262252272770836,0.3147523400944015
Thal_PuA_L,0.6328042685518394,0.39177163732463166,1.0,0.2883603494341569,-0.43908724264280713,-0.1025343285307849,-0.6211177548420458,-0.4154322002218243,-0.12828880410967844,-0.7835859300606434,0.31160155757455216,0.29668457430969314,0.07065213467959378,0.6751415456515378,-0.47029730422755217,0.2268839055975051,-0.6486240442521891,0.44027062728902594,0.062305050163359105,0.729469200210795,-0.32531803772614715,0.6860540963179058,0.12229854732860682,-0.53497022385135,-0.18639757807412138,0.04934064859153101,-0.0287359555969218,-0.3777699221933394,0.6830513999112282,-0.11065709345893406,0.9625784151216344,-0.4641384591863552,-0.46663968767194036,0.7630096119593935,0.23770497399999746,-0.4167042447827454,-0.5933958634739326,-0.6230636226817495,-0.4345941330934518,0.36998853392789055,0.7210627722665581,-0.3500634900948449,0.21149280374956395,-0.4859985255148866,0.2502309558705977
Insula_L,0.4727291929366289,0.48178936553182267,0.2883603494341569,1.0,-0.16087104524210555,0.18610201774805527,-0.015014611440774922,0.4027547729396275,0.3244101409105726,-0.052113766516231806,0.27712503145796746,0.4284580095991433,0.7285129033623485,0.38504748479592815,0.08751825479526587,0.5403253828680659,-0.14315752585923186,-0.10676667673186273,0.3646259793490552,0.3043568708769278,-0.05598532005612835,0.1495062091779679,0.7099596878313826,-0.061123917055715196,0.395303376076952,0.41242492252183216,0.5524224406671912,0.12324082632471513,0.0990255866786109,0.6655892427271011,0.216160149797908,-0.044289047204616974,0.07789716734802789,0.2760503795990181,0.2882237929618058,-0.25602310339559925,0.1383790596666698,0.0008467553262924367,0.38991253197848813,0.30230404262448823,0.19226753206010153,0.24449547286103918,0.5174544982659368,0.08733907581639166,0.6121686293090888
Cerebellum_10_R,-0.3005786697449844,-0.06418263500785142,-0.43908724264280713,-0.16087104524210555,1.0,0.007235159850960951,0.4960770828792859,0.28004169486289016,0.02111675452579987,0.47269882511590416,0.08040105165757633,0.06379370437735,0.1017543569460626,-0.7092579189619975,0.6557978330437603,0.11182625095191603,0.6332362488110719,0.12098653081164562,-0.17834158238075093,-0.1577519282351473,0.42272355311863996,-0.14186315076783795,-0.0852859986238637,0.4092255480371559,0.15299690204359795,0.2582987704792897,0.2597908035731541,0.43828003436182617,-0.18042240959268513,0.15126145764858379,-0.4563386876905382,0.6032741688126938,0.24015750549165357,-0.3317640779126119,-0.19341563399180906,0.34101098374567584,0.43554706312373853,0.543499774821358,0.3627253455653549,-0.2452505768737705,-0.39634724938012317,0.35417122471699874,0.12142241071731638,0.11788585017803264,-0.30950288169973905
Vermis_7,0.04851864650868916,0.019941835855389087,-0.1025343285307849,0.18610201774805527,0.007235159850960951,1.0,0.3233920919063068,0.504752450310776,0.859220274729089,0.3454820445849621,0.37330608577520713,0.1829822469118867,0.11695152738300368,0.23399253340285098,0.3814405967497049,0.20273215782177448,-0.06052144054982154,-0.2743869779512097,0.5656872679745,0.034819127143300065,0.3961650881203513,-0.15078346738417092,0.11638959152625372,0.44282442835622426,0.03028645276838779,0.26622773978426073,0.23860870466771605,0.42811918711845154,-0.3323041313069957,0.4028964294509146,-0.07877109693187967,-0.051688702871700666,0.4679122985021019,0.1344724013674056,0.1629587877045998,0.3922815732828695,0.26696797246602544,0.1642127352125779,0.13565340346350152,0.5792364634994313,0.1181336595523286,0.46509151523096276,0.2641291433468735,0.488997520169784,0.30542088524559335
ACC_sub_R,-0.27464569010761514,-0.22368701315874756,-0.6211177548420458,-0.015014611440774922,0.4960770828792859,0.3233920919063068,1.0,0.4945264245401578,0.35939525305244696,0.8479665594415537,0.10537111247737252,-0.05298579997257362,0.1910054053818835,-0.41942930768724224,0.6373065625940292,0.18299672376173529,0.4882414438572746,-0.333024985535299,0.3151732686554332,-0.46960102039580176,0.37495476468238675,-0.5147062344882395,0.14477531999994686,0.7347130008458119,0.2344112026056644,0.2072852284200011,0.5224922932192742,0.624401744534389,-0.6164896159388603,0.43980511241981485,-0.6400206985545102,0.5549540956106986,0.6252596782974207,-0.4884617723518015,-0.0918318484531398,0.4665115001896819,0.8097339124920065,0.5847674228474737,0.41455527999122804,0.0800523608797194,-0.5046189027350237,0.6235808198730861,0.23042063994039133,0.5807901610779255,-0.1105604365324561
Cerebellum_4_5_L,-0.03829699144362735,0.09257128309911324,-0.4154322002218243,0.4027547729396275,0.28004169486289016,0.504752450310776,0.4945264245401578,1.0,0.6519880962424904,0.575699065280122,0.2622252278060471,0.25729697208678276,0.50167091310978,-0.1651275008801796,0.596047065835875,0.308151031352381,0.4151975285158776,-0.31847237736349493,0.2895705934360182,-0.14921668995686674,0.44923294526599594,-0.36022108699957756,0.4520833127093782,0.4898164493059514,0.40518554159377274,0.5374016779588474,0.4718054478004379,0.4664119853201317,-0.38974371691232673,0.6092607549336307,-0.4965972819033609,0.3431508532159673,0.56105759583438,-0.2100976528024665,0.1528768978573783,0.20537938467594324,0.5608029873084786,0.5365459141653727,0.6502299301451345,0.10950109305242968,-0.3164902617830743,0.573639337143921,0.39209894829425174,0.5177928272063088,0.6157078781040991
Cerebellum_6_R,0.16872190228355324,0.09236118304564953,-0.12828880410967844,0.3244101409105726,0.02111675452579987,0.859220274729089,0.35939525305244696,0.6519880962424904,1.0,0.36104164916806186,0.44188371945854865,0.2536237561114872,0.25250169886533336,0.26854687359952356,0.4432357579263195,0.2696711653917663,-0.05868713206894866,-0.2605242449426811,0.5508050737759493,0.06715413873984992,0.433301662499408,-0.1659701757845296,0.23347148010327484,0.45403107893450667,0.12422038909752484,0.36563160080057927,0.372485119659173,0.4594431087973212,-0.32784542343879153,0.507884240118149,-0.12332932262595833,-0.012386887766757632,0.48597590175651045,0.09718066706533887,0.18101437190422132,0.37959672710687764,0.29093998779464647,0.12332320018746198,0.2429509913506186,0.5386634024316134,0.09972261573577972,0.44435441412393706,0.3632413342652167,0.48190782081760875,0.45966733384164576
Thal_VA_R,-0.4622078578869098,-0.26381011369105645,-0.7835859300606434,-0.052113766516231806,0.47269882511590416,0.3454820445849621,0.8479665594415537,0.575699065280122,0.36104164916806186,1.0,-0.011965196029021154,-0.09182470591346004,0.07991919577413788,-0.5401571132440703,0.618477993945727,0.13681221751504777,0.5583345172066945,-0.4497955714705884,0.2958994682988182,-0.6173932452154419,0.3555351614527367,-0.652127622361048,0.11281819507260332,0.7961726416769888,0.2430097636842908,0.1660456071730142,0.4283260587526815,0.6388793673136809,-0.7509496125896893,0.4434213376945356,-0.8097452239035705,0.5428109258181176,0.7371051329878433,-0.6611431318980705,-0.1416851127183652,0.5064470130802554,0.832867023779978,0.6786592135850938,0.47199875347358133,-0.008675925284778849,-0.5567534709843559,0.687860066096854,0.11962924015018887,0.6905824999905898,-0.09478113521003706
