,ACC_sub_R,ACC_pre_L,Cerebellum_8_R,Calcarine_R,Temporal_Pole_Mid_R,Supp_Motor_Area_L,Caudate_R,Vermis_10,LC_R,Thal_VL_L,Cerebellum_7b_R,N_Acc_L,Angular_R,Cingulate_Mid_L,OFCant_R,Parietal_Sup_L,Precentral_R,Thal_PuM_R,Parietal_Sup_R,Vermis_9,Frontal_Inf_Orb_2_L,Thal_AV_R,Red_N_L,Hippocampus_L,Putamen_L,Thal_PuL_R,Frontal_Inf_Tri_R,Occipital_Inf_L,Vermis_1_2,Thal_MDl_R,ParaHippocampal_R,Supp_Motor_Area_R,Postcentral_R,Frontal_Inf_Tri_L,Frontal_Sup_Medial_L,Rolandic_Oper_R,Cerebellum_9_L,Cingulate_Post_R,Hippocampus_R,SN_pr_L,Red_N_R,Cerebellum_7b_L,SupraMarginal_L,Calcarine_L,Frontal_Sup_2_L,Heschl_R,OFCpost_L,Insula_L,SN_pc_R,OFCmed_R,Thal_PuI_L,OFCmed_L,Precuneus_R,Pallidum_L,Cingulate_Post_L,Cerebellum_10_R,Thal_IL_L,Precuneus_L,Thal_LGN_L,Thal_VA_R,Thal_LP_L,Thal_VA_L,Temporal_Sup_R,Temporal_Pole_Sup_R,Frontal_Inf_Oper_R,Vermis_3,ParaHippocampal_L,Temporal_Pole_Sup_L,Putamen_R,Rolandic_Oper_L,Lingual_L,Thal_MDm_R,Occipital_Sup_L,Thal_LGN_R,VTA_R
ACC_sub_R,1.0,0.5224922932192742,0.0800523608797194,-0.44078320238944346,0.3151732686554332,0.002084960994095264,0.3684501239223414,0.4182570305158494,0.23977106359170922,0.5549540956106986,-0.3038472666006371,0.7214858927452555,-0.38618754116553394,0.07241753834962604,0.5847674228474737,-0.3421261442388328,-0.25612601848384875,0.6252596782974207,-0.3839438569929615,-0.007167778812671007,0.41455527999122804,-0.6164896159388603,0.04089167435426024,0.5133757184863413,0.43980511241981485,-0.6330574850537897,0.17460146608961608,-0.4190554217089759,0.6373065625940292,-0.32747309585076634,0.714924287651615,0.05289102247184033,-0.23903801878425185,0.2344112026056644,0.14794510011055467,-0.10966557197290432,0.4373191118963417,0.10537111247737252,0.7116402351099149,-0.27464569010761514,-0.33979825350099924,-0.09161116016099916,-0.4472534841569292,-0.4884617723518015,0.1399945910410945,0.3659074004243991,-0.008636719220881715,-0.015014611440774922,-0.2824242198121334,0.7107301107816043,-0.31499434100611307,0.6205174036297246,-0.08275002311586219,0.624401744534389,0.0967895655027195,0.4960770828792859,0.7347130008458119,-0.2711848537962393,-0.45840305551838245,0.8479665594415537,-0.6430636930610537,0.7386888636547453,0.20566739008070956,0.5162100549584205,0.14477531999994686,-0.19993190569098448,0.7412594662631389,0.6444214532321041,0.6235808198730861,0.19246803404448173,-0.5230171757424648,-0.5046189027350237,-0.5147062344882395,-0.4805742216953172,-0.1446748391567673
ACC_pre_L,0.5224922932192742,1.0,0.2693173832953631,0.13415188106036555,0.3998201264853746,0.4815380878803227,0.6536473910853766,0.5054916759300732,0.3442322372248077,0.31479251577317413,-0.020598740373500332,0.178584006701588,0.058801102182640175,0.5693423477447977,0.21139015154996915,0.10802657820053119,0.19210858663672123,0.404761390595584,-0.05516771513498692,-0.02137107716160317,0.32776228770916227,-0.17528213641448911,0.37669968337321597,0.39327755126110947,0.6853641728167725,-0.29370276052932276,0.6554262207750541,-0.39596044221982285,0.38775250978305,-0.12447139883790292,0.5401995640192176,0.47290123053609795,0.13287454080701014,0.2383907280403527,0.5857442415136124,0.45164791874234794,0.5451951508064109,0.3880492699484819,0.5774030838900845,0.23962891346175955,0.15126538869014688,-0.03382194546644725,-0.01817839287132913,-0.05412589964938959,0.666276678260519,0.33575749878230793,0.38421186339689795,0.5524224406671912,0.33694096106515337,0.32106467152132373,0.2096218066775618,0.5729778071489541,0.38025901458029343,0.4543228715154472,0.40610793457190264,0.2597908035731541,0.4036027560057542,0.21625949991900784,-0.1265840932024865,0.4283260587526815,-0.019823677659746363,0.21429246760033852,0.598772829440637,0.5961726319657287,0.6418667507295558,0.21370565818363998,0.2685087877103728,0.1697369728474088,0.4975339655734694,0.49144041145284284,-0.10972700648496726,-0.08481082833949653,-0.11698770278127806,-0.16522099509512628,-0.019802884639444077
Cerebellum_8_R,0.0800523608797194,0.2693173832953631,1.0,0.26180314848098946,0.6917133326290656,0.1031121147758748,0.47559606581247216,0.5992590588144645,0.31928935580741946,-0.09007743622704589,0.7939883078343719,-0.10469422937927354,0.05807704723485652,0.11646822759196403,-0.1262812165122213,-0.027704072634601618,-0.26662077485779884,0.25650037377701984,-0.15164413232661386,0.8547185912502263,-0.040307719345056066,-0.01154574631043446,0.2844544409118107,0.12473563862439381,0.34601023748813553,0.316374760284179,0.32848624324828274,-0.0005932694788294597,0.1748333470219971,0.3334471723282856,0.09863064474255173,0.010449102911841915,-0.1519227928919639,-0.027398590484968923,0.362733042378111,-0.04135718263333407,0.7389391762970725,0.36564100534004784,0.2964011682099205,0.38684576638230017,0.30371934681397317,0.508011187903209,-0.08839869126220853,0.2963520621027802,0.2982750513679159,0.5895701936473973,0.4388100683782174,0.30230404262448823,0.4839759700008617,-0.2927583037160913,0.49466982102973855,-0.05931265844713768,0.17912277643650326,0.29734966926056783,0.3314128545489319,-0.2452505768737705,0.26940972281216513,0.05998680046189179,0.20660943327602888,-0.008675925284778849,0.24434381381172388,-0.10689781109737262,0.4978619523840582,0.514251107711404,0.08874810661442797,0.6158466121274201,-0.2567145920966101,-0.2389548600511681,0.36447671936607007,0.250002144559256,0.5153248858125484,0.3850077706764627,-0.004704135299278418,0.29442844304566007,0.308118549463162
Calcarine_R,-0.44078320238944346,0.13415188106036555,0.26180314848098946,1.0,0.047917058951466605,0.4420666951556281,0.10693444995059186,0.1179234608681386,-0.0020185841082238933,-0.42412737326187455,0.3893097024419933,-0.6086086323511137,0.5594576585202107,0.47111346076216215,-0.4665588834393882,0.44422680082941235,0.4998521257885762,-0.31890898374184334,0.3154241637518966,0.19951485238647676,-0.13514945055872524,0.5575707729936761,0.5584859170123219,-0.22456994588901125,0.12329813865334285,0.5001504751961205,0.30607591328498557,0.34639026034800136,-0.2564955234518408,0.4096687107483401,-0.27981260258577956,0.37235988178508206,0.3904774604217966,-0.017202238356350357,0.3482212982509431,0.5722064669240952,0.08523462732699914,0.408688902575669,-0.28550563836617665,0.6576253618130332,0.6858545912886285,0.19320449394849876,0.5060968419119897,0.8359460280068574,0.44424436393866895,-0.06859444919076058,0.29816981666005965,0.47403753802525456,0.6067989678447038,-0.554362368488616,0.43551064905193254,-0.2796000065132685,0.7274851082787711,-0.2764299029655934,0.3876745567541645,-0.39059540134060594,-0.42762708487683454,0.6361511762346662,0.30833965782571393,-0.5876318000168855,0.6862015308292482,-0.6485172789976508,0.3344579679841172,-0.041210734858007116,0.4344738520380581,0.6623842116254681,-0.5660129140411962,-0.4813273477573287,-0.29645239843241494,0.20939196723418887,0.7261707882638729,0.5782275962904563,0.6084129784336029,0.34114120684637356,0.03278940852485106
Temporal_Pole_Mid_R,0.3151732686554332,0.3998201264853746,0.6917133326290656,0.047917058951466605,1.0,0.17277598634721325,0.39033609594570734,0.4717535211468105,0.09127909421551773,-0.13155567897117743,0.47889368464138116,0.011813041971493642,-0.21165899664999382,0.21884344070648964,0.08896335958288096,-0.03263564148727258,-0.31358083524954244,0.2722437233204952,-0.2969748460009822,0.5522155538146838,-0.024705950343816667,-0.3655567458344409,0.1371183127603713,-0.007802096678414051,0.4304590387197207,-0.07430732828533024,0.3665897546182634,-0.2966830812845808,0.21912738980016505,0.023923908164755238,0.4859115874836712,0.09294862043562876,-0.2904783097070283,-0.05455205361989881,0.266669957260429,-0.11925029633397438,0.6185354563711549,0.1598407942607093,0.5991710359291057,0.04789406166101684,-0.0214548560363774,0.02105004148306808,-0.17358251042936304,-0.01007750203985437,0.407707448089521,0.53083270992243,0.39330395415835284,0.3646259793490552,0.2612461802629128,0.008278707314595249,0.23671175484848794,0.20857918013859733,0.07747863030252862,0.2809257179979802,0.15817216956703622,-0.17834158238075093,0.37144804534181153,-0.07277637255929292,-0.1760249378743606,0.2958994682988182,0.003004192805472872,0.07547071806213926,0.5656641844313484,0.8379545050331225,0.22708253672460652,0.2732337488347684,0.040010668326846736,-0.09124592204691308,0.3915949131077093,0.22210166054820196,0.08533212133449743,0.09685530435630571,-0.1854677508183294,-0.04753396156554524,0.2714611252123721
Supp_Motor_Area_L,0.002084960994095264,0.4815380878803227,0.1031121147758748,0.4420666951556281,0.17277598634721325,1.0,0.26935434794227464,0.27737214933649174,0.1433073782801846,-0.11633077494049841,0.031009548553531906,-0.12446309894035112,0.4157207358192811,0.7800719724672701,0.014845396546344621,0.5082460369328743,0.7035127819168556,0.03429419616630182,0.4011666848839031,-0.056579690325287764,0.31894838945334686,0.061735830971024884,0.4782041342883654,0.01902726815489895,0.4939924450076791,-0.09780389570613089,0.6282486161320466,-0.23000777816925289,0.1339760054790665,0.004250236493827073,0.263973395175175,0.9553310800444759,0.5813914097858889,0.26527709710731073,0.6610733526334147,0.5197996153399391,0.22271325838908662,0.3722556718055354,0.15784600132483576,0.3818640149162851,0.3722370250754571,-0.043609360418793805,0.2982405016572493,0.13839242182524086,0.8313487999728589,0.02898223535681449,0.4155578908910082,0.5644699266017498,0.3133691224334915,-0.03823004427657693,0.0895683491428317,0.1702100154231099,0.7763225455386396,0.09751255610341769,0.2954049240631193,0.04778649511902857,-0.10060095937465569,0.6540937827618334,-0.031645855934331044,-0.012148242186438094,0.26605518666536543,-0.17734663017912147,0.5515020346360499,0.3600807984288961,0.6547250547978337,0.37066342212583053,-0.0734427669921158,-0.02269925885534933,0.21197946009313007,0.5717537165318997,-0.006618792357334006,0.07221017001926579,0.17317493900160305,-0.10629617421771935,0.014662874726331309
Caudate_R,0.3684501239223414,0.6536473910853766,0.47559606581247216,0.10693444995059186,0.39033609594570734,0.26935434794227464,1.0,0.5460648154530374,0.4553369743213793,0.20090485016069276,0.13185850502493143,0.13360181661892814,0.32492598697580966,0.198914201242857,0.059667095935124335,0.19240358445802377,0.08094905213676445,0.4620852968571494,0.1477334815948631,0.2694800340201206,0.05749685155524826,-0.10760982887401557,0.22466431775055715,0.46691014801442277,0.5583901088394355,-0.011216752532752523,0.5475621480843929,-0.39330277836928024,0.3984045618224753,0.059184857955734374,0.35795862118679783,0.20833318875795734,0.245753781225724,-0.13255542013009922,0.5013797109965402,0.13672576752852295,0.648805200514075,0.56574337099127,0.47749474874322706,0.24664770484717066,0.15882250329862807,0.17779837578358373,-0.12142066508639605,0.08332206998563592,0.4305913263336496,0.41772821222590595,0.26988265494650954,0.2037139458371449,0.4071716308883148,0.16632065880408067,0.31431877566168664,0.41376847036666353,0.31726807233014265,0.5316880275348198,0.49235644700974013,0.3306877992287298,0.43233184612156966,0.30843735876590894,0.031741765718570146,0.28758136429050435,0.15845969938157528,0.10391442022087745,0.5325517493741654,0.49604282001101935,0.27191018657495114,0.35928768575250253,0.15165273469333826,-0.018772484687841717,0.5178922352398697,0.22170174138889429,0.1312729972530082,0.11667456290545197,0.03495653030995844,0.03531661589786365,0.03362324679147134
Vermis_10,0.4182570305158494,0.5054916759300732,0.5992590588144645,0.1179234608681386,0.4717535211468105,0.27737214933649174,0.5460648154530374,1.0,0.48631206649267417,0.3302761829818938,0.27943476600817835,0.32125466428895044,0.004437555921905927,0.33015377527715223,0.29165939009100816,-0.12186212928736226,-0.06124109144836672,0.4780879970330516,-0.1497254109021185,0.4970919267246889,0.4241101227790566,-0.1676563556593255,0.3044412705760298,0.47017818880435425,0.6057314585697764,-0.073004732792476,0.40633586111038755,-0.16463777872159027,0.554762386810571,0.12857151294814875,0.49982146068451316,0.2696208877606924,-0.01758673108037659,0.2629882217468673,0.5226101112516993,0.14496237638711795,0.8213583015508116,0.43706601140769286,0.5719628980223954,0.21087511943232196,0.1706373486889654,0.40643472024235006,-0.1629282953606988,0.04874374364273954,0.4380280492989216,0.549705196985468,0.44018567489537164,0.3512062450845418,0.27107626165218945,0.232442316517416,0.2437227888735101,0.4069671537284523,0.3310474550838649,0.6236374731387978,0.41553970596616163,0.2786718016638193,0.5348554747661,0.10116365643918744,-0.04951086486201477,0.36354611582966234,-0.13122335530957369,0.3255652413612842,0.5370453952355063,0.5778215614944131,0.2767803250303729,0.4052464704122731,0.2847779859794379,0.2956287864508149,0.6549470229238056,0.4659743490624994,0.12755817026772664,0.043744894516829703,-0.21499362949489842,0.028043267907619986,0.16666833791902258
LC_R,0.23977106359170922,0.3442322372248077,0.31928935580741946,-0.0020185841082238933,0.09127909421551773,0.1433073782801846,0.4553369743213793,0.48631206649267417,1.0,0.25012735165201533,-0.022381763448010683,0.2193625327081405,0.17936843518361048,0.1393762847580996,0.16099440097087095,0.09935235698253063,0.00045528468732783774,0.24211648469586428,0.15612684859055978,0.1700653747065891,0.26011758533327534,-0.06524247962379218,0.20232465506052488,0.31765883372072246,0.4703876901267554,0.015742656903397583,0.23481833787102266,-0.3234435316920825,0.4490671914395952,-0.02747140420092422,0.14026424268075002,0.15338005430924218,0.10682887710623491,0.06961591096405753,0.4058996505803477,0.09340172300544963,0.5567450422436873,0.3853582427386025,0.21395026144946078,0.30267168501424546,0.198954300655266,0.33354094738960843,-0.03769864495310092,0.06317617269781195,0.2382927018607838,0.38145617870271126,0.26719301772524806,0.25887345778842047,0.23995803843184693,0.12473762954917977,0.07175236936071666,0.23922946797507788,0.18337317248065502,0.5241104325740569,0.27083688042442083,0.36757136908172056,0.17112804384284594,0.13918713614155037,0.06909953906123402,0.15807576294055084,0.06855781767466938,0.11085603128035601,0.3507768526755111,0.2644798587289306,0.12614936227433482,0.24432089288359385,0.0587996256396435,0.10939016043428146,0.4951579298049756,0.2921849239176671,0.07680431371539446,-0.038020271046080356,-0.04032165501537149,-0.05118786474833456,0.0865226403109515
Thal_VL_L,0.5549540956106986,0.31479251577317413,-0.09007743622704589,-0.42412737326187455,-0.13155567897117743,-0.11633077494049841,0.20090485016069276,0.3302761829818938,0.25012735165201533,1.0,-0.352870721649186,0.6807708112180153,-0.32925184089611714,0.15325833960795898,0.6165707977309729,-0.36567883159110776,-0.2014871740964455,0.36337556930823334,-0.24370179828781516,-0.17811271556275526,0.5850220018935872,-0.14030600155020062,-0.18015977843881728,0.5845795340909319,0.18781533424139527,-0.33172453949245134,-0.06129503023972548,-0.24527367974902523,0.6337515272837785,-0.13562426954879467,0.3936455955162977,0.00044627211322856904,-0.21960181345504518,0.46294999402848946,0.20872193921465257,-0.07401555829621313,0.2675438064303211,0.026368853040631305,0.38558874992704656,-0.26877197884859333,-0.3206690250645295,0.2413073473937056,-0.13745456111119975,-0.48882378684131,0.022344997113374534,0.24604583439336944,0.12402986489321077,-0.044289047204616974,-0.287612926788743,0.61218378077984,-0.07066251477143301,0.5267259566842385,-0.1354923248564858,0.5026160185972012,0.10369188931754209,0.6032741688126938,0.5172278800851836,-0.2760695994764963,-0.010833824360659048,0.5428109258181176,-0.5829857470480909,0.7546393641543325,-0.12468149451096068,0.06186924875070974,-0.08229876986783242,-0.23822536247552978,0.6341060891111764,0.7080129954391763,0.5192171144866292,0.29508951892502894,-0.4487523178508071,-0.4824683905434815,-0.47762910448438745,-0.08509736300061391,0.13853482993383223
