,Frontal_Sup_2_R,Olfactory_L,OFClat_L,Vermis_8,Vermis_7,Frontal_Inf_Oper_R,Cingulate_Post_R,SupraMarginal_L,Cerebellum_Crus2_L,Thal_LP_R,Angular_R,Cerebellum_3_L,Cerebellum_10_R,Thal_PuA_R,Thal_VL_R,Calcarine_R,Cerebellum_6_L,Frontal_Sup_2_L,OFClat_R,Temporal_Mid_R,OFCmed_L,Thal_LGN_R,Thal_AV_L,LC_L,Frontal_Sup_Medial_R,Postcentral_R,Amygdala_R,Raphe_M,Occipital_Sup_R,Thal_VA_R,Thal_LP_L,Fusiform_R,Thal_PuI_R,Vermis_3,Thal_PuI_L,ACC_pre_L,Paracentral_Lobule_R,Rectus_R,ACC_sub_L,Vermis_10,OFCant_R,Cerebellum_Crus2_R,Frontal_Inf_Oper_L,Supp_Motor_Area_L,Thal_MDl_L,Temporal_Sup_R,OFCant_L,Cerebellum_6_R,Vermis_9,OFCpost_L,SN_pr_L,Thal_PuA_L,Precuneus_L,Frontal_Mid_2_R,Paracentral_Lobule_L,Rolandic_Oper_L,Thal_PuM_L,Temporal_Inf_R,Frontal_Inf_Tri_R,LC_R
Frontal_Sup_2_R,1.0,0.37590412026971504,-0.023844266726383054,-0.06743061165325856,-0.1412204925512078,0.6380127757832321,0.44026356307846565,0.46085302462318967,0.1193971353486467,0.3977343470949042,0.4965653848552498,0.6608494493527154,0.5495082443383263,0.34675498679640676,0.451502470817843,0.37930709680949615,0.5948005195850693,0.941999541131671,-0.1887391667872672,0.3043391386927271,0.16921250280117453,0.5513858488324107,0.6372985018524847,-0.2584892205528314,0.8778377814347377,0.6073850565936382,0.033500622063153,0.3363252056817048,0.2622775415776879,0.5365805225107425,0.4831667407827512,0.5688138195249091,0.4127942397136357,0.7328440198032681,0.2826433680832566,0.33992417174754047,0.45124438685734786,0.34369624564003615,0.14726511130314932,0.44790802594074686,0.6305311732960948,-0.053865693924933074,0.5160632047600667,0.6063286144503812,0.6081822576968069,0.6282764950985413,0.008195424338643908,0.5508543259454076,0.29967715868426564,0.34061475991841417,0.6389449162230609,0.26099363335835374,0.525776522801718,0.807351683271656,0.5500153711383771,0.34850045786530204,0.43547918859562434,0.44379120666916044,0.61124557925401,0.13374856946258254
Olfactory_L,0.37590412026971504,1.0,-0.2501646506959802,-0.016380291497700004,0.0652848009016659,0.23704845480783296,0.17903722739386785,0.01959442481175598,0.031671260641392196,0.03984883776027307,0.0688913554801073,0.5206101632475542,0.40811355843677555,-0.11191286261061387,0.18991748779700643,-0.1178205926334144,0.4820084430006327,0.35654030278329996,-0.1648160413371489,0.053605547724427285,0.0679703648302355,0.17379490739563197,0.6716443693888831,-0.4236647725582797,0.4345442122052097,0.1442725437831261,0.2420899937389182,0.32381068288873555,-0.23672633146897007,0.7536215325290887,0.04513161564415823,0.48540579234149145,0.07557944033297925,0.44801350907869103,0.20461199285647735,0.15908089869134145,0.15306544398834385,0.382931417111729,0.10185241971959953,0.04179090330687749,0.5632147329667464,-0.0175948808616338,0.08410660023808667,0.15599115608190636,0.5732998327372619,0.31066999280482727,0.08180750095182329,0.4037180931309309,0.13602265926125168,0.5739485274104525,0.5561809819117443,-0.10356949757016949,0.02126843361623627,0.34421381584241806,0.06315211763902788,-0.0087715987310487,-0.0414134192768183,0.38599159814554146,0.38680961317517804,0.10256996524210588
OFClat_L,-0.023844266726383054,-0.2501646506959802,1.0,-0.24042866935437718,-0.008377432301899647,-0.38793262288846697,-0.5490693462625837,-0.28853044094692787,0.05027200963271421,-0.18258609621040459,-0.24848238138562548,-0.3019848940410347,-0.19006335320252482,-0.16818829113285,-0.26866303606220954,-0.13399749258351495,-0.3628948739793136,-0.06489362833908174,0.40431470398099284,-0.33148330039573964,-0.24630630776682025,-0.21501312450886484,-0.43024724423898636,0.030379318499947183,-0.27693240792728674,-0.37814539451169277,0.022580494391109252,-0.5122836593583511,-0.08094466140913048,-0.38970326719752657,-0.17363573618307143,-0.3688966740918313,-0.14704572646645195,-0.3061624564547769,-0.13229591508620733,-0.23511523774328405,-0.5226375010394511,-0.19896007593845666,-0.08348684426613596,-0.28582505085236376,0.06446561156699207,0.226427708865684,-0.3581554947165087,-0.4036260065957374,-0.38247152357734143,-0.3528863745424453,-0.11186560717850556,-0.35566760245731677,-0.350453058975935,-0.31503274195347986,-0.3281025435896079,-0.2224891991274117,-0.3066192800920254,-0.227242696606841,-0.3848603286872362,-0.3933062177948168,-0.26452646140483865,-0.3447736679668458,-0.2969779547612204,0.11549971737332895
Vermis_8,-0.06743061165325856,-0.016380291497700004,-0.24042866935437718,1.0,0.03518642255609632,0.18734281380717027,0.2126914785277113,0.31492841932854826,0.06901009659170124,0.00996062347869247,0.18725328601056962,0.08478627245510595,0.003817595352073322,-0.22325844040715995,-0.17361047319235598,0.06112172541908538,0.35150089616318936,0.037184898701442384,-0.043612191412956046,0.1816092976582805,0.037735736052505235,-0.06562323477790888,0.1107669099037229,0.003537910017036829,0.03432284858479481,0.1722242237785084,0.14185431480766905,0.04122525289121048,0.11959432372431107,0.04799076296796555,-0.0444600080350608,0.3230651997464597,-0.04371068774905492,0.0006290184602153333,0.27548244724503146,-0.13366086478848704,0.2945018862521815,0.29600231853866216,-0.016223431212131982,0.47292482965415206,0.06760046253826746,0.2296832315014112,0.2405330379336364,0.16719713720707274,0.16879991240342648,0.07909396469690289,-0.15475720858866257,0.30202489607419564,0.42295272867545486,0.058863086922377975,0.11707348494172239,-0.19756219928320454,0.13181512720221328,0.0920139111189773,0.2290971687361486,0.26543497270246247,-0.017192809519000637,0.4355394801471867,0.11642281298291751,0.21502315387703008
Vermis_7,-0.1412204925512078,0.0652848009016659,-0.008377432301899647,0.03518642255609632,1.0,-0.04472963487174865,0.0037199860989080313,-0.010499024702997874,0.16913595448296062,-0.30883005121538504,-0.07579987706069008,-0.09755999730212327,-0.27852581943240196,-0.2265812967520896,-0.29845356596271677,0.028233381395150834,-0.14647061373664702,-0.14568100873466122,0.023422574658918224,-0.14051756350704045,0.027282782091002215,-0.057326567787295196,-0.11497340891847023,0.09376373171863144,-0.11099775878075117,-0.05642619733515151,0.14984145509651903,-0.018208316065454425,-0.04581163785289222,0.006596042713824257,-0.2817185089988652,-0.13049345839833093,-0.1924358267793486,-0.10614171440905619,0.03886755665480101,-0.27850807456472665,-0.027088499610015814,0.04561613699348297,0.012145526031105745,-0.11049062722984923,-0.24135821399387483,0.11261378244343274,-0.0556514585859402,0.007492055173902174,-0.03964465613957552,-0.10135849844751468,0.13812061845117712,-0.16542748099667118,-0.0522713974582,-0.04543209825306997,-0.19649505478534135,-0.06783914314155352,-0.03847390231785555,-0.10153637131629777,0.012906188317022492,-0.10552339572894011,0.007447399784747399,-0.14443195795792313,-0.029972973357201716,0.01948520591581202
Frontal_Inf_Oper_R,0.6380127757832321,0.23704845480783296,-0.38793262288846697,0.18734281380717027,-0.04472963487174865,1.0,0.7036477127368771,0.7412765495322516,0.020589722082434387,0.4245173423452169,0.5932046989687813,0.6872181702005475,0.4968275670125901,0.3293916147780345,0.39592968862088623,0.48150546463300714,0.4825695945247778,0.6675529389830215,-0.06640661526530528,0.6358253639275048,0.29830669914479113,0.48281121769194946,0.5559401361702981,0.08493933038129226,0.7029773144215608,0.812135528786511,-0.10354498773008455,0.57262356792283,0.3872111622814802,0.5233602369548552,0.466161061813395,0.6322113122784835,0.42633563254928775,0.6928489997142159,0.4136953464265036,0.4497448994736297,0.7234928496593345,0.4127480009107094,0.17881757453216535,0.5011224283501239,0.20324028734038138,-0.023822623782244617,0.893889018336138,0.8329906921739128,0.6481905603650143,0.8087778734563259,0.20905022695351536,0.5592634668153689,0.3079454163556293,0.37867822902775133,0.5169130392574782,0.44999297169204144,0.7004703267710107,0.8307610363366817,0.7787883919797876,0.73306944471561,0.6027783968993696,0.5267012816086848,0.892181274381563,-0.0023036290337852443
Cingulate_Post_R,0.44026356307846565,0.17903722739386785,-0.5490693462625837,0.2126914785277113,0.0037199860989080313,0.7036477127368771,1.0,0.6585763581383337,0.010103492285387174,0.4046869792577034,0.5766770493881007,0.49805745039877486,0.3650127879885673,0.4237458454541733,0.36884259776993583,0.6277295184263771,0.5955718457944892,0.4477858364878919,-0.23738589180507452,0.5344478255325915,0.33421425089621426,0.4682561347985316,0.5921042789172634,0.012481602644406394,0.6068672065405318,0.7437681631233566,0.03962110244268483,0.620286592465043,0.4383534122468364,0.46406622775326867,0.4661318030625192,0.5902396250282747,0.2917881927752681,0.6277153492893716,0.2660702890795531,0.3819513933460004,0.8428510273340141,0.25564961794078683,0.06975983688101323,0.5902958553726566,0.1092644526851814,-0.17265121131080272,0.6991184279171395,0.7981465014068438,0.6018228614584489,0.6167430411661771,0.15527061206816317,0.6099582569569547,0.562742090131797,0.4225574386099222,0.5688844730028473,0.42658393842870945,0.7624568130804951,0.6786538493054859,0.7569832722016725,0.6393338318734312,0.7040930890532374,0.5718899393729051,0.6620030443682379,-0.03171064969021615
SupraMarginal_L,0.46085302462318967,0.01959442481175598,-0.28853044094692787,0.31492841932854826,-0.010499024702997874,0.7412765495322516,0.6585763581383337,1.0,0.06094792883198174,0.3466898823643991,0.570746410797371,0.5491399316383586,0.3074882114327185,0.27679601726966485,0.36587718611185577,0.3365679728348371,0.5078123183819333,0.46264020032800834,-0.18149777950736762,0.5079544682350097,0.16479845222868303,0.5212581277427005,0.3964419263053699,0.16035597236146426,0.4307806098299336,0.6602257470234798,-0.002391411059722771,0.5404462291383657,0.3929385384787578,0.3588192674532736,0.46947892987746076,0.5896549759967882,0.39366328037686843,0.6282672671755657,0.21478830895002482,0.19474138416102266,0.6699022690667578,0.23322340059922259,0.09099991902894951,0.584047949620226,0.034259674637911526,-0.1338429539116804,0.7949881052543769,0.7078291735396128,0.525326782354541,0.5755557972917983,-0.011498006812800991,0.5728633420177012,0.42908188367883904,0.11238397830776413,0.45648384501848416,0.36834998078496667,0.6017607486902073,0.6258744633952188,0.6799872512335468,0.7112055196212187,0.4655704300843108,0.5435795225410702,0.6209209126913566,0.036393995900974016
Cerebellum_Crus2_L,0.1193971353486467,0.031671260641392196,0.05027200963271421,0.06901009659170124,0.16913595448296062,0.020589722082434387,0.010103492285387174,0.06094792883198174,1.0,0.03848724129374597,0.11781040885811474,-0.07678818050431023,-0.47234081387692767,-0.036062771442349865,-0.08163181593125024,0.09590007805151256,0.17185008950054823,0.0995755798142589,-0.19178308208444309,-0.19345906779623093,-0.12709426578562968,0.006468168218957046,0.01786690183039227,-0.09855671115302786,0.06033767137261022,0.061720961057923976,-0.034413976398794316,-0.09787797288818977,0.1610720006724999,-0.011845619158667185,-0.0923955475101457,-0.024107541028636163,0.10914244215459061,0.003990240808179255,0.14505300288758136,-0.1547450954609616,0.024524033730425936,0.07572436282285937,0.07775920216452906,0.2609144621043199,0.05842158001560195,0.01825664755242801,0.02642912438159927,-0.048452952185977304,0.15956992069662165,-0.09923983923857674,-0.06173832579800542,0.04825610499810609,0.23747241709949155,-0.12361716197052108,-0.029243399088375113,0.07310572912650133,0.08318312658977292,0.02661883360171957,0.10396609041563033,-0.03652102716261141,0.06060477212317151,0.029435979816161088,-0.03679258874531708,0.04591226610945728
Thal_LP_R,0.3977343470949042,0.03984883776027307,-0.18258609621040459,0.00996062347869247,-0.30883005121538504,0.4245173423452169,0.4046869792577034,0.3466898823643991,0.03848724129374597,1.0,0.36377791264856246,0.23550372551359772,0.2778190071400989,0.6321205835139281,0.5943065744861288,0.24366053133333052,0.4224761291866287,0.3896884407788942,-0.16483883091767085,0.3999108653357824,0.02632073337357571,0.44851780314514145,0.3574416413385998,-0.011267673779831986,0.360641576576663,0.3632654005534562,-0.04284457859863877,0.17822278591176197,0.21314502041310388,0.24954292927314264,0.6220734664079532,0.4057951449780967,0.6159717507183969,0.42119795808439264,0.07047038381344264,0.31820397054152794,0.36188213486430304,-0.12489346356787015,0.13923811505053063,0.32935723420720336,0.21725736594773332,-0.22723166664700314,0.3981560791480647,0.31861902501626244,0.40640103443912357,0.4548223636649889,-0.13255541565860002,0.42686164718565817,0.254824842103447,0.11569990962352918,0.3449428455230191,0.5427383509525183,0.3499193014452066,0.44263485986061857,0.3868641837668501,0.33922252882056264,0.3266885041837259,0.3782207539509961,0.3983322204613533,0.057145948482961575
